<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABBV.US,60,20240411,160000,169.2,169.37,167.85,168.35,145747,0
ABBV.US,60,20240411,170000,168.33,168.34,167.29,167.825,143478,0
ABBV.US,60,20240411,180000,167.82,168.14,167.65,168,197490,0
ABBV.US,60,20240411,190000,167.97,167.99,167.227,167.5,174370,0
ABBV.US,60,20240411,200000,167.495,168.4898,167.39,168.31,193502,0
ABBV.US,60,20240411,210000,168.345,168.68,168.18,168.21,168452,0
ABBV.US,60,20240411,220000,168.2,168.41,167.46,167.52,1221402,0
ABBV.US,60,20240412,160000,164.45,164.45,160,163.085,851463,0
ABBV.US,60,20240412,170000,163.03,163.245,161.52,162.065,521318,0
ABBV.US,60,20240412,180000,162.09,162.5285,161.57,161.73,496746,0
ABBV.US,60,20240412,190000,161.73,162.07,161.31,161.705,394842,0
ABBV.US,60,20240412,200000,161.72,163.2,161.61,162.944,332627,0
ABBV.US,60,20240412,210000,162.93,163.48,162.61,162.63,305698,0
ABBV.US,60,20240412,220000,162.61,162.66,161.59,162.28,1772924,0
ABBV.US,60,20240415,160000,164.52,164.7,162.88,163.23,337064,0
ABBV.US,60,20240415,170000,163.28,163.4999,162.14,162.53,259424,0
ABBV.US,60,20240415,180000,162.545,163.21,162.51,162.82,214774,0
ABBV.US,60,20240415,190000,162.82,163.16,162.72,162.88,186115,0
ABBV.US,60,20240415,200000,162.87,163.01,162.01,162.99,228250,0
ABBV.US,60,20240415,210000,162.97,162.97,161.86,162.145,226983,0
ABBV.US,60,20240415,220000,162.1725,162.34,161.5,161.67,2064758,0
ABBV.US,60,20240416,160000,162.2,163.54,162.0772,163.28,287353,0
ABBV.US,60,20240416,170000,163.235,163.67,162.77,163.44,393311,0
ABBV.US,60,20240416,180000,163.445,163.74,163.12,163.44,251041,0
ABBV.US,60,20240416,190000,163.42,163.59,163.15,163.17,151255,0
ABBV.US,60,20240416,200000,163.18,163.21,162.7,163.21,175529,0
ABBV.US,60,20240416,210000,163.18,163.63,162.75,163.54,206482,0
ABBV.US,60,20240416,220000,163.54,163.58,162.29,162.54,1206597,0
ABBV.US,60,20240417,160000,164.15,164.15,163.29,163.7,218183,0
ABBV.US,60,20240417,170000,163.69,164.74,163.58,163.58,408098,0
ABBV.US,60,20240417,180000,163.52,163.9,163.23,163.715,219967,0
ABBV.US,60,20240417,190000,163.73,164.57,163.71,164.51,198892,0
ABBV.US,60,20240417,200000,164.51,164.585,163.69,163.95,162112,0
ABBV.US,60,20240417,210000,163.93,164.61,163.81,163.935,179779,0
ABBV.US,60,20240417,220000,163.92,164.5,163.68,164.25,1134934,0
ABBV.US,60,20240418,160000,164.96,165.8,164.43,165.145,268854,0
ABBV.US,60,20240418,170000,165.14,167.44,165.14,167.27,440737,0
ABBV.US,60,20240418,180000,167.29,167.43,165.97,166.095,320889,0
ABBV.US,60,20240418,190000,166.12,166.26,165.51,166.02,215568,0
ABBV.US,60,20240418,200000,166.04,166.22,165.1776,165.31,203731,0
ABBV.US,60,20240418,210000,165.3,165.305,164.86,165.085,238538,0
ABBV.US,60,20240418,220000,165.1,165.16,164.5,164.66,1266503,0
ABBV.US,60,20240419,160000,165.02,165.6,163.313,164.81,572084,0
ABBV.US,60,20240419,170000,164.85,165.915,164.79,165.24,394700,0
ABBV.US,60,20240419,180000,165.18,165.97,164.9,165.955,219513,0
ABBV.US,60,20240419,190000,165.945,166.6,165.945,166.18,298314,0
ABBV.US,60,20240419,200000,166.19,166.345,165.89,165.93,298767,0
ABBV.US,60,20240419,210000,165.91,166.01,165.25,165.93,348308,0
ABBV.US,60,20240419,220000,165.98,166.55,165.75,166.44,777289,0
ABBV.US,60,20240422,160000,167.68,167.99,166.95,167.855,215889,0
ABBV.US,60,20240422,170000,167.81,168.945,167.53,168.75,292541,0
ABBV.US,60,20240422,180000,168.74,168.9,168.34,168.61,332784,0
ABBV.US,60,20240422,190000,168.53,168.7885,168.1601,168.725,192064,0
ABBV.US,60,20240422,200000,168.75,169.56,168.5,169.35,248409,0
ABBV.US,60,20240422,210000,169.37,169.59,168.88,169.13,259750,0
ABBV.US,60,20240422,220000,169.12,169.12,167.36,167.89,1571756,0
ABBV.US,60,20240423,160000,168.59,169.6,168.22,169.34,180939,0
ABBV.US,60,20240423,170000,169.35,170.18,168.9703,170.145,277028,0
ABBV.US,60,20240423,180000,170.1,170.11,169.4101,169.71,326869,0
ABBV.US,60,20240423,190000,169.7,170.328,169.51,170.14,194600,0
ABBV.US,60,20240423,200000,170.13,170.365,169.92,170.09,189386,0
ABBV.US,60,20240423,210000,170.07,170.25,168.85,168.882,242576,0
ABBV.US,60,20240423,220000,168.85,169.88,168.76,169.52,1221589,0
ABBV.US,60,20240424,160000,168.52,168.73,166.74,167.975,247722,0
ABBV.US,60,20240424,170000,168.02,169.11,167.91,168.07,231275,0
ABBV.US,60,20240424,180000,168.06,168.58,168.06,168.46,99438,0
ABBV.US,60,20240424,190000,168.41,168.53,168.03,168.3,86937,0
ABBV.US,60,20240424,200000,168.3,168.49,168.155,168.3799,188740,0
ABBV.US,60,20240424,210000,168.37,168.37,167.88,168,287731,0
ABBV.US,60,20240424,220000,168.02,168.23,167.67,167.8,1680376,0
ABBV.US,60,20240425,160000,167.66,169.29,167.17,167.23,412245,0
ABBV.US,60,20240425,170000,167.255,167.47,165.57,166.29,376903,0
ABBV.US,60,20240425,180000,166.29,167,165.9923,166.78,284940,0
ABBV.US,60,20240425,190000,166.77,167.9,166.62,167.75,319969,0
ABBV.US,60,20240425,200000,167.755,167.875,166.875,167.71,353332,0
ABBV.US,60,20240425,210000,167.7,167.76,166.54,166.62,400549,0
ABBV.US,60,20240425,220000,166.63,167.34,166.63,167.29,1759270,0
ABBV.US,60,20240426,160000,167.09,167.46,161.05,161.41,875769,0
ABBV.US,60,20240426,170000,161.52,163.98,160.36,160.88,1170931,0
ABBV.US,60,20240426,180000,160.91,161.47,159.77,159.83,740612,0
ABBV.US,60,20240426,190000,159.83,160.17,158.92,159.07,667996,0
ABBV.US,60,20240426,200000,159.09,159.24,157.65,158.155,824087,0
ABBV.US,60,20240426,210000,158.155,160.065,158.045,159.515,844209,0
ABBV.US,60,20240426,220000,159.5109,159.9572,158.95,159.62,2379081,0
ABBV.US,60,20240429,160000,159.59,161.46,159.22,160.64,469816,0
ABBV.US,60,20240429,170000,160.69,160.83,158.56,158.95,550162,0
ABBV.US,60,20240429,180000,158.95,160.08,158.945,159.89,472428,0
ABBV.US,60,20240429,190000,159.91,160.78,159.78,160.4902,382465,0
ABBV.US,60,20240429,200000,160.485,160.64,160.05,160.06,222547,0
ABBV.US,60,20240429,210000,160.05,160.22,159.72,159.95,434158,0
ABBV.US,60,20240429,220000,159.94,161.55,159.65,161.52,1974686,0
ABBV.US,60,20240430,160000,161.26,161.66,159.69,161.48,247066,0
ABBV.US,60,20240430,170000,161.49,162.27,161.18,161.84,332097,0
ABBV.US,60,20240430,180000,161.86,162.53,161.58,162.48,351354,0
ABBV.US,60,20240430,190000,162.475,163.05,162.17,162.69,303118,0
ABBV.US,60,20240430,200000,162.65,162.7599,162.05,162.2,279059,0
ABBV.US,60,20240430,210000,162.225,162.46,161.87,162.075,226288,0
ABBV.US,60,20240430,220000,162.08,162.88,161.98,162.64,2081685,0
ABBV.US,60,20240501,160000,162.09,163.23,161.14,161.94,185772,0
ABBV.US,60,20240501,170000,162.005,162.62,161.68,162.515,296582,0
ABBV.US,60,20240501,180000,162.52,163.26,162.375,163.22,195208,0
ABBV.US,60,20240501,190000,163.19,163.54,163.11,163.485,362883,0
ABBV.US,60,20240501,200000,163.485,163.6923,162.265,162.525,416350,0
ABBV.US,60,20240501,210000,162.535,162.65,161.86,162.25,368034,0
ABBV.US,60,20240501,220000,162.265,163.005,161.55,161.72,1534370,0
ABBV.US,60,20240502,160000,162.17,162.44,158.71,158.89,352181,0
ABBV.US,60,20240502,170000,158.87,159.615,158.12,159.55,482273,0
ABBV.US,60,20240502,180000,159.55,160.23,158.97,159.035,511741,0
ABBV.US,60,20240502,190000,159.01,159.505,159.01,159.23,263179,0
ABBV.US,60,20240502,200000,159.205,159.64,159.16,159.315,311974,0
ABBV.US,60,20240502,210000,159.315,160.775,159.24,160.44,313489,0
ABBV.US,60,20240502,220000,160.49,160.905,160.2,160.81,1606905,0
ABBV.US,60,20240506,160000,164.41,164.6346,161.77,161.9,366406,0
ABBV.US,60,20240506,170000,161.985,162.54,161,161.61,835093,0
ABBV.US,60,20240506,180000,161.61,162.07,161.3102,161.71,362647,0
ABBV.US,60,20240506,190000,161.69,162.055,161.57,161.8293,302623,0
ABBV.US,60,20240506,200000,161.83,162.5,161.82,162.16,304235,0
ABBV.US,60,20240506,210000,162.17,162.62,162.095,162.27,260754,0
ABBV.US,60,20240506,220000,162.26,162.73,161.66,162.73,1361478,0
ABBV.US,60,20240507,160000,163.36,163.99,163,163.465,288026,0
ABBV.US,60,20240507,170000,163.49,163.85,162.71,162.7502,323465,0
ABBV.US,60,20240507,180000,162.76,163.275,162.47,162.59,286719,0
ABBV.US,60,20240507,190000,162.59,162.93,161.9859,162.25,238062,0
ABBV.US,60,20240507,200000,162.25,162.685,162.19,162.445,254524,0
ABBV.US,60,20240507,210000,162.47,162.58,161.89,162.03,203911,0
ABBV.US,60,20240507,220000,161.98,162.68,161.95,162.55,1671367,0
ABBV.US,60,20240508,160000,162.14,162.9,160.57,160.73,231403,0
ABBV.US,60,20240508,170000,160.7,160.7549,159.87,160.5,439367,0
ABBV.US,60,20240508,180000,160.515,160.92,160.04,160.26,332584,0
ABBV.US,60,20240508,190000,160.1901,160.5,159.88,160.105,301956,0
ABBV.US,60,20240508,200000,160.095,160.43,159.92,160.2638,271334,0
ABBV.US,60,20240508,210000,160.255,160.7,160.045,160.43,451287,0
ABBV.US,60,20240508,220000,160.4,160.86,160.05,160.45,1602651,0
ABBV.US,60,20240509,160000,160.805,161.09,160.02,160.89,252513,0
ABBV.US,60,20240509,170000,160.905,161.32,160.59,161.28,240567,0
ABBV.US,60,20240509,180000,161.295,161.3,160.54,160.58,135391,0
