<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABT.US,60,20240411,160000,111.65,111.98,111,111.12,168794,0
ABT.US,60,20240411,170000,111.1,111.12,110.5,110.61,277437,0
ABT.US,60,20240411,180000,110.6,110.62,110.31,110.585,175540,0
ABT.US,60,20240411,190000,110.6198,110.82,110.51,110.82,170245,0
ABT.US,60,20240411,200000,110.84,111.41,110.78,111.36,313540,0
ABT.US,60,20240411,210000,111.37,111.77,111.37,111.58,235939,0
ABT.US,60,20240411,220000,111.59,111.67,111.34,111.45,1818587,0
ABT.US,60,20240412,160000,110.27,110.5,109.9,110.259,201357,0
ABT.US,60,20240412,170000,110.22,110.245,109.58,109.76,364521,0
ABT.US,60,20240412,180000,109.75,110,109.37,109.5,301957,0
ABT.US,60,20240412,190000,109.4868,109.5,108.72,108.72,261361,0
ABT.US,60,20240412,200000,108.72,109.025,108.4916,108.77,238121,0
ABT.US,60,20240412,210000,108.77,109.01,108.69,108.817,207137,0
ABT.US,60,20240412,220000,108.8,109.195,108.6726,109.11,1248982,0
ABT.US,60,20240415,160000,110.09,110.89,110.06,110.88,253145,0
ABT.US,60,20240415,170000,110.88,110.88,110.035,110.05,335500,0
ABT.US,60,20240415,180000,110.05,110.44,109.98,110.2493,237422,0
ABT.US,60,20240415,190000,110.25,110.37,109.765,109.8,310335,0
ABT.US,60,20240415,200000,109.8,109.86,109.145,109.41,245527,0
ABT.US,60,20240415,210000,109.4,109.415,108.92,109.1,240174,0
ABT.US,60,20240415,220000,109.1,109.2,108.831,108.89,1592331,0
ABT.US,60,20240416,160000,108.78,109.29,108.14,108.56,533299,0
ABT.US,60,20240416,170000,108.54,109.14,108.5061,109,628645,0
ABT.US,60,20240416,180000,109,109.99,108.92,109.81,633725,0
ABT.US,60,20240416,190000,109.79,110.07,109.64,109.93,353341,0
ABT.US,60,20240416,200000,109.92,110.31,109.65,109.92,488682,0
ABT.US,60,20240416,210000,109.91,110.33,109.42,110.1501,485563,0
ABT.US,60,20240416,220000,110.17,110.21,109.16,109.21,2155487,0
ABT.US,60,20240417,160000,107.53,108.72,104.25,104.86,1711577,0
ABT.US,60,20240417,170000,104.865,105.99,104.85,105.33,1252644,0
ABT.US,60,20240417,180000,105.35,105.85,104.69,105.023,863607,0
ABT.US,60,20240417,190000,105.045,106.25,105.0026,105.94,546301,0
ABT.US,60,20240417,200000,105.935,106.54,105.77,106.09,521958,0
