<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AC.US,60,20240411,160000,32.28,32.28,32.28,32.28,100,0
AC.US,60,20240411,170000,32.89,32.89,32.89,32.89,252,0
AC.US,60,20240411,180000,32.36,32.45,32.35,32.45,501,0
AC.US,60,20240411,190000,32.47,32.4728,32.45,32.4728,1290,0
AC.US,60,20240411,220000,32.49,32.49,31.9201,31.9201,204,0
AC.US,60,20240412,160000,31.84,31.85,31.84,31.85,200,0
AC.US,60,20240412,170000,32.09,32.1,32.09,32.1,200,0
AC.US,60,20240412,180000,32.21,32.21,32.16,32.16,599,0
AC.US,60,20240412,220000,32.16,32.23,32.16,32.23,1545,0
AC.US,60,20240415,160000,32.13,32.48,32.13,32.48,300,0
AC.US,60,20240415,170000,32.33,32.33,32.33,32.33,330,0
AC.US,60,20240415,220000,32.22,32.22,32.22,32.22,282,0
AC.US,60,20240416,160000,32.02,32.19,32.02,32.19,200,0
AC.US,60,20240416,170000,32.28,32.28,32.21,32.21,400,0
AC.US,60,20240416,180000,32.45,32.55,32,32,2365,0
AC.US,60,20240416,220000,32.31,32.31,32.24,32.24,568,0
AC.US,60,20240417,160000,32.48,32.48,32.48,32.48,100,0
AC.US,60,20240417,170000,32.443,32.47,32.443,32.45,2460,0
AC.US,60,20240417,180000,32,32.4,31.98,32.4,301,0
AC.US,60,20240417,220000,32.3,32.3,32.3,32.3,162,0
AC.US,60,20240418,160000,32.02,32.02,32.02,32.02,300,0
AC.US,60,20240418,170000,32.45,32.45,32.33,32.45,1092,0
AC.US,60,20240418,190000,32.45,32.45,32.45,32.45,100,0
AC.US,60,20240418,200000,32.45,32.47,32.45,32.47,200,0
AC.US,60,20240418,220000,32.53,32.53,32.53,32.53,407,0
AC.US,60,20240419,170000,32.29,32.51,32.29,32.51,302,0
AC.US,60,20240419,180000,32.5,32.52,32.5,32.52,200,0
AC.US,60,20240422,160000,32.35,32.75,32.35,32.75,500,0
AC.US,60,20240422,170000,32.67,32.72,32.51,32.55,1843,0
AC.US,60,20240422,200000,32.54,32.55,32.54,32.55,227,0
AC.US,60,20240422,220000,32.54,32.54,32.43,32.43,578,0
AC.US,60,20240423,160000,32.06,32.06,32.06,32.06,100,0
AC.US,60,20240423,170000,32.5,32.5,32.5,32.5,100,0
AC.US,60,20240423,180000,32.48,32.48,32.48,32.48,400,0
AC.US,60,20240423,200000,32.48,32.48,32.48,32.48,100,0
AC.US,60,20240423,210000,32.89,32.89,32.6825,32.6825,470,0
AC.US,60,20240423,220000,32.68,32.89,32.68,32.72,933,0
AC.US,60,20240424,160000,32.91,32.91,32.91,32.91,162,0
AC.US,60,20240424,170000,32.62,32.62,32.58,32.58,400,0
AC.US,60,20240424,200000,32.78,32.78,32.78,32.78,200,0
AC.US,60,20240424,220000,32.78,32.78,32.78,32.78,373,0
AC.US,60,20240425,160000,32.41,32.5,32.3,32.5,400,0
AC.US,60,20240425,170000,32.3675,32.3675,32.3675,32.3675,1000,0
AC.US,60,20240426,160000,32.21,32.21,32.21,32.21,101,0
AC.US,60,20240426,170000,32.38,32.38,32,32.35,691,0
AC.US,60,20240426,190000,32.37,32.37,32.35,32.3501,300,0
AC.US,60,20240426,200000,32.35,32.35,32.35,32.35,1231,0
AC.US,60,20240426,210000,32.25,32.25,32.25,32.25,1155,0
AC.US,60,20240426,220000,32.25,32.33,32.25,32.33,537,0
AC.US,60,20240429,170000,32.3,32.3,32.19,32.19,800,0
AC.US,60,20240429,180000,32.44,32.44,32.44,32.44,100,0
AC.US,60,20240429,210000,32.45,32.45,32.45,32.45,549,0
AC.US,60,20240429,220000,32.45,32.49,32.45,32.49,542,0
AC.US,60,20240430,160000,32.15,32.15,32.15,32.15,200,0
AC.US,60,20240430,170000,32.17,32.3,32.16,32.25,701,0
AC.US,60,20240430,220000,32.45,32.49,32.45,32.49,557,0
