<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEO.US,60,20240411,160000,23.34,23.595,23.155,23.56,250570,0
AEO.US,60,20240411,170000,23.555,23.675,23.29,23.505,506544,0
AEO.US,60,20240411,180000,23.5,23.505,23.29,23.44,376943,0
AEO.US,60,20240411,190000,23.445,23.48,23.29,23.345,277197,0
AEO.US,60,20240411,200000,23.35,23.465,23.305,23.33,275473,0
AEO.US,60,20240411,210000,23.33,23.545,23.31,23.495,397460,0
AEO.US,60,20240411,220000,23.5,23.62,23.48,23.6,1420291,0
AEO.US,60,20240412,160000,23.22,23.575,23.22,23.475,232477,0
AEO.US,60,20240412,170000,23.47,23.535,23.29,23.375,415983,0
AEO.US,60,20240412,180000,23.3781,23.475,23.35,23.355,429557,0
AEO.US,60,20240412,190000,23.35,23.37,23.17,23.255,466999,0
AEO.US,60,20240412,200000,23.255,23.36,23.13,23.32,311511,0
AEO.US,60,20240412,210000,23.325,23.375,23.125,23.185,317449,0
AEO.US,60,20240412,220000,23.18,23.18,23.04,23.07,1553147,0
AEO.US,60,20240415,160000,23.38,23.42,23.07,23.18,164514,0
AEO.US,60,20240415,170000,23.185,23.245,22.905,22.995,347901,0
AEO.US,60,20240415,180000,22.985,23.15,22.92,23.145,327602,0
AEO.US,60,20240415,190000,23.145,23.185,22.84,22.875,184430,0
AEO.US,60,20240415,200000,22.87,22.88,22.49,22.68,245571,0
AEO.US,60,20240415,210000,22.675,22.71,22.49,22.635,338736,0
AEO.US,60,20240415,220000,22.63,22.68,22.47,22.65,989086,0
AEO.US,60,20240416,160000,22.51,22.59,22.115,22.13,377790,0
AEO.US,60,20240416,170000,22.135,22.15,21.955,21.97,827995,0
AEO.US,60,20240416,180000,21.9621,22.18,21.95,22.1,338661,0
AEO.US,60,20240416,190000,22.095,22.165,22.06,22.09,210649,0
AEO.US,60,20240416,200000,22.085,22.15,21.91,21.98,513932,0
AEO.US,60,20240416,210000,21.98,22.215,21.93,22.21,405376,0
AEO.US,60,20240416,220000,22.215,22.33,22.14,22.3,1892639,0
AEO.US,60,20240417,160000,22.56,22.62,22.34,22.525,197264,0
AEO.US,60,20240417,170000,22.525,22.525,22.06,22.185,771207,0
AEO.US,60,20240417,180000,22.19,22.26,22.085,22.245,285489,0
AEO.US,60,20240417,190000,22.25,22.25,22.09,22.12,284291,0
AEO.US,60,20240417,200000,22.115,22.34,22.09,22.32,276172,0
AEO.US,60,20240417,210000,22.3203,22.495,22.27,22.295,347863,0
AEO.US,60,20240417,220000,22.29,22.5,22.205,22.37,1291775,0
AEO.US,60,20240418,160000,22.49,22.7,22.48,22.66,255191,0
AEO.US,60,20240418,170000,22.67,22.955,22.62,22.89,349998,0
AEO.US,60,20240418,180000,22.89,22.915,22.79,22.81,204056,0
AEO.US,60,20240418,190000,22.82,22.83,22.585,22.62,506699,0
AEO.US,60,20240418,200000,22.62,22.625,22.32,22.38,512859,0
AEO.US,60,20240418,210000,22.38,22.4075,22.26,22.365,448566,0
AEO.US,60,20240418,220000,22.365,22.44,22.285,22.34,1134068,0
AEO.US,60,20240419,160000,22.27,22.63,22.2,22.545,138252,0
AEO.US,60,20240419,170000,22.54,22.74,22.34,22.45,217989,0
AEO.US,60,20240419,180000,22.44,22.44,22.175,22.175,192885,0
AEO.US,60,20240419,190000,22.1799,22.23,22.01,22.15,168126,0
