<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL.US,60,20240411,160000,168.88,168.88,167.09,167.215,39135,0
ALL.US,60,20240411,170000,167.16,167.16,165.6601,166.9,67541,0
ALL.US,60,20240411,180000,166.94,167.135,166.5,166.705,78488,0
ALL.US,60,20240411,190000,166.65,167.23,166.355,166.63,52511,0
ALL.US,60,20240411,200000,166.63,167.5414,166.525,167.27,48320,0
ALL.US,60,20240411,210000,167.29,168.03,167.27,167.78,74035,0
ALL.US,60,20240411,220000,167.72,167.79,165.53,165.61,458926,0
ALL.US,60,20240412,160000,166,168.87,165.87,168.09,88988,0
ALL.US,60,20240412,170000,168.165,168.585,167.68,168.0685,110906,0
ALL.US,60,20240412,180000,168.075,168.74,167.92,168.685,90545,0
ALL.US,60,20240412,190000,168.66,168.82,167.52,167.69,69882,0
ALL.US,60,20240412,200000,167.625,167.65,166.75,167.13,98461,0
ALL.US,60,20240412,210000,167.09,167.555,166.95,167.03,74666,0
ALL.US,60,20240412,220000,167.01,167.035,166.44,166.81,604521,0
ALL.US,60,20240415,160000,168.78,168.855,167.05,167.14,32897,0
ALL.US,60,20240415,170000,167.16,167.16,166.165,166.58,36934,0
ALL.US,60,20240415,180000,166.54,167.24,166.44,167.21,43268,0
ALL.US,60,20240415,190000,167.15,167.68,166.7612,167.27,73719,0
ALL.US,60,20240415,200000,167.2,167.355,166.28,166.47,69771,0
ALL.US,60,20240415,210000,166.4,166.515,165.465,165.8484,45034,0
ALL.US,60,20240415,220000,165.77,166.31,165.47,165.76,487479,0
ALL.US,60,20240416,160000,166.41,166.545,165.295,165.44,37964,0
ALL.US,60,20240416,170000,165.39,165.73,164.61,164.81,51782,0
ALL.US,60,20240416,180000,164.81,165.36,164.32,164.91,30302,0
ALL.US,60,20240416,190000,164.93,165.435,164.83,165.25,26731,0
ALL.US,60,20240416,200000,165.13,165.88,164.95,165.065,44734,0
ALL.US,60,20240416,210000,164.83,165.42,164.57,165.41,30629,0
ALL.US,60,20240416,220000,165.41,165.48,164.08,164.21,392315,0
ALL.US,60,20240417,160000,162.27,164,161.0632,163.39,103191,0
ALL.US,60,20240417,170000,163.39,164.01,162.89,163.15,86903,0
ALL.US,60,20240417,180000,163.1113,163.52,162.59,162.7973,105486,0
ALL.US,60,20240417,190000,162.75,162.84,161.76,161.9,102963,0
ALL.US,60,20240417,200000,161.85,162.52,161.58,162.325,95074,0
ALL.US,60,20240417,210000,162.315,163.16,162.16,162.49,80964,0
ALL.US,60,20240417,220000,162.48,163.26,162.11,162.92,474677,0
ALL.US,60,20240418,160000,165.1,168.85,164.675,168.4,181097,0
ALL.US,60,20240418,170000,168.48,169.23,167.26,169.14,193610,0
ALL.US,60,20240418,180000,169.14,169.53,168.35,168.725,98705,0
ALL.US,60,20240418,190000,168.75,169.065,168.39,168.75,148793,0
ALL.US,60,20240418,200000,168.75,168.875,168.04,168.195,98224,0
ALL.US,60,20240418,210000,168.24,168.58,167.78,168.295,106816,0
ALL.US,60,20240418,220000,168.29,169.27,168.2,169.11,515871,0
ALL.US,60,20240419,160000,170.01,171.99,169.77,171.71,147727,0
ALL.US,60,20240419,170000,171.725,172.69,171.56,172.35,209661,0
ALL.US,60,20240419,180000,172.345,172.85,171.92,172.55,109114,0
ALL.US,60,20240419,190000,172.59,173.575,172.47,173.575,227903,0
ALL.US,60,20240419,200000,173.57,173.85,172.97,173.395,223599,0
ALL.US,60,20240419,210000,173.37,173.689,172.68,173.57,203925,0
ALL.US,60,20240419,220000,173.52,173.655,172.77,172.96,260181,0
ALL.US,60,20240422,160000,173.16,174.18,172.41,173.9,92386,0
ALL.US,60,20240422,170000,174.08,174.35,173.41,174.055,65137,0
ALL.US,60,20240422,180000,174.05,174.51,173.61,174.395,61123,0
ALL.US,60,20240422,190000,174.44,174.63,174.01,174.57,67272,0
ALL.US,60,20240422,200000,174.56,175.73,174.22,175.5563,104050,0
ALL.US,60,20240422,210000,175.565,176.1199,175.49,175.755,98496,0
ALL.US,60,20240422,220000,175.72,175.76,175.06,175.41,577837,0
ALL.US,60,20240423,160000,176.15,176.23,175.41,175.5875,52097,0
ALL.US,60,20240423,170000,175.76,175.78,174.67,175.56,73099,0
ALL.US,60,20240423,180000,175.47,176.335,175.45,176.13,65528,0
ALL.US,60,20240423,190000,176.08,176.6,175.9,176.25,64241,0
ALL.US,60,20240423,200000,176.31,176.93,176.225,176.5,66198,0
ALL.US,60,20240423,210000,176.52,176.52,175.67,175.87,109620,0
ALL.US,60,20240423,220000,175.905,175.91,174.8,175.23,465290,0
ALL.US,60,20240424,160000,174.845,174.845,172.28,172.49,105298,0
ALL.US,60,20240424,170000,172.525,173.27,171.91,172.21,86615,0
ALL.US,60,20240424,180000,172.14,172.6518,172.02,172.41,63380,0
ALL.US,60,20240424,190000,172.34,172.61,171.75,172,94813,0
ALL.US,60,20240424,200000,172,172.15,171.32,172.025,110918,0
ALL.US,60,20240424,210000,172.03,172.15,171.54,171.675,159004,0
