<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC.US,60,20240411,160000,2.89,2.89,2.8,2.805,1204655,0
AMC.US,60,20240411,170000,2.805,2.81,2.73,2.76,2840814,0
AMC.US,60,20240411,180000,2.7639,2.79,2.75,2.7623,1562423,0
AMC.US,60,20240411,190000,2.765,2.77,2.75,2.7699,1256370,0
AMC.US,60,20240411,200000,2.765,2.82,2.76,2.8,1585644,0
AMC.US,60,20240411,210000,2.795,2.81,2.78,2.78,1136438,0
AMC.US,60,20240411,220000,2.78,2.82,2.77,2.8,3028280,0
AMC.US,60,20240412,160000,2.76,2.77,2.72,2.755,1291272,0
AMC.US,60,20240412,170000,2.755,2.78,2.68,2.687,2725468,0
AMC.US,60,20240412,180000,2.6899,2.72,2.68,2.7044,1864406,0
AMC.US,60,20240412,190000,2.71,2.72,2.67,2.67,1256703,0
AMC.US,60,20240412,200000,2.679,2.68,2.65,2.6599,1666149,0
AMC.US,60,20240412,210000,2.66,2.66,2.61,2.625,2213500,0
AMC.US,60,20240412,220000,2.625,2.67,2.62,2.65,3922259,0
AMC.US,60,20240415,160000,2.67,2.68,2.61,2.625,1634975,0
AMC.US,60,20240415,170000,2.62,2.66,2.61,2.615,1633989,0
AMC.US,60,20240415,180000,2.615,2.63,2.6,2.61,967426,0
AMC.US,60,20240415,190000,2.61,2.62,2.55,2.5591,1700450,0
AMC.US,60,20240415,200000,2.55,2.64,2.55,2.56,2058070,0
AMC.US,60,20240415,210000,2.5685,2.57,2.5,2.5,1675662,0
AMC.US,60,20240415,220000,2.5003,2.52,2.46,2.47,4392312,0
AMC.US,60,20240416,160000,2.44,2.53,2.38,2.4897,1671455,0
AMC.US,60,20240416,170000,2.485,2.65,2.47,2.65,3641201,0
AMC.US,60,20240416,180000,2.645,2.75,2.615,2.675,5662961,0
AMC.US,60,20240416,190000,2.67,2.75,2.64,2.75,3239279,0
AMC.US,60,20240416,200000,2.745,2.89,2.72,2.84,7536397,0
AMC.US,60,20240416,210000,2.835,2.86,2.76,2.785,3355670,0
AMC.US,60,20240416,220000,2.785,2.8,2.72,2.72,3497419,0
AMC.US,60,20240417,160000,2.94,3.03,2.82,2.9303,4974714,0
AMC.US,60,20240417,170000,2.9382,3.01,2.86,2.9001,5046512,0
AMC.US,60,20240417,180000,2.9003,3,2.9,2.9681,2743403,0
AMC.US,60,20240417,190000,2.965,2.98,2.865,2.88,2781651,0
AMC.US,60,20240417,200000,2.88,2.96,2.87,2.925,1571913,0
AMC.US,60,20240417,210000,2.925,3.02,2.915,2.98,2419912,0
AMC.US,60,20240417,220000,2.975,2.99,2.95,2.98,2502950,0
AMC.US,60,20240418,160000,2.99,3,2.78,2.795,2516638,0
AMC.US,60,20240418,170000,2.8,2.9,2.76,2.89,2937905,0
AMC.US,60,20240418,180000,2.89,2.94,2.87,2.9,2095991,0
AMC.US,60,20240418,190000,2.9,2.95,2.89,2.92,858085,0
AMC.US,60,20240418,200000,2.92,2.925,2.87,2.9,1254639,0
AMC.US,60,20240418,210000,2.8999,2.93,2.89,2.93,716958,0
AMC.US,60,20240418,220000,2.925,2.96,2.91,2.92,1789259,0
AMC.US,60,20240419,160000,2.89,3.08,2.83,3.0691,2449478,0
AMC.US,60,20240419,170000,3.065,3.2384,2.99,3.105,8028589,0
AMC.US,60,20240419,180000,3.1008,3.21,3.07,3.2,3229439,0
AMC.US,60,20240419,190000,3.195,3.3,3.18,3.2689,4550837,0
AMC.US,60,20240419,200000,3.26,3.26,3.2,3.225,2441716,0
AMC.US,60,20240419,210000,3.225,3.23,3.16,3.17,1922556,0
AMC.US,60,20240419,220000,3.175,3.22,3.11,3.16,3148083,0
AMC.US,60,20240422,160000,3.2,3.27,3,3.055,4020237,0
AMC.US,60,20240422,170000,3.055,3.325,3.05,3.2975,4695428,0
AMC.US,60,20240422,180000,3.29,3.4484,3.26,3.4479,4215047,0
AMC.US,60,20240422,190000,3.445,3.49,3.29,3.3513,4703322,0
AMC.US,60,20240422,200000,3.3588,3.38,3.285,3.355,2195276,0
AMC.US,60,20240422,210000,3.35,3.43,3.35,3.41,1675944,0
AMC.US,60,20240422,220000,3.4101,3.43,3.39,3.42,2993074,0
AMC.US,60,20240423,160000,3.4,3.54,3.36,3.4992,2251608,0
AMC.US,60,20240423,170000,3.495,3.55,3.38,3.445,4433282,0
AMC.US,60,20240423,180000,3.45,3.53,3.44,3.495,1992768,0
AMC.US,60,20240423,190000,3.5,3.54,3.48,3.505,1258286,0
AMC.US,60,20240423,200000,3.5004,3.53,3.46,3.46,953085,0
AMC.US,60,20240423,210000,3.46,3.47,3.43,3.445,1261896,0
AMC.US,60,20240423,220000,3.4403,3.465,3.38,3.395,2968190,0
AMC.US,60,20240424,160000,3.38,3.3995,3.27,3.335,1930462,0
AMC.US,60,20240424,170000,3.335,3.5,3.33,3.3699,2544061,0
AMC.US,60,20240424,180000,3.365,3.39,3.3,3.315,1215178,0
AMC.US,60,20240424,190000,3.3103,3.33,3.2,3.23,2185113,0
AMC.US,60,20240424,200000,3.23,3.3,3.22,3.245,1374569,0
AMC.US,60,20240424,210000,3.245,3.255,3.17,3.185,955145,0
AMC.US,60,20240424,220000,3.185,3.31,3.18,3.28,2521385,0
AMC.US,60,20240425,160000,3.15,3.21,3.1,3.18,1601322,0
AMC.US,60,20240425,170000,3.18,3.22,3.12,3.195,1654547,0
AMC.US,60,20240425,180000,3.2,3.24,3.13,3.1595,1307977,0
AMC.US,60,20240425,190000,3.16,3.18,3.14,3.15,963499,0
AMC.US,60,20240425,200000,3.145,3.2,3.145,3.1893,583877,0
AMC.US,60,20240425,210000,3.185,3.23,3.175,3.225,1048502,0
AMC.US,60,20240425,220000,3.2288,3.28,3.22,3.28,3662700,0
AMC.US,60,20240426,160000,3.28,3.37,3.22,3.355,1328596,0
AMC.US,60,20240426,170000,3.3596,3.4,3.31,3.3312,2062437,0
AMC.US,60,20240426,180000,3.34,3.48,3.34,3.46,2023718,0
AMC.US,60,20240426,190000,3.4602,3.49,3.43,3.44,1567018,0
AMC.US,60,20240426,200000,3.44,3.48,3.39,3.4,1255123,0
AMC.US,60,20240426,210000,3.395,3.44,3.36,3.435,907056,0
AMC.US,60,20240426,220000,3.4301,3.47,3.38,3.41,2933599,0
AMC.US,60,20240429,160000,3.33,3.35,3.02,3.1103,7123547,0
AMC.US,60,20240429,170000,3.1184,3.16,3.03,3.0365,4350995,0
AMC.US,60,20240429,180000,3.035,3.08,2.96,3.0401,4426264,0
AMC.US,60,20240429,190000,3.0401,3.08,3.04,3.0501,1196676,0
AMC.US,60,20240429,200000,3.055,3.0578,3.02,3.0201,909031,0
AMC.US,60,20240429,210000,3.025,3.03,3.01,3.014,1304054,0
AMC.US,60,20240429,220000,3.01,3.04,3,3.03,3475389,0
AMC.US,60,20240430,160000,3.02,3.03,2.95,2.9899,1471060,0
AMC.US,60,20240430,170000,2.985,2.99,2.93,2.965,1528354,0
AMC.US,60,20240430,180000,2.96,2.9699,2.92,2.945,1268736,0
AMC.US,60,20240430,190000,2.95,2.96,2.92,2.935,620588,0
AMC.US,60,20240430,200000,2.9383,2.96,2.93,2.955,513142,0
AMC.US,60,20240430,210000,2.955,2.96,2.92,2.925,670179,0
AMC.US,60,20240430,220000,2.92,2.95,2.92,2.93,2072410,0
AMC.US,60,20240501,160000,2.92,2.96,2.87,2.91,1494762,0
AMC.US,60,20240501,170000,2.91,2.93,2.835,2.91,2373987,0
AMC.US,60,20240501,180000,2.9069,2.93,2.87,2.87,716388,0
AMC.US,60,20240501,190000,2.875,3.02,2.87,3.0001,1817578,0
AMC.US,60,20240501,200000,3.01,3.02,2.97,2.99,1308413,0
AMC.US,60,20240501,210000,2.99,3.07,2.96,3.05,2144718,0
AMC.US,60,20240501,220000,3.05,3.06,2.97,2.97,2437516,0
AMC.US,60,20240502,160000,3.04,3.12,2.99,3.0396,1863396,0
AMC.US,60,20240502,170000,3.04,3.05,2.9711,3.0237,1209799,0
AMC.US,60,20240502,180000,3.0299,3.0682,3.01,3.01,869347,0
AMC.US,60,20240502,190000,3.0159,3.02,2.99,3.0198,601108,0
AMC.US,60,20240502,200000,3.0133,3.18,3.0116,3.1711,4123762,0
AMC.US,60,20240502,210000,3.1703,3.22,3.0902,3.115,3210845,0
AMC.US,60,20240502,220000,3.11,3.14,3.09,3.13,2679837,0
AMC.US,60,20240506,160000,3.26,3.26,3.04,3.11,7093840,0
AMC.US,60,20240506,170000,3.105,3.24,3.08,3.22,7055103,0
AMC.US,60,20240506,180000,3.2288,3.28,3.13,3.2399,3546150,0
AMC.US,60,20240506,190000,3.2317,3.26,3.2,3.255,2326063,0
AMC.US,60,20240506,200000,3.255,3.34,3.23,3.3299,3812390,0
AMC.US,60,20240506,210000,3.325,3.44,3.28,3.31,7563984,0
AMC.US,60,20240506,220000,3.3088,3.32,3.2412,3.29,7596587,0
