<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMN.US,60,20240411,160000,58.92,59.1,58.07,58.12,48087,0
AMN.US,60,20240411,170000,58.12,58.31,57.56,57.935,107919,0
AMN.US,60,20240411,180000,57.89,58.19,57.62,58.12,77653,0
AMN.US,60,20240411,190000,58.14,58.28,58,58.07,49485,0
AMN.US,60,20240411,200000,58.075,58.18,57.58,57.9,43611,0
AMN.US,60,20240411,210000,57.905,58.015,56.86,56.89,69161,0
AMN.US,60,20240411,220000,56.9,57.18,56.42,57.16,288665,0
AMN.US,60,20240412,160000,56.5,57.1,56.21,56.28,45311,0
AMN.US,60,20240412,170000,56.28,56.585,55.83,56.23,112748,0
AMN.US,60,20240412,180000,56.23,56.31,55.71,56.2,70983,0
AMN.US,60,20240412,190000,56.14,56.79,56.11,56.41,52847,0
AMN.US,60,20240412,200000,56.29,56.955,56.245,56.27,32787,0
AMN.US,60,20240412,210000,56.245,56.72,56.24,56.52,40061,0
AMN.US,60,20240412,220000,56.54,56.77,56.16,56.63,210886,0
AMN.US,60,20240415,160000,56.68,56.805,55.96,56.08,13246,0
AMN.US,60,20240415,170000,55.93,55.93,55.28,55.35,63995,0
AMN.US,60,20240415,180000,55.41,55.67,55.25,55.29,32640,0
AMN.US,60,20240415,190000,55.25,55.72,55.09,55.62,90227,0
AMN.US,60,20240415,200000,55.62,56.46,55.45,56.33,71951,0
AMN.US,60,20240415,210000,56.35,56.435,55.82,56.15,29575,0
AMN.US,60,20240415,220000,56.145,57.12,56.1,57.09,235624,0
AMN.US,60,20240416,160000,57.09,57.09,56.635,56.815,6083,0
AMN.US,60,20240416,170000,56.71,56.79,55.67,55.68,33369,0
AMN.US,60,20240416,180000,55.65,56.545,55.65,56.4805,68769,0
AMN.US,60,20240416,190000,56.47,56.73,56.47,56.655,9596,0
AMN.US,60,20240416,200000,56.655,56.84,56.36,56.7,18741,0
AMN.US,60,20240416,210000,56.69,57.035,56.49,56.515,16240,0
AMN.US,60,20240416,220000,56.5,56.99,56.1,56.83,338100,0
AMN.US,60,20240417,160000,57.16,57.4,56.96,57.34,13355,0
AMN.US,60,20240417,170000,57.33,58.06,57.06,58,71781,0
AMN.US,60,20240417,180000,58.03,58.77,57.87,58.715,80107,0
AMN.US,60,20240417,190000,58.715,58.805,57.34,57.4,39130,0
AMN.US,60,20240417,200000,57.35,57.42,57.03,57.16,22435,0
AMN.US,60,20240417,210000,57.145,57.145,56.8,56.815,26950,0
AMN.US,60,20240417,220000,56.81,56.81,56.04,56.39,228690,0
AMN.US,60,20240418,160000,56.31,56.5,55.09,55.48,17245,0
AMN.US,60,20240418,170000,55.515,56.3,55.13,55.995,42002,0
AMN.US,60,20240418,180000,55.96,56.06,55.51,55.65,31262,0
AMN.US,60,20240418,190000,55.625,55.675,55.35,55.46,17285,0
AMN.US,60,20240418,200000,55.5,55.63,55.295,55.57,18544,0
AMN.US,60,20240418,210000,55.59,55.6764,55.275,55.6,40402,0
AMN.US,60,20240418,220000,55.6,56.33,55.55,56.3,238868,0
AMN.US,60,20240419,160000,56.36,57.205,56.36,56.87,18143,0
AMN.US,60,20240419,170000,56.82,56.8799,56.24,56.61,26582,0
AMN.US,60,20240419,180000,56.61,57.2,56.465,56.9,34623,0
AMN.US,60,20240419,190000,56.93,56.94,56.24,56.8477,15111,0
AMN.US,60,20240419,200000,56.84,57.32,56.67,57.218,20379,0
AMN.US,60,20240419,210000,57.17,57.17,56.905,56.955,16555,0
AMN.US,60,20240419,220000,56.9749,57.0352,56.54,56.93,92041,0
AMN.US,60,20240422,160000,57.07,57.46,56.01,56.01,20882,0
AMN.US,60,20240422,170000,55.99,56.545,55.65,56.475,36491,0
AMN.US,60,20240422,180000,56.51,56.51,55.64,55.97,18565,0
AMN.US,60,20240422,190000,56.08,56.335,55.9,56.11,20741,0
AMN.US,60,20240422,200000,56.08,56.14,55.78,56.05,25163,0
AMN.US,60,20240422,210000,56.15,56.59,55.96,56.31,24154,0
AMN.US,60,20240422,220000,56.31,56.62,56.14,56.51,156733,0
AMN.US,60,20240423,160000,56.51,57.61,56.51,57.61,7130,0
AMN.US,60,20240423,170000,57.7,58.07,57.34,57.43,12510,0
AMN.US,60,20240423,180000,57.49,58.07,57.42,57.8,78440,0
AMN.US,60,20240423,190000,57.825,57.83,57.38,57.47,14171,0
AMN.US,60,20240423,200000,57.36,57.36,57.02,57.215,20912,0
AMN.US,60,20240423,210000,57.215,57.54,57.08,57.47,29286,0
AMN.US,60,20240423,220000,57.5,57.5,56.903,57.17,175022,0
AMN.US,60,20240424,160000,56.975,57.06,56.12,56.425,10005,0
AMN.US,60,20240424,170000,56.44,56.96,56.3073,56.92,9992,0
AMN.US,60,20240424,180000,56.96,57.11,56.59,56.72,36559,0
AMN.US,60,20240424,190000,56.715,56.715,56.19,56.24,21549,0
AMN.US,60,20240424,200000,56.28,56.5,56.25,56.33,12577,0
AMN.US,60,20240424,210000,56.35,56.935,56.3,56.79,19098,0
AMN.US,60,20240424,220000,56.79,57.295,56.63,57.19,133006,0
AMN.US,60,20240425,160000,57.03,57.12,56.0217,56.125,41185,0
AMN.US,60,20240425,170000,56.34,56.5899,55.85,56.105,76549,0
AMN.US,60,20240425,180000,56.06,56.24,55.965,56.12,17044,0
AMN.US,60,20240425,190000,56.06,56.17,55.64,55.7,48864,0
AMN.US,60,20240425,200000,55.6906,56.11,55.24,55.95,44067,0
AMN.US,60,20240425,210000,55.99,56.06,55.65,55.73,49993,0
AMN.US,60,20240425,220000,55.8,56.62,55.8,56.25,173099,0
AMN.US,60,20240426,160000,55.92,56.48,55.6661,56.48,20882,0
AMN.US,60,20240426,170000,56.63,56.63,56.22,56.54,8470,0
AMN.US,60,20240426,180000,56.59,56.715,56.38,56.39,15876,0
AMN.US,60,20240426,190000,56.385,56.91,56.385,56.57,16199,0
AMN.US,60,20240426,200000,56.56,56.77,56.5,56.59,14833,0
AMN.US,60,20240426,210000,56.6,56.925,56.6,56.925,14142,0
AMN.US,60,20240426,220000,56.9172,57.16,56.78,57.12,145600,0
AMN.US,60,20240429,160000,56.94,58.27,56.82,57.675,26573,0
AMN.US,60,20240429,170000,57.84,57.84,57.23,57.32,39169,0
AMN.US,60,20240429,180000,57.27,57.72,57.09,57.68,34902,0
AMN.US,60,20240429,190000,57.64,57.94,57.44,57.6397,24753,0
AMN.US,60,20240429,200000,57.665,58.29,57.64,58.29,25451,0
AMN.US,60,20240429,210000,58.26,58.68,58.14,58.65,26851,0
AMN.US,60,20240429,220000,58.62,59.57,58.48,59.48,244168,0
AMN.US,60,20240430,160000,59.22,60.14,58.9,59.89,36041,0
AMN.US,60,20240430,170000,59.7,60.32,59.64,60.275,41035,0
AMN.US,60,20240430,180000,60.285,60.285,59.88,60.02,31720,0
AMN.US,60,20240430,190000,60.01,60.33,59.84,60.33,224094,0
AMN.US,60,20240430,200000,60.285,60.285,59.6765,60.035,83134,0
AMN.US,60,20240430,210000,60,60.02,59.6,59.645,133166,0
AMN.US,60,20240430,220000,59.6457,60.24,59.305,59.98,321298,0
AMN.US,60,20240501,160000,59.9,60.4595,59.785,60.045,11066,0
AMN.US,60,20240501,170000,59.93,60.28,59.7,60.14,49148,0
AMN.US,60,20240501,180000,60.15,60.88,60.06,60.625,72016,0
AMN.US,60,20240501,190000,60.63,61.58,60.52,60.52,77982,0
AMN.US,60,20240501,200000,60.56,60.56,60.1,60.36,39836,0
AMN.US,60,20240501,210000,60.31,61.25,60.23,61.12,138479,0
AMN.US,60,20240501,220000,61.17,61.2,59.63,59.9,332835,0
AMN.US,60,20240502,160000,60,60.16,57.8,58.39,161714,0
AMN.US,60,20240502,170000,58.26,60.07,58.12,59.595,45604,0
AMN.US,60,20240502,180000,59.51,60.18,59.51,59.94,44428,0
AMN.US,60,20240502,190000,59.94,60,59.27,59.775,35598,0
AMN.US,60,20240502,200000,59.775,59.92,59.69,59.785,23993,0
AMN.US,60,20240502,210000,59.83,60.16,59.76,59.85,52255,0
AMN.US,60,20240502,220000,59.9,60.4,59.81,60.21,226498,0
AMN.US,60,20240506,160000,60.11,60.5,59.73,59.73,13579,0
AMN.US,60,20240506,170000,59.68,59.985,59.655,59.92,30398,0
AMN.US,60,20240506,180000,59.925,60.06,59.465,59.575,19377,0
AMN.US,60,20240506,190000,59.45,59.73,59.24,59.465,55135,0
AMN.US,60,20240506,200000,59.5,60.04,59.475,59.955,20180,0
AMN.US,60,20240506,210000,59.96,60.27,59.95,60.12,35810,0
AMN.US,60,20240506,220000,60.12,60.14,59.365,59.92,205191,0
AMN.US,60,20240507,160000,60.2,60.89,60.07,60.89,11102,0
AMN.US,60,20240507,170000,60.715,61.145,60.3413,60.98,23157,0
AMN.US,60,20240507,180000,60.89,61.96,60.71,61.68,208871,0
AMN.US,60,20240507,190000,61.63,62.41,61.53,61.75,57044,0
AMN.US,60,20240507,200000,61.6756,61.9399,61.51,61.64,16353,0
AMN.US,60,20240507,210000,61.585,61.89,61.23,61.44,44407,0
AMN.US,60,20240507,220000,61.44,61.52,60.19,60.21,292987,0
AMN.US,60,20240508,160000,60.41,60.55,60.125,60.175,18874,0
AMN.US,60,20240508,170000,60.205,60.64,59.665,60.26,40363,0
AMN.US,60,20240508,180000,60.21,60.46,60.14,60.3,40663,0
AMN.US,60,20240508,190000,60.22,61.21,60.18,60.47,66225,0
AMN.US,60,20240508,200000,60.5,60.65,60.28,60.34,19982,0
AMN.US,60,20240508,210000,60.38,61.07,60.36,61.015,49821,0
AMN.US,60,20240508,220000,61.015,61.49,60.17,60.29,321819,0
