<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANET.US,60,20240411,160000,72.6575,73.495,72.3325,73.235,340928,0
ANET.US,60,20240411,170000,73.215,73.29,72.5525,73.0925,285744,0
ANET.US,60,20240411,180000,73.1325,73.5825,73.125,73.4075,386000,0
ANET.US,60,20240411,190000,73.4675,73.625,73.3525,73.5125,217312,0
ANET.US,60,20240411,200000,73.5387,73.9425,73.465,73.9225,369564,0
ANET.US,60,20240411,210000,73.96,74.3875,73.8725,74.19,341172,0
ANET.US,60,20240411,220000,74.18,74.4175,74.1075,74.145,1589144,0
ANET.US,60,20240412,160000,70.0675,70.675,68.2925,69.2965,2600360,0
ANET.US,60,20240412,170000,69.3225,69.62,68.3825,68.7688,1798748,0
ANET.US,60,20240412,180000,68.7675,68.8787,68.0075,68.0612,2008500,0
ANET.US,60,20240412,190000,68.0375,68.28,67.26,67.2827,2659452,0
ANET.US,60,20240412,200000,67.2875,67.935,67.0825,67.65,1802332,0
ANET.US,60,20240412,210000,67.615,68.09,67.5935,67.7925,1124880,0
ANET.US,60,20240412,220000,67.79,68.215,67.7425,67.805,2997284,0
ANET.US,60,20240415,160000,68.825,69.2175,68.3375,68.5188,947360,0
ANET.US,60,20240415,170000,68.4912,68.78,67.7525,67.8625,1015484,0
ANET.US,60,20240415,180000,67.86,67.99,67.6,67.8812,615992,0
ANET.US,60,20240415,190000,67.8762,67.9625,67.455,67.58,340492,0
ANET.US,60,20240415,200000,67.575,67.5825,66.1025,66.395,1493072,0
ANET.US,60,20240415,210000,66.3988,66.4762,66.115,66.26,1375984,0
ANET.US,60,20240415,220000,66.2325,66.2375,65.475,65.8,5134212,0
ANET.US,60,20240416,160000,66,66.66,65.6675,66.645,637680,0
ANET.US,60,20240416,170000,66.62,66.8,65.505,65.585,992296,0
ANET.US,60,20240416,180000,65.63,66.1627,65.5,65.88,509924,0
ANET.US,60,20240416,190000,65.8538,66.23,65.625,66.1288,390472,0
ANET.US,60,20240416,200000,66.13,66.4162,65.6975,65.96,450216,0
ANET.US,60,20240416,210000,65.9712,66.4625,65.8025,66.2588,477048,0
ANET.US,60,20240416,220000,66.2819,66.32,65.66,65.69,2390456,0
ANET.US,60,20240417,160000,65.7175,66.16,65.5087,65.56,539480,0
ANET.US,60,20240417,170000,65.5612,65.6575,64.6675,64.92,1539960,0
ANET.US,60,20240417,180000,64.8625,65.1588,64.6725,64.8025,613140,0
ANET.US,60,20240417,190000,64.7675,64.78,64.255,64.5012,712224,0
ANET.US,60,20240417,200000,64.5012,65.1125,64.5012,65.0049,694320,0
ANET.US,60,20240417,210000,65.0062,65.185,64.5175,64.59,623732,0
ANET.US,60,20240417,220000,64.5625,65.0688,64.3825,64.8175,2199032,0
ANET.US,60,20240418,160000,64.4125,64.5425,63.1325,64.1233,571328,0
ANET.US,60,20240418,170000,64.1,65.015,63.75,64.685,671588,0
ANET.US,60,20240418,180000,64.6948,64.9,64.51,64.8562,846964,0
ANET.US,60,20240418,190000,64.8962,64.9012,64.359,64.3619,341524,0
ANET.US,60,20240418,200000,64.3875,64.4538,64.025,64.3125,392256,0
