<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANF.US,60,20240411,160000,114.7,116.68,113.86,116.514,62945,0
ANF.US,60,20240411,170000,116.33,116.39,114.6,115.5,72165,0
ANF.US,60,20240411,180000,115.5545,115.91,114.88,115.6,48414,0
ANF.US,60,20240411,190000,115.625,115.9,115.125,115.32,40616,0
ANF.US,60,20240411,200000,115.3,117.01,115.29,116.81,87685,0
ANF.US,60,20240411,210000,116.74,117.25,116.34,116.43,61031,0
ANF.US,60,20240411,220000,116.425,117.0545,116.16,116.47,261196,0
ANF.US,60,20240412,160000,114.98,115.8,114.08,114.08,37390,0
ANF.US,60,20240412,170000,114.08,114.08,112.73,113,86070,0
ANF.US,60,20240412,180000,113.075,113.9297,112.9162,113.465,47116,0
ANF.US,60,20240412,190000,113.4,113.42,112.26,112.755,49523,0
ANF.US,60,20240412,200000,112.68,113.35,112.2401,113.09,39395,0
ANF.US,60,20240412,210000,113.05,113.4375,111.9,112.38,77045,0
ANF.US,60,20240412,220000,112.34,112.34,111.33,111.83,311981,0
ANF.US,60,20240415,160000,113.1,114.85,112.97,114.2814,69560,0
ANF.US,60,20240415,170000,114.46,114.955,112.79,112.87,99709,0
ANF.US,60,20240415,180000,112.87,113.485,112.355,112.9,108101,0
ANF.US,60,20240415,190000,112.86,113.165,112.2,112.79,54199,0
ANF.US,60,20240415,200000,112.765,113.29,110.92,112.27,84265,0
ANF.US,60,20240415,210000,112.22,112.49,111.57,111.99,74843,0
ANF.US,60,20240415,220000,111.95,112.85,111.33,112.84,348980,0
ANF.US,60,20240416,160000,111.9,112.6999,109.6258,110.245,69079,0
ANF.US,60,20240416,170000,110.3,113.11,110.08,112.88,100378,0
ANF.US,60,20240416,180000,112.775,114.29,112.775,113.82,73784,0
ANF.US,60,20240416,190000,113.91,115.18,113.48,115.12,61322,0
ANF.US,60,20240416,200000,115.278,115.97,114.455,115.55,128086,0
ANF.US,60,20240416,210000,115.55,116.49,114.51,115.83,62263,0
ANF.US,60,20240416,220000,115.88,116.73,115.8,115.89,380786,0
ANF.US,60,20240417,160000,117.76,118.1458,115.17,115.48,57990,0
ANF.US,60,20240417,170000,115.35,115.35,112.47,113.48,111444,0
ANF.US,60,20240417,180000,113.5,113.93,112.65,113.3,49852,0
ANF.US,60,20240417,190000,113.17,113.295,111.4,111.92,121231,0
ANF.US,60,20240417,200000,111.815,113.7,111.73,113.59,35849,0
ANF.US,60,20240417,210000,113.542,115.105,113.542,113.92,53072,0
ANF.US,60,20240417,220000,113.97,114.22,113.01,113.48,291842,0
ANF.US,60,20240418,160000,113.96,113.9725,111.015,111.61,77052,0
ANF.US,60,20240418,170000,111.585,112.76,111.3,111.64,113823,0
ANF.US,60,20240418,180000,111.64,112.2,111.35,111.92,124399,0
