<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APAM.US,60,20240411,160000,44.93,44.93,44.48,44.61,21925,0
APAM.US,60,20240411,170000,44.545,44.585,43.95,43.98,25886,0
APAM.US,60,20240411,180000,43.99,44.545,43.93,44.5,10295,0
APAM.US,60,20240411,190000,44.55,44.55,44.31,44.35,5500,0
APAM.US,60,20240411,200000,44.36,44.7,44.36,44.455,15110,0
APAM.US,60,20240411,210000,44.44,44.55,43.91,43.98,42625,0
APAM.US,60,20240411,220000,43.99,44.23,43.94,44.06,137973,0
APAM.US,60,20240412,160000,43.78,43.91,43.65,43.67,8107,0
APAM.US,60,20240412,170000,43.6,43.64,43.11,43.32,15164,0
APAM.US,60,20240412,180000,43.3,43.42,43.27,43.38,14963,0
APAM.US,60,20240412,190000,43.36,43.43,43.13,43.21,8181,0
APAM.US,60,20240412,200000,43.2,43.38,43.09,43.3,14541,0
APAM.US,60,20240412,210000,43.26,43.395,43.11,43.18,11723,0
APAM.US,60,20240412,220000,43.17,43.52,43.15,43.5,146924,0
APAM.US,60,20240415,160000,43.73,44.085,43.63,43.64,5998,0
APAM.US,60,20240415,170000,43.64,43.64,43.01,43.04,8901,0
APAM.US,60,20240415,180000,43,43.265,42.84,43.265,13199,0
APAM.US,60,20240415,190000,43.265,43.375,42.92,43.02,10641,0
APAM.US,60,20240415,200000,42.99,42.99,42.62,42.82,25277,0
APAM.US,60,20240415,210000,42.83,42.83,42.64,42.72,7343,0
APAM.US,60,20240415,220000,42.7195,43.04,42.6,42.98,117667,0
APAM.US,60,20240416,160000,42.54,42.71,42.1,42.325,16750,0
APAM.US,60,20240416,170000,42.18,42.275,41.86,42.07,33386,0
APAM.US,60,20240416,180000,42.09,42.575,42.06,42.41,27484,0
APAM.US,60,20240416,190000,42.38,42.6,42.35,42.485,10650,0
APAM.US,60,20240416,200000,42.46,42.59,42.22,42.41,14308,0
APAM.US,60,20240416,210000,42.41,42.775,42.34,42.67,11710,0
APAM.US,60,20240416,220000,42.64,42.675,42.33,42.44,186607,0
APAM.US,60,20240417,160000,42.7,42.75,42.52,42.75,7937,0
APAM.US,60,20240417,170000,42.67,42.7,42.41,42.46,9062,0
APAM.US,60,20240417,180000,42.52,42.62,42.25,42.31,11443,0
APAM.US,60,20240417,190000,42.27,42.46,42.12,42.34,12186,0
APAM.US,60,20240417,200000,42.31,42.695,42.31,42.685,14254,0
APAM.US,60,20240417,210000,42.67,42.74,42.38,42.415,18123,0
APAM.US,60,20240417,220000,42.39,42.415,42.11,42.19,156348,0
APAM.US,60,20240418,160000,42.58,42.58,42.28,42.39,5519,0
APAM.US,60,20240418,170000,42.4625,42.75,42.285,42.68,8030,0
APAM.US,60,20240418,180000,42.62,42.8,42.585,42.725,13038,0
APAM.US,60,20240418,190000,42.73,42.84,42.54,42.54,17340,0
APAM.US,60,20240418,200000,42.56,42.61,42.34,42.51,16468,0
APAM.US,60,20240418,210000,42.48,42.49,42.19,42.21,13342,0
APAM.US,60,20240418,220000,42.27,42.34,42.09,42.16,183097,0
APAM.US,60,20240419,160000,42.1,42.72,42.1,42.72,14806,0
APAM.US,60,20240419,170000,42.685,42.81,42.47,42.75,15509,0
APAM.US,60,20240419,180000,42.725,42.86,42.63,42.71,14655,0
APAM.US,60,20240419,190000,42.715,42.75,42.52,42.69,22027,0
