<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APD.US,60,20240411,160000,236.5,236.5,235.025,235.745,54755,0
APD.US,60,20240411,170000,235.64,236.65,234.96,236.3,105848,0
APD.US,60,20240411,180000,236.3,237.44,235.97,237.29,140224,0
APD.US,60,20240411,190000,237.34,237.47,236.49,237.47,88027,0
APD.US,60,20240411,200000,237.465,238.12,237.26,237.59,99290,0
APD.US,60,20240411,210000,237.625,238.225,237.43,237.9775,98939,0
APD.US,60,20240411,220000,238.03,238.07,236.13,236.25,554407,0
APD.US,60,20240412,160000,234.32,235.37,233.77,234.07,64041,0
APD.US,60,20240412,170000,233.89,234.21,232.2401,233.27,92382,0
APD.US,60,20240412,180000,233.309,233.69,232.54,233.68,142673,0
APD.US,60,20240412,190000,233.63,233.675,231.17,231.33,85183,0
APD.US,60,20240412,200000,231.32,231.6,230.68,231.41,142890,0
APD.US,60,20240412,210000,231.41,232.15,231.0056,231.05,132482,0
APD.US,60,20240412,220000,231.025,232.23,230.825,231.53,366518,0
APD.US,60,20240415,160000,233.13,234.26,232.5,233.92,48453,0
APD.US,60,20240415,170000,233.75,234.1963,232.3001,232.82,104140,0
APD.US,60,20240415,180000,232.8,232.915,231.7028,232.805,120877,0
APD.US,60,20240415,190000,232.71,232.71,232.11,232.585,72147,0
APD.US,60,20240415,200000,232.565,232.64,231.135,231.425,112240,0
APD.US,60,20240415,210000,231.42,231.51,230.055,230.295,131954,0
APD.US,60,20240415,220000,230.32,231.44,229.66,231.16,293739,0
APD.US,60,20240416,160000,230.6,231.115,229,229.375,29084,0
APD.US,60,20240416,170000,229.37,231.02,228.7025,228.785,187702,0
APD.US,60,20240416,180000,228.85,230.36,228.68,230.28,351264,0
APD.US,60,20240416,190000,230.25,230.64,229.72,230.25,179681,0
APD.US,60,20240416,200000,230.275,230.6076,229.34,229.71,199521,0
APD.US,60,20240416,210000,229.64,230.5599,228.54,229.96,191420,0
APD.US,60,20240416,220000,230.03,230.08,227.53,227.76,664674,0
APD.US,60,20240417,160000,229.17,229.96,228.5998,229.755,43262,0
APD.US,60,20240417,170000,229.9325,230.15,228.36,228.72,89978,0
APD.US,60,20240417,180000,228.78,229.25,227.76,229.16,147928,0
APD.US,60,20240417,190000,229.1,229.31,228.26,228.895,97309,0
APD.US,60,20240417,200000,228.88,229.49,228.6,229.04,72621,0
APD.US,60,20240417,210000,229.03,230.09,228.98,229.64,141440,0
APD.US,60,20240417,220000,229.645,229.645,228.67,229.01,393089,0
APD.US,60,20240418,160000,230.92,230.92,228.48,229.34,41889,0
APD.US,60,20240418,170000,229.345,230.54,229.175,229.935,78969,0
APD.US,60,20240418,180000,229.935,231.22,229.93,230.98,122825,0
APD.US,60,20240418,190000,230.98,231.31,230.83,231.015,100790,0
APD.US,60,20240418,200000,231.0196,232.23,230.88,232.23,34052,0
APD.US,60,20240418,210000,232.24,233.01,231.76,232.49,127373,0
APD.US,60,20240418,220000,232.5,233.53,232.14,233.025,291955,0
APD.US,60,20240419,160000,233.07,234.85,233.05,234.6,84491,0
APD.US,60,20240419,170000,234.675,235.56,234.6,235.28,76601,0
APD.US,60,20240419,180000,235.21,235.72,233.45,233.54,256643,0
APD.US,60,20240419,190000,233.5032,233.82,231.13,233.34,154154,0
APD.US,60,20240419,200000,233.22,233.77,232.9279,233.595,127572,0
APD.US,60,20240419,210000,233.6881,233.6881,231.6644,232.05,61410,0
APD.US,60,20240419,220000,232.045,232.21,230.9,231.67,196172,0
