<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APTV.US,60,20240411,160000,75.2,75.2,74.61,74.75,64163,0
APTV.US,60,20240411,170000,74.74,74.74,74.22,74.35,89362,0
APTV.US,60,20240411,180000,74.33,74.855,73.85,74.82,146030,0
APTV.US,60,20240411,190000,74.815,75.5,74.8,75.305,126577,0
APTV.US,60,20240411,200000,75.32,75.7,75.31,75.595,93451,0
APTV.US,60,20240411,210000,75.59,75.97,75.59,75.71,64413,0
APTV.US,60,20240411,220000,75.73,75.95,75.62,75.77,405222,0
APTV.US,60,20240412,160000,75.1,75.135,74.02,74.155,61748,0
APTV.US,60,20240412,170000,74.18,74.47,73.71,74.32,209513,0
APTV.US,60,20240412,180000,74.325,74.44,73.905,73.98,130903,0
APTV.US,60,20240412,190000,74,74.095,73.69,73.79,87208,0
APTV.US,60,20240412,200000,73.79,73.8,73.39,73.66,94865,0
APTV.US,60,20240412,210000,73.63,73.99,73.59,73.92,105102,0
APTV.US,60,20240412,220000,73.91,74.2,73.63,74.19,588505,0
APTV.US,60,20240415,160000,74.45,74.89,74.04,74.38,96853,0
APTV.US,60,20240415,170000,74.4,74.405,73.03,73.39,129838,0
APTV.US,60,20240415,180000,73.39,73.81,73.19,73.77,142264,0
APTV.US,60,20240415,190000,73.745,73.89,73.55,73.62,140095,0
APTV.US,60,20240415,200000,73.62,73.7,72.97,73.33,156881,0
APTV.US,60,20240415,210000,73.31,73.32,72.67,72.74,184443,0
APTV.US,60,20240415,220000,72.71,73.22,72.62,73.01,529184,0
APTV.US,60,20240416,160000,72.1,72.78,71.63,71.94,57844,0
APTV.US,60,20240416,170000,71.94,72.78,71.94,72.15,166411,0
APTV.US,60,20240416,180000,72.16,72.75,72.106,72.58,126840,0
APTV.US,60,20240416,190000,72.57,72.625,72.32,72.33,147819,0
APTV.US,60,20240416,200000,72.35,72.505,71.6,72.11,136471,0
APTV.US,60,20240416,210000,72.07,72.49,71.72,72.35,108037,0
APTV.US,60,20240416,220000,72.355,72.355,71.8,71.94,538164,0
APTV.US,60,20240417,160000,71.15,71.885,70.69,71.03,185735,0
APTV.US,60,20240417,170000,71.04,71.06,70.54,70.58,287492,0
APTV.US,60,20240417,180000,70.585,70.77,69.93,70.515,310512,0
APTV.US,60,20240417,190000,70.51,70.51,69.855,70.14,407011,0
APTV.US,60,20240417,200000,70.15,70.64,70.07,70.16,218395,0
APTV.US,60,20240417,210000,70.13,70.31,69.835,69.91,313551,0
APTV.US,60,20240417,220000,69.865,69.93,69.3,69.35,1091259,0
APTV.US,60,20240418,160000,70.06,70.06,68.84,69.625,112008,0
APTV.US,60,20240418,170000,69.59,70.13,69.32,69.91,128022,0
APTV.US,60,20240418,180000,69.96,70.05,69.67,69.77,123195,0
APTV.US,60,20240418,190000,69.78,70.025,69.7,69.74,98265,0
APTV.US,60,20240418,200000,69.745,69.79,69.32,69.41,111626,0
APTV.US,60,20240418,210000,69.38,69.445,69.08,69.13,95672,0
APTV.US,60,20240418,220000,69.115,69.45,69.08,69.32,545698,0
APTV.US,60,20240419,160000,68.92,69.85,68.92,69.74,194974,0
APTV.US,60,20240419,170000,69.8,69.99,69.29,69.54,139608,0
APTV.US,60,20240419,180000,69.52,69.69,69.3,69.42,129488,0
APTV.US,60,20240419,190000,69.425,69.675,69.19,69.53,74661,0
APTV.US,60,20240419,200000,69.55,69.765,69.4241,69.73,91976,0
APTV.US,60,20240419,210000,69.72,69.73,69.215,69.3804,85324,0
APTV.US,60,20240419,220000,69.395,69.815,69.34,69.61,258941,0
APTV.US,60,20240422,160000,70.27,70.27,69.225,70.01,91427,0
APTV.US,60,20240422,170000,70.05,70.45,69.845,69.845,117698,0
APTV.US,60,20240422,180000,69.8,69.855,69.55,69.74,86766,0
APTV.US,60,20240422,190000,69.74,70.125,69.63,69.7,238202,0
APTV.US,60,20240422,200000,69.7,70.28,69.555,70.115,181537,0
APTV.US,60,20240422,210000,70.11,70.45,70.03,70.38,101112,0
APTV.US,60,20240422,220000,70.37,70.43,69.97,70.1,609217,0
APTV.US,60,20240423,160000,70.12,70.89,69.69,70.79,108943,0
APTV.US,60,20240423,170000,70.79,70.95,70.52,70.54,126167,0
APTV.US,60,20240423,180000,70.55,70.97,70.23,70.615,115023,0
APTV.US,60,20240423,190000,70.61,70.82,70.56,70.73,72675,0
APTV.US,60,20240423,200000,70.71,70.84,70.55,70.55,82536,0
APTV.US,60,20240423,210000,70.55,70.73,70.42,70.54,163770,0
APTV.US,60,20240423,220000,70.54,70.59,70.22,70.25,509306,0
APTV.US,60,20240424,160000,70.45,72.33,70.19,71.475,213266,0
APTV.US,60,20240424,170000,71.53,71.92,70.983,71.05,167467,0
APTV.US,60,20240424,180000,71.04,71.27,70.83,71.04,91937,0
APTV.US,60,20240424,190000,71.06,71.15,70.68,70.82,92248,0
APTV.US,60,20240424,200000,70.8,71.3,70.76,71.285,89162,0
APTV.US,60,20240424,210000,71.27,71.285,71.01,71.19,111541,0
APTV.US,60,20240424,220000,71.18,71.44,70.93,71.4,469305,0
APTV.US,60,20240425,160000,70.52,70.895,69.63,69.71,72282,0
APTV.US,60,20240425,170000,69.71,70.3,69.18,69.215,128220,0
APTV.US,60,20240425,180000,69.2,69.45,68.93,69.21,170296,0
APTV.US,60,20240425,190000,69.19,69.58,69.08,69.48,90809,0
APTV.US,60,20240425,200000,69.44,69.8,69.21,69.79,62742,0
APTV.US,60,20240425,210000,69.78,69.965,69.63,69.93,102890,0
APTV.US,60,20240425,220000,69.95,70.46,69.95,70.13,514966,0
APTV.US,60,20240426,160000,70.02,71.39,69.85,71.255,198095,0
APTV.US,60,20240426,170000,71.255,71.6,70.92,71.46,219115,0
APTV.US,60,20240426,180000,71.48,71.54,70.965,71.26,176705,0
APTV.US,60,20240426,190000,71.25,71.75,71.14,71.6515,110728,0
APTV.US,60,20240426,200000,71.675,71.79,71.45,71.45,165266,0
APTV.US,60,20240426,210000,71.44,71.6953,71.4,71.58,113287,0
APTV.US,60,20240426,220000,71.585,71.75,71.16,71.21,532186,0
APTV.US,60,20240429,160000,71.9,72.7263,71.77,71.9,100416,0
APTV.US,60,20240429,170000,71.87,72.68,71.87,72.34,196989,0
APTV.US,60,20240429,180000,72.31,72.41,72.07,72.315,229839,0
APTV.US,60,20240429,190000,72.3,72.3,71.96,72.03,141213,0
APTV.US,60,20240429,200000,72.02,72.37,71.965,72.21,101967,0
APTV.US,60,20240429,210000,72.2,72.23,71.85,72.23,185120,0
APTV.US,60,20240429,220000,72.235,72.57,71.9,72.41,1288024,0
APTV.US,60,20240430,160000,70.81,71.48,70.4111,70.64,152143,0
APTV.US,60,20240430,170000,70.64,71.24,70.61,71.055,154917,0
APTV.US,60,20240430,180000,71.05,71.32,70.63,70.995,291127,0
APTV.US,60,20240430,190000,71.01,71.3,70.76,70.99,136999,0
APTV.US,60,20240430,200000,70.975,71.2,70.85,70.9,91190,0
APTV.US,60,20240430,210000,70.93,70.97,70.58,70.66,168068,0
APTV.US,60,20240430,220000,70.66,71.05,70.59,71,1080299,0
APTV.US,60,20240501,160000,70.81,71.51,70.56,71.36,62059,0
APTV.US,60,20240501,170000,71.41,71.48,70.14,70.32,256086,0
APTV.US,60,20240501,180000,70.3,70.35,69.62,69.76,309886,0
APTV.US,60,20240501,190000,69.75,70.16,69.74,69.92,267371,0
APTV.US,60,20240501,200000,69.94,70.18,69.7,69.81,243387,0
APTV.US,60,20240501,210000,69.8,71.08,69.59,71,353664,0
APTV.US,60,20240501,220000,71,71.32,69.74,69.75,1189926,0
APTV.US,60,20240502,160000,75,77.92,74.9601,75.605,853771,0
APTV.US,60,20240502,170000,75.605,78.31,73.97,77.89,1022001,0
APTV.US,60,20240502,180000,77.915,78.69,77.67,78,828674,0
APTV.US,60,20240502,190000,77.9,78.31,77.67,77.96,308297,0
APTV.US,60,20240502,200000,78.01,78.74,78.01,78.3,399923,0
APTV.US,60,20240502,210000,78.27,78.48,77.78,78.41,293505,0
APTV.US,60,20240502,220000,78.41,78.42,77.42,77.79,1714220,0
APTV.US,60,20240506,160000,81.99,83.05,81.12,82.96,253230,0
APTV.US,60,20240506,170000,82.98,84.21,82.63,84.07,478999,0
APTV.US,60,20240506,180000,84.12,84.7,83.62,84.58,473746,0
APTV.US,60,20240506,190000,84.56,85.13,84.33,84.9,324901,0
APTV.US,60,20240506,200000,84.905,85.5,84.905,85.19,277699,0
APTV.US,60,20240506,210000,85.17,85.3,84.63,84.66,288873,0
APTV.US,60,20240506,220000,84.66,84.68,84.29,84.4,1118942,0
APTV.US,60,20240507,160000,84.57,85.45,84.52,84.92,110293,0
APTV.US,60,20240507,170000,85.01,85.56,83.945,84.06,299444,0
APTV.US,60,20240507,180000,84.06,84.47,83.645,83.865,162029,0
APTV.US,60,20240507,190000,83.86,83.98,83.44,83.69,91115,0
APTV.US,60,20240507,200000,83.69,83.81,83.37,83.45,83875,0
APTV.US,60,20240507,210000,83.4443,83.69,83.08,83.26,124705,0
APTV.US,60,20240507,220000,83.255,83.345,82.84,83,722597,0
APTV.US,60,20240508,160000,81.63,83.09,81.6,82.93,84906,0
APTV.US,60,20240508,170000,82.925,83.03,82.5,82.83,94832,0
APTV.US,60,20240508,180000,82.835,83.1,82.69,82.83,69658,0
APTV.US,60,20240508,190000,82.82,82.83,82.26,82.57,103639,0
APTV.US,60,20240508,200000,82.56,82.85,82.47,82.7866,108912,0
APTV.US,60,20240508,210000,82.785,83.08,82.65,82.65,96214,0
APTV.US,60,20240508,220000,82.63,83.44,82.57,83.2,648739,0
APTV.US,60,20240509,160000,83.59,83.98,83.35,83.795,54912,0
APTV.US,60,20240509,170000,83.795,84.54,83.65,83.84,220746,0
APTV.US,60,20240509,180000,83.855,84.07,83.62,83.72,65862,0
APTV.US,60,20240509,190000,83.725,83.865,83.43,83.48,55689,0
APTV.US,60,20240509,200000,83.4883,83.61,83.315,83.37,64508,0
APTV.US,60,20240509,210000,83.37,83.99,83.35,83.92,106735,0
APTV.US,60,20240509,220000,83.92,84.08,83.52,83.69,649054,0
APTV.US,60,20240510,160000,83.7,84.74,83.68,84.04,98807,0
APTV.US,60,20240510,170000,83.93,84.12,83.06,83.225,148036,0
APTV.US,60,20240510,180000,83.18,83.195,82.65,82.93,131416,0
APTV.US,60,20240510,190000,82.9,82.91,82.52,82.64,68378,0
APTV.US,60,20240510,200000,82.61,82.66,82.35,82.64,88242,0
APTV.US,60,20240510,210000,82.64,82.87,82.53,82.74,108944,0
APTV.US,60,20240510,220000,82.74,82.94,82.4,82.78,391268,0
APTV.US,60,20240513,160000,83.21,84.15,83.09,84.15,86189,0
APTV.US,60,20240513,170000,84.16,84.2049,83.18,83.24,128859,0
APTV.US,60,20240513,180000,83.26,83.53,83.04,83.075,104900,0
APTV.US,60,20240513,190000,83.06,83.09,82.82,82.83,75468,0
APTV.US,60,20240513,200000,82.83,83.14,82.645,82.98,95477,0
APTV.US,60,20240513,210000,83,83.175,82.77,82.77,161429,0
APTV.US,60,20240513,220000,82.77,83.012,82.58,82.74,524425,0
APTV.US,60,20240514,160000,83.885,84.385,83.41,83.64,33967,0
APTV.US,60,20240514,170000,83.63,83.67,82.715,83.145,127229,0
APTV.US,60,20240514,180000,83.18,83.44,83.06,83.16,146954,0
APTV.US,60,20240514,190000,83.135,83.27,82.78,82.84,82877,0
APTV.US,60,20240514,200000,82.85,82.87,82.71,82.825,52602,0
APTV.US,60,20240514,210000,82.805,82.88,82.56,82.74,83314,0
APTV.US,60,20240514,220000,82.75,83.07,82.63,82.84,425895,0
APTV.US,60,20240515,160000,83.68,83.8815,81.6798,81.71,82296,0
APTV.US,60,20240515,170000,81.7,81.8,81.315,81.41,165785,0
APTV.US,60,20240515,180000,81.41,82.03,81.21,81.995,153989,0
APTV.US,60,20240515,190000,81.99,82.08,81.85,82.08,89730,0
