<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASGN.US,60,20240411,160000,96.48,96.92,96.48,96.88,4387,0
ASGN.US,60,20240411,170000,96.9,97.12,96.502,96.98,11276,0
ASGN.US,60,20240411,180000,96.88,97.49,96.67,97.38,8390,0
ASGN.US,60,20240411,190000,97.43,97.455,96.97,97.08,8174,0
ASGN.US,60,20240411,200000,97.08,97.66,97.02,97.5167,6973,0
ASGN.US,60,20240411,210000,97.66,97.74,97.47,97.54,10334,0
ASGN.US,60,20240411,220000,97.56,97.59,96.46,96.5,230202,0
ASGN.US,60,20240412,160000,95.75,96.64,95.75,96.21,3028,0
ASGN.US,60,20240412,170000,96.2,96.21,95.43,95.94,8768,0
ASGN.US,60,20240412,180000,95.96,96.2914,95.83,96.21,7332,0
ASGN.US,60,20240412,190000,96.2,96.22,95.64,95.82,6324,0
ASGN.US,60,20240412,200000,95.75,95.86,95.305,95.34,8897,0
ASGN.US,60,20240412,210000,95.32,95.69,95.17,95.65,11196,0
ASGN.US,60,20240412,220000,95.52,95.56,95.19,95.45,103547,0
ASGN.US,60,20240415,160000,96.06,96.66,95.95,95.95,2607,0
ASGN.US,60,20240415,170000,95.78,95.88,94.9,95.0059,7567,0
ASGN.US,60,20240415,180000,94.965,95.33,94.915,95.33,4696,0
ASGN.US,60,20240415,190000,95.33,95.5,94.98,95.01,4050,0
ASGN.US,60,20240415,200000,95.035,95.035,94.47,94.715,10044,0
ASGN.US,60,20240415,210000,94.73,95.05,94.5,95,37000,0
ASGN.US,60,20240415,220000,95.08,95.11,94.44,94.82,72237,0
ASGN.US,60,20240416,160000,94.1,94.66,93.87,94.44,5691,0
ASGN.US,60,20240416,170000,94.37,94.44,93.62,94.17,45730,0
ASGN.US,60,20240416,180000,94.17,94.55,94.09,94.32,15285,0
ASGN.US,60,20240416,190000,94.245,94.375,94.1,94.34,23464,0
ASGN.US,60,20240416,200000,94.25,94.57,93.87,94.455,28871,0
ASGN.US,60,20240416,210000,94.41,94.79,94.15,94.445,10336,0
ASGN.US,60,20240416,220000,94.445,94.93,94.34,94.82,81621,0
ASGN.US,60,20240417,160000,95.34,95.89,95.32,95.72,6458,0
ASGN.US,60,20240417,170000,95.66,95.66,94.82,95.19,20345,0
ASGN.US,60,20240417,180000,95.37,95.44,94.87,94.95,21695,0
ASGN.US,60,20240417,190000,94.94,94.98,94.49,94.59,14695,0
ASGN.US,60,20240417,200000,94.65,95.43,94.65,95.3,11104,0
ASGN.US,60,20240417,210000,95.265,95.39,94.75,94.86,8189,0
ASGN.US,60,20240417,220000,94.79,95.06,94.66,94.73,116423,0
ASGN.US,60,20240418,160000,95.22,96.8,94.72,96.8,12951,0
ASGN.US,60,20240418,170000,96.48,96.945,95.8382,96.945,11368,0
ASGN.US,60,20240418,180000,96.91,96.93,96.52,96.73,9148,0
ASGN.US,60,20240418,190000,96.8,96.9,96.065,96.09,24338,0
ASGN.US,60,20240418,200000,96.08,96.08,95.43,95.67,17896,0
ASGN.US,60,20240418,210000,95.62,95.62,95,95.13,6700,0
ASGN.US,60,20240418,220000,95.08,95.7,95.015,95.55,93985,0
ASGN.US,60,20240419,160000,95.63,97.405,95.63,97.405,12947,0
ASGN.US,60,20240419,170000,97.41,97.565,96.64,97.16,12693,0
ASGN.US,60,20240419,180000,97.125,97.35,96.92,97.1,20238,0
ASGN.US,60,20240419,190000,97.13,97.5,96.74,97.36,14710,0
ASGN.US,60,20240419,200000,97.35,97.8,97.13,97.52,14164,0
ASGN.US,60,20240419,210000,97.48,97.52,96.9,97.19,17999,0
ASGN.US,60,20240419,220000,97.225,97.87,97.13,97.71,75708,0
ASGN.US,60,20240422,160000,98.36,99.35,98.23,99.35,4660,0
ASGN.US,60,20240422,170000,99.02,100.02,98.78,98.98,21133,0
ASGN.US,60,20240422,180000,98.92,99.56,98.91,99.5,14655,0
ASGN.US,60,20240422,190000,99.53,100.04,99.515,99.72,12527,0
ASGN.US,60,20240422,200000,99.73,100.26,99.56,100.22,20905,0
ASGN.US,60,20240422,210000,100.21,100.44,100.05,100.135,15409,0
ASGN.US,60,20240422,220000,100.09,100.33,99.581,99.62,80184,0
ASGN.US,60,20240423,160000,99.61,100.8,98.93,100.78,6746,0
ASGN.US,60,20240423,170000,100.57,101.18,100.39,101.14,24541,0
ASGN.US,60,20240423,180000,101.185,101.27,100.755,100.935,20995,0
ASGN.US,60,20240423,190000,100.85,101.035,100.65,100.77,16957,0
ASGN.US,60,20240423,200000,100.7608,101.04,100.66,101,12429,0
ASGN.US,60,20240423,210000,100.98,101.19,100.73,100.86,15966,0
ASGN.US,60,20240423,220000,100.86,101.02,100.6189,100.78,76377,0
ASGN.US,60,20240424,160000,100.19,101.49,99.5917,101.19,13300,0
ASGN.US,60,20240424,170000,101.135,101.205,100.31,100.48,17844,0
ASGN.US,60,20240424,180000,100.45,100.79,100.25,100.46,8995,0
ASGN.US,60,20240424,190000,100.62,100.77,100.245,100.58,8310,0
ASGN.US,60,20240424,200000,100.5,101.12,100.49,101.02,9430,0
ASGN.US,60,20240424,210000,101.07,101.6,101.02,101.295,36896,0
ASGN.US,60,20240424,220000,101.26,102.41,101,102.11,162155,0
ASGN.US,60,20240425,160000,99.96,101.98,97.08,100.41,41649,0
ASGN.US,60,20240425,170000,100.23,101.66,99.71,100.96,40675,0
ASGN.US,60,20240425,180000,101.14,101.25,100.05,100.56,24219,0
ASGN.US,60,20240425,190000,100.47,100.47,99.34,99.9,18686,0
ASGN.US,60,20240425,200000,99.72,100.18,98.86,100,22117,0
ASGN.US,60,20240425,210000,99.85,100,98.35,98.77,19519,0
ASGN.US,60,20240425,220000,98.765,99,98.085,98.72,146996,0
ASGN.US,60,20240426,160000,98.57,99.98,97.93,98.05,18180,0
ASGN.US,60,20240426,170000,98.05,98.42,97.61,98.22,44488,0
ASGN.US,60,20240426,180000,98.2,98.56,97.91,98.56,37951,0
ASGN.US,60,20240426,190000,98.55,98.675,98.05,98.19,20915,0
ASGN.US,60,20240426,200000,98.25,98.83,98.15,98.72,14967,0
ASGN.US,60,20240426,210000,98.705,98.71,98.17,98.17,12162,0
ASGN.US,60,20240426,220000,98.12,98.26,97.27,97.51,127386,0
ASGN.US,60,20240429,160000,97.68,99.55,97.68,98.62,16667,0
ASGN.US,60,20240429,170000,98.88,99.9,98.77,99.56,17972,0
ASGN.US,60,20240429,180000,99.49,99.78,99.01,99.26,8238,0
ASGN.US,60,20240429,190000,99.4,99.67,99.16,99.67,12655,0
ASGN.US,60,20240429,200000,99.59,99.86,99.35,99.53,15806,0
ASGN.US,60,20240429,210000,99.4,99.405,99.1,99.29,12798,0
ASGN.US,60,20240429,220000,99.25,99.36,98.56,98.68,153190,0
ASGN.US,60,20240430,160000,98.2,99.03,97.7865,98.055,7589,0
ASGN.US,60,20240430,170000,97.975,97.98,97.235,97.3,19052,0
