<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASH.US,60,20240411,160000,96.29,97.075,95.7,95.765,13038,0
ASH.US,60,20240411,170000,95.69,96.36,95.475,96.235,14942,0
ASH.US,60,20240411,180000,96.16,96.405,96,96.23,22554,0
ASH.US,60,20240411,190000,96.23,96.26,95.8,95.84,20003,0
ASH.US,60,20240411,200000,95.85,96.2239,95.8,96.12,14435,0
ASH.US,60,20240411,210000,96.1,96.33,96.04,96.28,12584,0
ASH.US,60,20240411,220000,96.29,96.41,96.1,96.16,141056,0
ASH.US,60,20240412,160000,95.56,95.76,95.54,95.68,11344,0
ASH.US,60,20240412,170000,95.63,95.63,94.63,94.93,30710,0
ASH.US,60,20240412,180000,94.99,95.31,94.88,95.285,9713,0
ASH.US,60,20240412,190000,95.255,95.46,94.9,95.13,24319,0
ASH.US,60,20240412,200000,95.07,95.36,94.85,94.92,22395,0
ASH.US,60,20240412,210000,94.93,95.03,94.5666,94.91,16095,0
ASH.US,60,20240412,220000,94.855,95.36,94.62,95.23,140556,0
ASH.US,60,20240415,160000,95.99,95.99,95.39,95.575,6785,0
ASH.US,60,20240415,170000,95.33,95.33,94.35,94.56,15788,0
ASH.US,60,20240415,180000,94.5075,94.515,93.99,94.42,12025,0
ASH.US,60,20240415,190000,94.42,94.77,93.85,94.05,18716,0
ASH.US,60,20240415,200000,93.96,93.96,93.2,93.5728,14274,0
ASH.US,60,20240415,210000,93.62,93.64,93.12,93.51,25497,0
ASH.US,60,20240415,220000,93.43,93.6,93.01,93.57,125960,0
ASH.US,60,20240416,160000,93.2,93.37,92.69,92.8177,4807,0
ASH.US,60,20240416,170000,92.9,93.68,92.9,93.44,8798,0
ASH.US,60,20240416,180000,93.45,93.98,93.45,93.92,8725,0
ASH.US,60,20240416,190000,93.84,94.2,93.75,94.15,7651,0
ASH.US,60,20240416,200000,94.05,94.09,93.46,93.585,9473,0
ASH.US,60,20240416,210000,93.52,93.94,93.39,93.86,8801,0
ASH.US,60,20240416,220000,93.81,94.22,93.68,93.94,110279,0
ASH.US,60,20240417,160000,94.51,94.67,94.51,94.67,908,0
ASH.US,60,20240417,170000,94.54,94.6227,94,94.115,6953,0
ASH.US,60,20240417,180000,93.91,93.95,93.68,93.83,5796,0
ASH.US,60,20240417,190000,93.76,93.865,93.58,93.76,4103,0
ASH.US,60,20240417,200000,93.78,94.345,93.72,94.345,8415,0
ASH.US,60,20240417,210000,94.26,94.45,93.98,94.15,9545,0
ASH.US,60,20240417,220000,94.01,94.219,93.85,93.89,173139,0
ASH.US,60,20240418,160000,94.49,94.49,93.81,94.07,2249,0
ASH.US,60,20240418,170000,94.215,94.82,94.15,94.78,5947,0
ASH.US,60,20240418,180000,94.7,95.21,94.6,95.15,6540,0
ASH.US,60,20240418,190000,95.21,95.48,95.14,95.28,37909,0
ASH.US,60,20240418,200000,95.3,95.44,94.91,95.125,49879,0
ASH.US,60,20240418,210000,95.115,95.29,94.6,94.845,54590,0
ASH.US,60,20240418,220000,94.88,95.55,94.84,95.49,161820,0
ASH.US,60,20240419,160000,95.17,95.4899,94.92,95.035,3701,0
ASH.US,60,20240419,170000,95.035,95.75,94.76,95.6,21924,0
ASH.US,60,20240419,180000,95.56,95.73,95.39,95.64,15569,0
ASH.US,60,20240419,190000,95.66,96.09,95.36,96.09,22418,0
ASH.US,60,20240419,200000,96.065,96.19,95.92,96.03,13967,0
ASH.US,60,20240419,210000,95.97,96.09,95.64,95.765,17970,0
ASH.US,60,20240419,220000,95.745,96.115,95.665,95.98,70266,0
ASH.US,60,20240422,160000,95.95,96.2,95.28,96.2,6194,0
ASH.US,60,20240422,170000,96.28,96.55,95.945,96.04,18946,0
ASH.US,60,20240422,180000,96.05,96.19,95.955,96.15,11723,0
ASH.US,60,20240422,190000,96.15,96.56,96.15,96.56,13147,0
ASH.US,60,20240422,200000,96.51,96.685,96.3,96.665,13552,0
ASH.US,60,20240422,210000,96.66,96.73,96.36,96.42,11737,0
ASH.US,60,20240422,220000,96.48,96.51,95.42,95.67,206722,0
ASH.US,60,20240423,160000,95.28,95.875,95.01,95.875,3911,0
ASH.US,60,20240423,170000,95.88,96.61,95.88,96.61,15395,0
ASH.US,60,20240423,180000,96.585,97.08,96.495,96.88,15189,0
ASH.US,60,20240423,190000,96.87,97.085,96.79,97.025,14763,0
ASH.US,60,20240423,200000,96.99,97.125,96.65,96.67,20977,0
ASH.US,60,20240423,210000,96.65,96.855,96.57,96.685,10719,0
ASH.US,60,20240423,220000,96.69,96.69,96.08,96.24,112133,0
ASH.US,60,20240424,160000,96.05,96.35,95.845,96.02,2466,0
ASH.US,60,20240424,170000,96.075,96.075,95.53,95.69,5558,0
ASH.US,60,20240424,180000,95.65,95.65,94.99,95.04,5684,0
ASH.US,60,20240424,190000,95.005,95.32,94.975,95.27,6387,0
ASH.US,60,20240424,200000,95.28,95.72,95.28,95.72,4590,0
ASH.US,60,20240424,210000,95.67,95.76,95.425,95.6,9568,0
ASH.US,60,20240424,220000,95.61,96.16,95.55,96.03,149123,0
ASH.US,60,20240425,160000,95.78,95.78,94.965,94.965,2510,0
ASH.US,60,20240425,170000,95.05,95.09,94.545,94.61,6435,0
ASH.US,60,20240425,180000,94.52,94.86,94.485,94.67,20577,0
ASH.US,60,20240425,190000,94.58,94.815,94.41,94.73,8424,0
ASH.US,60,20240425,200000,94.695,95.19,94.69,95.18,8874,0
ASH.US,60,20240425,210000,95.195,95.24,94.82,95.08,14008,0
ASH.US,60,20240425,220000,95.06,95.29,94.96,95.2,83985,0
ASH.US,60,20240426,160000,95.63,96.145,95.63,96.08,3914,0
ASH.US,60,20240426,170000,96.005,96.68,95.84,96.33,13717,0
ASH.US,60,20240426,180000,96.39,96.51,95.97,96.51,19422,0
ASH.US,60,20240426,190000,96.475,96.865,96.415,96.415,12109,0
ASH.US,60,20240426,200000,96.3,96.52,96.185,96.41,12595,0
ASH.US,60,20240426,210000,96.45,96.56,96.33,96.52,10881,0
ASH.US,60,20240426,220000,96.56,96.66,96.01,96.06,81465,0
ASH.US,60,20240429,160000,96.48,97.72,96.48,97.72,6505,0
ASH.US,60,20240429,170000,97.885,97.885,96.85,96.94,13822,0
ASH.US,60,20240429,180000,96.94,97.24,96.88,97.17,8685,0
ASH.US,60,20240429,190000,97.2,97.285,97.045,97.065,11778,0
ASH.US,60,20240429,200000,97.06,97.38,97.06,97.195,12419,0
ASH.US,60,20240429,210000,97.11,97.35,96.96,96.96,26747,0
ASH.US,60,20240429,220000,96.93,97.19,96.735,97.02,147615,0
ASH.US,60,20240430,160000,96.02,96.62,95.5497,96.45,10553,0
ASH.US,60,20240430,170000,96.57,96.92,96.32,96.715,12659,0
ASH.US,60,20240430,180000,96.69,96.69,96.28,96.46,14074,0
ASH.US,60,20240430,190000,96.4,96.47,96.21,96.41,15087,0
ASH.US,60,20240430,200000,96.4,96.51,96.26,96.31,9429,0
ASH.US,60,20240430,210000,96.305,96.42,95.95,96.07,15350,0
ASH.US,60,20240430,220000,96.12,96.18,95.33,95.33,156260,0
ASH.US,60,20240501,160000,97.22,99.55,96.225,96.77,37695,0
ASH.US,60,20240501,170000,96.95,97.1,92.58,93.05,65135,0
ASH.US,60,20240501,180000,92.91,92.94,91.55,91.55,104007,0
ASH.US,60,20240501,190000,91.495,93.57,90.69,93.36,43121,0
ASH.US,60,20240501,200000,93.24,93.41,92.36,92.445,49479,0
ASH.US,60,20240501,210000,92.455,95.03,92.13,94.94,63211,0
ASH.US,60,20240501,220000,95.04,95.105,93.89,94.5,211419,0
ASH.US,60,20240502,160000,96.64,98.59,94.35,94.35,12148,0
ASH.US,60,20240502,170000,93.84,94.9,93.58,94.875,20809,0
ASH.US,60,20240502,180000,94.82,95.45,94.76,95.26,13676,0
ASH.US,60,20240502,190000,95.4,95.49,95.075,95.49,14303,0
ASH.US,60,20240502,200000,95.51,95.635,94.93,95.35,16533,0
ASH.US,60,20240502,210000,95.37,96.22,95.37,95.86,27566,0
ASH.US,60,20240502,220000,95.84,95.85,95.39,95.79,107134,0
ASH.US,60,20240506,160000,96.6,96.83,96.5,96.83,2170,0
ASH.US,60,20240506,170000,96.76,96.8962,96.66,96.71,2698,0
