<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AWK.US,60,20240411,160000,119.22,119.6,117.63,117.91,72665,0
AWK.US,60,20240411,170000,117.78,118.29,117.36,117.405,145144,0
AWK.US,60,20240411,180000,117.29,117.83,116.9,117.65,216109,0
AWK.US,60,20240411,190000,117.62,117.96,117.5,117.84,138013,0
AWK.US,60,20240411,200000,117.87,118.22,117.62,118.11,55545,0
AWK.US,60,20240411,210000,118.11,118.3236,117.82,117.8375,53457,0
AWK.US,60,20240411,220000,117.81,118.34,117.7,117.82,594930,0
AWK.US,60,20240412,160000,117.87,117.87,116.93,117.35,60646,0
AWK.US,60,20240412,170000,117.27,117.605,116.98,117.595,55728,0
AWK.US,60,20240412,180000,117.59,117.76,116.855,117.09,51386,0
AWK.US,60,20240412,190000,117.1,117.21,116.55,116.68,69179,0
AWK.US,60,20240412,200000,116.64,116.805,116.15,116.76,66693,0
AWK.US,60,20240412,210000,116.735,116.94,116.23,116.26,66980,0
AWK.US,60,20240412,220000,116.23,116.66,115.97,116.57,350980,0
AWK.US,60,20240415,160000,116.72,117.42,116.21,116.49,66202,0
AWK.US,60,20240415,170000,116.465,116.465,115.23,115.935,105491,0
AWK.US,60,20240415,180000,115.95,116.32,115.8,116.12,144129,0
AWK.US,60,20240415,190000,116.07,116.18,115.563,115.86,109431,0
AWK.US,60,20240415,200000,115.765,116,115.41,115.81,78429,0
AWK.US,60,20240415,210000,115.825,115.87,115.13,115.72,136223,0
AWK.US,60,20240415,220000,115.73,116.37,115.69,115.98,726919,0
AWK.US,60,20240416,160000,115.45,115.45,114.1,114.13,67913,0
AWK.US,60,20240416,170000,114.05,114.24,113.34,113.9,171958,0
AWK.US,60,20240416,180000,113.97,114.81,113.7808,114.4,121892,0
AWK.US,60,20240416,190000,114.36,114.51,114.155,114.25,61501,0
AWK.US,60,20240416,200000,114.27,114.32,113.45,113.96,102948,0
AWK.US,60,20240416,210000,113.96,114.5,113.76,114.25,150713,0
AWK.US,60,20240416,220000,114.2,114.335,113.755,113.82,644779,0
AWK.US,60,20240417,160000,113.84,114.62,113.74,114.36,44197,0
AWK.US,60,20240417,170000,114.21,114.36,113.53,114.04,133789,0
AWK.US,60,20240417,180000,114.03,114.31,113.76,114.17,73771,0
AWK.US,60,20240417,190000,114.18,114.44,114.08,114.3,103092,0
AWK.US,60,20240417,200000,114.2,115.01,114.12,114.92,186203,0
AWK.US,60,20240417,210000,114.88,115.35,114.75,115.05,184277,0
AWK.US,60,20240417,220000,115.0318,115.77,114.975,115.4,642801,0
AWK.US,60,20240418,160000,116.12,116.285,115.0905,115.89,66779,0
AWK.US,60,20240418,170000,115.92,116.2425,115.56,116.21,71785,0
AWK.US,60,20240418,180000,116.2,116.56,115.95,116.13,51765,0
AWK.US,60,20240418,190000,116.14,116.59,116.14,116.24,74738,0
AWK.US,60,20240418,200000,116.27,117.02,116.27,116.85,85409,0
AWK.US,60,20240418,210000,116.83,117.22,116.61,117.15,126077,0
AWK.US,60,20240418,220000,117.16,117.57,117.07,117.35,477488,0
AWK.US,60,20240419,160000,117.94,118.44,117.65,118.2,62206,0
AWK.US,60,20240419,170000,118.195,118.78,117.75,118.5,61465,0
AWK.US,60,20240419,180000,118.475,118.96,118.38,118.82,52825,0
AWK.US,60,20240419,190000,118.87,119.25,118.5894,119.25,108040,0
AWK.US,60,20240419,200000,119.235,119.39,118.54,118.54,63529,0
AWK.US,60,20240419,210000,118.5,118.74,118.16,118.6394,81510,0
AWK.US,60,20240419,220000,118.58,118.83,118.39,118.52,318074,0
AWK.US,60,20240422,160000,118.6,118.61,117.665,118.45,25049,0
AWK.US,60,20240422,170000,118.37,119.47,118.17,119.46,66494,0
AWK.US,60,20240422,180000,119.39,119.39,118.52,118.7,58016,0
AWK.US,60,20240422,190000,118.7,118.91,118.52,118.8625,52735,0
AWK.US,60,20240422,200000,118.89,119.69,118.83,119.625,48322,0
AWK.US,60,20240422,210000,119.62,119.79,119.25,119.42,40834,0
AWK.US,60,20240422,220000,119.4,119.63,119.05,119.26,454995,0
AWK.US,60,20240423,160000,119.31,120.2,119.02,119.865,41448,0
AWK.US,60,20240423,170000,119.825,120.51,119.53,120.07,106613,0
AWK.US,60,20240423,180000,120.04,120.39,119.97,120.36,56019,0
AWK.US,60,20240423,190000,120.36,120.55,120.05,120.415,45990,0
AWK.US,60,20240423,200000,120.29,120.37,120.05,120.2199,35363,0
AWK.US,60,20240423,210000,120.19,120.35,120.075,120.115,56427,0
AWK.US,60,20240423,220000,120.11,120.205,119.775,119.87,410931,0
AWK.US,60,20240424,160000,118.79,120.1508,118.15,119.99,68642,0
AWK.US,60,20240424,170000,119.995,120.3599,119.7507,119.97,50358,0
AWK.US,60,20240424,180000,120.02,120.9,119.93,120.825,52382,0
AWK.US,60,20240424,190000,120.82,121.11,120.63,120.92,39235,0
AWK.US,60,20240424,200000,120.91,121.27,120.87,121.27,32602,0
AWK.US,60,20240424,210000,121.28,121.38,121.067,121.22,59860,0
AWK.US,60,20240424,220000,121.2,121.66,121.12,121.36,428350,0
AWK.US,60,20240425,160000,121.37,121.99,120.13,120.485,45361,0
AWK.US,60,20240425,170000,120.475,121.2,119.925,121.01,159838,0
AWK.US,60,20240425,180000,120.99,122.12,120.86,122.01,174861,0
AWK.US,60,20240425,190000,122.03,122.1,121.75,122,30821,0
AWK.US,60,20240425,200000,121.92,122.3305,121.86,122.31,37082,0
AWK.US,60,20240425,210000,122.29,122.37,121.5,121.98,64744,0
AWK.US,60,20240425,220000,121.975,122.24,121.42,121.55,391115,0
AWK.US,60,20240426,160000,121.69,122.21,121.145,121.145,53757,0
AWK.US,60,20240426,170000,121.18,122.06,120.995,121.545,74234,0
AWK.US,60,20240426,180000,121.57,121.78,121.29,121.65,52721,0
AWK.US,60,20240426,190000,121.64,121.76,121.46,121.5765,31580,0
AWK.US,60,20240426,200000,121.61,121.63,121.21,121.45,47791,0
AWK.US,60,20240426,210000,121.45,121.81,121.35,121.77,64688,0
AWK.US,60,20240426,220000,121.73,121.73,120.76,120.78,376232,0
AWK.US,60,20240429,160000,121.73,122.5437,121.67,122.1,30865,0
AWK.US,60,20240429,170000,122.13,122.32,121.8117,122.06,49226,0
AWK.US,60,20240429,180000,122.06,122.16,121.81,122.16,49489,0
AWK.US,60,20240429,190000,122.145,122.46,122.09,122.28,46963,0
AWK.US,60,20240429,200000,122.275,122.445,122.22,122.335,32002,0
AWK.US,60,20240429,210000,122.322,122.47,122.01,122.34,42087,0
AWK.US,60,20240429,220000,122.33,122.39,121.95,122.28,302399,0
AWK.US,60,20240430,160000,121.51,122.07,120.99,121.705,32508,0
AWK.US,60,20240430,170000,121.87,122.46,121.67,122.12,33091,0
AWK.US,60,20240430,180000,122.2,122.61,121.8153,122.6,53310,0
AWK.US,60,20240430,190000,122.63,122.81,122.39,122.65,55277,0
AWK.US,60,20240430,200000,122.64,123.0975,122.555,122.98,65840,0
AWK.US,60,20240430,210000,122.97,123.01,122.22,122.46,51338,0
AWK.US,60,20240430,220000,122.44,122.65,122.05,122.32,492364,0
AWK.US,60,20240501,160000,122.12,122.93,122.09,122.505,55628,0
AWK.US,60,20240501,170000,122.55,123.49,122.2,123.37,126209,0
AWK.US,60,20240501,180000,123.37,124.4,123.34,124.18,133943,0
AWK.US,60,20240501,190000,124.17,124.7985,124.17,124.63,69171,0
AWK.US,60,20240501,200000,124.605,124.95,124.35,124.53,75226,0
AWK.US,60,20240501,210000,124.57,125.85,124.37,125.42,91812,0
AWK.US,60,20240501,220000,125.525,125.6413,124.79,125.12,656177,0
AWK.US,60,20240502,160000,123.73,125.115,122.4,123.995,102452,0
AWK.US,60,20240502,170000,124.21,124.49,123.35,123.85,73511,0
AWK.US,60,20240502,180000,123.91,123.92,122.73,123.41,56520,0
AWK.US,60,20240502,190000,123.3999,123.795,123.32,123.72,90279,0
AWK.US,60,20240502,200000,123.705,124.44,123.61,124.44,78265,0
AWK.US,60,20240502,210000,124.465,125.42,124.39,125.36,54955,0
AWK.US,60,20240502,220000,125.36,126.09,125.23,125.95,1202606,0
AWK.US,60,20240506,160000,129.62,129.62,128.21,128.83,34562,0
AWK.US,60,20240506,170000,128.825,129.46,128.68,129.07,70840,0
AWK.US,60,20240506,180000,129.045,129.26,128.79,129.13,60044,0
AWK.US,60,20240506,190000,129.1,129.3525,128.935,129.28,50419,0
AWK.US,60,20240506,200000,129.29,129.67,129.29,129.53,36733,0
AWK.US,60,20240506,210000,129.525,129.875,129.51,129.71,50599,0
AWK.US,60,20240506,220000,129.7292,130.39,129.37,130.25,504236,0
AWK.US,60,20240507,160000,131.3,131.35,130.09,130.57,65515,0
AWK.US,60,20240507,170000,130.47,131.68,130.4,131.24,81693,0
AWK.US,60,20240507,180000,131.14,131.54,131.01,131.54,82132,0
AWK.US,60,20240507,190000,131.495,131.7,131.37,131.63,52821,0
AWK.US,60,20240507,200000,131.59,131.83,131.46,131.55,53197,0
AWK.US,60,20240507,210000,131.55,132.27,131.5211,132.235,85415,0
AWK.US,60,20240507,220000,132.22,132.46,131.755,131.82,649679,0
AWK.US,60,20240508,160000,131.4,132,131.195,131.71,44220,0
AWK.US,60,20240508,170000,131.74,132.145,131.7,131.8941,76413,0
AWK.US,60,20240508,180000,131.8986,132.53,131.8986,132.23,61195,0
AWK.US,60,20240508,190000,132.24,132.38,131.905,132.1539,46172,0
AWK.US,60,20240508,200000,132.18,132.34,132.03,132.25,54425,0
AWK.US,60,20240508,210000,132.26,132.42,132.18,132.24,48587,0
AWK.US,60,20240508,220000,132.25,133,131.99,132.87,525908,0
AWK.US,60,20240509,160000,132.87,133,132.18,132.52,39368,0
AWK.US,60,20240509,170000,132.54,134.41,132.54,134.4,72560,0
AWK.US,60,20240509,180000,134.41,134.525,133.81,134.32,84199,0
AWK.US,60,20240509,190000,134.29,134.47,134.24,134.24,46915,0
AWK.US,60,20240509,200000,134.22,134.78,134.09,134.35,61912,0
AWK.US,60,20240509,210000,134.3302,134.61,134.27,134.39,82060,0
AWK.US,60,20240509,220000,134.39,134.52,134.24,134.38,513178,0
AWK.US,60,20240510,160000,134.83,135.115,134.41,134.92,69288,0
AWK.US,60,20240510,170000,134.92,135.49,134.54,134.985,119102,0
AWK.US,60,20240510,180000,134.96,135.28,134.52,135.27,119339,0
AWK.US,60,20240510,190000,135.32,135.525,135.08,135.12,155644,0
AWK.US,60,20240510,200000,135.105,135.325,134.83,135.26,87962,0
AWK.US,60,20240510,210000,135.255,135.51,135.02,135.4324,79326,0
AWK.US,60,20240510,220000,135.43,135.71,135.3,135.5,616156,0
AWK.US,60,20240513,160000,135,135.53,134.39,135.2,59852,0
AWK.US,60,20240513,170000,135.21,135.31,134.68,134.85,32306,0
AWK.US,60,20240513,180000,134.79,134.79,133.48,133.5132,73440,0
AWK.US,60,20240513,190000,133.505,134.07,133.48,133.905,36282,0
