<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXP.US,60,20240411,160000,217.5,218,216.48,216.95,88267,0
AXP.US,60,20240411,170000,216.84,216.93,214.5148,216.47,318980,0
AXP.US,60,20240411,180000,216.47,217.87,216.08,217.775,224954,0
AXP.US,60,20240411,190000,217.85,217.87,217.1,217.45,90714,0
AXP.US,60,20240411,200000,217.44,218.5324,217.27,218.16,167706,0
AXP.US,60,20240411,210000,218.17,219.1701,218.15,218.93,112578,0
AXP.US,60,20240411,220000,218.92,218.96,217.95,218.2,957412,0
AXP.US,60,20240412,160000,217,218.275,216.96,217.5,106508,0
AXP.US,60,20240412,170000,217.33,217.945,216.57,216.62,139314,0
AXP.US,60,20240412,180000,216.7,217.85,216.62,217.31,108768,0
AXP.US,60,20240412,190000,217.29,217.64,216.5,216.89,156482,0
AXP.US,60,20240412,200000,216.9,217.21,216.115,217.025,99017,0
AXP.US,60,20240412,210000,216.98,217.57,216.58,216.82,126094,0
AXP.US,60,20240412,220000,216.84,218.26,216.62,218.2,782704,0
AXP.US,60,20240415,160000,221.89,222.73,220.98,221.63,202690,0
AXP.US,60,20240415,170000,221.565,221.67,219.37,219.37,303014,0
AXP.US,60,20240415,180000,219.315,219.92,219.08,219.9,165373,0
AXP.US,60,20240415,190000,219.93,220.35,218.78,219.14,102855,0
AXP.US,60,20240415,200000,219.12,219.36,217,217.84,145810,0
AXP.US,60,20240415,210000,217.8,217.98,216.99,217.57,139702,0
AXP.US,60,20240415,220000,217.58,218.69,216.82,218.4,968125,0
AXP.US,60,20240416,160000,217.7,218.96,216.97,217.63,146099,0
AXP.US,60,20240416,170000,217.63,218.225,216.76,217.36,210948,0
AXP.US,60,20240416,180000,217.35,217.92,216.51,217.28,242549,0
AXP.US,60,20240416,190000,217.25,218.15,217,217.86,112317,0
AXP.US,60,20240416,200000,217.83,218.165,216.83,217.81,132253,0
AXP.US,60,20240416,210000,217.7,218.93,217.29,218.9273,238331,0
AXP.US,60,20240416,220000,218.895,219.38,218.13,218.34,717747,0
AXP.US,60,20240417,160000,219.56,220.28,218.47,219.84,104427,0
AXP.US,60,20240417,170000,219.81,219.86,217.67,217.96,217965,0
AXP.US,60,20240417,180000,218.05,218.49,217.49,218.116,150972,0
AXP.US,60,20240417,190000,218.04,218.13,216.52,216.7522,160658,0
AXP.US,60,20240417,200000,216.77,218.21,216.68,218.14,129779,0
AXP.US,60,20240417,210000,218.13,219.24,217.662,218.155,116764,0
AXP.US,60,20240417,220000,218.035,218.25,217.55,217.67,513795,0
AXP.US,60,20240418,160000,218.26,219.93,218.005,219.76,95218,0
AXP.US,60,20240418,170000,219.78,220.42,218.7,220.16,208805,0
AXP.US,60,20240418,180000,220.165,221.445,220.165,220.885,209247,0
AXP.US,60,20240418,190000,220.96,221.0519,219.76,220.02,153109,0
AXP.US,60,20240418,200000,220,220.22,218.7701,219.14,200278,0
AXP.US,60,20240418,210000,219.09,219.4,218.28,218.37,254547,0
AXP.US,60,20240418,220000,218.4,219.005,217.175,217.5,1163780,0
AXP.US,60,20240419,160000,218.84,225.4899,218.84,224.37,660786,0
