<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZO.US,60,20240411,160000,3025.75,3025.75,2999,3006.19,2953,0
AZO.US,60,20240411,170000,3009.88,3009.88,2980.6801,2986.83,2318,0
AZO.US,60,20240411,180000,2983.41,3011.15,2983.21,3011.15,8930,0
AZO.US,60,20240411,190000,3007.39,3016.2,3006.47,3013,811,0
AZO.US,60,20240411,200000,3016.2,3020.95,3016.2,3019.29,1132,0
AZO.US,60,20240411,210000,3018.34,3031.79,3014.0648,3023.9,6027,0
AZO.US,60,20240411,220000,3028.61,3028.61,3005.33,3006.76,24243,0
AZO.US,60,20240412,160000,2994.75,3006.7299,2980.0101,3001.57,2587,0
AZO.US,60,20240412,170000,2998.9,3002.83,2991.3,2999.635,2845,0
AZO.US,60,20240412,180000,3001.09,3003.28,2985.82,2990.02,3407,0
AZO.US,60,20240412,190000,2994.23,3002.9,2992.665,2993.02,4430,0
AZO.US,60,20240412,200000,2995.78,2995.78,2984.69,2986.88,3029,0
AZO.US,60,20240412,210000,2985.81,2991.95,2977.96,2985.49,2991,0
AZO.US,60,20240412,220000,2984.595,2984.71,2955.26,2962.32,40854,0
AZO.US,60,20240415,160000,3007.56,3007.56,2980.3,2986.46,2385,0
AZO.US,60,20240415,170000,2984.9,2986.37,2936.775,2936.775,4360,0
AZO.US,60,20240415,180000,2937.41,2941.82,2931,2934.935,4567,0
AZO.US,60,20240415,190000,2934.965,2940.96,2930.225,2930.225,1348,0
AZO.US,60,20240415,200000,2930.075,2932.26,2911.655,2920.17,3832,0
AZO.US,60,20240415,210000,2916.05,2923.88,2905.9,2912.76,9629,0
AZO.US,60,20240415,220000,2912.82,2913.295,2900,2903.51,36086,0
AZO.US,60,20240416,160000,2910.3,2921.275,2877.2,2921.275,3227,0
AZO.US,60,20240416,170000,2923.165,2923.165,2903.59,2908.93,1954,0
AZO.US,60,20240416,180000,2909.37,2916.25,2902.32,2915.43,4322,0
AZO.US,60,20240416,190000,2914.63,2920,2914.44,2914.44,1650,0
AZO.US,60,20240416,200000,2912.79,2915.01,2905.28,2909.79,2697,0
AZO.US,60,20240416,210000,2911.6,2920,2904.9325,2912,3097,0
AZO.US,60,20240416,220000,2913.53,2918.92,2906.885,2910.27,25848,0
AZO.US,60,20240417,160000,2933.35,2940.47,2900,2934,1247,0
