<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BA.US,60,20240411,160000,174.46,174.7,171.74,172.1011,1033914,0
BA.US,60,20240411,170000,172.12,172.5375,171.38,171.96,983577,0
BA.US,60,20240411,180000,171.99,173.17,171.5,173.11,728229,0
BA.US,60,20240411,190000,173.13,173.14,172.59,172.64,456433,0
BA.US,60,20240411,200000,172.635,173.82,172.455,173.48,527080,0
BA.US,60,20240411,210000,173.49,174.3,173.36,173.8,421427,0
BA.US,60,20240411,220000,173.81,174.34,173.31,173.36,1115801,0
BA.US,60,20240412,160000,172.2,173.24,172,172.32,514850,0
BA.US,60,20240412,170000,172.38,172.4799,171.6404,171.83,528509,0
BA.US,60,20240412,180000,171.8,171.97,171.16,171.25,621713,0
BA.US,60,20240412,190000,171.22,171.605,170.29,170.6712,745109,0
BA.US,60,20240412,200000,170.64,170.865,170.1,170.1583,567018,0
BA.US,60,20240412,210000,170.18,170.43,169.84,169.99,772647,0
BA.US,60,20240412,220000,169.98,170.29,169.37,169.55,1942909,0
BA.US,60,20240415,160000,170.74,171.1799,169.25,170.13,564063,0
BA.US,60,20240415,170000,170.1625,170.5,169.02,169.58,647310,0
BA.US,60,20240415,180000,169.6,170.42,169.48,170.11,427581,0
BA.US,60,20240415,190000,170.13,170.23,168.77,169.11,525288,0
BA.US,60,20240415,200000,169.02,169.17,168.03,168.87,544823,0
BA.US,60,20240415,210000,168.86,168.9,167.53,167.85,562847,0
BA.US,60,20240415,220000,167.8301,168.355,167.6,167.82,1508884,0
BA.US,60,20240416,160000,168.14,169.45,167.75,168.44,474084,0
BA.US,60,20240416,170000,168.45,169.435,167.81,168.055,756064,0
BA.US,60,20240416,180000,168.09,169.84,168.0014,169.5519,602955,0
BA.US,60,20240416,190000,169.54,169.78,169.1,169.76,380671,0
BA.US,60,20240416,200000,169.78,169.94,169.02,169.605,511830,0
BA.US,60,20240416,210000,169.615,170.42,169.2075,170.12,642340,0
BA.US,60,20240416,220000,170.17,170.64,169.2408,170.55,1762554,0
BA.US,60,20240417,160000,170,170.825,168.33,169.82,844104,0
BA.US,60,20240417,170000,169.72,170.63,168.61,169.155,1071981,0
BA.US,60,20240417,180000,169.19,169.82,168.45,168.9,867782,0
BA.US,60,20240417,190000,168.9,169.18,168.1215,169.065,704258,0
BA.US,60,20240417,200000,169.05,170.24,168.97,169.9615,535654,0
BA.US,60,20240417,210000,169.95,170.26,169.3,169.73,510290,0
BA.US,60,20240417,220000,169.72,170.3,169.21,170.21,1461977,0
BA.US,60,20240418,160000,169.48,171.48,169.095,171.3563,594342,0
BA.US,60,20240418,170000,171.374,172.04,170.7901,171.9899,567965,0
BA.US,60,20240418,180000,171.97,172.03,170.9,171.1214,354045,0
BA.US,60,20240418,190000,171.185,171.36,170.5,170.63,273220,0
BA.US,60,20240418,200000,170.6293,170.73,169.5214,169.97,350133,0
BA.US,60,20240418,210000,169.9175,170.5296,169.63,170.235,298840,0
BA.US,60,20240418,220000,170.2206,170.92,170.13,170.23,954342,0
BA.US,60,20240419,160000,170,170.89,169.65,170.77,545634,0
BA.US,60,20240419,170000,170.84,172,170.64,171.1075,546944,0
BA.US,60,20240419,180000,171.09,171.64,170.84,171.44,315806,0
BA.US,60,20240419,190000,171.43,171.625,170.06,170.7,348755,0
BA.US,60,20240419,200000,170.6747,171.3776,170.62,171.3,215123,0
BA.US,60,20240419,210000,171.3,171.32,170.2183,170.575,241363,0
BA.US,60,20240419,220000,170.5,170.75,169.66,169.82,592237,0
BA.US,60,20240422,160000,169.82,169.98,168.16,169.86,441222,0
BA.US,60,20240422,170000,169.86,170.83,169.68,170.14,417873,0
BA.US,60,20240422,180000,170.1152,170.2795,169.19,169.59,285424,0
BA.US,60,20240422,190000,169.62,170.06,169.52,169.8,242059,0
BA.US,60,20240422,200000,169.82,172.15,169.81,171.68,308442,0
BA.US,60,20240422,210000,171.695,171.86,170.75,171,233213,0
BA.US,60,20240422,220000,170.97,171.16,170.05,170.48,1071047,0
BA.US,60,20240423,160000,170.95,171.18,169.2555,169.98,479088,0
BA.US,60,20240423,170000,169.97,171.04,169.77,169.8852,671066,0
BA.US,60,20240423,180000,169.92,169.92,168.85,168.8708,759863,0
BA.US,60,20240423,190000,168.87,169.7362,168.85,169.32,598214,0
BA.US,60,20240423,200000,169.3139,169.32,168.43,168.66,683600,0
BA.US,60,20240423,210000,168.65,168.87,168.46,168.71,410027,0
BA.US,60,20240423,220000,168.73,169.29,168.45,169.08,1817680,0
BA.US,60,20240424,160000,176.5,177.64,170.44,170.735,2626417,0
BA.US,60,20240424,170000,170.6975,174.12,169.83,171.51,2218330,0
BA.US,60,20240424,180000,171.505,171.58,166.5801,166.89,2381056,0
BA.US,60,20240424,190000,166.9,167.21,166.26,166.7171,1066404,0
BA.US,60,20240424,200000,166.68,168.53,166.57,167.03,1180726,0
BA.US,60,20240424,210000,166.965,167.1,162.74,163.46,3325932,0
BA.US,60,20240424,220000,163.39,165.29,163.26,164.33,2699540,0
BA.US,60,20240425,160000,163.59,164.33,160.7501,162.66,1363067,0
BA.US,60,20240425,170000,162.51,162.77,159.7,160.56,1763445,0
BA.US,60,20240425,180000,160.52,161.87,160.24,161.12,985813,0
BA.US,60,20240425,190000,161.11,163.85,160.98,163.035,1120311,0
BA.US,60,20240425,200000,163.06,165.25,163.0357,165.038,801972,0
BA.US,60,20240425,210000,165.01,166.357,164.88,166.07,933881,0
BA.US,60,20240425,220000,166.05,168.13,165.96,166.81,1962977,0
BA.US,60,20240426,160000,165.98,166.663,164.935,166.6032,541214,0
BA.US,60,20240426,170000,166.55,167.57,165.9,166.6,735009,0
BA.US,60,20240426,180000,166.6237,166.83,165.84,166.33,563273,0
BA.US,60,20240426,190000,166.34,168.24,165.87,167.8264,435909,0
BA.US,60,20240426,200000,167.8446,168.65,167.62,168.2,554675,0
BA.US,60,20240426,210000,168.18,168.4403,166.89,167.4,581347,0
BA.US,60,20240426,220000,167.4099,167.68,167.15,167.22,1118340,0
BA.US,60,20240429,160000,167.61,169.3099,167.55,168.9166,484740,0
BA.US,60,20240429,170000,168.94,172.32,168.9273,172.21,1226356,0
BA.US,60,20240429,180000,172.21,172.79,171.67,172.0263,1015396,0
BA.US,60,20240429,190000,172.0492,173.18,172,173.16,721644,0
BA.US,60,20240429,200000,173.1,173.15,172.45,172.9701,371797,0
BA.US,60,20240429,210000,172.98,173.05,172.4,172.66,465214,0
BA.US,60,20240429,220000,172.58,173.81,171.71,173.49,1705336,0
BA.US,60,20240430,160000,171.5,173.155,171.36,172.63,468890,0
BA.US,60,20240430,170000,172.605,174,172.47,173.7848,702052,0
BA.US,60,20240430,180000,173.8448,174.07,172.15,172.47,547850,0
BA.US,60,20240430,190000,172.5,172.55,170.65,171.005,683877,0
BA.US,60,20240430,200000,171.001,171.1799,169.79,170.0297,575206,0
BA.US,60,20240430,210000,170,170.0314,168.6,168.89,846305,0
BA.US,60,20240430,220000,168.86,168.97,167.76,167.84,1967361,0
BA.US,60,20240501,160000,167.5,169.9809,167.5,169.1791,492599,0
BA.US,60,20240501,170000,169.25,169.35,168.449,169.025,364260,0
BA.US,60,20240501,180000,169.05,169.9599,168.41,169.48,383688,0
BA.US,60,20240501,190000,169.42,170.49,169.27,169.83,356527,0
BA.US,60,20240501,200000,169.815,170.7,169.56,170.5,264423,0
BA.US,60,20240501,210000,170.5,173.7,170.38,173.5806,953178,0
BA.US,60,20240501,220000,173.626,173.86,171.13,171.5,1659946,0
BA.US,60,20240502,160000,173,174.2321,172.2501,173.8514,751357,0
BA.US,60,20240502,170000,173.915,176.465,173.22,175.67,1486126,0
BA.US,60,20240502,180000,175.655,178.27,175.54,178.19,1159581,0
BA.US,60,20240502,190000,178.19,178.45,176.8,177.065,745079,0
BA.US,60,20240502,200000,177.045,177.88,176.7963,177.51,498458,0
BA.US,60,20240502,210000,177.515,178.39,177.36,178.3,584660,0
BA.US,60,20240502,220000,178.295,178.9,177.74,178.85,2287330,0
BA.US,60,20240506,160000,180.88,182.12,180.6,181,513748,0
BA.US,60,20240506,170000,181,182.46,180.9,182.2,493942,0
BA.US,60,20240506,180000,182.15,182.15,180.85,181.85,410978,0
BA.US,60,20240506,190000,181.83,182.16,181.54,182.15,346190,0
BA.US,60,20240506,200000,182.1879,183.8899,182.15,183.57,728876,0
BA.US,60,20240506,210000,183.55,183.98,177.7,178,1395829,0
BA.US,60,20240506,220000,178,178.7999,174.71,178.35,5175566,0
BA.US,60,20240507,160000,177.22,177.58,176.13,176.76,641677,0
BA.US,60,20240507,170000,176.77,178.35,176.17,177.31,732116,0
BA.US,60,20240507,180000,177.275,177.9899,176.57,176.835,382143,0
BA.US,60,20240507,190000,176.82,177.0902,176.21,176.305,263459,0
BA.US,60,20240507,200000,176.305,177.4,176.28,176.93,238840,0
BA.US,60,20240507,210000,176.9447,177.0956,176.48,176.71,218409,0
BA.US,60,20240507,220000,176.735,177.89,176.6,176.71,1227637,0
BA.US,60,20240508,160000,175.95,178.16,175.95,177.05,467177,0
BA.US,60,20240508,170000,177.06,178.05,176.59,178.05,398335,0
BA.US,60,20240508,180000,178.0576,178.66,177.44,178.36,356942,0
BA.US,60,20240508,190000,178.35,178.6,177.76,177.93,189623,0
BA.US,60,20240508,200000,177.89,178.1978,177.4,178.14,173188,0
BA.US,60,20240508,210000,178.135,181.66,177.96,180.685,1150818,0
BA.US,60,20240508,220000,180.74,180.77,179.66,180.35,971123,0
BA.US,60,20240509,160000,179.55,180.73,179.31,180.3258,280364,0
BA.US,60,20240509,170000,180.33,181.58,180.2327,181.26,376203,0
BA.US,60,20240509,180000,181.28,181.4,180.51,180.96,324459,0
BA.US,60,20240509,190000,180.9479,181.03,180.29,180.77,261465,0
BA.US,60,20240509,200000,180.75,181.53,180.6,181.3204,330672,0
BA.US,60,20240509,210000,181.29,181.75,181.16,181.528,365160,0
BA.US,60,20240509,220000,181.48,181.72,180.27,181.25,1967002,0
BA.US,60,20240510,160000,181.25,181.88,180.95,181.05,316981,0
BA.US,60,20240510,170000,180.91,180.915,179.55,179.6183,517945,0
BA.US,60,20240510,180000,179.5913,180,177.92,178.45,682877,0
BA.US,60,20240510,190000,178.43,179.42,178.4,179.2099,250104,0
BA.US,60,20240510,200000,179.16,179.435,178.37,178.9305,209745,0
BA.US,60,20240510,210000,178.96,179.08,178.62,178.95,191292,0
