<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BABA.US,60,20240411,160000,75.215,75.43,74.73,74.73,2073359,0
BABA.US,60,20240411,170000,74.73,74.87,74.535,74.595,1868220,0
BABA.US,60,20240411,180000,74.6,74.7399,74.455,74.585,1116081,0
BABA.US,60,20240411,190000,74.59,74.658,74.37,74.515,1196109,0
BABA.US,60,20240411,200000,74.52,74.81,74.49,74.685,940326,0
BABA.US,60,20240411,210000,74.69,74.96,74.68,74.745,916234,0
BABA.US,60,20240411,220000,74.74,74.93,74.685,74.85,2330600,0
BABA.US,60,20240412,160000,72.94,72.98,72.56,72.645,2172424,0
BABA.US,60,20240412,170000,72.64,72.64,72.3101,72.3901,2253388,0
BABA.US,60,20240412,180000,72.39,72.525,72.1889,72.34,1713956,0
BABA.US,60,20240412,190000,72.345,72.35,71.94,72.03,1743767,0
BABA.US,60,20240412,200000,72.0301,72.04,71.735,71.915,1514669,0
BABA.US,60,20240412,210000,71.915,71.96,71.5681,71.575,1374672,0
BABA.US,60,20240412,220000,71.57,71.62,71.29,71.29,4104431,0
BABA.US,60,20240415,160000,71.73,72.05,70.9,71.28,2210500,0
BABA.US,60,20240415,170000,71.27,71.44,71.13,71.295,1383401,0
BABA.US,60,20240415,180000,71.3,71.405,71.21,71.34,929564,0
BABA.US,60,20240415,190000,71.35,71.37,70.8533,70.865,1122693,0
BABA.US,60,20240415,200000,70.865,70.91,70.4027,70.595,1504001,0
BABA.US,60,20240415,210000,70.5976,70.5976,70.27,70.305,1138717,0
BABA.US,60,20240415,220000,70.3,70.76,70.17,70.62,3632061,0
BABA.US,60,20240416,160000,70.02,70.19,69.44,69.61,1983316,0
BABA.US,60,20240416,170000,69.605,70,69.52,69.5225,2474522,0
BABA.US,60,20240416,180000,69.53,69.56,69.29,69.38,2702765,0
BABA.US,60,20240416,190000,69.38,70.06,69.35,69.995,1425901,0
BABA.US,60,20240416,200000,70,70.135,69.79,70.12,1327798,0
BABA.US,60,20240416,210000,70.11,70.3074,69.79,69.98,1031042,0
