<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAC.US,60,20240411,160000,36.75,36.75,36.27,36.38,3008876,0
BAC.US,60,20240411,170000,36.375,36.39,36.05,36.1299,4078862,0
BAC.US,60,20240411,180000,36.125,36.31,36.1,36.295,3805120,0
BAC.US,60,20240411,190000,36.292,36.4,36.24,36.28,2904227,0
BAC.US,60,20240411,200000,36.285,36.54,36.24,36.47,3553881,0
BAC.US,60,20240411,210000,36.465,36.6,36.41,36.495,3112201,0
BAC.US,60,20240411,220000,36.49,36.565,36.33,36.35,12770223,0
BAC.US,60,20240412,160000,35.81,36.09,35.71,35.8725,4684640,0
BAC.US,60,20240412,170000,35.875,36.09,35.8,35.9,4276076,0
BAC.US,60,20240412,180000,35.9,35.99,35.53,35.815,8670326,0
BAC.US,60,20240412,190000,35.81,35.85,35.68,35.74,4007265,0
BAC.US,60,20240412,200000,35.735,35.75,35.535,35.72,3706836,0
BAC.US,60,20240412,210000,35.73,35.82,35.6,35.684,4158417,0
BAC.US,60,20240412,220000,35.6841,35.81,35.57,35.79,10624818,0
BAC.US,60,20240415,160000,36.33,36.76,36.24,36.475,3763174,0
BAC.US,60,20240415,170000,36.49,36.49,36.155,36.175,4251211,0
BAC.US,60,20240415,180000,36.18,36.24,36.08,36.23,4367159,0
BAC.US,60,20240415,190000,36.23,36.27,36.12,36.19,4594816,0
BAC.US,60,20240415,200000,36.19,36.23,35.835,35.94,5582126,0
BAC.US,60,20240415,210000,35.945,35.985,35.78,35.885,4204991,0
BAC.US,60,20240415,220000,35.885,36.04,35.755,35.95,10693923,0
BAC.US,60,20240416,160000,36.095,36.17,34.56,34.58,8609365,0
BAC.US,60,20240416,170000,34.585,34.8,34.15,34.53,13872600,0
BAC.US,60,20240416,180000,34.53,34.745,34.295,34.695,11501886,0
BAC.US,60,20240416,190000,34.69,34.845,34.545,34.57,8912649,0
BAC.US,60,20240416,200000,34.575,34.8899,34.42,34.57,7489893,0
BAC.US,60,20240416,210000,34.57,34.78,34.43,34.775,6892983,0
BAC.US,60,20240416,220000,34.78,34.97,34.59,34.68,19624922,0
BAC.US,60,20240417,160000,34.89,35.41,34.75,35.375,4787024,0
BAC.US,60,20240417,170000,35.385,35.43,35.2,35.335,8661847,0
BAC.US,60,20240417,180000,35.335,35.485,35.28,35.355,7279576,0
BAC.US,60,20240417,190000,35.35,35.375,35.15,35.345,5163929,0
