<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAM.US,60,20240411,160000,40.65,40.65,39.98,40.06,83198,0
BAM.US,60,20240411,170000,40.015,40.025,39.39,39.82,146737,0
BAM.US,60,20240411,180000,39.82,40.05,39.78,40.035,66396,0
BAM.US,60,20240411,190000,40.03,40.17,40.025,40.11,51697,0
BAM.US,60,20240411,200000,40.1,40.34,40.05,40.1916,44653,0
BAM.US,60,20240411,210000,40.19,40.4,40.13,40.13,36510,0
BAM.US,60,20240411,220000,40.1175,40.285,40.11,40.12,292096,0
BAM.US,60,20240412,160000,39.62,39.9,39.5,39.53,99108,0
BAM.US,60,20240412,170000,39.55,39.58,39.21,39.26,120022,0
BAM.US,60,20240412,180000,39.255,39.58,39.18,39.57,184360,0
BAM.US,60,20240412,190000,39.565,39.64,39.42,39.555,72492,0
BAM.US,60,20240412,200000,39.54,39.565,39.29,39.475,54670,0
BAM.US,60,20240412,210000,39.46,39.55,39.18,39.2,145688,0
BAM.US,60,20240412,220000,39.19,39.44,39.12,39.38,371760,0
BAM.US,60,20240415,160000,39.66,39.73,39.44,39.495,43379,0
BAM.US,60,20240415,170000,39.48,39.48,38.97,38.97,126674,0
BAM.US,60,20240415,180000,38.96,39.1,38.905,39.06,84485,0
BAM.US,60,20240415,190000,39.065,39.125,38.813,38.89,130139,0
BAM.US,60,20240415,200000,38.88,38.91,38.52,38.69,126828,0
BAM.US,60,20240415,210000,38.67,38.68,38.44,38.4917,117000,0
BAM.US,60,20240415,220000,38.49,38.62,38.38,38.54,311363,0
BAM.US,60,20240416,160000,38.19,38.34,37.84,37.99,122631,0
BAM.US,60,20240416,170000,37.9742,38.08,37.8,37.9,125758,0
BAM.US,60,20240416,180000,37.9,38.43,37.9,38.3,100834,0
BAM.US,60,20240416,190000,38.29,38.29,38.11,38.18,104710,0
BAM.US,60,20240416,200000,38.19,38.245,37.9,38.17,93056,0
BAM.US,60,20240416,210000,38.16,38.49,38.02,38.47,679198,0
BAM.US,60,20240416,220000,38.47,38.52,38.31,38.45,631552,0
BAM.US,60,20240417,160000,38.77,39.1,38.56,39.04,89310,0
BAM.US,60,20240417,170000,39.04,39.285,38.98,39.13,193197,0
BAM.US,60,20240417,180000,39.15,39.23,38.98,39.04,747431,0
BAM.US,60,20240417,190000,39.03,39.11,38.77,38.8,478403,0
BAM.US,60,20240417,200000,38.8,39.01,38.78,39,110270,0
BAM.US,60,20240417,210000,38.99,39.2,38.94,39.14,86668,0
BAM.US,60,20240417,220000,39.13,39.17,38.89,39.03,1443755,0
BAM.US,60,20240418,160000,39,39.08,38.53,38.7,56146,0
BAM.US,60,20240418,170000,38.72,38.795,38.53,38.59,466447,0
BAM.US,60,20240418,180000,38.6,38.73,38.445,38.5,112258,0
BAM.US,60,20240418,190000,38.51,38.69,38.43,38.47,125758,0
BAM.US,60,20240418,200000,38.465,38.49,38.14,38.26,121995,0
BAM.US,60,20240418,210000,38.26,38.42,38.195,38.29,214508,0
