<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAX.US,60,20240411,160000,42.44,42.4452,41.85,42.18,115740,0
BAX.US,60,20240411,170000,42.17,42.265,41.87,41.965,328424,0
BAX.US,60,20240411,180000,41.935,42.035,41.69,41.905,360412,0
BAX.US,60,20240411,190000,41.91,42.025,41.89,42,234185,0
BAX.US,60,20240411,200000,42.01,42.36,42,42.335,151054,0
BAX.US,60,20240411,210000,42.335,42.475,42.325,42.4,215106,0
BAX.US,60,20240411,220000,42.41,42.43,42.1,42.12,1100431,0
BAX.US,60,20240412,160000,41.74,41.9,41.36,41.3902,488490,0
BAX.US,60,20240412,170000,41.41,41.46,40.9,41.005,351481,0
BAX.US,60,20240412,180000,41.015,41.24,41.005,41.015,305381,0
BAX.US,60,20240412,190000,41.015,41.03,40.66,40.665,450413,0
BAX.US,60,20240412,200000,40.665,40.675,40.445,40.485,274467,0
BAX.US,60,20240412,210000,40.48,40.585,40.385,40.395,249357,0
BAX.US,60,20240412,220000,40.39,40.39,40.205,40.33,1316424,0
BAX.US,60,20240415,160000,40.71,40.78,40.525,40.74,215500,0
BAX.US,60,20240415,170000,40.74,40.85,40.545,40.615,168135,0
BAX.US,60,20240415,180000,40.62,40.73,40.395,40.69,252868,0
BAX.US,60,20240415,190000,40.695,40.79,40.43,40.48,132588,0
BAX.US,60,20240415,200000,40.475,40.475,40.17,40.26,148990,0
BAX.US,60,20240415,210000,40.25,40.25,39.865,39.9,358947,0
BAX.US,60,20240415,220000,39.89,40.04,39.815,40.04,1083253,0
BAX.US,60,20240416,160000,40,40.05,39.58,39.585,148467,0
BAX.US,60,20240416,170000,39.595,39.685,39.385,39.4,318086,0
BAX.US,60,20240416,180000,39.4,39.715,39.35,39.635,366519,0
BAX.US,60,20240416,190000,39.635,39.9,39.615,39.82,86378,0
BAX.US,60,20240416,200000,39.825,39.88,39.65,39.88,145058,0
BAX.US,60,20240416,210000,39.86,39.995,39.73,39.975,120022,0
BAX.US,60,20240416,220000,39.98,39.991,39.56,39.57,925035,0
BAX.US,60,20240417,160000,39.71,39.845,39.48,39.71,402334,0
BAX.US,60,20240417,170000,39.71,39.74,39.56,39.635,199577,0
BAX.US,60,20240417,180000,39.63,39.69,39.46,39.545,166807,0
BAX.US,60,20240417,190000,39.541,39.7,39.46,39.7,211251,0
BAX.US,60,20240417,200000,39.7,39.76,39.585,39.645,243187,0
BAX.US,60,20240417,210000,39.645,39.81,39.605,39.725,198120,0
BAX.US,60,20240417,220000,39.71,39.805,39.51,39.52,883896,0
BAX.US,60,20240418,160000,39.74,39.74,39.29,39.535,122050,0
BAX.US,60,20240418,170000,39.54,39.5929,39.36,39.49,197730,0
BAX.US,60,20240418,180000,39.48,39.62,39.32,39.45,162554,0
BAX.US,60,20240418,190000,39.445,39.61,39.445,39.47,151634,0
BAX.US,60,20240418,200000,39.48,39.55,39.305,39.545,239943,0
BAX.US,60,20240418,210000,39.54,39.555,39.355,39.415,159706,0
BAX.US,60,20240418,220000,39.42,39.68,39.41,39.65,843215,0
BAX.US,60,20240419,160000,39.93,39.99,39.6,39.96,170479,0
BAX.US,60,20240419,170000,39.96,40.08,39.835,39.885,171316,0
BAX.US,60,20240419,180000,39.88,39.88,39.65,39.705,118985,0
BAX.US,60,20240419,190000,39.705,39.74,39.53,39.63,156776,0
BAX.US,60,20240419,200000,39.64,39.66,39.53,39.57,168267,0
BAX.US,60,20240419,210000,39.5601,39.57,39.39,39.48,246189,0
BAX.US,60,20240419,220000,39.48,39.57,39.42,39.47,865934,0
BAX.US,60,20240422,160000,39.78,40.01,39.525,40,180951,0
BAX.US,60,20240422,170000,39.99,40.3,39.925,40.16,300939,0
BAX.US,60,20240422,180000,40.15,40.245,40.045,40.12,205409,0
BAX.US,60,20240422,190000,40.115,40.495,40.11,40.47,217666,0
BAX.US,60,20240422,200000,40.47,40.82,40.41,40.77,205856,0
BAX.US,60,20240422,210000,40.77,40.79,40.54,40.64,349215,0
BAX.US,60,20240422,220000,40.64,40.64,40.38,40.4,1166795,0
BAX.US,60,20240423,160000,40.4,40.69,40.25,40.685,102901,0
BAX.US,60,20240423,170000,40.7,40.8575,40.67,40.82,232532,0
BAX.US,60,20240423,180000,40.815,40.96,40.72,40.95,202235,0
BAX.US,60,20240423,190000,40.95,41.03,40.915,40.93,166154,0
BAX.US,60,20240423,200000,40.93,41.02,40.905,41.01,145715,0
BAX.US,60,20240423,210000,41.005,41.045,40.9,40.95,208069,0
BAX.US,60,20240423,220000,40.94,41.18,40.785,41.02,1087452,0
BAX.US,60,20240424,160000,40.54,41.02,40.54,40.7,78026,0
BAX.US,60,20240424,170000,40.71,40.92,40.67,40.71,139599,0
BAX.US,60,20240424,180000,40.7,40.86,40.62,40.82,126075,0
BAX.US,60,20240424,190000,40.825,40.89,40.69,40.77,118417,0
BAX.US,60,20240424,200000,40.78,40.915,40.73,40.8,189198,0
BAX.US,60,20240424,210000,40.8,40.9,40.74,40.88,115208,0
BAX.US,60,20240424,220000,40.87,41.06,40.795,40.93,977837,0
BAX.US,60,20240425,160000,40.75,40.79,40.2,40.29,182591,0
BAX.US,60,20240425,170000,40.28,40.32,39.865,39.9101,562301,0
BAX.US,60,20240425,180000,39.91,39.98,39.785,39.865,244136,0
BAX.US,60,20240425,190000,39.86,39.91,39.765,39.905,120914,0
BAX.US,60,20240425,200000,39.9,40.28,39.87,40.22,298832,0
BAX.US,60,20240425,210000,40.215,40.29,40.055,40.13,265147,0
BAX.US,60,20240425,220000,40.13,40.34,40.095,40.23,1324160,0
BAX.US,60,20240426,160000,40.21,40.42,40.08,40.1,98491,0
BAX.US,60,20240426,170000,40.09,40.305,40.04,40.225,112548,0
BAX.US,60,20240426,180000,40.22,40.22,40,40.06,112717,0
BAX.US,60,20240426,190000,40.065,40.12,39.98,40.02,100993,0
BAX.US,60,20240426,200000,40.02,40.13,39.965,40.03,249999,0
BAX.US,60,20240426,210000,40.035,40.305,40.03,40.295,193475,0
BAX.US,60,20240426,220000,40.295,40.34,40.12,40.13,772572,0
BAX.US,60,20240429,160000,40.18,40.68,40.07,40.545,155314,0
BAX.US,60,20240429,170000,40.54,40.955,40.54,40.9,391456,0
BAX.US,60,20240429,180000,40.9,40.91,40.725,40.75,206333,0
BAX.US,60,20240429,190000,40.75,40.915,40.745,40.785,144469,0
BAX.US,60,20240429,200000,40.785,40.905,40.75,40.75,161666,0
