<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBW.US,60,20240411,160000,28.5,28.5,28.34,28.47,2057,0
BBW.US,60,20240411,170000,28.47,28.515,28.19,28.23,6375,0
BBW.US,60,20240411,180000,28.22,28.28,28.16,28.25,1400,0
BBW.US,60,20240411,190000,28.2641,28.2641,28.11,28.11,3512,0
BBW.US,60,20240411,200000,28.12,28.21,28.01,28.01,3380,0
BBW.US,60,20240411,210000,28.04,28.19,28.025,28.19,3320,0
BBW.US,60,20240411,220000,28.21,28.23,28.04,28.15,31420,0
BBW.US,60,20240412,160000,28.09,28.18,28.08,28.1,2269,0
BBW.US,60,20240412,170000,28.16,28.36,28.05,28.3093,28460,0
BBW.US,60,20240412,180000,28.34,28.34,28.15,28.15,2418,0
BBW.US,60,20240412,190000,28.16,28.18,28.085,28.085,2400,0
BBW.US,60,20240412,200000,28.07,28.16,28.03,28.07,7326,0
BBW.US,60,20240412,210000,28.03,28.05,27.9,27.93,20822,0
BBW.US,60,20240412,220000,27.93,27.97,27.65,27.8,102892,0
BBW.US,60,20240415,160000,27.96,28.15,27.96,28.12,2125,0
BBW.US,60,20240415,170000,28.05,28.12,27.99,28.03,13523,0
BBW.US,60,20240415,180000,28.05,28.05,27.86,27.9,10867,0
BBW.US,60,20240415,190000,27.915,28.01,27.71,27.79,10114,0
BBW.US,60,20240415,200000,27.79,27.81,27.62,27.69,10635,0
BBW.US,60,20240415,210000,27.69,27.69,27.5,27.55,16145,0
BBW.US,60,20240415,220000,27.5302,27.6,27.46,27.58,42498,0
BBW.US,60,20240416,160000,27.47,27.65,27.47,27.62,2111,0
BBW.US,60,20240416,170000,27.64,27.78,27.54,27.61,4383,0
BBW.US,60,20240416,180000,27.62,27.725,27.61,27.62,4181,0
BBW.US,60,20240416,190000,27.61,27.705,27.57,27.705,6656,0
BBW.US,60,20240416,200000,27.67,27.84,27.61,27.62,8507,0
BBW.US,60,20240416,210000,27.621,27.75,27.6,27.67,8626,0
BBW.US,60,20240416,220000,27.61,27.66,27.46,27.5,42159,0
BBW.US,60,20240417,160000,27.71,27.71,27.56,27.66,1566,0
BBW.US,60,20240417,170000,27.57,27.68,27.43,27.6,5948,0
BBW.US,60,20240417,180000,27.6,27.685,27.57,27.65,3592,0
BBW.US,60,20240417,190000,27.62,27.64,27.49,27.51,5071,0
BBW.US,60,20240417,200000,27.52,27.58,27.49,27.58,5183,0
BBW.US,60,20240417,210000,27.55,27.66,27.51,27.55,7957,0
BBW.US,60,20240417,220000,27.54,27.54,27.32,27.32,50894,0
BBW.US,60,20240418,160000,27.32,27.52,27.32,27.52,1410,0
BBW.US,60,20240418,170000,27.52,27.62,27.49,27.54,5478,0
BBW.US,60,20240418,180000,27.55,27.62,27.55,27.61,3801,0
BBW.US,60,20240418,190000,27.63,27.63,27.51,27.56,7737,0
BBW.US,60,20240418,200000,27.58,27.58,27.49,27.52,6313,0
BBW.US,60,20240418,210000,27.52,27.54,27.47,27.54,15890,0
BBW.US,60,20240418,220000,27.55,27.58,27.47,27.54,43572,0
BBW.US,60,20240419,160000,27.41,27.86,27.41,27.86,3768,0
BBW.US,60,20240419,170000,27.91,28.06,27.8802,28.02,9268,0
BBW.US,60,20240419,180000,28.02,28.2,27.99,28.135,8788,0
BBW.US,60,20240419,190000,28.11,28.17,27.96,28.05,5399,0
BBW.US,60,20240419,200000,28.08,28.16,28.03,28.11,5841,0
BBW.US,60,20240419,210000,28.06,28.25,28.06,28.13,11198,0
BBW.US,60,20240419,220000,28.13,28.25,28.0299,28.18,21480,0
BBW.US,60,20240422,160000,28.41,28.415,28.2,28.37,2439,0
BBW.US,60,20240422,170000,28.37,28.5,28.35,28.47,4241,0
BBW.US,60,20240422,180000,28.47,28.65,28.44,28.6,22346,0
BBW.US,60,20240422,190000,28.59,28.74,28.59,28.7,2222,0
BBW.US,60,20240422,200000,28.69,28.92,28.69,28.84,7491,0
BBW.US,60,20240422,210000,28.84,28.89,28.78,28.85,9708,0
BBW.US,60,20240422,220000,28.85,29.045,28.75,28.8,44423,0
BBW.US,60,20240423,160000,28.93,29.2504,28.93,29.15,4055,0
BBW.US,60,20240423,170000,29.27,29.5,29.27,29.34,6906,0
BBW.US,60,20240423,180000,29.3,29.49,29.3,29.38,5903,0
BBW.US,60,20240423,190000,29.4,29.47,29.37,29.44,5165,0
BBW.US,60,20240423,200000,29.46,29.47,29.32,29.345,2552,0
BBW.US,60,20240423,210000,29.36,29.58,29.36,29.44,11221,0
BBW.US,60,20240423,220000,29.44,29.475,29.25,29.29,52101,0
BBW.US,60,20240424,160000,29.28,29.38,29.14,29.3,43263,0
BBW.US,60,20240424,170000,29.3039,29.57,29.275,29.57,9903,0
BBW.US,60,20240424,180000,29.62,29.67,29.45,29.67,8852,0
BBW.US,60,20240424,190000,29.69,29.74,29.4801,29.51,10180,0
BBW.US,60,20240424,200000,29.52,29.67,29.4,29.63,9166,0
BBW.US,60,20240424,210000,29.6,29.69,29.59,29.66,5304,0
BBW.US,60,20240424,220000,29.63,29.78,29.63,29.76,37088,0
BBW.US,60,20240425,160000,29.44,29.455,29.21,29.455,6184,0
BBW.US,60,20240425,170000,29.5,29.6,29.45,29.5,5820,0
BBW.US,60,20240425,180000,29.54,29.735,29.54,29.7038,6851,0
BBW.US,60,20240425,190000,29.7,29.74,29.585,29.595,18857,0
BBW.US,60,20240425,200000,29.585,29.585,29.33,29.36,2980,0
BBW.US,60,20240425,210000,29.36,29.43,29.165,29.205,8668,0
BBW.US,60,20240425,220000,29.21,29.31,29.15,29.29,63419,0
BBW.US,60,20240426,160000,29.25,29.61,29.25,29.37,3509,0
BBW.US,60,20240426,170000,29.37,29.49,29.17,29.17,5469,0
BBW.US,60,20240426,180000,29.19,29.27,29.15,29.18,4885,0
BBW.US,60,20240426,190000,29.17,29.73,29.13,29.73,41295,0
BBW.US,60,20240426,200000,29.75,29.7725,29.4,29.56,22942,0
BBW.US,60,20240426,210000,29.6,29.72,29.55,29.72,10590,0
BBW.US,60,20240426,220000,29.715,29.8499,29.67,29.79,42219,0
BBW.US,60,20240429,160000,29.81,30.3,29.81,30.14,8477,0
BBW.US,60,20240429,170000,30.21,30.33,30.13,30.25,7069,0
BBW.US,60,20240429,180000,30.17,30.17,29.99,30.15,6555,0
BBW.US,60,20240429,190000,30.16,30.34,30.15,30.15,10297,0
BBW.US,60,20240429,200000,30.2124,30.4049,30.2,30.39,6564,0
BBW.US,60,20240429,210000,30.39,30.59,30.33,30.59,11557,0
BBW.US,60,20240429,220000,30.58,30.63,30.39,30.42,55253,0
BBW.US,60,20240430,160000,30.28,30.45,30.16,30.42,2251,0
BBW.US,60,20240430,170000,30.49,30.76,30.46,30.65,10032,0
BBW.US,60,20240430,180000,30.73,30.86,30.54,30.69,116109,0
BBW.US,60,20240430,190000,30.69,30.69,30.39,30.47,10497,0
BBW.US,60,20240430,200000,30.49,30.49,30.26,30.35,8209,0
