<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBY.US,60,20240411,160000,80.37,80.84,79.77,79.96,125461,0
BBY.US,60,20240411,170000,79.94,80.01,79.03,79.225,199804,0
BBY.US,60,20240411,180000,79.2,79.38,79.03,79.32,157637,0
BBY.US,60,20240411,190000,79.33,79.476,79.21,79.405,111948,0
BBY.US,60,20240411,200000,79.3939,79.78,79.3665,79.71,102129,0
BBY.US,60,20240411,210000,79.72,80.13,79.72,79.965,168406,0
BBY.US,60,20240411,220000,79.965,80.26,79.745,80.01,872165,0
BBY.US,60,20240412,160000,79,79.145,77.83,77.94,167292,0
BBY.US,60,20240412,170000,77.89,77.89,77.01,77.31,263938,0
BBY.US,60,20240412,180000,77.35,78.12,77.34,77.905,208669,0
BBY.US,60,20240412,190000,77.9,78.35,77.89,78.21,155120,0
BBY.US,60,20240412,200000,78.2024,78.53,78.08,78.36,196456,0
BBY.US,60,20240412,210000,78.35,78.58,78.22,78.22,143927,0
BBY.US,60,20240412,220000,78.21,78.36,77.96,78,756014,0
BBY.US,60,20240415,160000,78.85,79.58,78.115,78.27,254796,0
BBY.US,60,20240415,170000,78.29,78.42,77.1,77.14,365559,0
BBY.US,60,20240415,180000,77.12,77.5,76.83,77.16,239486,0
BBY.US,60,20240415,190000,77.16,77.35,76.98,77.06,130926,0
BBY.US,60,20240415,200000,77.05,77.1293,76.72,76.94,115247,0
BBY.US,60,20240415,210000,76.95,76.95,76.36,76.475,148141,0
BBY.US,60,20240415,220000,76.48,76.52,76.05,76.29,814708,0
BBY.US,60,20240416,160000,75.99,76.42,75.7,75.94,77044,0
BBY.US,60,20240416,170000,75.93,76.34,75.84,76.31,204510,0
BBY.US,60,20240416,180000,76.305,76.32,75.78,75.86,186558,0
BBY.US,60,20240416,190000,75.82,76.12,75.59,75.675,200988,0
BBY.US,60,20240416,200000,75.68,75.9,75.25,75.32,337681,0
BBY.US,60,20240416,210000,75.29,75.93,75.25,75.88,694778,0
BBY.US,60,20240416,220000,75.87,75.92,75.17,75.17,1369183,0
BBY.US,60,20240417,160000,75.75,76.06,75.57,75.57,115880,0
BBY.US,60,20240417,170000,75.531,75.84,75.39,75.62,152652,0
BBY.US,60,20240417,180000,75.61,75.91,75.34,75.75,155984,0
BBY.US,60,20240417,190000,75.7,76.11,75.53,75.9,143754,0
BBY.US,60,20240417,200000,75.91,76.25,75.89,76.15,151846,0
BBY.US,60,20240417,210000,76.12,76.6911,76.09,76.45,198633,0
BBY.US,60,20240417,220000,76.463,76.6,76.21,76.23,688357,0
BBY.US,60,20240418,160000,76.7,77.26,76.4,76.96,62472,0
BBY.US,60,20240418,170000,76.98,77.18,76.64,77.08,131453,0
BBY.US,60,20240418,180000,77.1,77.32,76.555,76.575,121184,0
BBY.US,60,20240418,190000,76.56,76.635,76.28,76.33,65129,0
BBY.US,60,20240418,200000,76.36,76.395,75.98,76.1,70814,0
BBY.US,60,20240418,210000,76.1,76.18,75.84,75.95,98714,0
BBY.US,60,20240418,220000,75.925,76.11,75.63,76,618491,0
BBY.US,60,20240419,160000,75.91,76.84,75.91,76.8,89583,0
BBY.US,60,20240419,170000,76.78,76.83,76.27,76.37,78241,0
BBY.US,60,20240419,180000,76.33,76.62,76.15,76.34,111210,0
BBY.US,60,20240419,190000,76.345,76.375,75.98,76.24,55216,0
BBY.US,60,20240419,200000,76.26,76.44,76.11,76.2699,54435,0
BBY.US,60,20240419,210000,76.23,76.41,76.08,76.2,97069,0
BBY.US,60,20240419,220000,76.18,76.27,75.99,76.15,253487,0
BBY.US,60,20240422,160000,76.58,76.8,75.24,75.5,129938,0
BBY.US,60,20240422,170000,75.58,75.817,74.76,74.76,188884,0
BBY.US,60,20240422,180000,74.76,74.91,74.525,74.905,229774,0
BBY.US,60,20240422,190000,74.9,75.65,74.9,75.64,213602,0
BBY.US,60,20240422,200000,75.65,75.92,75.53,75.825,115224,0
BBY.US,60,20240422,210000,75.82,75.93,75.59,75.68,146963,0
BBY.US,60,20240422,220000,75.66,75.69,75.05,75.12,814979,0
BBY.US,60,20240423,160000,75.13,75.46,74.34,75.28,185504,0
BBY.US,60,20240423,170000,75.3119,76,75.25,75.56,191987,0
BBY.US,60,20240423,180000,75.57,75.87,75.32,75.82,156938,0
BBY.US,60,20240423,190000,75.83,75.97,75.62,75.66,107133,0
BBY.US,60,20240423,200000,75.6521,75.72,75.35,75.35,111617,0
BBY.US,60,20240423,210000,75.38,75.38,75.08,75.255,229934,0
BBY.US,60,20240423,220000,75.265,75.28,74.93,75.05,829607,0
BBY.US,60,20240424,160000,74.6,74.91,73.61,74.05,289987,0
BBY.US,60,20240424,170000,74.03,74.11,73.54,73.8101,370309,0
BBY.US,60,20240424,180000,73.82,74.31,73.73,73.785,435077,0
BBY.US,60,20240424,190000,73.77,74.0799,73.535,73.92,194707,0
BBY.US,60,20240424,200000,73.92,74.52,73.87,74.325,512017,0
BBY.US,60,20240424,210000,74.325,74.325,73.9,74,171789,0
BBY.US,60,20240424,220000,74,74.52,73.94,74.43,706231,0
BBY.US,60,20240425,160000,73.52,74.045,73.08,73.26,81695,0
BBY.US,60,20240425,170000,73.255,74.13,73.22,74.07,137128,0
BBY.US,60,20240425,180000,74.07,74.62,73.9,74.61,100821,0
BBY.US,60,20240425,190000,74.59,74.8237,74.55,74.82,68512,0
BBY.US,60,20240425,200000,74.83,75.07,74.67,75.035,71253,0
