<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCE.US,60,20240411,160000,32.79,32.97,32.65,32.8359,138012,0
BCE.US,60,20240411,170000,32.84,32.87,32.51,32.51,149957,0
BCE.US,60,20240411,180000,32.51,32.77,32.47,32.77,257584,0
BCE.US,60,20240411,190000,32.77,32.97,32.745,32.805,360923,0
BCE.US,60,20240411,200000,32.805,32.905,32.77,32.895,106516,0
BCE.US,60,20240411,210000,32.89,32.95,32.8601,32.88,128611,0
BCE.US,60,20240411,220000,32.8899,32.89,32.69,32.79,882992,0
BCE.US,60,20240412,160000,32.61,32.83,32.46,32.68,130046,0
BCE.US,60,20240412,170000,32.66,32.7737,32.575,32.695,275402,0
BCE.US,60,20240412,180000,32.69,32.77,32.41,32.48,284557,0
BCE.US,60,20240412,190000,32.475,32.48,32.31,32.3219,150873,0
BCE.US,60,20240412,200000,32.32,32.33,32.19,32.25,172857,0
BCE.US,60,20240412,210000,32.24,32.26,32.07,32.075,286323,0
BCE.US,60,20240412,220000,32.07,32.15,32,32.11,911355,0
BCE.US,60,20240415,160000,32.27,32.77,32.25,32.46,275863,0
BCE.US,60,20240415,170000,32.45,32.53,32.37,32.46,317272,0
BCE.US,60,20240415,180000,32.46,32.58,32.405,32.55,413871,0
BCE.US,60,20240415,190000,32.55,32.5789,32.435,32.45,413006,0
BCE.US,60,20240415,200000,32.45,32.45,32.3209,32.335,705675,0
BCE.US,60,20240415,210000,32.335,32.35,32.1,32.1,305556,0
BCE.US,60,20240415,220000,32.1,32.45,32.09,32.4,851360,0
BCE.US,60,20240416,160000,32.2,32.2,31.825,31.935,137980,0
BCE.US,60,20240416,170000,31.935,32.19,31.82,32.055,300086,0
BCE.US,60,20240416,180000,32.05,32.305,32.04,32.2321,244114,0
BCE.US,60,20240416,190000,32.23,32.245,32.1,32.13,97259,0
BCE.US,60,20240416,200000,32.12,32.185,32.01,32.16,193347,0
BCE.US,60,20240416,210000,32.15,32.3197,32.02,32.3,249314,0
BCE.US,60,20240416,220000,32.305,32.32,32.17,32.22,570254,0
BCE.US,60,20240417,160000,32.32,32.6,32.3,32.58,119555,0
BCE.US,60,20240417,170000,32.575,32.58,32.2699,32.285,145787,0
BCE.US,60,20240417,180000,32.29,32.31,32.07,32.11,244655,0
BCE.US,60,20240417,190000,32.11,32.17,32.06,32.145,314722,0
BCE.US,60,20240417,200000,32.15,32.22,32.1,32.1899,154366,0
BCE.US,60,20240417,210000,32.185,32.28,32.11,32.155,202302,0
BCE.US,60,20240417,220000,32.16,32.32,32.14,32.24,888774,0
BCE.US,60,20240418,160000,32.25,32.38,32.0852,32.15,72295,0
BCE.US,60,20240418,170000,32.17,32.33,32.14,32.325,115861,0
BCE.US,60,20240418,180000,32.325,32.41,32.27,32.3401,134137,0
BCE.US,60,20240418,190000,32.335,32.35,32.1948,32.2,123941,0
BCE.US,60,20240418,200000,32.2,32.24,32.15,32.17,143167,0
BCE.US,60,20240418,210000,32.17,32.175,32.115,32.15,126366,0
BCE.US,60,20240418,220000,32.16,32.26,32.15,32.21,377863,0
BCE.US,60,20240419,160000,32.29,32.59,32.24,32.52,129037,0
BCE.US,60,20240419,170000,32.51,32.7,32.51,32.5737,160893,0
BCE.US,60,20240419,180000,32.57,32.595,32.475,32.525,110370,0
BCE.US,60,20240419,190000,32.5201,32.67,32.45,32.67,112668,0
BCE.US,60,20240419,200000,32.66,32.69,32.61,32.65,117256,0
BCE.US,60,20240419,210000,32.64,32.64,32.46,32.5767,161925,0
BCE.US,60,20240419,220000,32.58,32.63,32.5325,32.6,303827,0
BCE.US,60,20240422,160000,32.71,32.82,32.59,32.65,137828,0
BCE.US,60,20240422,170000,32.65,32.72,32.555,32.68,171751,0
BCE.US,60,20240422,180000,32.685,32.745,32.6301,32.67,119988,0
BCE.US,60,20240422,190000,32.67,32.74,32.65,32.69,206744,0
BCE.US,60,20240422,200000,32.6937,32.77,32.63,32.72,167775,0
BCE.US,60,20240422,210000,32.715,32.8,32.71,32.7402,190620,0
BCE.US,60,20240422,220000,32.75,32.91,32.66,32.9,1378613,0
BCE.US,60,20240423,160000,33.17,33.51,33.04,33.485,210947,0
BCE.US,60,20240423,170000,33.49,33.52,33.33,33.475,226935,0
BCE.US,60,20240423,180000,33.472,33.48,33.3225,33.4,181417,0
BCE.US,60,20240423,190000,33.4,33.4306,33.3699,33.38,110143,0
BCE.US,60,20240423,200000,33.385,33.4,33.325,33.38,94399,0
BCE.US,60,20240423,210000,33.385,33.385,33.2742,33.29,128636,0
BCE.US,60,20240423,220000,33.29,33.44,33.22,33.26,817615,0
BCE.US,60,20240424,160000,33.19,33.33,32.97,33.08,183595,0
BCE.US,60,20240424,170000,33.08,33.1,32.96,32.96,172208,0
BCE.US,60,20240424,180000,32.97,33.01,32.86,32.92,209532,0
BCE.US,60,20240424,190000,32.905,32.99,32.865,32.8911,129664,0
BCE.US,60,20240424,200000,32.89,32.98,32.8735,32.965,128480,0
BCE.US,60,20240424,210000,32.97,32.98,32.85,32.8861,160637,0
BCE.US,60,20240424,220000,32.885,33.08,32.86,33.06,532102,0
