<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS.US,60,20240411,160000,9.41,9.42,9.295,9.375,2609536,0
BCS.US,60,20240411,170000,9.375,9.38,9.27,9.3,5091035,0
BCS.US,60,20240411,180000,9.295,9.38,9.285,9.38,2974778,0
BCS.US,60,20240411,190000,9.3799,9.38,9.34,9.345,1718160,0
BCS.US,60,20240411,200000,9.349,9.38,9.33,9.375,2389806,0
BCS.US,60,20240411,210000,9.375,9.41,9.37,9.385,1839682,0
BCS.US,60,20240411,220000,9.385,9.4,9.35,9.36,1590729,0
BCS.US,60,20240412,160000,9.26,9.33,9.23,9.255,3202141,0
BCS.US,60,20240412,170000,9.26,9.29,9.215,9.225,4256454,0
BCS.US,60,20240412,180000,9.225,9.29,9.21,9.2761,3351052,0
BCS.US,60,20240412,190000,9.275,9.28,9.215,9.225,2180042,0
BCS.US,60,20240412,200000,9.225,9.235,9.18,9.215,2600679,0
BCS.US,60,20240412,210000,9.2199,9.24,9.18,9.185,2197649,0
BCS.US,60,20240412,220000,9.18,9.2,9.165,9.18,2771503,0
BCS.US,60,20240415,160000,9.29,9.376,9.29,9.33,1967835,0
BCS.US,60,20240415,170000,9.34,9.34,9.234,9.255,3115962,0
BCS.US,60,20240415,180000,9.26,9.27,9.2201,9.255,2123221,0
BCS.US,60,20240415,190000,9.255,9.27,9.21,9.2297,1958920,0
BCS.US,60,20240415,200000,9.225,9.24,9.1422,9.175,2908970,0
BCS.US,60,20240415,210000,9.175,9.18,9.13,9.155,2691054,0
BCS.US,60,20240415,220000,9.155,9.17,9.12,9.16,3113970,0
BCS.US,60,20240416,160000,9.05,9.0699,8.95,8.98,2174089,0
BCS.US,60,20240416,170000,8.98,9.02,8.965,8.985,3159882,0
BCS.US,60,20240416,180000,8.985,9.04,8.9501,9.03,2270260,0
BCS.US,60,20240416,190000,9.0243,9.03,9,9.015,2167435,0
BCS.US,60,20240416,200000,9.015,9.0399,8.96,9.025,4117860,0
BCS.US,60,20240416,210000,9.0204,9.085,8.99,9.05,2829415,0
BCS.US,60,20240416,220000,9.0597,9.07,9,9,3136827,0
BCS.US,60,20240417,160000,9.09,9.155,9.08,9.1321,1433057,0
BCS.US,60,20240417,170000,9.135,9.135,9.08,9.095,2320417,0
BCS.US,60,20240417,180000,9.095,9.12,9.07,9.075,2792865,0
BCS.US,60,20240417,190000,9.0745,9.08,9.0304,9.06,3058180,0
BCS.US,60,20240417,200000,9.06,9.1399,9.0501,9.135,1859225,0
BCS.US,60,20240417,210000,9.135,9.17,9.12,9.1243,1383329,0
BCS.US,60,20240417,220000,9.125,9.13,9.09,9.1,3242923,0
BCS.US,60,20240418,160000,9.17,9.2,9.145,9.185,1162823,0
BCS.US,60,20240418,170000,9.185,9.24,9.16,9.235,3486889,0
BCS.US,60,20240418,180000,9.23,9.29,9.23,9.28,2821157,0
BCS.US,60,20240418,190000,9.285,9.31,9.235,9.2397,2439733,0
BCS.US,60,20240418,200000,9.235,9.2498,9.18,9.215,3703394,0
BCS.US,60,20240418,210000,9.21,9.23,9.18,9.205,3427377,0
BCS.US,60,20240418,220000,9.21,9.25,9.2,9.24,3365584,0
BCS.US,60,20240419,160000,9.28,9.34,9.255,9.31,1354498,0
BCS.US,60,20240419,170000,9.315,9.37,9.315,9.345,2597287,0
BCS.US,60,20240419,180000,9.345,9.36,9.31,9.33,2444208,0
BCS.US,60,20240419,190000,9.335,9.345,9.29,9.345,2192791,0
BCS.US,60,20240419,200000,9.345,9.37,9.3225,9.345,1901968,0
BCS.US,60,20240419,210000,9.345,9.35,9.3,9.315,2422149,0
BCS.US,60,20240419,220000,9.315,9.35,9.3016,9.35,2088169,0
BCS.US,60,20240422,160000,9.42,9.45,9.4,9.405,1344345,0
BCS.US,60,20240422,170000,9.41,9.45,9.4,9.435,2162874,0
BCS.US,60,20240422,180000,9.435,9.475,9.425,9.475,1920367,0
BCS.US,60,20240422,190000,9.475,9.49,9.46,9.485,2193574,0
BCS.US,60,20240422,200000,9.485,9.53,9.48,9.5113,1386296,0
BCS.US,60,20240422,210000,9.52,9.54,9.5101,9.53,1967475,0
BCS.US,60,20240422,220000,9.525,9.53,9.49,9.52,2295887,0
BCS.US,60,20240423,160000,9.59,9.65,9.55,9.64,3166930,0
BCS.US,60,20240423,170000,9.64,9.68,9.62,9.67,4404651,0
BCS.US,60,20240423,180000,9.665,9.676,9.6,9.62,2997428,0
BCS.US,60,20240423,190000,9.615,9.67,9.61,9.665,1847421,0
BCS.US,60,20240423,200000,9.66,9.71,9.65,9.685,2239475,0
BCS.US,60,20240423,210000,9.6899,9.69,9.65,9.665,2916850,0
BCS.US,60,20240423,220000,9.6605,9.71,9.65,9.71,2248755,0
BCS.US,60,20240424,160000,9.63,9.645,9.58,9.5999,2449228,0
BCS.US,60,20240424,170000,9.59,9.63,9.57,9.585,3319554,0
BCS.US,60,20240424,180000,9.585,9.61,9.55,9.56,3317953,0
BCS.US,60,20240424,190000,9.565,9.6,9.55,9.5905,1785109,0
BCS.US,60,20240424,200000,9.5901,9.63,9.5801,9.62,2038782,0
BCS.US,60,20240424,210000,9.62,9.63,9.59,9.62,1842767,0
BCS.US,60,20240424,220000,9.62,9.64,9.6,9.6,3026617,0
BCS.US,60,20240425,160000,10.17,10.2985,10.14,10.245,3613953,0
BCS.US,60,20240425,170000,10.25,10.45,10.1803,10.3547,6669604,0
BCS.US,60,20240425,180000,10.355,10.3799,10.215,10.2698,5342063,0
BCS.US,60,20240425,190000,10.26,10.32,10.25,10.295,4136299,0
BCS.US,60,20240425,200000,10.296,10.33,10.2501,10.2998,2624676,0
BCS.US,60,20240425,210000,10.295,10.3099,10.255,10.285,2713710,0
BCS.US,60,20240425,220000,10.285,10.37,10.2708,10.36,4813115,0
BCS.US,60,20240426,160000,10.29,10.36,10.27,10.3201,2147980,0
BCS.US,60,20240426,170000,10.326,10.3699,10.28,10.2859,3855277,0
BCS.US,60,20240426,180000,10.2899,10.42,10.275,10.42,3595515,0
BCS.US,60,20240426,190000,10.41,10.44,10.4001,10.415,1701928,0
BCS.US,60,20240426,200000,10.415,10.42,10.3801,10.41,2509572,0
BCS.US,60,20240426,210000,10.405,10.46,10.4001,10.445,2300659,0
BCS.US,60,20240426,220000,10.445,10.45,10.405,10.42,2929183,0
BCS.US,60,20240429,160000,10.34,10.35,10.26,10.305,1656967,0
BCS.US,60,20240429,170000,10.3099,10.3699,10.3,10.36,3071460,0
BCS.US,60,20240429,180000,10.355,10.36,10.3139,10.335,1543825,0
BCS.US,60,20240429,190000,10.3301,10.376,10.32,10.33,1331598,0
BCS.US,60,20240429,200000,10.325,10.36,10.32,10.355,1290101,0
BCS.US,60,20240429,210000,10.35,10.37,10.33,10.33,1426037,0
BCS.US,60,20240429,220000,10.33,10.33,10.28,10.29,2925880,0
BCS.US,60,20240430,160000,10.3,10.36,10.26,10.265,2185938,0
