<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEN.US,60,20240411,160000,26.38,26.42,26.205,26.345,208257,0
BEN.US,60,20240411,170000,26.35,26.35,26.11,26.15,526286,0
BEN.US,60,20240411,180000,26.155,26.33,26.095,26.3281,182221,0
BEN.US,60,20240411,190000,26.335,26.34,26.215,26.265,181403,0
BEN.US,60,20240411,200000,26.27,26.47,26.25,26.355,175010,0
BEN.US,60,20240411,210000,26.35,26.44,26.225,26.25,287689,0
BEN.US,60,20240411,220000,26.25,26.385,26.245,26.28,1402644,0
BEN.US,60,20240412,160000,26.04,26.16,25.795,25.84,581917,0
BEN.US,60,20240412,170000,25.84,25.84,25.41,25.5,626564,0
BEN.US,60,20240412,180000,25.51,25.71,25.445,25.585,589801,0
BEN.US,60,20240412,190000,25.58,25.58,25.37,25.42,228117,0
BEN.US,60,20240412,200000,25.425,25.52,25.345,25.44,216023,0
BEN.US,60,20240412,210000,25.43,25.5,25.34,25.355,258011,0
BEN.US,60,20240412,220000,25.345,25.445,25.26,25.41,1524665,0
BEN.US,60,20240415,160000,25.59,25.84,25.55,25.605,198223,0
BEN.US,60,20240415,170000,25.62,25.62,25.325,25.36,173321,0
BEN.US,60,20240415,180000,25.37,25.395,25.21,25.27,236630,0
BEN.US,60,20240415,190000,25.265,25.315,25.09,25.095,153398,0
BEN.US,60,20240415,200000,25.1,25.16,24.935,25.04,238096,0
BEN.US,60,20240415,210000,25.03,25.04,24.85,24.925,320204,0
BEN.US,60,20240415,220000,24.92,24.97,24.79,24.94,2635838,0
BEN.US,60,20240416,160000,24.78,24.86,24.485,24.54,168075,0
BEN.US,60,20240416,170000,24.53,24.695,24.4,24.615,347797,0
BEN.US,60,20240416,180000,24.615,24.915,24.611,24.825,336128,0
BEN.US,60,20240416,190000,24.825,24.895,24.75,24.765,975276,0
BEN.US,60,20240416,200000,24.765,24.8,24.61,24.77,493201,0
BEN.US,60,20240416,210000,24.77,24.91,24.66,24.905,352838,0
BEN.US,60,20240416,220000,24.905,24.915,24.68,24.71,1700323,0
BEN.US,60,20240417,160000,24.92,25.16,24.87,25.07,166100,0
BEN.US,60,20240417,170000,25.075,25.075,24.83,24.885,236213,0
BEN.US,60,20240417,180000,24.89,24.98,24.795,24.87,225712,0
BEN.US,60,20240417,190000,24.87,24.92,24.765,24.894,184280,0
BEN.US,60,20240417,200000,24.895,25.06,24.855,25.055,272168,0
BEN.US,60,20240417,210000,25.055,25.075,24.83,24.84,594783,0
BEN.US,60,20240417,220000,24.84,24.925,24.8,24.81,771435,0
BEN.US,60,20240418,160000,24.94,25.025,24.79,24.925,141602,0
BEN.US,60,20240418,170000,24.925,25.15,24.76,25.12,1208638,0
BEN.US,60,20240418,180000,25.12,25.17,24.995,25.025,187276,0
BEN.US,60,20240418,190000,25.03,25.035,24.87,24.89,206755,0
BEN.US,60,20240418,200000,24.89,24.95,24.8225,24.9,157359,0
BEN.US,60,20240418,210000,24.89,24.95,24.825,24.915,140450,0
BEN.US,60,20240418,220000,24.92,25.04,24.8701,25.02,1178623,0
BEN.US,60,20240419,160000,25.08,25.31,25.02,25.235,165479,0
BEN.US,60,20240419,170000,25.24,25.315,25.135,25.23,170576,0
