<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHP.US,60,20240411,160000,59.46,59.68,59.27,59.32,169847,0
BHP.US,60,20240411,170000,59.34,59.355,58.7,58.81,254466,0
BHP.US,60,20240411,180000,58.82,59.16,58.705,59.16,184769,0
BHP.US,60,20240411,190000,59.17,59.32,59.095,59.25,122068,0
BHP.US,60,20240411,200000,59.255,59.5153,59.25,59.465,116507,0
BHP.US,60,20240411,210000,59.465,59.585,59.37,59.405,274178,0
BHP.US,60,20240411,220000,59.41,59.565,59.375,59.49,461896,0
BHP.US,60,20240412,160000,59.69,60.02,59.49,59.77,327796,0
BHP.US,60,20240412,170000,59.77,59.78,59.505,59.575,297950,0
BHP.US,60,20240412,180000,59.56,59.66,59.42,59.51,154872,0
BHP.US,60,20240412,190000,59.5075,59.57,59.02,59.1,164890,0
BHP.US,60,20240412,200000,59.095,59.13,58.9034,59.015,142884,0
BHP.US,60,20240412,210000,59,59.05,58.72,58.72,173963,0
BHP.US,60,20240412,220000,58.71,58.74,58.535,58.56,579379,0
BHP.US,60,20240415,160000,59.76,59.98,59.7,59.83,202631,0
BHP.US,60,20240415,170000,59.83,59.86,59.44,59.46,215595,0
BHP.US,60,20240415,180000,59.47,59.75,59.31,59.7,219631,0
BHP.US,60,20240415,190000,59.71,59.725,59.3543,59.425,156821,0
BHP.US,60,20240415,200000,59.425,59.44,58.975,59.13,163933,0
BHP.US,60,20240415,210000,59.12,59.13,58.865,58.94,126024,0
BHP.US,60,20240415,220000,58.9406,59.11,58.84,59.06,567942,0
BHP.US,60,20240416,160000,57.14,57.29,56.61,56.76,300254,0
BHP.US,60,20240416,170000,56.76,56.935,56.635,56.77,311254,0
BHP.US,60,20240416,180000,56.775,57.185,56.77,57.115,319715,0
BHP.US,60,20240416,190000,57.115,57.23,57.0199,57.225,133318,0
BHP.US,60,20240416,200000,57.23,57.235,56.81,56.99,193252,0
BHP.US,60,20240416,210000,56.98,57.23,56.805,57.145,212404,0
BHP.US,60,20240416,220000,57.15,57.155,56.87,56.96,770554,0
BHP.US,60,20240417,160000,58.98,59.36,58.78,59.12,295025,0
BHP.US,60,20240417,170000,59.125,59.125,58.765,58.915,285042,0
BHP.US,60,20240417,180000,58.905,59.065,58.79,58.905,503594,0
BHP.US,60,20240417,190000,58.905,58.905,58.155,58.32,226228,0
BHP.US,60,20240417,200000,58.32,58.5,58.27,58.43,166931,0
BHP.US,60,20240417,210000,58.425,58.65,58.335,58.435,256590,0
BHP.US,60,20240417,220000,58.445,58.465,58.28,58.41,591601,0
BHP.US,60,20240418,160000,58.76,58.77,57.97,58.07,324547,0
BHP.US,60,20240418,170000,58.065,58.33,57.915,58.16,289903,0
BHP.US,60,20240418,180000,58.17,58.2889,57.945,58.085,372052,0
BHP.US,60,20240418,190000,58.09,58.245,57.935,57.96,166083,0
BHP.US,60,20240418,200000,57.965,57.995,57.785,57.895,133837,0
BHP.US,60,20240418,210000,57.89,58,57.77,57.91,156898,0
BHP.US,60,20240418,220000,57.905,58.1575,57.885,57.99,616358,0
BHP.US,60,20240419,160000,57.76,58.18,57.73,58.04,120762,0
BHP.US,60,20240419,170000,58.06,58.435,58.015,58.36,245361,0
BHP.US,60,20240419,180000,58.35,58.36,58.125,58.225,166761,0
BHP.US,60,20240419,190000,58.22,58.27,57.955,58.18,114153,0
BHP.US,60,20240419,200000,58.19,58.25,58.035,58.185,137886,0
BHP.US,60,20240419,210000,58.185,58.185,57.94,58.05,165533,0
BHP.US,60,20240419,220000,58.04,58.175,57.99,58.14,406565,0
BHP.US,60,20240422,160000,57.91,57.99,57.71,57.96,138595,0
BHP.US,60,20240422,170000,57.96,58.3,57.94,58.19,215733,0
BHP.US,60,20240422,180000,58.19,58.205,57.96,58.185,212763,0
BHP.US,60,20240422,190000,58.19,58.415,58.18,58.415,130163,0
BHP.US,60,20240422,200000,58.415,58.635,58.3825,58.615,149461,0
BHP.US,60,20240422,210000,58.615,58.665,58.52,58.5425,106534,0
BHP.US,60,20240422,220000,58.545,58.57,58.41,58.51,566781,0
BHP.US,60,20240423,160000,57.62,58.04,57.47,57.96,291606,0
BHP.US,60,20240423,170000,57.95,58.275,57.88,58.14,228480,0
BHP.US,60,20240423,180000,58.15,58.365,58.06,58.17,316348,0
BHP.US,60,20240423,190000,58.17,58.52,58.15,58.47,203209,0
BHP.US,60,20240423,200000,58.475,58.64,58.43,58.59,131828,0
BHP.US,60,20240423,210000,58.6,58.61,58.46,58.5,204757,0
BHP.US,60,20240423,220000,58.49,58.74,58.45,58.7,922322,0
BHP.US,60,20240424,160000,59.11,59.23,58.94,58.985,141191,0
BHP.US,60,20240424,170000,58.985,58.99,58.725,58.75,187410,0
BHP.US,60,20240424,180000,58.77,58.875,58.69,58.86,146499,0
BHP.US,60,20240424,190000,58.85,58.98,58.81,58.97,183274,0
BHP.US,60,20240424,200000,58.98,59.2298,58.91,59.185,175251,0
BHP.US,60,20240424,210000,59.185,59.1975,58.97,59.035,134664,0
BHP.US,60,20240424,220000,59.03,59.295,59,59.24,510629,0
BHP.US,60,20240425,160000,57.37,57.99,57.28,57.37,330756,0
BHP.US,60,20240425,170000,57.36,58.13,57.13,57.805,500287,0
BHP.US,60,20240425,180000,57.8,57.85,57.5493,57.71,282537,0
BHP.US,60,20240425,190000,57.68,57.74,57.24,57.3199,410010,0
BHP.US,60,20240425,200000,57.315,57.425,57.225,57.37,276241,0
BHP.US,60,20240425,210000,57.37,57.55,57.29,57.5,246611,0
BHP.US,60,20240425,220000,57.52,57.63,57.09,57.21,1071130,0
BHP.US,60,20240426,160000,56.85,56.87,56.14,56.18,290985,0
BHP.US,60,20240426,170000,56.19,56.19,55.8,55.95,621235,0
BHP.US,60,20240426,180000,55.95,56.405,55.83,56.38,556124,0
BHP.US,60,20240426,190000,56.37,56.51,56.2601,56.495,250535,0
BHP.US,60,20240426,200000,56.5,56.55,56.35,56.355,216397,0
BHP.US,60,20240426,210000,56.355,56.46,56.25,56.46,240130,0
BHP.US,60,20240426,220000,56.455,56.59,56.33,56.43,778347,0
BHP.US,60,20240429,160000,55.88,56.32,55.87,56.18,355391,0
BHP.US,60,20240429,170000,56.2,56.61,56.13,56.6,269291,0
BHP.US,60,20240429,180000,56.595,56.597,56.39,56.4,177931,0
BHP.US,60,20240429,190000,56.3947,56.69,56.35,56.685,145081,0
BHP.US,60,20240429,200000,56.69,56.83,56.61,56.8,133890,0
BHP.US,60,20240429,210000,56.8,56.9,56.665,56.8,198484,0
BHP.US,60,20240429,220000,56.795,56.88,56.62,56.81,704406,0
BHP.US,60,20240430,160000,56.23,56.34,56.05,56.05,136611,0
BHP.US,60,20240430,170000,56.05,56.21,55.94,55.97,362593,0
BHP.US,60,20240430,180000,55.955,55.955,55.575,55.625,234909,0
BHP.US,60,20240430,190000,55.62,55.6899,55.47,55.48,213122,0
BHP.US,60,20240430,200000,55.48,55.65,55.46,55.645,141792,0
BHP.US,60,20240430,210000,55.645,55.705,55.3931,55.405,193779,0
BHP.US,60,20240430,220000,55.405,55.48,55.16,55.16,607353,0
BHP.US,60,20240501,160000,55.3,55.4,55.15,55.37,127307,0
BHP.US,60,20240501,170000,55.38,55.43,55.12,55.235,132599,0
BHP.US,60,20240501,180000,55.23,55.245,55.0112,55.02,233520,0
BHP.US,60,20240501,190000,55.01,55.045,54.85,54.86,182018,0
BHP.US,60,20240501,200000,54.855,54.9144,54.81,54.836,132210,0
BHP.US,60,20240501,210000,54.84,55.59,54.82,55.56,362985,0
BHP.US,60,20240501,220000,55.57,55.74,55,55,510848,0
BHP.US,60,20240502,160000,55.76,55.85,55.585,55.6,126214,0
BHP.US,60,20240502,170000,55.6,55.87,55.51,55.855,265311,0
BHP.US,60,20240502,180000,55.8614,55.89,55.65,55.67,168417,0
BHP.US,60,20240502,190000,55.6645,55.99,55.645,55.985,169747,0
BHP.US,60,20240502,200000,55.99,56.0901,55.925,56.015,147956,0
BHP.US,60,20240502,210000,56.015,56.35,56.005,56.35,273122,0
BHP.US,60,20240502,220000,56.35,56.35,55.53,55.58,944256,0
BHP.US,60,20240506,160000,56.86,56.86,56.595,56.68,111438,0
BHP.US,60,20240506,170000,56.7009,56.8,56.65,56.76,112842,0
BHP.US,60,20240506,180000,56.77,56.86,56.71,56.86,113839,0
BHP.US,60,20240506,190000,56.85,56.865,56.76,56.815,68042,0
BHP.US,60,20240506,200000,56.81,56.91,56.8095,56.905,85578,0
BHP.US,60,20240506,210000,56.905,56.92,56.83,56.865,103679,0
BHP.US,60,20240506,220000,56.865,56.92,56.8,56.86,305320,0
BHP.US,60,20240507,160000,57.56,57.65,57.31,57.57,208745,0
