<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BILL.US,60,20240411,160000,63.79,64.07,62.83,62.9,46339,0
BILL.US,60,20240411,170000,62.89,62.89,62.27,62.47,98185,0
BILL.US,60,20240411,180000,62.43,63.35,62.25,63.255,95364,0
BILL.US,60,20240411,190000,63.21,63.35,63.03,63.35,45120,0
BILL.US,60,20240411,200000,63.34,63.92,63.2,63.92,45219,0
BILL.US,60,20240411,210000,63.91,64.2,63.732,63.84,65519,0
BILL.US,60,20240411,220000,63.84,64.44,63.77,64.12,272027,0
BILL.US,60,20240412,160000,63.9,63.99,62.86,63.04,41150,0
BILL.US,60,20240412,170000,63.045,63.66,62.93,63.1,88510,0
BILL.US,60,20240412,180000,63.08,63.27,62.93,62.93,121011,0
BILL.US,60,20240412,190000,62.91,62.91,62.27,62.42,80879,0
BILL.US,60,20240412,200000,62.4,62.44,61.92,62.14,85621,0
BILL.US,60,20240412,210000,62.14,62.63,62.11,62.135,146769,0
BILL.US,60,20240412,220000,62.09,62.18,61.63,61.66,528612,0
BILL.US,60,20240415,160000,61.62,62.7399,60.97,62.2704,146947,0
BILL.US,60,20240415,170000,62.16,62.16,61.37,61.62,109965,0
BILL.US,60,20240415,180000,61.62,62.54,61.48,62.47,89020,0
BILL.US,60,20240415,190000,62.47,62.78,62.26,62.38,233787,0
BILL.US,60,20240415,200000,62.32,62.42,61.5057,62.23,242777,0
BILL.US,60,20240415,210000,62.245,62.3,61.4,61.445,324321,0
BILL.US,60,20240415,220000,61.5,61.5,60.49,60.93,723974,0
BILL.US,60,20240416,160000,60.61,61.02,59.84,60.31,64911,0
BILL.US,60,20240416,170000,60.2425,61.37,60.2425,60.99,130143,0
BILL.US,60,20240416,180000,61.01,61.59,61,61.415,70746,0
BILL.US,60,20240416,190000,61.415,61.68,61.345,61.51,83245,0
BILL.US,60,20240416,200000,61.56,62.065,61.36,61.96,106288,0
BILL.US,60,20240416,210000,61.95,62.62,61.8,62.4,184987,0
BILL.US,60,20240416,220000,62.39,62.58,62.02,62.5,763773,0
BILL.US,60,20240417,160000,62.87,62.94,62.32,62.64,30008,0
BILL.US,60,20240417,170000,62.55,62.59,61.75,61.99,89144,0
BILL.US,60,20240417,180000,61.99,62.6,61.99,62.56,121165,0
BILL.US,60,20240417,190000,62.59,62.75,62.11,62.18,85130,0
BILL.US,60,20240417,200000,62.18,62.8487,62.18,62.83,113263,0
BILL.US,60,20240417,210000,62.78,63.49,62.77,62.94,53090,0
BILL.US,60,20240417,220000,62.93,62.95,62.36,62.42,296496,0
BILL.US,60,20240418,160000,62.96,63.09,61.575,62.28,62671,0
BILL.US,60,20240418,170000,62.27,63.49,61.96,63.205,74499,0
BILL.US,60,20240418,180000,63.23,63.34,62.49,62.76,120260,0
BILL.US,60,20240418,190000,62.78,63.035,62.12,62.12,51007,0
BILL.US,60,20240418,200000,62.1,62.24,61.325,61.63,84651,0
BILL.US,60,20240418,210000,61.6,61.72,61.27,61.41,70054,0
BILL.US,60,20240418,220000,61.41,61.65,60.93,60.99,345147,0
BILL.US,60,20240419,160000,60.6,60.93,60.39,60.49,93199,0
BILL.US,60,20240419,170000,60.522,61.42,60.14,61.28,134229,0
BILL.US,60,20240419,180000,61.33,61.33,60.64,61.01,82951,0
BILL.US,60,20240419,190000,61.02,61.16,60.49,60.795,100374,0
BILL.US,60,20240419,200000,60.78,61.02,60.38,60.38,43208,0
BILL.US,60,20240419,210000,60.39,60.39,59.66,59.85,123271,0
BILL.US,60,20240419,220000,59.82,60.04,59.421,59.62,333266,0
BILL.US,60,20240422,160000,60.08,60.49,59.17,60.16,111126,0
BILL.US,60,20240422,170000,60.19,60.79,59.78,59.81,90757,0
BILL.US,60,20240422,180000,59.82,60.1,59.5,59.95,92119,0
BILL.US,60,20240422,190000,59.9715,60.05,59.628,60.03,56378,0
BILL.US,60,20240422,200000,60,61.33,59.96,61.088,62030,0
BILL.US,60,20240422,210000,61.06,61.31,60.86,61.089,65833,0
BILL.US,60,20240422,220000,61.085,61.145,60.48,60.61,365283,0
BILL.US,60,20240423,160000,60.27,62.55,60.27,62.19,233884,0
BILL.US,60,20240423,170000,62.28,62.34,61.16,61.415,173244,0
BILL.US,60,20240423,180000,61.415,61.49,60.62,60.64,138421,0
BILL.US,60,20240423,190000,60.62,61.5,60.52,60.91,85301,0
BILL.US,60,20240423,200000,60.9,61.09,60.7,60.885,105645,0
BILL.US,60,20240423,210000,60.9,61.24,60.8,61,169864,0
BILL.US,60,20240423,220000,61,61.35,60.6,61.26,416498,0
BILL.US,60,20240424,160000,61.6,62.01,60.87,60.93,68499,0
BILL.US,60,20240424,170000,60.96,61.6,60.82,61.22,64868,0
BILL.US,60,20240424,180000,61.19,61.245,60.74,60.82,75043,0
BILL.US,60,20240424,190000,60.805,61.21,60.7,61.21,73619,0
BILL.US,60,20240424,200000,61.1668,61.53,61.1668,61.53,53078,0
BILL.US,60,20240424,210000,61.51,61.52,61.25,61.285,45752,0
BILL.US,60,20240424,220000,61.28,61.74,61.17,61.41,262666,0
BILL.US,60,20240425,160000,59.67,60.2,59.03,59.22,62775,0
BILL.US,60,20240425,170000,59.195,60.18,59.07,59.39,89297,0
BILL.US,60,20240425,180000,59.4,60.23,59.36,60.17,95759,0
BILL.US,60,20240425,190000,60.18,60.44,60.06,60.44,42067,0
BILL.US,60,20240425,200000,60.46,60.99,60.23,60.97,49554,0
BILL.US,60,20240425,210000,60.96,61.025,60.375,60.535,39516,0
BILL.US,60,20240425,220000,60.56,60.94,60.31,60.5,229928,0
BILL.US,60,20240426,160000,61.4,61.92,61.0201,61.79,33079,0
BILL.US,60,20240426,170000,61.85,62.64,61.705,62.31,82600,0
BILL.US,60,20240426,180000,62.34,62.59,61.785,61.9,76152,0
BILL.US,60,20240426,190000,61.91,62.4,61.7,62.24,103787,0
BILL.US,60,20240426,200000,62.25,62.56,62.08,62.19,39618,0
BILL.US,60,20240426,210000,62.14,62.2,61.935,62.12,36678,0
BILL.US,60,20240426,220000,62.11,62.87,61.98,62.44,344496,0
BILL.US,60,20240429,160000,62.94,63.055,62.08,62.56,76838,0
BILL.US,60,20240429,170000,62.55,63.86,62.45,63.37,141118,0
BILL.US,60,20240429,180000,63.37,63.53,63.045,63.35,66871,0
BILL.US,60,20240429,190000,63.36,63.41,62.85,62.86,73059,0
BILL.US,60,20240429,200000,62.885,63.22,62.84,62.99,66802,0
BILL.US,60,20240429,210000,62.98,62.98,62.65,62.81,56042,0
BILL.US,60,20240429,220000,62.8,63.15,62.5,63.02,274597,0
BILL.US,60,20240430,160000,62.33,64.13,62.3033,63.9689,48085,0
BILL.US,60,20240430,170000,64.02,64.25,63.415,64.23,149614,0
BILL.US,60,20240430,180000,64.23,64.27,63.515,63.65,74892,0
BILL.US,60,20240430,190000,63.64,63.85,63.2,63.5,93347,0
BILL.US,60,20240430,200000,63.5,64.19,63.46,64.14,147029,0
BILL.US,60,20240430,210000,64.11,64.275,63.15,63.22,88134,0
BILL.US,60,20240430,220000,63.19,63.44,62.32,62.36,549355,0
BILL.US,60,20240501,160000,61.85,63.36,61.6774,62.71,52332,0
BILL.US,60,20240501,170000,62.7,63.13,62.0392,62.78,146571,0
BILL.US,60,20240501,180000,62.73,62.93,62.485,62.895,59790,0
BILL.US,60,20240501,190000,62.85,63.45,62.65,63.08,74381,0
BILL.US,60,20240501,200000,63.1,63.38,62.8,63.28,102140,0
BILL.US,60,20240501,210000,63.24,64.7708,63.09,64.56,134861,0
BILL.US,60,20240501,220000,64.62,64.84,62.715,62.8,472297,0
BILL.US,60,20240502,160000,63.63,63.7399,61.18,61.18,140693,0
BILL.US,60,20240502,170000,61.15,61.64,60.03,61.6,381146,0
BILL.US,60,20240502,180000,61.49,62.12,61.39,61.905,149881,0
BILL.US,60,20240502,190000,61.875,62.43,61.3,62.19,135162,0
BILL.US,60,20240502,200000,62.195,62.51,62,62.245,129116,0
BILL.US,60,20240502,210000,62.28,63.01,62.02,63,435485,0
BILL.US,60,20240502,220000,63.02,63.32,62.52,63.3,949758,0
