<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLK.US,60,20240411,160000,767.749,768.571,764.329,766.831,27534.1908752528,0
BLK.US,60,20240411,170000,767.129,767.129,761.201,762.463,30046.972266068,0
BLK.US,60,20240411,180000,762.483,765.883,761.7,765.473,16961.274388003,0
BLK.US,60,20240411,190000,765.951,766.435,763.131,763.631,21143.786735582,0
BLK.US,60,20240411,200000,763.631,768.884,762.97,766.752,25205.570987022,0
BLK.US,60,20240411,210000,766.547,769.837,765.961,767.31,30442.919496624,0
BLK.US,60,20240411,220000,767.995,771.484,766.948,768.2,203612.02661545,0
BLK.US,60,20240412,160000,767.809,784.855,755.934,758.466,120129.57125512067,0
BLK.US,60,20240412,170000,760.36,765.707,753.88,754.75,106335.87471157,0
BLK.US,60,20240412,180000,755.386,761.651,755.386,757.478,66482.30243289,0
BLK.US,60,20240412,190000,756.89,757.487,749.687,753.084,79073.833612354,0
BLK.US,60,20240412,200000,753.832,756.041,749.736,751.466,36822.069322248,0
BLK.US,60,20240412,210000,751.74,754.106,750.186,750.959,40736.524371621,0
BLK.US,60,20240412,220000,750.352,750.352,744.839,746.149,275998.75144508,0
BLK.US,60,20240415,160000,753.373,758.768,752.767,757.306,60863.33036515452,0
BLK.US,60,20240415,170000,757.561,760.635,750.256,750.528,68811.94544058,0
BLK.US,60,20240415,180000,750.533,753.577,748.285,752.943,37581.223960679,0
BLK.US,60,20240415,190000,752.473,754.151,748.993,749.565,21853.83163999,0
BLK.US,60,20240415,200000,749.522,749.522,739.22,744.215,58713.756382214,0
BLK.US,60,20240415,210000,743.295,746.892,741.672,744.948,52553.554120773,0
BLK.US,60,20240415,220000,745.001,746.667,741.848,745.749,179176.8645809,0
BLK.US,60,20240416,160000,747.322,749.517,738.428,743.795,25109.3977578944,0
BLK.US,60,20240416,170000,743.168,743.442,736.923,740.216,33399.734732559,0
BLK.US,60,20240416,180000,740.842,746.662,739.992,744.869,22141.328207913,0
BLK.US,60,20240416,190000,743.848,744.713,741.106,741.306,8047.8576629287,0
BLK.US,60,20240416,200000,740.871,742.308,736.649,738.936,16001.588335648,0
