<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMY.US,60,20240411,160000,50.46,50.575,49.79,49.82,701896,0
BMY.US,60,20240411,170000,49.815,49.82,49.175,49.44,1491615,0
BMY.US,60,20240411,180000,49.44,49.72,49.375,49.685,1154600,0
BMY.US,60,20240411,190000,49.68,49.71,49.47,49.49,980761,0
BMY.US,60,20240411,200000,49.48,49.77,49.42,49.73,802497,0
BMY.US,60,20240411,210000,49.7284,49.82,49.47,49.485,756355,0
BMY.US,60,20240411,220000,49.485,49.505,49.11,49.12,3723283,0
BMY.US,60,20240412,160000,49.04,49.08,48.65,48.92,910601,0
BMY.US,60,20240412,170000,48.93,49.09,48.77,48.855,1050500,0
BMY.US,60,20240412,180000,48.855,48.9275,48.66,48.85,997289,0
BMY.US,60,20240412,190000,48.8413,48.89,48.56,48.605,1321687,0
BMY.US,60,20240412,200000,48.605,48.715,48.52,48.67,676085,0
BMY.US,60,20240412,210000,48.67,48.79,48.55,48.555,685656,0
BMY.US,60,20240412,220000,48.5575,48.57,48.26,48.28,4307489,0
BMY.US,60,20240415,160000,48.35,48.84,48.12,48.51,1071353,0
BMY.US,60,20240415,170000,48.53,48.75,48.39,48.705,1446419,0
BMY.US,60,20240415,180000,48.72,49.085,48.715,49,1400450,0
BMY.US,60,20240415,190000,49,49.1,48.71,48.805,798525,0
BMY.US,60,20240415,200000,48.8,48.97,48.615,48.94,885860,0
BMY.US,60,20240415,210000,48.935,48.945,48.42,48.47,624925,0
BMY.US,60,20240415,220000,48.475,48.685,48.34,48.51,3481018,0
BMY.US,60,20240416,160000,48.45,48.585,48.24,48.385,520932,0
BMY.US,60,20240416,170000,48.385,48.5286,48.26,48.475,1224261,0
BMY.US,60,20240416,180000,48.48,48.51,48.32,48.445,1434949,0
BMY.US,60,20240416,190000,48.445,48.45,48.36,48.415,706618,0
BMY.US,60,20240416,200000,48.415,48.485,48.33,48.38,1191684,0
BMY.US,60,20240416,210000,48.3813,48.6,48.31,48.54,1906260,0
BMY.US,60,20240416,220000,48.545,48.545,48.25,48.26,3122264,0
BMY.US,60,20240417,160000,48.44,48.55,48.325,48.365,709996,0
BMY.US,60,20240417,170000,48.365,48.385,47.97,47.97,1287824,0
BMY.US,60,20240417,180000,47.98,48.04,47.7,47.83,1147531,0
BMY.US,60,20240417,190000,47.825,48.115,47.81,48.065,1031258,0
BMY.US,60,20240417,200000,48.06,48.15,47.98,48.045,639137,0
BMY.US,60,20240417,210000,48.045,48.13,47.885,47.895,752623,0
BMY.US,60,20240417,220000,47.895,47.99,47.75,47.84,3857823,0
BMY.US,60,20240418,160000,47.93,48.09,47.615,48.075,512121,0
BMY.US,60,20240418,170000,48.075,48.2,47.98,48.105,1221267,0
BMY.US,60,20240418,180000,48.11,48.2,48.04,48.095,787454,0
BMY.US,60,20240418,190000,48.0962,48.145,47.905,47.915,735946,0
BMY.US,60,20240418,200000,47.92,48.06,47.85,48.05,776819,0
BMY.US,60,20240418,210000,48.05,48.23,48.02,48.175,983906,0
BMY.US,60,20240418,220000,48.175,48.405,48.1,48.3,3440329,0
BMY.US,60,20240419,160000,48.21,48.45,48.15,48.335,790409,0
BMY.US,60,20240419,170000,48.34,48.5675,48.18,48.465,802482,0
BMY.US,60,20240419,180000,48.465,48.59,48.41,48.575,543049,0
BMY.US,60,20240419,190000,48.575,48.665,48.475,48.605,766094,0
BMY.US,60,20240419,200000,48.6049,48.845,48.59,48.815,1114239,0
BMY.US,60,20240419,210000,48.81,48.98,48.74,48.965,777321,0
BMY.US,60,20240419,220000,48.965,49.05,48.82,48.93,1931739,0
BMY.US,60,20240422,160000,49,49.19,48.87,49.16,565738,0
BMY.US,60,20240422,170000,49.16,49.4,49.07,49.379,963746,0
BMY.US,60,20240422,180000,49.37,49.41,49.17,49.1801,523054,0
BMY.US,60,20240422,190000,49.19,49.3054,49.12,49.305,524375,0
BMY.US,60,20240422,200000,49.305,49.56,49.26,49.485,601905,0
BMY.US,60,20240422,210000,49.485,49.5,49.34,49.35,525148,0
BMY.US,60,20240422,220000,49.345,49.35,49.055,49.14,2439460,0
BMY.US,60,20240423,160000,49.16,49.47,48.96,49.32,389522,0
BMY.US,60,20240423,170000,49.31,49.36,49.19,49.36,707955,0
BMY.US,60,20240423,180000,49.37,49.46,49.18,49.2362,674205,0
BMY.US,60,20240423,190000,49.2325,49.25,49.12,49.25,785689,0
BMY.US,60,20240423,200000,49.25,49.33,49.18,49.195,577764,0
BMY.US,60,20240423,210000,49.1938,49.26,49.145,49.2,653751,0
BMY.US,60,20240423,220000,49.201,49.2047,48.955,48.99,3696595,0
BMY.US,60,20240424,160000,49,49,48.55,48.675,1028212,0
BMY.US,60,20240424,170000,48.675,48.92,48.6,48.655,1057925,0
BMY.US,60,20240424,180000,48.655,48.76,48.575,48.73,1110522,0
BMY.US,60,20240424,190000,48.735,48.89,48.69,48.7353,865303,0
BMY.US,60,20240424,200000,48.735,49.01,48.675,48.99,1044933,0
BMY.US,60,20240424,210000,48.995,49.045,48.825,48.8682,1129079,0
BMY.US,60,20240424,220000,48.865,48.97,48.77,48.86,3932870,0
BMY.US,60,20240425,160000,47.39,47.5,45.35,45.59,4442795,0
BMY.US,60,20240425,170000,45.59,45.63,44.95,45.1,7634513,0
BMY.US,60,20240425,180000,45.105,45.295,44.67,45.125,5274177,0
BMY.US,60,20240425,190000,45.12,45.23,44.61,44.8101,3359086,0
BMY.US,60,20240425,200000,44.815,44.92,44.37,44.7098,4275077,0
BMY.US,60,20240425,210000,44.705,44.8,44.49,44.67,3140683,0
BMY.US,60,20240425,220000,44.67,44.985,44.6,44.7,10336722,0
BMY.US,60,20240426,160000,44.68,44.855,44.34,44.66,1590740,0
BMY.US,60,20240426,170000,44.665,45.21,44.58,45.135,2024616,0
BMY.US,60,20240426,180000,45.14,45.37,45.09,45.2,1896485,0
BMY.US,60,20240426,190000,45.195,45.31,45.1239,45.215,1291707,0
BMY.US,60,20240426,200000,45.21,45.255,45.02,45.2,1172383,0
BMY.US,60,20240426,210000,45.195,45.31,45.08,45.265,1279033,0
BMY.US,60,20240426,220000,45.2653,45.31,44.78,44.85,7752714,0
BMY.US,60,20240429,160000,45.09,45.38,45,45.085,998754,0
BMY.US,60,20240429,170000,45.11,45.25,44.85,44.855,1372736,0
BMY.US,60,20240429,180000,44.85,44.905,44.71,44.875,1150958,0
BMY.US,60,20240429,190000,44.87,44.8852,44.605,44.63,1161913,0
BMY.US,60,20240429,200000,44.63,44.73,44.61,44.62,1106092,0
BMY.US,60,20240429,210000,44.625,44.735,44.53,44.6612,1380770,0
BMY.US,60,20240429,220000,44.665,44.735,44.565,44.64,5517635,0
BMY.US,60,20240430,160000,44.4,44.4,43.97,44.02,1339237,0
BMY.US,60,20240430,170000,44.03,44.61,44,44.59,1713093,0
BMY.US,60,20240430,180000,44.595,44.76,44.425,44.5734,1484428,0
BMY.US,60,20240430,190000,44.57,44.68,44.515,44.635,873747,0
BMY.US,60,20240430,200000,44.635,44.745,44.53,44.61,737051,0
BMY.US,60,20240430,210000,44.615,44.65,44.22,44.3101,1575573,0
BMY.US,60,20240430,220000,44.32,44.41,43.93,43.94,7096939,0
BMY.US,60,20240501,160000,43.97,44.47,43.728,43.82,1102461,0
BMY.US,60,20240501,170000,43.82,44.215,43.735,44.17,1948117,0
BMY.US,60,20240501,180000,44.18,44.37,44.03,44.225,937712,0
BMY.US,60,20240501,190000,44.22,44.34,44.08,44.18,719608,0
BMY.US,60,20240501,200000,44.18,44.22,44.06,44.115,929661,0
BMY.US,60,20240501,210000,44.12,44.42,43.941,44.365,1422579,0
BMY.US,60,20240501,220000,44.365,44.44,44.1,44.21,4054068,0
BMY.US,60,20240502,160000,44.36,44.42,43.333,43.475,1927594,0
BMY.US,60,20240502,170000,43.475,43.9201,43.445,43.86,1937832,0
BMY.US,60,20240502,180000,43.865,44.025,43.75,43.98,1383921,0
BMY.US,60,20240502,190000,43.975,44.0475,43.94,43.9955,920235,0
BMY.US,60,20240502,200000,44,44.06,43.83,43.885,915800,0
BMY.US,60,20240502,210000,43.885,43.928,43.74,43.855,1369334,0
BMY.US,60,20240502,220000,43.855,43.92,43.61,43.7,4919469,0
