<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNED.US,60,20240411,160000,69.49,72,67,69.51,509.33,0
BNED.US,60,20240411,170000,69.97,69.97,66.03,67.8,665.09,0
BNED.US,60,20240411,180000,67.8,68.8,67.8,68,255.68,0
BNED.US,60,20240411,190000,68.35,68.35,67.1,68.35,93.86,0
BNED.US,60,20240411,200000,68.35,72,68.35,71.55,1589.54,0
BNED.US,60,20240411,210000,72,72,70.71,71.99,1466.05,0
BNED.US,60,20240411,220000,71.98,72,70.7758,71.43,870.57,0
BNED.US,60,20240412,160000,74.4,74.4,70.3,73.74,923.45,0
BNED.US,60,20240412,170000,72.3338,73.779,70.29,70.29,256.87,0
BNED.US,60,20240412,180000,71,71.999,70,71.55,25.72,0
BNED.US,60,20240412,190000,71.7,71.84,70.3,70.3,885.57,0
BNED.US,60,20240412,200000,70.3,70.96,69.49,70.96,678.58,0
BNED.US,60,20240412,210000,70,70.95,70,70.79,389.81,0
BNED.US,60,20240412,220000,70.79,73.79,70.02,71.24,1172.16,0
BNED.US,60,20240415,160000,70,71.66,70,70.98,82.31,0
BNED.US,60,20240415,170000,70.82,71.28,69.0101,69.99,319.41,0
BNED.US,60,20240415,180000,69,69.9,69,69.11,55.18,0
BNED.US,60,20240415,190000,69.2594,69.49,67.2,67.23,276.69,0
BNED.US,60,20240415,200000,67.23,69.5,66,67.69,954.03,0
BNED.US,60,20240415,210000,67.69,68.99,66.46,68.5,677.29,0
BNED.US,60,20240415,220000,68.01,70,67,70,283.3,0
BNED.US,60,20240416,160000,23,27.45,18,24.9799,59358.91,0
BNED.US,60,20240416,170000,24.6,33.9,19.52,24,63518.47,0
BNED.US,60,20240416,180000,24,24,20.79,21.2249,15124.88,0
BNED.US,60,20240416,190000,21.2,23.1,20.52,21.55,16490.24,0
BNED.US,60,20240416,200000,21.55,24.14,20.69,23.5601,15208.66,0
BNED.US,60,20240416,210000,23.99,24.15,22.1,24.01,8360.09,0
BNED.US,60,20240416,220000,24.02,26.8,23.55,25,22169.62,0
BNED.US,60,20240417,160000,24.71,27.89,22.86,26,19831.19,0
BNED.US,60,20240417,170000,26,27.5,25.12,25.4,13067.45,0
BNED.US,60,20240417,180000,25.13,26,23.95,24.7,4240.75,0
BNED.US,60,20240417,190000,24.9,25.48,24.2,25.47,1868.87,0
BNED.US,60,20240417,200000,25.47,25.47,23.05,23.7,5637.81,0
BNED.US,60,20240417,210000,24.1,24.4,23,23.01,2882.58,0
BNED.US,60,20240417,220000,23,24.27,23,24.27,3740.19,0
BNED.US,60,20240418,160000,23.2,23.99,21.59,21.71,4519.1,0
BNED.US,60,20240418,170000,21.72,24.9,21.5,23.99,6877.44,0
BNED.US,60,20240418,180000,23.01,24.34,23,24,2272.16,0
BNED.US,60,20240418,190000,24,24.3,23.75,24.01,1543.9,0
BNED.US,60,20240418,200000,24,24.11,23.35,23.79,3191.28,0
BNED.US,60,20240418,210000,23.8,23.8,23,23.01,595.75,0
BNED.US,60,20240418,220000,23.01,23.8,23,23.61,1958.89,0
BNED.US,60,20240419,160000,24.5,24.5,23.6,23.99,1383.44,0
BNED.US,60,20240419,170000,23.65,24.5,23.65,23.98,3149.87,0
BNED.US,60,20240419,180000,23.98,23.98,23.76,23.93,1150.82,0
BNED.US,60,20240419,190000,23.925,23.96,23,23.56,1398.68,0
BNED.US,60,20240419,200000,23.56,23.82,22.55,22.89,1856.54,0
BNED.US,60,20240419,210000,23.44,23.44,22.59,23.04,819.75,0
BNED.US,60,20240419,220000,23.04,23.44,22.305,23.32,3388.93,0
BNED.US,60,20240422,160000,23.42,23.89,22.31,22.6,2078.59,0
BNED.US,60,20240422,170000,22.4,22.99,22.31,22.99,2616.81,0
BNED.US,60,20240422,180000,22.72,22.98,22.09,22.51,1167.19,0
BNED.US,60,20240422,190000,22.97,22.98,21.6601,21.89,1408.69,0
BNED.US,60,20240422,200000,22,22.24,21.1,21.27,3822.64,0
BNED.US,60,20240422,210000,21.78,21.78,19.8,20.73,7392.19,0
BNED.US,60,20240422,220000,20.7399,20.83,20,20.11,5734.15,0
BNED.US,60,20240423,160000,20.15,21.49,20.15,21.26,2725.46,0
BNED.US,60,20240423,170000,21.49,22.84,21.47,22.1,3615.45,0
BNED.US,60,20240423,180000,22.15,22.18,21,21.07,2286.46,0
BNED.US,60,20240423,190000,21.18,22,21,21.12,1020.81,0
BNED.US,60,20240423,200000,21.305,21.65,21,21.49,951.72,0
BNED.US,60,20240423,210000,21.49,21.49,21,21.12,1036.11,0
BNED.US,60,20240423,220000,21,21.12,20.3,20.64,2284.44,0
BNED.US,60,20240424,160000,20.3,21.2,20.3,20.875,458.22,0
BNED.US,60,20240424,170000,21,21.09,20.65,20.65,1926.97,0
BNED.US,60,20240424,180000,20.65,20.82,20.5,20.51,874.44,0
BNED.US,60,20240424,190000,20.605,20.7,20.2,20.3,1548.6,0
BNED.US,60,20240424,200000,20.23,20.68,20.2,20.5,361.03,0
BNED.US,60,20240424,210000,20.63,20.65,20,20.15,1233.1,0
BNED.US,60,20240424,220000,20.2,20.7,19.33,20.7,3428.71,0
BNED.US,60,20240425,160000,20,20.5,19.81,19.92,256.07,0
BNED.US,60,20240425,170000,20.3,20.3,19.1,19.19,7249.65,0
BNED.US,60,20240425,180000,19.72,20.15,19.17,20.15,2265.4,0
BNED.US,60,20240425,190000,20.19,20.49,19.47,19.84,1587.73,0
BNED.US,60,20240425,200000,20.065,21.09,20.04,21,2016.07,0
BNED.US,60,20240425,210000,21.01,22,20.99,21.69,3048.26,0
BNED.US,60,20240425,220000,21.69,21.7,20.35,20.75,1382.29,0
BNED.US,60,20240426,160000,19.5,19.5,18.14,18.55,4669.75,0
BNED.US,60,20240426,170000,18.55,18.55,18,18.215,4881.13,0
BNED.US,60,20240426,180000,18.215,19.38,18.215,18.57,1384.37,0
BNED.US,60,20240426,190000,18.51,19.49,18.4515,19.3001,1623.86,0
BNED.US,60,20240426,200000,19.45,19.94,19.2,19.35,1318.41,0
BNED.US,60,20240426,210000,19.35,19.86,18.52,18.92,4399.81,0
BNED.US,60,20240426,220000,18.99,19.89,18.3,19.89,4353.84,0
BNED.US,60,20240429,160000,19.61,19.89,19,19.41,1213.43,0
BNED.US,60,20240429,170000,19.41,19.695,19.41,19.695,604.72,0
BNED.US,60,20240429,180000,19.7,20,19.5,19.59,1104.14,0
BNED.US,60,20240429,190000,19.59,19.73,19.59,19.61,273.94,0
BNED.US,60,20240429,200000,19.61,19.61,19.5,19.52,332.73,0
BNED.US,60,20240429,210000,19.52,19.52,19.51,19.52,327.28,0
BNED.US,60,20240429,220000,19.515,20,19.51,20,919.19,0
BNED.US,60,20240430,160000,20.3,21,20,20.52,427.72,0
BNED.US,60,20240430,170000,20.32,20.99,20.21,20.99,1046.6,0
BNED.US,60,20240430,180000,20.9,21,20.7,20.96,1487.84,0
BNED.US,60,20240430,190000,20.8299,20.83,20.4,20.6132,301.79,0
BNED.US,60,20240430,200000,20.43,20.99,20.41,20.82,227.55,0
BNED.US,60,20240430,210000,20.8149,21,20.41,20.62,1074.44,0
BNED.US,60,20240430,220000,20.43,20.51,20.01,20.34,583.59,0
BNED.US,60,20240501,160000,21,21,20.51,20.54,454.82,0
BNED.US,60,20240501,170000,20.56,21.29,20.52,20.99,866.7,0
BNED.US,60,20240501,180000,21.36,21.99,20.62,21.66,1588.03,0
BNED.US,60,20240501,190000,21.66,21.7,21.21,21.31,962.52,0
BNED.US,60,20240501,200000,21.29,21.5,20.67,21.3,679.73,0
BNED.US,60,20240501,210000,21.3,21.5,21,21.32,748.57,0
BNED.US,60,20240501,220000,21.32,22,20.95,20.95,2366.51,0
BNED.US,60,20240502,160000,22,22.29,21.88,22.21,438.74,0
BNED.US,60,20240502,170000,22.19,22.29,21.79,22.13,896.08,0
BNED.US,60,20240502,180000,22.14,22.15,21.98,21.98,612.82,0
BNED.US,60,20240502,190000,22.08,22.08,21.79,22.06,268.4,0
BNED.US,60,20240502,200000,22.06,22.19,21.81,21.81,603.74,0
BNED.US,60,20240502,210000,21.99,21.99,21.1,21.55,1226.45,0
BNED.US,60,20240502,220000,21.55,21.6,21.24,21.6,402.56,0
BNED.US,60,20240506,160000,23,26.49,22,25.94,8129.51,0
BNED.US,60,20240506,170000,26,27.57,24.25,25.32,13460.88,0
BNED.US,60,20240506,180000,25.2,25.31,24,24.23,2081.44,0
BNED.US,60,20240506,190000,24.23,24.55,22.68,23.49,3481.29,0
BNED.US,60,20240506,200000,23.45,23.45,22.84,23,766.88,0
BNED.US,60,20240506,210000,23.15,23.45,22.84,23.21,1024.39,0
BNED.US,60,20240506,220000,23.16,23.42,22.5,22.99,1967.02,0
BNED.US,60,20240507,160000,23.75,23.75,23,23.29,760.86,0
BNED.US,60,20240507,170000,23.1,23.28,22.5,23.2662,923.91,0
BNED.US,60,20240507,180000,23.105,23.21,22.78,23.11,1166.95,0
BNED.US,60,20240507,190000,23.11,23.92,23.11,23.7601,1324.89,0
BNED.US,60,20240507,200000,23.89,24,23.22,23.89,575.12,0
BNED.US,60,20240507,210000,23.79,24,23.09,23.5,482.97,0
BNED.US,60,20240507,220000,23.4,24.5,23.25,23.6,1288.88,0
BNED.US,60,20240508,160000,24,24.49,23.6,24.48,676.0500000000001,0
BNED.US,60,20240508,170000,24.47,24.47,23.62,24.04,420.58,0
BNED.US,60,20240508,180000,24.05,24.5,23.61,23.97,1325.77,0
BNED.US,60,20240508,190000,23.61,27.5,23.61,25.95,12074.16,0
BNED.US,60,20240508,200000,26.77,27.99,25.11,27.65,6898.94,0
BNED.US,60,20240508,210000,27.65,28.5,26.1,27.62,4831.75,0
BNED.US,60,20240508,220000,28,33,27.32,30,14323.12,0
BNED.US,60,20240509,160000,33.62,40.68,32,36.43,26706.64,0
BNED.US,60,20240509,170000,36.705,38.88,30.92,32.05,22971.08,0
BNED.US,60,20240509,180000,32.27,34.99,31.02,33.22,4556.8,0
BNED.US,60,20240509,190000,33.22,33.62,32.02,32.32,1415.26,0
BNED.US,60,20240509,200000,32.32,32.6,31.21,31.22,2609.58,0
BNED.US,60,20240509,210000,31.68,32.01,31,31.36,1539.03,0
BNED.US,60,20240509,220000,31.61,32.65,31,31.4,2759.32,0
BNED.US,60,20240510,160000,32.71,33.55,31,32.7099,2628.79,0
BNED.US,60,20240510,170000,32.23,32.7199,30.48,31,2261.28,0
BNED.US,60,20240510,180000,31.01,31.24,30.1,30.37,2653.27,0
BNED.US,60,20240510,190000,30.25,30.3,28.49,28.95,2973.15,0
BNED.US,60,20240510,200000,28.875,30,28.875,29.16,3408.56,0
BNED.US,60,20240510,210000,29.16,29.93,28.57,29.18,1304.14,0
BNED.US,60,20240510,220000,29.26,29.26,28,29.08,3577.42,0
BNED.US,60,20240513,160000,18.57,20,16.6,17.5,29241.23,0
BNED.US,60,20240513,170000,17.5,17.5,15.15,16.6599,24513,0
BNED.US,60,20240513,180000,16.66,16.67,16.38,16.5,12154.46,0
BNED.US,60,20240513,190000,16.5,16.7,16.4,16.7,5097.74,0
BNED.US,60,20240513,200000,16.5999,18,16.5999,17.71,13477.35,0
BNED.US,60,20240513,210000,17.71,17.74,17.1,17.29,7700.4,0
BNED.US,60,20240513,220000,17.28,18.53,16.6,18.53,20515.35,0
BNED.US,60,20240514,160000,18,20.31,17.61,19,12661.68,0
BNED.US,60,20240514,170000,19.0399,19.5,18,18.1,8339.48,0
BNED.US,60,20240514,180000,18.1,18.94,18.09,18.38,3617.46,0
BNED.US,60,20240514,190000,18.39,18.84,18.21,18.215,1461.74,0
BNED.US,60,20240514,200000,18.22,18.28,18,18.03,4892.13,0
BNED.US,60,20240514,210000,18.015,18.78,17.1,18.29,4129.26,0
BNED.US,60,20240514,220000,18.44,19.33,18.01,19,8464.16,0
BNED.US,60,20240515,160000,18.29,18.98,17,17.19,12789.68,0
BNED.US,60,20240515,170000,17.19,17.46,16.64,16.77,9649.39,0
BNED.US,60,20240515,180000,16.7601,16.81,16.6,16.605,6352.04,0
BNED.US,60,20240515,190000,16.6,17.6,16.6,17.45,4776,0
BNED.US,60,20240515,200000,17.3,18.31,17.3,18.01,6240.12,0
BNED.US,60,20240515,210000,18.01,18.41,18,18.27,1867.95,0
BNED.US,60,20240515,220000,18.25,19,18,19,6470.22,0
BNED.US,60,20240516,160000,18.19,18.5,17.36,17.4499,4677.7300000000005,0
BNED.US,60,20240516,170000,17.41,18.85,17.36,18.54,5138.8,0
