<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNS.US,60,20240411,160000,49.08,49.2,48.88,48.88,152117,0
BNS.US,60,20240411,170000,48.885,48.885,48.565,48.62,421987,0
BNS.US,60,20240411,180000,48.62,48.93,48.535,48.9,298520,0
BNS.US,60,20240411,190000,48.92,49.045,48.85,48.96,226143,0
BNS.US,60,20240411,200000,48.96,49.13,48.94,49.08,306615,0
BNS.US,60,20240411,210000,49.085,49.24,49.06,49.1,241807,0
BNS.US,60,20240411,220000,49.09,49.12,48.925,48.97,1757843,0
BNS.US,60,20240412,160000,48.55,48.805,48.36,48.64,118257,0
BNS.US,60,20240412,170000,48.66,48.66,48.38,48.55,267361,0
BNS.US,60,20240412,180000,48.545,48.655,48.47,48.59,313030,0
BNS.US,60,20240412,190000,48.59,48.6,48.325,48.36,245539,0
BNS.US,60,20240412,200000,48.36,48.42,48.15,48.26,245405,0
BNS.US,60,20240412,210000,48.25,48.32,48.09,48.13,248223,0
BNS.US,60,20240412,220000,48.13,48.345,48.05,48.19,1399370,0
BNS.US,60,20240415,160000,48.58,48.82,48.38,48.46,135596,0
BNS.US,60,20240415,170000,48.465,48.465,47.99,48.04,179643,0
BNS.US,60,20240415,180000,48.04,48.1,47.98,48.0599,148651,0
BNS.US,60,20240415,190000,48.06,48.09,47.875,47.91,104479,0
BNS.US,60,20240415,200000,47.9,47.968,47.45,47.58,213460,0
BNS.US,60,20240415,210000,47.57,47.57,47.335,47.38,212556,0
BNS.US,60,20240415,220000,47.375,47.5,47.32,47.48,580021,0
BNS.US,60,20240416,160000,47.24,47.26,46.46,46.515,173226,0
BNS.US,60,20240416,170000,46.51,46.62,46.35,46.475,226473,0
BNS.US,60,20240416,180000,46.47,46.77,46.465,46.66,141840,0
BNS.US,60,20240416,190000,46.65,46.71,46.53,46.59,161065,0
BNS.US,60,20240416,200000,46.57,46.6692,46.325,46.51,672062,0
BNS.US,60,20240416,210000,46.49,46.73,46.37,46.61,233379,0
BNS.US,60,20240416,220000,46.62,46.63,46.31,46.38,701261,0
BNS.US,60,20240417,160000,46.54,47.0199,46.51,46.91,76675,0
BNS.US,60,20240417,170000,46.9,46.9,46.53,46.61,105200,0
BNS.US,60,20240417,180000,46.61,46.735,46.4,46.435,114931,0
BNS.US,60,20240417,190000,46.44,46.44,46.25,46.38,98821,0
BNS.US,60,20240417,200000,46.375,46.66,46.35,46.635,84224,0
BNS.US,60,20240417,210000,46.62,46.77,46.54,46.57,75985,0
BNS.US,60,20240417,220000,46.55,46.72,46.46,46.62,481447,0
BNS.US,60,20240418,160000,46.74,46.83,46.57,46.72,80775,0
BNS.US,60,20240418,170000,46.705,46.83,46.6,46.79,155241,0
BNS.US,60,20240418,180000,46.8,46.96,46.63,46.7,83858,0
BNS.US,60,20240418,190000,46.7,46.75,46.53,46.53,95374,0
BNS.US,60,20240418,200000,46.53,46.55,46.34,46.38,115301,0
BNS.US,60,20240418,210000,46.37,46.469,46.35,46.415,76064,0
BNS.US,60,20240418,220000,46.415,46.595,46.41,46.57,414523,0
BNS.US,60,20240419,160000,46.57,46.935,46.5,46.88,107076,0
BNS.US,60,20240419,170000,46.885,47.06,46.875,46.95,174700,0
BNS.US,60,20240419,180000,46.95,47.095,46.9,46.975,102407,0
BNS.US,60,20240419,190000,46.97,47.01,46.73,46.94,113264,0
BNS.US,60,20240419,200000,46.93,47.01,46.895,46.915,133350,0
BNS.US,60,20240419,210000,46.915,46.915,46.71,46.83,156276,0
BNS.US,60,20240419,220000,46.82,46.9,46.66,46.74,639424,0
BNS.US,60,20240422,160000,46.96,47.04,46.69,46.81,96041,0
BNS.US,60,20240422,170000,46.82,46.92,46.77,46.78,190150,0
BNS.US,60,20240422,180000,46.77,46.775,46.67,46.755,101811,0
BNS.US,60,20240422,190000,46.76,46.91,46.75,46.91,190262,0
BNS.US,60,20240422,200000,46.915,47.1,46.89,47.05,273505,0
BNS.US,60,20240422,210000,47.055,47.095,46.95,47.025,210359,0
BNS.US,60,20240422,220000,47.02,47.09,46.85,47.09,567991,0
BNS.US,60,20240423,160000,47.17,47.34,46.88,47.17,88508,0
BNS.US,60,20240423,170000,47.18,47.2,47.015,47.175,178335,0
BNS.US,60,20240423,180000,47.17,47.24,47.09,47.145,132792,0
BNS.US,60,20240423,190000,47.145,47.29,47.125,47.275,112741,0
BNS.US,60,20240423,200000,47.27,47.34,47.225,47.33,161107,0
BNS.US,60,20240423,210000,47.32,47.335,47.165,47.21,120489,0
BNS.US,60,20240423,220000,47.21,47.32,47.175,47.29,704367,0
BNS.US,60,20240424,160000,47.05,47.22,47,47.05,85085,0
BNS.US,60,20240424,170000,47.055,47.09,46.79,46.79,288449,0
BNS.US,60,20240424,180000,46.81,46.825,46.56,46.627,135124,0
BNS.US,60,20240424,190000,46.62,46.695,46.585,46.675,148792,0
BNS.US,60,20240424,200000,46.67,46.7873,46.61,46.77,107129,0
BNS.US,60,20240424,210000,46.77,46.77,46.665,46.7,144164,0
BNS.US,60,20240424,220000,46.69,46.91,46.675,46.8,588744,0
BNS.US,60,20240425,160000,46.46,46.46,45.76,45.78,195288,0
BNS.US,60,20240425,170000,45.775,45.82,45.6369,45.8046,255178,0
BNS.US,60,20240425,180000,45.8,45.92,45.75,45.89,138742,0
BNS.US,60,20240425,190000,45.89,46.16,45.87,46.14,125790,0
BNS.US,60,20240425,200000,46.15,46.33,46.105,46.305,111627,0
BNS.US,60,20240425,210000,46.3,46.3,46.11,46.165,108088,0
BNS.US,60,20240425,220000,46.165,46.32,46.16,46.23,596897,0
BNS.US,60,20240426,160000,46.25,46.445,46.16,46.42,92851,0
BNS.US,60,20240426,170000,46.41,46.53,46.34,46.35,145125,0
BNS.US,60,20240426,180000,46.34,46.425,46.32,46.425,84492,0
BNS.US,60,20240426,190000,46.43,46.56,46.42,46.53,100909,0
BNS.US,60,20240426,200000,46.54,46.575,46.48,46.485,54834,0
BNS.US,60,20240426,210000,46.4817,46.585,46.48,46.58,102399,0
BNS.US,60,20240426,220000,46.5788,46.62,46.51,46.56,379650,0
BNS.US,60,20240429,160000,46.56,46.78,46.43,46.43,115420,0
BNS.US,60,20240429,170000,46.44,46.71,46.44,46.695,145829,0
BNS.US,60,20240429,180000,46.69,46.74,46.59,46.63,114663,0
BNS.US,60,20240429,190000,46.635,46.635,46.47,46.5,102589,0
BNS.US,60,20240429,200000,46.49,46.5,46.38,46.38,119874,0
BNS.US,60,20240429,210000,46.3706,46.44,46.2445,46.335,182234,0
BNS.US,60,20240429,220000,46.335,46.46,46.18,46.44,650890,0
BNS.US,60,20240430,160000,46.01,46.21,45.95,46.12,89031,0
BNS.US,60,20240430,170000,46.13,46.22,46.07,46.15,126291,0
BNS.US,60,20240430,180000,46.15,46.16,45.95,46.01,85135,0
BNS.US,60,20240430,190000,46.01,46.03,45.9,45.975,68293,0
BNS.US,60,20240430,200000,45.9799,46.15,45.97,46.15,101184,0
BNS.US,60,20240430,210000,46.16,46.19,46.01,46.055,76956,0
BNS.US,60,20240430,220000,46.06,46.09,45.84,45.9,558620,0
BNS.US,60,20240501,160000,45.98,46.09,45.81,46,58624,0
BNS.US,60,20240501,170000,46.02,46.06,45.89,46.015,134148,0
BNS.US,60,20240501,180000,46,46.04,45.86,45.9,128764,0
BNS.US,60,20240501,190000,45.9,45.96,45.84,45.861,113360,0
BNS.US,60,20240501,200000,45.86,45.99,45.84,45.96,50288,0
BNS.US,60,20240501,210000,45.98,46.585,45.89,46.535,309993,0
BNS.US,60,20240501,220000,46.55,46.63,46.2,46.28,567394,0
BNS.US,60,20240502,160000,46.55,46.58,46.15,46.24,111929,0
BNS.US,60,20240502,170000,46.24,46.27,46.048,46.18,143188,0
