<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BP.US,60,20240411,160000,39.75,39.76,39.33,39.35,899803,0
BP.US,60,20240411,170000,39.345,39.345,38.9,38.975,1051028,0
BP.US,60,20240411,180000,38.965,39.095,38.94,39.07,896069,0
BP.US,60,20240411,190000,39.07,39.19,39.054,39.164,787890,0
BP.US,60,20240411,200000,39.165,40,39.14,39.355,3820000,0
BP.US,60,20240411,210000,39.35,39.64,39.32,39.635,2450230,0
BP.US,60,20240411,220000,39.635,39.805,39.58,39.65,4517642,0
BP.US,60,20240412,160000,40.07,40.4,40,40.21,1825508,0
BP.US,60,20240412,170000,40.2,40.34,40.145,40.25,1739094,0
BP.US,60,20240412,180000,40.255,40.3,39.99,40.19,3086927,0
BP.US,60,20240412,190000,40.19,40.27,40.02,40.025,1304188,0
BP.US,60,20240412,200000,40.02,40.025,39.705,39.75,1121315,0
BP.US,60,20240412,210000,39.74,39.79,39.41,39.42,1659856,0
BP.US,60,20240412,220000,39.415,39.54,39.345,39.44,3202709,0
BP.US,60,20240415,160000,39.53,39.55,39.33,39.41,820118,0
BP.US,60,20240415,170000,39.405,39.475,39.165,39.425,1859439,0
BP.US,60,20240415,180000,39.43,39.47,39.2676,39.425,1383058,0
BP.US,60,20240415,190000,39.425,39.435,39.16,39.195,1917160,0
BP.US,60,20240415,200000,39.19,39.2,38.935,39.1,1848791,0
BP.US,60,20240415,210000,39.1,39.145,38.97,39.025,2184325,0
BP.US,60,20240415,220000,39.025,39.085,38.93,39.07,3988403,0
BP.US,60,20240416,160000,38.64,38.78,38.34,38.4301,681268,0
BP.US,60,20240416,170000,38.425,38.465,38.185,38.425,2135859,0
BP.US,60,20240416,180000,38.43,38.63,38.41,38.545,2812877,0
BP.US,60,20240416,190000,38.545,38.64,38.5,38.595,1871174,0
BP.US,60,20240416,200000,38.59,38.65,38.465,38.57,1026671,0
BP.US,60,20240416,210000,38.565,38.74,38.48,38.73,992786,0
BP.US,60,20240416,220000,38.735,38.78,38.595,38.63,2243011,0
BP.US,60,20240417,160000,38.56,38.89,38.53,38.795,721635,0
BP.US,60,20240417,170000,38.8,38.84,38.645,38.66,1239890,0
BP.US,60,20240417,180000,38.655,38.705,38.52,38.545,1438433,0
BP.US,60,20240417,190000,38.545,38.555,38.12,38.24,1446683,0
BP.US,60,20240417,200000,38.245,38.41,38.21,38.405,985973,0
BP.US,60,20240417,210000,38.405,38.525,38.33,38.35,1313752,0
BP.US,60,20240417,220000,38.35,38.43,38.26,38.37,1849508,0
BP.US,60,20240418,160000,38.29,38.45,38.17,38.37,564212,0
BP.US,60,20240418,170000,38.365,38.455,38.33,38.365,1518428,0
BP.US,60,20240418,180000,38.36,38.37,38.17,38.26,933590,0
BP.US,60,20240418,190000,38.27,38.3483,38.19,38.2,865081,0
BP.US,60,20240418,200000,38.205,38.21,38.01,38.04,671609,0
BP.US,60,20240418,210000,38.035,38.04,37.865,37.92,746066,0
BP.US,60,20240418,220000,37.925,38.0199,37.89,37.92,2317946,0
BP.US,60,20240419,160000,38.11,38.315,38.02,38.275,541815,0
BP.US,60,20240419,170000,38.28,38.5178,38.27,38.395,1001314,0
BP.US,60,20240419,180000,38.395,38.43,38.25,38.375,1310165,0
BP.US,60,20240419,190000,38.37,38.43,38.22,38.43,1241092,0
BP.US,60,20240419,200000,38.425,38.5299,38.4101,38.475,1211253,0
BP.US,60,20240419,210000,38.475,38.515,38.4,38.485,1487824,0
