<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BURL.US,60,20240411,160000,194.74,195.655,194.39,195.2,12236,0
BURL.US,60,20240411,170000,195.02,195.155,194.14,194.9,30593,0
BURL.US,60,20240411,180000,194.98,195.97,194.61,195.97,35237,0
BURL.US,60,20240411,190000,195.99,197.42,195.955,196.96,51939,0
BURL.US,60,20240411,200000,197,198.18,196.835,197.95,44228,0
BURL.US,60,20240411,210000,198,199.19,198,198.7,61785,0
BURL.US,60,20240411,220000,198.745,198.87,197.81,198.06,216837,0
BURL.US,60,20240412,160000,195.07,196.12,193.01,194.1336,126877,0
BURL.US,60,20240412,170000,194.65,194.875,192.44,192.47,107688,0
BURL.US,60,20240412,180000,192.35,192.99,192.2617,192.51,79828,0
BURL.US,60,20240412,190000,192.5616,192.5616,191.16,191.27,88199,0
BURL.US,60,20240412,200000,191.265,191.95,190.92,191.24,45748,0
BURL.US,60,20240412,210000,191.23,191.23,190.03,190.43,54834,0
BURL.US,60,20240412,220000,190.38,190.43,189.06,190.11,350439,0
BURL.US,60,20240415,160000,192.35,192.63,189.59,190.09,42313,0
BURL.US,60,20240415,170000,189.975,189.975,186.2,186.2,101857,0
BURL.US,60,20240415,180000,186.19,187.1,185.705,186.6,45471,0
BURL.US,60,20240415,190000,186.61,186.73,185.51,185.88,46232,0
BURL.US,60,20240415,200000,185.85,186.23,184.66,185.61,70833,0
BURL.US,60,20240415,210000,185.57,185.57,184.48,184.96,61777,0
BURL.US,60,20240415,220000,184.96,185.15,183.815,184.76,496002,0
BURL.US,60,20240416,160000,184.59,185.235,183.12,183.69,17752,0
BURL.US,60,20240416,170000,183.695,184.27,182.99,183.055,87652,0
BURL.US,60,20240416,180000,183,183.435,182.295,183.065,62699,0
BURL.US,60,20240416,190000,183.065,183.43,182.63,182.82,46267,0
BURL.US,60,20240416,200000,182.91,183.24,181.5175,182.015,82969,0
BURL.US,60,20240416,210000,181.96,182.68,180.57,181.86,72504,0
BURL.US,60,20240416,220000,181.9,182.36,180.75,180.92,357943,0
BURL.US,60,20240417,160000,182.1,183.32,180.42,180.935,37745,0
BURL.US,60,20240417,170000,180.92,181.23,178.89,179.74,52333,0
