<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BX.US,60,20240411,160000,126.5,126.7,125.82,126.44,120355,0
BX.US,60,20240411,170000,126.48,126.48,124.63,125.2,255549,0
BX.US,60,20240411,180000,125.22,126.11,125.105,126,201397,0
BX.US,60,20240411,190000,126,126.51,125.67,125.77,177548,0
BX.US,60,20240411,200000,125.79,127.65,125.73,127.6,393389,0
BX.US,60,20240411,210000,127.68,128.19,127.27,127.53,151172,0
BX.US,60,20240411,220000,127.56,127.77,126.81,126.87,835491,0
BX.US,60,20240412,160000,125.7,125.99,124.43,124.8,135480,0
BX.US,60,20240412,170000,124.68,124.72,122.76,123.44,503615,0
BX.US,60,20240412,180000,123.425,124.24,123.425,124.09,268914,0
BX.US,60,20240412,190000,124.1,124.1403,123.07,123.19,165616,0
BX.US,60,20240412,200000,123.2,124.05,122.67,123.43,301079,0
BX.US,60,20240412,210000,123.4,123.925,123.03,123.25,153028,0
BX.US,60,20240412,220000,123.23,123.51,123.01,123.47,965092,0
BX.US,60,20240415,160000,124.82,125.5,124.36,124.59,90584,0
BX.US,60,20240415,170000,124.59,124.76,122.38,122.4,199243,0
BX.US,60,20240415,180000,122.38,123.07,122.01,122.82,196844,0
BX.US,60,20240415,190000,122.84,122.96,121.67,122.025,166559,0
BX.US,60,20240415,200000,122.04,122.1,120.4,121.1213,241241,0
BX.US,60,20240415,210000,121.13,121.13,120.21,120.52,217644,0
BX.US,60,20240415,220000,120.46,121.39,119.94,121.17,1026776,0
BX.US,60,20240416,160000,120.63,121.18,120.18,120.6632,249453,0
BX.US,60,20240416,170000,120.68,120.86,119.69,120.34,188624,0
BX.US,60,20240416,180000,120.325,122.26,120.325,121.705,349340,0
BX.US,60,20240416,190000,121.715,122.23,121.405,122.17,149728,0
BX.US,60,20240416,200000,122.185,122.63,121.64,122,207410,0
BX.US,60,20240416,210000,121.99,122.86,121.6069,122.735,192443,0
BX.US,60,20240416,220000,122.74,122.84,121.84,121.88,694414,0
BX.US,60,20240417,160000,123.28,124.61,122.925,123.14,335204,0
BX.US,60,20240417,170000,123.18,123.51,122.56,122.92,308004,0
BX.US,60,20240417,180000,122.97,123.46,122.28,123.12,278090,0
BX.US,60,20240417,190000,123.12,123.12,121.94,122.23,333139,0
BX.US,60,20240417,200000,122.22,123.6,122.22,123.49,357151,0
BX.US,60,20240417,210000,123.49,124.3,123.18,123.24,402355,0
BX.US,60,20240417,220000,123.22,124.03,122.84,123.19,1546870,0
BX.US,60,20240418,160000,121.13,123.45,120.42,121.06,692601,0
BX.US,60,20240418,170000,121.07,121.15,119.06,119.96,537812,0
BX.US,60,20240418,180000,119.9366,121.64,119.78,120.72,451791,0
BX.US,60,20240418,190000,120.735,121,119.835,120.25,349542,0
BX.US,60,20240418,200000,120.28,120.43,119.2001,119.6,399623,0
BX.US,60,20240418,210000,119.57,120.01,119.2,119.7,220447,0
BX.US,60,20240418,220000,119.71,120.63,119.63,120.32,1131053,0
BX.US,60,20240419,160000,120.15,121.79,119.55,121.4,301828,0
BX.US,60,20240419,170000,121.335,121.64,118.9359,119.45,365077,0
BX.US,60,20240419,180000,119.43,120,118.93,119.3,256278,0
BX.US,60,20240419,190000,119.29,119.55,118.22,119.28,274790,0
BX.US,60,20240419,200000,119.24,119.44,118.7301,119.1,198613,0
BX.US,60,20240419,210000,119.04,119.04,118.06,118.3282,325122,0
BX.US,60,20240419,220000,118.3,118.71,118.11,118.4,631769,0
BX.US,60,20240422,160000,119.55,119.64,117.76,118.9932,128285,0
BX.US,60,20240422,170000,118.91,119.895,118.83,119.495,165257,0
BX.US,60,20240422,180000,119.43,120.31,119.38,120.31,176119,0
BX.US,60,20240422,190000,120.34,120.89,120.25,120.89,167646,0
BX.US,60,20240422,200000,120.85,122.45,120.7,122.31,336618,0
BX.US,60,20240422,210000,122.305,123,122.25,122.605,265001,0
