<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYD.US,60,20240411,160000,65.06,65.305,64.87,65.21,9234,0
BYD.US,60,20240411,170000,65.12,65.13,64.46,64.7,44262,0
BYD.US,60,20240411,180000,64.65,64.95,64.58,64.93,79641,0
BYD.US,60,20240411,190000,64.96,65,64.72,65,68098,0
BYD.US,60,20240411,200000,65.01,65.58,64.91,65.52,59965,0
BYD.US,60,20240411,210000,65.48,65.65,65.41,65.49,33378,0
BYD.US,60,20240411,220000,65.48,65.61,65.35,65.44,205039,0
BYD.US,60,20240412,160000,64.87,65.04,64.64,64.95,28465,0
BYD.US,60,20240412,170000,64.95,64.996,64.7,64.935,41667,0
BYD.US,60,20240412,180000,64.9,65.07,64.73,64.75,30081,0
BYD.US,60,20240412,190000,64.755,64.86,64.5,64.53,52875,0
BYD.US,60,20240412,200000,64.51,64.515,64.24,64.365,71029,0
BYD.US,60,20240412,210000,64.3,64.49,64.25,64.32,46943,0
BYD.US,60,20240412,220000,64.3,64.47,64.23,64.4,205085,0
BYD.US,60,20240415,160000,65,65.78,64.86,65.72,16159,0
BYD.US,60,20240415,170000,65.735,65.735,64.91,65.145,39839,0
BYD.US,60,20240415,180000,65.19,65.43,65.07,65.42,52665,0
BYD.US,60,20240415,190000,65.4,65.52,65.23,65.32,24391,0
BYD.US,60,20240415,200000,65.31,65.37,64.8,64.97,26734,0
BYD.US,60,20240415,210000,64.95,64.95,64.46,64.53,33919,0
BYD.US,60,20240415,220000,64.52,64.65,64.435,64.56,159138,0
BYD.US,60,20240416,160000,64.28,64.81,64.095,64.275,31518,0
BYD.US,60,20240416,170000,64.23,64.72,64.07,64.48,31812,0
BYD.US,60,20240416,180000,64.46,64.82,64.45,64.73,19065,0
BYD.US,60,20240416,190000,64.73,64.91,64.68,64.87,19808,0
BYD.US,60,20240416,200000,64.84,64.96,64.49,64.77,47738,0
BYD.US,60,20240416,210000,64.77,65.07,64.61,64.93,33563,0
BYD.US,60,20240416,220000,64.92,64.92,64.64,64.66,183879,0
BYD.US,60,20240417,160000,65.34,65.36,64.95,65.16,29870,0
BYD.US,60,20240417,170000,65.15,65.23,64.44,64.63,50751,0
BYD.US,60,20240417,180000,64.64,64.68,64.12,64.335,35390,0
BYD.US,60,20240417,190000,64.31,64.43,64.09,64.31,38552,0
BYD.US,60,20240417,200000,64.315,64.37,64.08,64.27,90199,0
BYD.US,60,20240417,210000,64.285,64.5,63.95,64.09,72067,0
BYD.US,60,20240417,220000,64.075,64.075,63.67,63.69,284035,0
BYD.US,60,20240418,160000,63.72,63.72,63.08,63.635,14049,0
BYD.US,60,20240418,170000,63.63,63.875,63.46,63.73,30173,0
BYD.US,60,20240418,180000,63.725,63.9,63.5,63.63,33735,0
BYD.US,60,20240418,190000,63.62,63.69,63.415,63.48,48343,0
BYD.US,60,20240418,200000,63.48,63.51,63.13,63.14,52277,0
BYD.US,60,20240418,210000,63.13,63.1625,62.835,62.98,69214,0
BYD.US,60,20240418,220000,62.99,63.11,62.86,62.93,272424,0
BYD.US,60,20240419,160000,62.91,63.36,62.91,63.22,29919,0
BYD.US,60,20240419,170000,63.225,63.36,62.98,63,84480,0
BYD.US,60,20240419,180000,62.97,63.09,62.88,62.94,42756,0
BYD.US,60,20240419,190000,62.96,63.04,62.63,62.935,73315,0
BYD.US,60,20240419,200000,62.95,63.105,62.82,63,107998,0
BYD.US,60,20240419,210000,62.97,63.005,62.61,62.66,45968,0
BYD.US,60,20240419,220000,62.66,62.8,62.511,62.65,177225,0
BYD.US,60,20240422,160000,63.09,63.1913,62.8,62.99,16989,0
BYD.US,60,20240422,170000,63.005,63.255,62.93,63.06,36970,0
BYD.US,60,20240422,180000,63.05,63.15,62.94,63.02,33727,0
BYD.US,60,20240422,190000,63.05,63.39,63.05,63.32,56056,0
BYD.US,60,20240422,200000,63.31,63.67,63.16,63.59,45924,0
BYD.US,60,20240422,210000,63.585,63.75,63.505,63.685,56964,0
BYD.US,60,20240422,220000,63.71,63.73,63.24,63.24,200468,0
BYD.US,60,20240423,160000,63.76,63.96,63.11,63.655,15215,0
BYD.US,60,20240423,170000,63.655,63.995,63.59,63.775,47963,0
BYD.US,60,20240423,180000,63.75,63.87,63.61,63.73,52024,0
BYD.US,60,20240423,190000,63.73,63.97,63.73,63.89,28701,0
BYD.US,60,20240423,200000,63.88,63.98,63.84,63.915,21572,0
