<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C.US,60,20240411,160000,60.35,60.36,59.8,60.1,1213602,0
C.US,60,20240411,170000,60.11,60.11,59.5,59.79,1493605,0
C.US,60,20240411,180000,59.79,60.23,59.7701,60.19,1313397,0
C.US,60,20240411,190000,60.2,60.37,60.01,60.225,1121899,0
C.US,60,20240411,200000,60.225,60.5998,60.14,60.555,1065165,0
C.US,60,20240411,210000,60.56,60.79,60.505,60.675,1174933,0
C.US,60,20240411,220000,60.675,60.89,60.63,60.71,5266011,0
C.US,60,20240412,160000,62.29,62.6,60.08,60.66,4779396,0
C.US,60,20240412,170000,60.64,60.84,59.945,60.1958,2958278,0
C.US,60,20240412,180000,60.19,60.19,58.75,59.2101,4368464,0
C.US,60,20240412,190000,59.23,59.47,58.76,59.375,2387698,0
C.US,60,20240412,200000,59.3601,59.69,59.18,59.42,1718168,0
C.US,60,20240412,210000,59.42,59.75,59.2,59.58,1418424,0
C.US,60,20240412,220000,59.58,59.95,59.22,59.68,5218506,0
C.US,60,20240415,160000,60.18,60.91,59.71,59.79,1774015,0
C.US,60,20240415,170000,59.79,59.81,58.99,59.11,2591983,0
C.US,60,20240415,180000,59.115,59.35,58.975,59.224,1190651,0
C.US,60,20240415,190000,59.24,59.505,59.04,59.135,996834,0
C.US,60,20240415,200000,59.12,59.25,58.475,58.575,1663562,0
C.US,60,20240415,210000,58.56,58.7,58.19,58.375,1771556,0
C.US,60,20240415,220000,58.371,58.66,58.245,58.56,5077369,0
C.US,60,20240416,160000,58.18,58.55,57.5,57.68,1381966,0
C.US,60,20240416,170000,57.69,57.69,57.03,57.23,2675698,0
C.US,60,20240416,180000,57.24,57.4,57.05,57.125,1376539,0
C.US,60,20240416,190000,57.125,57.3,57.065,57.175,1086657,0
C.US,60,20240416,200000,57.18,57.49,56.86,57.1,1727983,0
C.US,60,20240416,210000,57.09,57.28,56.77,57.205,2062186,0
C.US,60,20240416,220000,57.21,57.315,56.74,57.02,7379945,0
C.US,60,20240417,160000,57.49,58.11,57.36,57.95,1253651,0
C.US,60,20240417,170000,57.95,58.395,57.79,58.13,1775167,0
C.US,60,20240417,180000,58.13,58.37,57.97,58.355,1374633,0
C.US,60,20240417,190000,58.355,58.355,58,58.2,1190987,0
C.US,60,20240417,200000,58.2,58.56,58.13,58.52,858062,0
C.US,60,20240417,210000,58.525,58.89,58.43,58.525,1757012,0
C.US,60,20240417,220000,58.52,58.525,58.15,58.17,3689447,0
C.US,60,20240418,160000,58.49,58.64,58.01,58.36,623473,0
C.US,60,20240418,170000,58.365,58.87,58.13,58.84,1234517,0
C.US,60,20240418,180000,58.83,58.97,58.59,58.65,900134,0
C.US,60,20240418,190000,58.65,58.73,58.33,58.355,850755,0
C.US,60,20240418,200000,58.355,58.41,57.93,58.09,996792,0
C.US,60,20240418,210000,58.09,58.385,58.0423,58.27,856859,0
C.US,60,20240418,220000,58.27,58.55,58.27,58.32,2741638,0
C.US,60,20240419,160000,58.23,59.16,58.23,58.962,1217075,0
C.US,60,20240419,170000,58.975,59.439,58.975,59.14,1238728,0
C.US,60,20240419,180000,59.14,59.4,59.0901,59.116,979037,0
C.US,60,20240419,190000,59.115,59.27,58.88,59.24,1053563,0
C.US,60,20240419,200000,59.235,59.4,59.115,59.195,919538,0
C.US,60,20240419,210000,59.19,59.19,58.895,59.005,1012094,0
C.US,60,20240419,220000,59.005,59.23,58.905,59.15,2442486,0
C.US,60,20240422,160000,59.44,59.5,59.2,59.49,590708,0
C.US,60,20240422,170000,59.495,59.83,59.47,59.77,987174,0
C.US,60,20240422,180000,59.775,60.085,59.665,60.015,1472319,0
C.US,60,20240422,190000,60.02,60.44,59.9801,60.435,791158,0
C.US,60,20240422,200000,60.4386,60.835,60.38,60.755,1095288,0
C.US,60,20240422,210000,60.755,61.055,60.72,60.78,1533126,0
C.US,60,20240422,220000,60.785,60.97,60.675,60.95,4724375,0
C.US,60,20240423,160000,61.08,61.96,61.02,61.96,1665960,0
C.US,60,20240423,170000,61.95,62.3,61.82,62.28,1823008,0
C.US,60,20240423,180000,62.285,62.365,62.04,62.335,1297096,0
C.US,60,20240423,190000,62.34,62.595,62.33,62.5,1169485,0
C.US,60,20240423,200000,62.505,62.77,62.4,62.64,972569,0
C.US,60,20240423,210000,62.63,62.66,62.33,62.39,1225922,0
C.US,60,20240423,220000,62.39,62.72,62.3,62.65,5695083,0
C.US,60,20240424,160000,62.13,62.4,61.95,62.39,982152,0
C.US,60,20240424,170000,62.4,62.628,62.25,62.56,1407333,0
C.US,60,20240424,180000,62.565,62.58,61.84,61.935,1068708,0
C.US,60,20240424,190000,61.935,62.2,61.93,62.175,561422,0
C.US,60,20240424,200000,62.17,62.495,62.145,62.485,465448,0
C.US,60,20240424,210000,62.485,62.525,62.33,62.485,582970,0
C.US,60,20240424,220000,62.48,62.73,62.455,62.47,2740772,0
C.US,60,20240425,160000,61.85,62.43,61.15,61.38,725262,0
C.US,60,20240425,170000,61.38,61.695,61.1,61.565,1394457,0
C.US,60,20240425,180000,61.5585,61.665,61.3516,61.66,848495,0
