<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAT.US,60,20240411,160000,372.63,373.37,368.89,369.855,132566,0
CAT.US,60,20240411,170000,370.04,370.14,366.9,367.31,100600,0
CAT.US,60,20240411,180000,367.46,369.55,367.3,369.31,95952,0
CAT.US,60,20240411,190000,369.42,371,369,370.83,62271,0
CAT.US,60,20240411,200000,370.96,371.94,370.1953,371.25,102863,0
CAT.US,60,20240411,210000,371.34,372.84,371.3,372.26,57524,0
CAT.US,60,20240411,220000,372.285,373.02,371.68,371.98,1076568,0
CAT.US,60,20240412,160000,368.64,372.78,368.01,369.52,84265,0
CAT.US,60,20240412,170000,369.385,369.385,366.27,366.44,131283,0
CAT.US,60,20240412,180000,366.32,369.01,366,368.51,81780,0
CAT.US,60,20240412,190000,368.58,368.58,365.07,365.07,101254,0
CAT.US,60,20240412,200000,365.05,365.9,363.67,364.495,100984,0
CAT.US,60,20240412,210000,364.38,365.46,362.68,363.375,126878,0
CAT.US,60,20240412,220000,363.15,365.76,362.72,365.63,610030,0
CAT.US,60,20240415,160000,372.97,374.46,370.83,371.44,161997,0
CAT.US,60,20240415,170000,371.595,371.75,367.83,367.83,93956,0
CAT.US,60,20240415,180000,367.73,368.31,366.75,368.085,130148,0
CAT.US,60,20240415,190000,368.165,368.31,365.38,366.27,81658,0
CAT.US,60,20240415,200000,366.21,366.9,362.1101,364.15,119310,0
CAT.US,60,20240415,210000,364.07,364.78,362.72,363.7,108252,0
CAT.US,60,20240415,220000,363.65,364.92,362.33,363.91,555190,0
CAT.US,60,20240416,160000,363.02,363.455,358.37,359.725,103913,0
CAT.US,60,20240416,170000,359.81,361.405,357.18,358.66,192950,0
CAT.US,60,20240416,180000,358.705,361.815,358.515,360.5,86585,0
CAT.US,60,20240416,190000,360.48,361.5688,360.19,361.24,78396,0
CAT.US,60,20240416,200000,361.135,362.22,358.96,360.8,86952,0
CAT.US,60,20240416,210000,360.8,363.01,359.15,361.99,125370,0
CAT.US,60,20240416,220000,362.18,362.57,359.52,359.88,860367,0
CAT.US,60,20240417,160000,362.65,362.91,360.21,361.52,101326,0
CAT.US,60,20240417,170000,361.46,361.49,356.8,358.325,217192,0
CAT.US,60,20240417,180000,358.56,359.02,356.37,356.86,188487,0
CAT.US,60,20240417,190000,356.82,356.82,352.88,354.09,144359,0
CAT.US,60,20240417,200000,353.92,358.84,353.82,358.4612,139300,0
CAT.US,60,20240417,210000,358.455,359.77,357.07,357.25,89665,0
CAT.US,60,20240417,220000,357.08,359.19,356.55,358.32,449548,0
CAT.US,60,20240418,160000,361.15,362.5533,358.6001,359.6,78038,0
CAT.US,60,20240418,170000,359.51,361.67,358.98,361.35,228566,0
CAT.US,60,20240418,180000,361.37,363.48,361.25,362.04,77363,0
CAT.US,60,20240418,190000,362.28,362.5865,358.2,358.295,77176,0
CAT.US,60,20240418,200000,358.17,358.505,356.2,357.34,98324,0
CAT.US,60,20240418,210000,357.35,358.07,356.1677,356.595,86691,0
CAT.US,60,20240418,220000,356.55,358.9,356.5,357.93,487871,0
CAT.US,60,20240419,160000,358.29,360.5,357.21,360.26,223219,0
CAT.US,60,20240419,170000,360.03,360.95,356.18,358.1915,191418,0
CAT.US,60,20240419,180000,358.115,358.31,355.13,355.22,145567,0
CAT.US,60,20240419,190000,355.16,355.86,352.14,354.265,107351,0
CAT.US,60,20240419,200000,354.27,356.25,353.8843,355.04,75284,0
