<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCJ.US,60,20240411,160000,49.31,49.464,48.825,48.9501,350527,0
CCJ.US,60,20240411,170000,48.97,49.1,48.44,48.51,361908,0
CCJ.US,60,20240411,180000,48.51,49.53,48.5,49.51,321977,0
CCJ.US,60,20240411,190000,49.5268,50.24,49.51,50.2,1258595,0
CCJ.US,60,20240411,200000,50.2099,50.54,50.17,50.35,647188,0
CCJ.US,60,20240411,210000,50.35,50.9299,50.33,50.74,610350,0
CCJ.US,60,20240411,220000,50.76,50.78,50.44,50.47,1286248,0
CCJ.US,60,20240412,160000,51.1,52.36,50.8,52.21,1430217,0
CCJ.US,60,20240412,170000,52.21,52.63,51.82,51.8997,1229150,0
CCJ.US,60,20240412,180000,51.88,52.26,51.01,51.13,957308,0
CCJ.US,60,20240412,190000,51.1,51.13,50.32,50.48,700441,0
CCJ.US,60,20240412,200000,50.49,50.72,50.17,50.58,535153,0
CCJ.US,60,20240412,210000,50.56,50.78,49.28,49.29,890211,0
CCJ.US,60,20240412,220000,49.28,49.76,49.16,49.59,1287152,0
CCJ.US,60,20240415,160000,49.8,50.79,49.71,50.55,540182,0
CCJ.US,60,20240415,170000,50.54,50.54,49.38,49.62,511710,0
CCJ.US,60,20240415,180000,49.63,50.09,48.84,50.085,495351,0
CCJ.US,60,20240415,190000,50.08,50.1,48.88,49.08,282351,0
CCJ.US,60,20240415,200000,49.07,49.07,48.07,48.475,494179,0
CCJ.US,60,20240415,210000,48.47,48.48,47.9,48.2495,641640,0
CCJ.US,60,20240415,220000,48.24,48.46,47.98,48.32,805948,0
CCJ.US,60,20240416,160000,47.77,48.0985,47.24,47.4,574813,0
CCJ.US,60,20240416,170000,47.39,47.39,46.27,47.2,1150969,0
CCJ.US,60,20240416,180000,47.235,47.78,47.19,47.545,389907,0
CCJ.US,60,20240416,190000,47.54,48.37,47.45,48.36,272469,0
CCJ.US,60,20240416,200000,48.36,48.48,48.01,48.45,313684,0
CCJ.US,60,20240416,210000,48.44,48.8,48.234,48.5,414269,0
CCJ.US,60,20240416,220000,48.51,48.53,48.15,48.19,529613,0
CCJ.US,60,20240417,160000,48.59,49.66,48.5,49.29,345336,0
CCJ.US,60,20240417,170000,49.3,49.38,48.67,48.796,290068,0
CCJ.US,60,20240417,180000,48.79,49.2,48.53,48.53,181838,0
CCJ.US,60,20240417,190000,48.525,48.58,47.98,48.175,265216,0
CCJ.US,60,20240417,200000,48.175,48.68,48.14,48.6359,236582,0
CCJ.US,60,20240417,210000,48.6367,48.68,48.28,48.3,162709,0
CCJ.US,60,20240417,220000,48.3,48.519,48.16,48.41,486669,0
CCJ.US,60,20240418,160000,48.47,49.28,47.8575,48.79,230387,0
CCJ.US,60,20240418,170000,48.775,49.072,48.56,48.68,249665,0
CCJ.US,60,20240418,180000,48.69,48.73,48.2201,48.39,183862,0
CCJ.US,60,20240418,190000,48.37,48.79,48.26,48.47,165812,0
CCJ.US,60,20240418,200000,48.47,48.49,47.84,48.07,182823,0
CCJ.US,60,20240418,210000,48.0799,48.2,47.88,47.92,168667,0
CCJ.US,60,20240418,220000,47.92,48.25,47.91,48.17,646497,0
CCJ.US,60,20240419,160000,47.91,48.7947,47.75,48.75,287194,0
CCJ.US,60,20240419,170000,48.7,48.9,48.19,48.52,179436,0
CCJ.US,60,20240419,180000,48.51,48.67,48.25,48.3101,164556,0
CCJ.US,60,20240419,190000,48.32,48.35,47.72,48.145,282920,0
CCJ.US,60,20240419,200000,48.16,48.45,48.11,48.28,122433,0
CCJ.US,60,20240419,210000,48.28,48.28,47.9,47.98,168207,0
CCJ.US,60,20240419,220000,47.9799,48.2,47.88,48.11,520584,0
CCJ.US,60,20240422,160000,47.72,47.77,46.95,47.37,282166,0
CCJ.US,60,20240422,170000,47.37,47.51,46.96,46.99,465834,0
CCJ.US,60,20240422,180000,46.98,47.15,46.67,47.04,338202,0
CCJ.US,60,20240422,190000,47.05,47.4,46.91,47.385,213266,0
CCJ.US,60,20240422,200000,47.385,47.79,47.37,47.74,205014,0
CCJ.US,60,20240422,210000,47.74,47.96,47.62,47.62,175606,0
CCJ.US,60,20240422,220000,47.63,47.68,47.28,47.29,762780,0
CCJ.US,60,20240423,160000,47.2,48.1358,47.01,47.99,208806,0
CCJ.US,60,20240423,170000,47.99,48.27,47.72,48.18,436143,0
CCJ.US,60,20240423,180000,48.19,48.35,47.84,48.25,181784,0
CCJ.US,60,20240423,190000,48.24,48.79,48.22,48.7502,279771,0
CCJ.US,60,20240423,200000,48.765,48.92,48.5,48.53,156776,0
CCJ.US,60,20240423,210000,48.54,48.65,48.48,48.586,131214,0
CCJ.US,60,20240423,220000,48.59,48.79,48.48,48.7,1742909,0
CCJ.US,60,20240424,160000,48.72,49.52,48.56,48.76,409527,0
CCJ.US,60,20240424,170000,48.76,49.385,48.76,48.95,344493,0
CCJ.US,60,20240424,180000,48.96,49,48.27,48.44,270515,0
CCJ.US,60,20240424,190000,48.4338,48.51,48.1,48.44,209931,0
CCJ.US,60,20240424,200000,48.45,49.3,48.41,49.11,352811,0
CCJ.US,60,20240424,210000,49.11,49.12,48.73,48.86,131372,0
CCJ.US,60,20240424,220000,48.87,48.97,48.65,48.76,638905,0
CCJ.US,60,20240425,160000,48.63,48.73,47.89,48.12,179576,0
CCJ.US,60,20240425,170000,48.13,48.58,47.94,48.29,182562,0
CCJ.US,60,20240425,180000,48.27,48.79,48.22,48.79,127482,0
CCJ.US,60,20240425,190000,48.76,48.9,48.6,48.83,107714,0
CCJ.US,60,20240425,200000,48.83,49.78,48.81,49.6,278276,0
CCJ.US,60,20240425,210000,49.59,49.61,49.09,49.15,198385,0
CCJ.US,60,20240425,220000,49.155,49.26,49.03,49.16,488362,0
CCJ.US,60,20240426,160000,49.38,49.55,48.36,48.36,264987,0
CCJ.US,60,20240426,170000,48.3651,49.05,48.29,48.9,549452,0
CCJ.US,60,20240426,180000,48.91,49.19,48.52,49.04,252650,0
CCJ.US,60,20240426,190000,49.05,49.65,48.97,49.18,291602,0
CCJ.US,60,20240426,200000,49.16,49.38,49.105,49.14,119408,0
CCJ.US,60,20240426,210000,49.14,49.25,48.92,49.235,153360,0
CCJ.US,60,20240426,220000,49.235,49.6,49,49.35,819561,0
CCJ.US,60,20240429,160000,49.66,49.99,48.42,48.98,483753,0
CCJ.US,60,20240429,170000,49,49.7956,48.87,49.61,382409,0
CCJ.US,60,20240429,180000,49.61,49.72,49.37,49.53,254949,0
CCJ.US,60,20240429,190000,49.555,49.6,49.09,49.16,230548,0
CCJ.US,60,20240429,200000,49.17,49.73,49.17,49.67,230687,0
CCJ.US,60,20240429,210000,49.67,49.67,49.31,49.47,225918,0
CCJ.US,60,20240429,220000,49.46,50.6,49.04,49.42,2743407,0
CCJ.US,60,20240430,160000,48.12,49.14,46.08,46.75,1728343,0
CCJ.US,60,20240430,170000,46.74,47.0799,45.75,46.55,1308257,0
CCJ.US,60,20240430,180000,46.53,46.7964,45.1,45.9099,1201920,0
CCJ.US,60,20240430,190000,45.9058,46.49,45.53,45.72,713666,0
CCJ.US,60,20240430,200000,45.7499,46.35,45.61,46.3,404793,0
CCJ.US,60,20240430,210000,46.315,46.4978,46.04,46.15,508553,0
CCJ.US,60,20240430,220000,46.16,46.34,45.61,45.63,1329961,0
CCJ.US,60,20240501,160000,47.67,47.98,46.97,47.52,985331,0
CCJ.US,60,20240501,170000,47.52,47.97,47.2,47.415,545693,0
CCJ.US,60,20240501,180000,47.42,47.47,46.725,46.775,573270,0
CCJ.US,60,20240501,190000,46.76,47.49,46.75,46.86,766113,0
CCJ.US,60,20240501,200000,46.86,46.92,46.63,46.8,492968,0
CCJ.US,60,20240501,210000,46.82,47.99,46.8,47.95,653059,0
CCJ.US,60,20240501,220000,47.98,48.2,46.88,46.92,1103771,0
CCJ.US,60,20240502,160000,47.05,48.08,46.92,47.905,344837,0
CCJ.US,60,20240502,170000,47.87,48.94,47.51,48.76,632257,0
CCJ.US,60,20240502,180000,48.78,48.93,48.32,48.5,334337,0
CCJ.US,60,20240502,190000,48.5,48.54,48,48.17,376476,0
CCJ.US,60,20240502,200000,48.18,48.47,48.13,48.22,336510,0
CCJ.US,60,20240502,210000,48.23,48.44,48.15,48.43,203384,0
CCJ.US,60,20240502,220000,48.41,48.52,48.27,48.42,739757,0
CCJ.US,60,20240506,160000,48.73,49.44,48.71,49.2201,276976,0
CCJ.US,60,20240506,170000,49.24,50.48,49.09,50.24,870072,0
CCJ.US,60,20240506,180000,50.22,50.63,49.99,50.5,664011,0
CCJ.US,60,20240506,190000,50.49,50.91,50.38,50.645,460399,0
CCJ.US,60,20240506,200000,50.66,50.95,50.63,50.75,249262,0
CCJ.US,60,20240506,210000,50.73,50.85,50.495,50.6999,246398,0
CCJ.US,60,20240506,220000,50.6756,50.77,50.5,50.73,1165013,0
CCJ.US,60,20240507,160000,51.53,52.64,50.99,52.37,1226126,0
CCJ.US,60,20240507,170000,52.37,52.8,51.75,51.91,1037786,0
CCJ.US,60,20240507,180000,51.91,52.3896,51.594,52.13,562548,0
CCJ.US,60,20240507,190000,52.12,52.125,51.6308,51.74,309429,0
CCJ.US,60,20240507,200000,51.74,51.95,51.69,51.79,373703,0
CCJ.US,60,20240507,210000,51.7801,51.959,51.53,51.71,352125,0
CCJ.US,60,20240507,220000,51.72,51.76,51.52,51.75,1438797,0
CCJ.US,60,20240508,160000,51.1,51.65,50.54,51,431385,0
CCJ.US,60,20240508,170000,51.045,51.06,50.6299,50.63,342819,0
CCJ.US,60,20240508,180000,50.63,50.65,50.03,50.43,388419,0
CCJ.US,60,20240508,190000,50.44,50.6622,50.27,50.4,194714,0
CCJ.US,60,20240508,200000,50.4,50.4,50.01,50.2799,190080,0
CCJ.US,60,20240508,210000,50.28,50.33,49.96,50.1306,187408,0
CCJ.US,60,20240508,220000,50.13,50.68,50.09,50.56,592364,0
CCJ.US,60,20240509,160000,50.86,52.09,50.82,51.998,494814,0
CCJ.US,60,20240509,170000,51.98,52.14,51.62,52.02,425811,0
CCJ.US,60,20240509,180000,52.0199,52.25,51.73,51.74,243355,0
CCJ.US,60,20240509,190000,51.73,51.91,51.62,51.72,247242,0
