<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCL.US,60,20240411,160000,14.88,14.92,14.73,14.815,2534679,0
CCL.US,60,20240411,170000,14.815,14.825,14.59,14.68,4972197,0
CCL.US,60,20240411,180000,14.68,14.87,14.67,14.84,2738094,0
CCL.US,60,20240411,190000,14.8405,14.88,14.78,14.86,1550020,0
CCL.US,60,20240411,200000,14.86,14.945,14.835,14.85,3322224,0
CCL.US,60,20240411,210000,14.845,14.93,14.8438,14.9,1813713,0
CCL.US,60,20240411,220000,14.9,15.0275,14.9,14.97,5786582,0
CCL.US,60,20240412,160000,14.71,14.74,14.52,14.65,3393174,0
CCL.US,60,20240412,170000,14.65,14.65,14.405,14.425,5066107,0
CCL.US,60,20240412,180000,14.425,14.52,14.35,14.48,4666366,0
CCL.US,60,20240412,190000,14.48,14.485,14.41,14.41,2269130,0
CCL.US,60,20240412,200000,14.415,14.415,14.23,14.33,4201584,0
CCL.US,60,20240412,210000,14.33,14.365,14.27,14.3,2189238,0
CCL.US,60,20240412,220000,14.302,14.39,14.25,14.36,8096716,0
CCL.US,60,20240415,160000,14.66,14.76,14.485,14.52,2595552,0
CCL.US,60,20240415,170000,14.52,14.545,14.26,14.275,3147362,0
CCL.US,60,20240415,180000,14.275,14.34,14.235,14.33,2636726,0
CCL.US,60,20240415,190000,14.33,14.355,14.22,14.22,2076001,0
CCL.US,60,20240415,200000,14.22,14.26,14.08,14.165,3023170,0
CCL.US,60,20240415,210000,14.165,14.17,14.04,14.065,3667286,0
CCL.US,60,20240415,220000,14.06,14.07,13.92,14.06,10562432,0
CCL.US,60,20240416,160000,14.01,14.08,13.795,13.8899,2288435,0
CCL.US,60,20240416,170000,13.885,14,13.82,13.84,4468918,0
CCL.US,60,20240416,180000,13.85,14.015,13.815,13.98,4004314,0
CCL.US,60,20240416,190000,13.98,14.05,13.94,14,2934691,0
CCL.US,60,20240416,200000,14,14.05,13.89,13.98,1986507,0
CCL.US,60,20240416,210000,13.975,14.05,13.89,14,2190224,0
CCL.US,60,20240416,220000,14,14.0175,13.88,13.9,5862449,0
CCL.US,60,20240417,160000,14.19,14.3,14.145,14.1699,2347168,0
CCL.US,60,20240417,170000,14.17,14.17,14.01,14.1201,3386245,0
CCL.US,60,20240417,180000,14.13,14.17,14.01,14.12,2754911,0
CCL.US,60,20240417,190000,14.12,14.21,14.05,14.088,1781310,0
CCL.US,60,20240417,200000,14.0886,14.205,14.0601,14.1901,1701628,0
CCL.US,60,20240417,210000,14.1901,14.23,14.11,14.12,1914123,0
CCL.US,60,20240417,220000,14.115,14.16,14.08,14.12,5039474,0
CCL.US,60,20240418,160000,14.21,14.38,14.16,14.31,1818773,0
CCL.US,60,20240418,170000,14.309,14.47,14.245,14.445,3226206,0
CCL.US,60,20240418,180000,14.45,14.555,14.44,14.455,3253870,0
CCL.US,60,20240418,190000,14.46,14.54,14.39,14.39,2424040,0
CCL.US,60,20240418,200000,14.4,14.45,14.29,14.3199,2330241,0
CCL.US,60,20240418,210000,14.315,14.34,14.231,14.265,1641397,0
CCL.US,60,20240418,220000,14.27,14.31,14.17,14.18,4824138,0
CCL.US,60,20240419,160000,14.1,14.2875,14.0925,14.21,1855737,0
CCL.US,60,20240419,170000,14.215,14.31,14.15,14.1599,3076763,0
CCL.US,60,20240419,180000,14.155,14.25,14.1325,14.19,2295450,0
CCL.US,60,20240419,190000,14.19,14.21,14.06,14.17,2677800,0
CCL.US,60,20240419,200000,14.175,14.265,14.1423,14.155,4512609,0
CCL.US,60,20240419,210000,14.155,14.155,14.05,14.085,4746198,0
