<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CL.US,60,20240411,160000,86.98,86.98,86.4,86.72,224247,0
CL.US,60,20240411,170000,86.715,86.75,86.275,86.37,254276,0
CL.US,60,20240411,180000,86.36,86.39,86.115,86.29,214771,0
CL.US,60,20240411,190000,86.3,86.3,86.01,86.08,217053,0
CL.US,60,20240411,200000,86.07,86.46,86.01,86.43,355733,0
CL.US,60,20240411,210000,86.44,86.65,86.43,86.58,195102,0
CL.US,60,20240411,220000,86.59,86.675,85.93,86,1511523,0
CL.US,60,20240412,160000,85.73,86.133,85.7012,86.11,204138,0
CL.US,60,20240412,170000,86.08,86.2125,85.93,86.1574,329195,0
CL.US,60,20240412,180000,86.14,86.245,86,86.185,214111,0
CL.US,60,20240412,190000,86.18,86.21,85.85,85.85,279108,0
CL.US,60,20240412,200000,85.85,86.02,85.675,85.985,176890,0
CL.US,60,20240412,210000,85.985,86.1399,85.805,85.86,221927,0
CL.US,60,20240412,220000,85.86,85.89335,85.71,85.85,1491277,0
CL.US,60,20240415,160000,86.47,86.89,86.37,86.52,222241,0
CL.US,60,20240415,170000,86.51,86.52,86.115,86.33,419671,0
CL.US,60,20240415,180000,86.33,86.4464,86.13,86.43,242214,0
CL.US,60,20240415,190000,86.435,86.57,86.21,86.42,172957,0
CL.US,60,20240415,200000,86.42,86.465,86.105,86.39,325434,0
CL.US,60,20240415,210000,86.38,86.5,86.205,86.365,334051,0
CL.US,60,20240415,220000,86.365,86.455,86.1,86.17,1640667,0
CL.US,60,20240416,160000,86.56,86.73,86.32,86.67,152275,0
CL.US,60,20240416,170000,86.68,86.685,86.27,86.27,273638,0
CL.US,60,20240416,180000,86.28,86.67,86.235,86.57,244830,0
CL.US,60,20240416,190000,86.565,86.565,86.405,86.475,156568,0
CL.US,60,20240416,200000,86.49,86.495,86.12,86.21,188225,0
CL.US,60,20240416,210000,86.205,86.53,86.14,86.53,209430,0
CL.US,60,20240416,220000,86.535,86.56,86.16,86.17,1050439,0
CL.US,60,20240417,160000,86.5,86.59,86.305,86.36,597157,0
CL.US,60,20240417,170000,86.35,86.35,85.915,86.06,248281,0
CL.US,60,20240417,180000,86.04,86.18,85.92,86.1,190339,0
CL.US,60,20240417,190000,86.11,86.21,86.055,86.2,180097,0
CL.US,60,20240417,200000,86.185,86.46,86.18,86.42,268308,0
CL.US,60,20240417,210000,86.42,86.56,86.3,86.44,191466,0
CL.US,60,20240417,220000,86.45,86.83,86.32,86.75,1393127,0
CL.US,60,20240418,160000,87,87.31,86.975,87.1,312625,0
CL.US,60,20240418,170000,87.12,87.16,86.76,86.855,884510,0
CL.US,60,20240418,180000,86.86,86.915,86.5,86.55,276056,0
CL.US,60,20240418,190000,86.545,86.67,86.395,86.445,250085,0
CL.US,60,20240418,200000,86.44,86.56,86.395,86.495,236291,0
CL.US,60,20240418,210000,86.49,86.705,86.44,86.55,420247,0
CL.US,60,20240418,220000,86.555,86.87,86.555,86.71,1572235,0
CL.US,60,20240419,160000,86.1,86.64,85.91,86.59,445912,0
