<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLW.US,60,20240411,160000,40.68,41,40.24,40.64,2843,0
CLW.US,60,20240411,170000,40.65,40.65,40.12,40.235,4481,0
CLW.US,60,20240411,180000,40.225,40.475,40.12,40.475,2325,0
CLW.US,60,20240411,190000,40.52,40.695,40.44,40.695,2523,0
CLW.US,60,20240411,200000,40.7,40.78,40.5,40.555,5509,0
CLW.US,60,20240411,210000,40.588,40.77,40.578,40.72,8824,0
CLW.US,60,20240411,220000,40.75,40.75,40.54,40.63,32368,0
CLW.US,60,20240412,160000,40.41,40.41,40.26,40.41,1306,0
CLW.US,60,20240412,170000,40.16,40.28,40.12,40.12,3306,0
CLW.US,60,20240412,180000,40.16,40.16,39.91,40,5585,0
CLW.US,60,20240412,190000,39.95,40,39.81,39.81,1749,0
CLW.US,60,20240412,200000,39.93,39.93,39.7593,39.855,2568,0
CLW.US,60,20240412,210000,39.8403,40.08,39.8403,40.05,6072,0
CLW.US,60,20240412,220000,40.02,40.15,39.95,40.12,27687,0
CLW.US,60,20240415,160000,40.1,40.22,40.1,40.21,1765,0
CLW.US,60,20240415,170000,39.5976,39.905,39.5976,39.905,2720,0
CLW.US,60,20240415,180000,39.81,39.89,39.62,39.69,8325,0
CLW.US,60,20240415,190000,39.695,39.73,39.44,39.63,35641,0
CLW.US,60,20240415,200000,39.61,39.68,39.48,39.68,5911,0
CLW.US,60,20240415,210000,39.655,39.81,39.6102,39.75,8883,0
CLW.US,60,20240415,220000,39.74,40.01,39.66,40,33672,0
CLW.US,60,20240416,160000,39.82,40.28,39.1,39.21,2594,0
CLW.US,60,20240416,170000,39.39,39.59,39.39,39.56,2824,0
CLW.US,60,20240416,180000,39.62,39.9513,39.62,39.9,3557,0
CLW.US,60,20240416,190000,39.905,40.19,39.87,40.19,12663,0
CLW.US,60,20240416,200000,40.12,40.18,39.92,40.11,12729,0
CLW.US,60,20240416,210000,40.11,40.23,39.97,39.99,3902,0
CLW.US,60,20240416,220000,39.95,39.95,39.54,39.56,32555,0
CLW.US,60,20240417,160000,39.77,39.8,39.57,39.8,2801,0
CLW.US,60,20240417,170000,39.79,39.8,39.47,39.54,4173,0
CLW.US,60,20240417,180000,39.52,39.55,39.28,39.55,2398,0
CLW.US,60,20240417,190000,39.47,39.6,39.05,39.135,8392,0
CLW.US,60,20240417,200000,39.08,39.28,39.08,39.18,4054,0
CLW.US,60,20240417,210000,39.2,39.5,39.18,39.45,7195,0
CLW.US,60,20240417,220000,39.4,39.415,39.2,39.22,34461,0
CLW.US,60,20240418,160000,39.36,39.36,39.05,39.27,1396,0
CLW.US,60,20240418,170000,39.39,39.535,39.2201,39.5,2152,0
CLW.US,60,20240418,180000,39.57,39.7,39.4,39.505,5707,0
CLW.US,60,20240418,190000,39.495,39.58,39.32,39.325,3146,0
CLW.US,60,20240418,200000,39.29,39.29,39.1,39.145,2308,0
CLW.US,60,20240418,210000,39.12,39.2,39.04,39.16,3152,0
CLW.US,60,20240418,220000,39.15,39.5,39.15,39.35,40889,0
CLW.US,60,20240419,160000,39.25,39.755,39.04,39.72,4769,0
CLW.US,60,20240419,170000,39.78,39.79,39.49,39.5,1765,0
CLW.US,60,20240419,180000,39.4,39.6867,39.4,39.6867,3355,0
CLW.US,60,20240419,190000,39.73,39.73,39.64,39.72,1523,0
CLW.US,60,20240419,200000,39.81,39.98,39.81,39.845,2667,0
CLW.US,60,20240419,210000,39.83,39.92,39.71,39.92,5661,0
CLW.US,60,20240419,220000,40.015,40.14,39.92,40.03,26320,0
CLW.US,60,20240422,160000,40.12,40.88,40.08,40.165,7810,0
CLW.US,60,20240422,170000,40.2,40.2,40.02,40.08,4371,0
CLW.US,60,20240422,180000,40.05,40.05,39.68,39.68,7381,0
CLW.US,60,20240422,190000,39.65,39.8442,39.57,39.8442,10944,0
CLW.US,60,20240422,200000,39.8705,40.12,39.72,40.09,11269,0
CLW.US,60,20240422,210000,40.07,40.11,39.97,40,5079,0
CLW.US,60,20240422,220000,40.02,40.18,39.77,39.94,62550,0
CLW.US,60,20240423,160000,39.54,40.0831,39.54,40.0726,3055,0
CLW.US,60,20240423,170000,40.0909,40.26,39.92,40.19,11229,0
CLW.US,60,20240423,180000,40.13,40.4499,40.13,40.4457,10589,0
CLW.US,60,20240423,190000,40.4,40.59,40.32,40.44,9972,0
CLW.US,60,20240423,200000,40.41,40.57,40.35,40.42,10820,0
CLW.US,60,20240423,210000,40.38,40.715,40.34,40.67,19039,0
CLW.US,60,20240423,220000,40.66,40.66,40.17,40.23,39559,0
CLW.US,60,20240424,160000,39.86,40.38,39.71,40.38,2393,0
CLW.US,60,20240424,170000,40.38,40.67,40.27,40.35,5777,0
CLW.US,60,20240424,180000,40.42,40.445,40.27,40.37,3727,0
CLW.US,60,20240424,190000,40.37,40.48,40.225,40.31,6485,0
CLW.US,60,20240424,200000,40.29,40.55,40.276,40.415,4868,0
CLW.US,60,20240424,210000,40.37,40.66,40.36,40.66,12227,0
CLW.US,60,20240424,220000,40.62,40.85,40.6,40.67,45463,0
CLW.US,60,20240425,160000,40.17,40.32,39.89,39.925,3005,0
CLW.US,60,20240425,170000,39.84,39.965,39.735,39.91,6438,0
CLW.US,60,20240425,180000,39.925,40.01,39.65,39.985,8108,0
CLW.US,60,20240425,190000,39.94,40.13,39.7,39.86,9509,0
CLW.US,60,20240425,200000,39.8201,39.96,39.72,39.73,4386,0
CLW.US,60,20240425,210000,39.72,40,39.715,40,5536,0
CLW.US,60,20240425,220000,40.03,40.15,39.9,39.95,39979,0
CLW.US,60,20240426,160000,40,40.3784,40,40.17,1200,0
CLW.US,60,20240426,170000,40.35,40.35,39.88,40.02,6986,0
CLW.US,60,20240426,180000,40.04,40.18,39.94,40.15,1915,0
CLW.US,60,20240426,190000,40.13,40.345,40.0884,40.235,2312,0
CLW.US,60,20240426,200000,40.175,40.175,40.08,40.16,1148,0
CLW.US,60,20240426,210000,40.16,40.39,40.16,40.25,8873,0
CLW.US,60,20240426,220000,40.245,40.32,40.08,40.23,38649,0
CLW.US,60,20240429,160000,40.4,40.78,40.4,40.72,2372,0
CLW.US,60,20240429,170000,40.63,40.64,40.55,40.58,5456,0
CLW.US,60,20240429,180000,40.58,40.65,40.5,40.565,11863,0
CLW.US,60,20240429,190000,40.5671,40.58,40.34,40.51,7427,0
CLW.US,60,20240429,200000,40.49,40.62,40.46,40.5,5331,0
CLW.US,60,20240429,210000,40.505,40.65,40.505,40.62,5826,0
CLW.US,60,20240429,220000,40.625,40.785,40.55,40.69,94696,0
CLW.US,60,20240430,160000,41.72,46.87,41.72,46.68,73691,0
CLW.US,60,20240430,170000,46.75,47.9791,45.4,46.39,35365,0
CLW.US,60,20240430,180000,46.5,47.12,45.72,45.72,21661,0
CLW.US,60,20240430,190000,45.8,45.8,44.81,45.025,19125,0
CLW.US,60,20240430,200000,45.025,45.84,44.99,45.84,12560,0
CLW.US,60,20240430,210000,45.9833,45.9833,45.23,45.44,15452,0
CLW.US,60,20240430,220000,45.52,45.72,44.95,45.04,87204,0
CLW.US,60,20240501,160000,44.84,45.95,44.72,45.875,17886,0
CLW.US,60,20240501,170000,45.87,45.88,44.3,44.69,7254,0
CLW.US,60,20240501,180000,44.78,45.06,44.63,45.06,4225,0
CLW.US,60,20240501,190000,45.015,45.27,44.8529,44.91,7154,0
CLW.US,60,20240501,200000,44.8,45.21,44.755,44.755,9555,0
CLW.US,60,20240501,210000,44.75,44.825,44.18,44.825,10712,0
CLW.US,60,20240501,220000,44.85,44.98,44.45,44.48,57287,0
CLW.US,60,20240502,160000,44.66,44.88,44.63,44.63,1736,0
CLW.US,60,20240502,170000,44.51,44.9,44.435,44.9,4194,0
CLW.US,60,20240502,180000,44.955,44.955,44.54,44.615,4603,0
CLW.US,60,20240502,190000,44.68,44.84,44.62,44.84,3383,0
CLW.US,60,20240502,200000,44.85,45,44.7915,45,4937,0
CLW.US,60,20240502,210000,45.01,45.085,44.855,45.01,4738,0
CLW.US,60,20240502,220000,45.05,45.15,44.795,44.86,45770,0
CLW.US,60,20240506,160000,45.25,45.9,45.25,45.87,12345,0
CLW.US,60,20240506,170000,45.68,47.03,45.68,47.02,10535,0
CLW.US,60,20240506,180000,47.09,47.5081,46.88,47.49,8191,0
CLW.US,60,20240506,190000,47.45,47.855,47.4,47.545,16793,0
CLW.US,60,20240506,200000,47.545,47.9799,47.545,47.92,13751,0
CLW.US,60,20240506,210000,47.88,47.95,47.725,47.93,12302,0
CLW.US,60,20240506,220000,47.91,48,47.525,47.84,61019,0
CLW.US,60,20240507,160000,47.75,48.5,47.75,48.05,6127,0
CLW.US,60,20240507,170000,48.03,48.2,47.9,47.98,4118,0
CLW.US,60,20240507,180000,47.93,47.99,47.815,47.99,2747,0
CLW.US,60,20240507,190000,48.01,48.1,47.76,47.87,13190,0
CLW.US,60,20240507,200000,47.89,47.89,47.31,47.485,11488,0
CLW.US,60,20240507,210000,47.42,47.85,47.41,47.55,9365,0
CLW.US,60,20240507,220000,47.56,47.61,47.3,47.53,94488,0
CLW.US,60,20240508,160000,47.37,47.82,47.095,47.8,4122,0
CLW.US,60,20240508,170000,47.81,48.62,47.73,48.43,7936,0
CLW.US,60,20240508,180000,48.4,48.595,48.255,48.255,7909,0
CLW.US,60,20240508,190000,48.33,48.46,48.13,48.16,6932,0
CLW.US,60,20240508,200000,48.08,48.4,47.92,48.4,8655,0
CLW.US,60,20240508,210000,48.385,48.78,48.365,48.39,5148,0
CLW.US,60,20240508,220000,48.43,48.9,48.3785,48.69,43230,0
CLW.US,60,20240509,160000,48.74,49.01,48.12,48.97,2210,0
CLW.US,60,20240509,170000,49.03,49.27,48.82,49.08,5595,0
CLW.US,60,20240509,180000,49.05,49.24,49.05,49.24,5841,0
CLW.US,60,20240509,190000,49.295,49.355,49.18,49.24,1502,0
CLW.US,60,20240509,200000,49.23,49.24,49.02,49.04,3598,0
CLW.US,60,20240509,210000,49.1,49.215,48.77,48.77,7859,0
CLW.US,60,20240509,220000,48.77,49.44,48.68,49.27,55063,0
CLW.US,60,20240510,160000,49.02,49.2,48.81,48.91,2008,0
CLW.US,60,20240510,170000,48.9,48.9,47.71,47.77,22480,0
CLW.US,60,20240510,180000,47.69,48.06,47.66,47.76,4673,0
CLW.US,60,20240510,190000,47.75,47.975,47.69,47.97,2558,0
CLW.US,60,20240510,200000,47.89,47.89,47.675,47.76,1433,0
CLW.US,60,20240510,210000,47.63,48.01,47.6,48,2968,0
CLW.US,60,20240510,220000,47.93,48.34,47.88,48.19,44247,0
CLW.US,60,20240513,160000,48.765,49.08,48.765,49.08,3748,0
CLW.US,60,20240513,170000,49.15,49.705,49.05,49.555,11964,0
CLW.US,60,20240513,180000,49.68,49.87,49.47,49.84,8646,0
CLW.US,60,20240513,190000,49.7704,50.1,49.7704,50.055,12559,0
CLW.US,60,20240513,200000,50.055,50.5,49.83,50.375,15688,0
CLW.US,60,20240513,210000,50.4034,50.55,50.0901,50.0901,10797,0
CLW.US,60,20240513,220000,50.09,50.43,49.96,50.25,41901,0
CLW.US,60,20240514,160000,50.5,50.85,50.5,50.795,4362,0
CLW.US,60,20240514,170000,50.7988,50.7988,50.4486,50.735,3258,0
CLW.US,60,20240514,180000,50.7899,50.7899,50.13,50.21,4887,0
CLW.US,60,20240514,190000,50.2,50.27,49.83,49.84,9583,0
CLW.US,60,20240514,200000,49.89,50.2099,49.63,49.78,9050,0
CLW.US,60,20240514,210000,49.83,49.95,49.57,49.68,11535,0
CLW.US,60,20240514,220000,49.6,49.95,49.58,49.82,54851,0
CLW.US,60,20240515,160000,49.82,50.48,49.82,50.355,5184,0
CLW.US,60,20240515,170000,50.325,50.575,50.13,50.37,3914,0
CLW.US,60,20240515,180000,50.63,51.14,50.63,51.02,8025,0
CLW.US,60,20240515,190000,51.015,51.36,50.94,51.35,5450,0
CLW.US,60,20240515,200000,51.33,51.38,50.83,50.895,5447,0
CLW.US,60,20240515,210000,50.945,51.06,50.91,51,6896,0
CLW.US,60,20240515,220000,50.97,51.15,50.82,51.15,43584,0
CLW.US,60,20240516,160000,51.15,51.48,51,51,3768,0
CLW.US,60,20240516,170000,51,51.375,50.88,50.88,5956,0
CLW.US,60,20240516,180000,50.905,50.915,50.48,50.7,19038,0
CLW.US,60,20240516,190000,50.67,50.71,50.3,50.66,9887,0
CLW.US,60,20240516,200000,50.81,51.08,50.72,51,3211,0
CLW.US,60,20240516,210000,50.97,50.97,50.8,50.93,3839,0
CLW.US,60,20240516,220000,50.85,51.66,50.81,51.66,42397,0
CLW.US,60,20240517,160000,51.66,51.72,51.16,51.16,7562,0
CLW.US,60,20240517,170000,51.06,51.06,50.64,50.885,3718,0
CLW.US,60,20240517,180000,50.9,51.36,50.9,51.36,1860,0
CLW.US,60,20240517,190000,51.4034,51.45,51.26,51.375,3341,0
CLW.US,60,20240517,200000,51.3807,51.47,51.2621,51.43,2472,0
CLW.US,60,20240517,210000,51.49,51.61,51.455,51.61,2108,0
CLW.US,60,20240517,220000,51.64,51.68,51.105,51.47,35564,0
CLW.US,60,20240520,160000,51.47,51.64,51.13,51.63,5347,0
CLW.US,60,20240520,170000,51.64,52.0899,51.63,52.0899,11906,0
CLW.US,60,20240520,180000,51.88,51.92,51.04,51.26,6828,0
CLW.US,60,20240520,190000,51.235,51.235,50.98,51.14,2877,0
CLW.US,60,20240520,200000,51.15,51.15,50.84,50.89,4904,0
CLW.US,60,20240520,210000,50.85,50.85,50.675,50.755,6922,0
CLW.US,60,20240520,220000,50.78,50.87,49.95,49.97,97957,0
CLW.US,60,20240521,160000,49.92,50.38,49.92,50.205,3791,0
CLW.US,60,20240521,170000,50.26,50.61,50.26,50.61,2565,0
CLW.US,60,20240521,180000,50.73,51.13,50.73,51.13,1811,0
CLW.US,60,20240521,190000,51.035,51.46,50.92,51.46,2876,0
CLW.US,60,20240521,200000,51.43,51.43,51.135,51.2,1750,0
CLW.US,60,20240521,210000,51.135,51.48,51.04,51.47,4838,0
CLW.US,60,20240521,220000,51.49,51.51,51.01,51.33,40730,0
CLW.US,60,20240522,160000,51.03,51.47,51.03,51.305,2796,0
CLW.US,60,20240522,170000,51.315,51.495,50.9201,51.495,1677,0
CLW.US,60,20240522,180000,51.68,51.9,51.515,51.71,13375,0
CLW.US,60,20240522,190000,51.78,52.06,51.76,51.76,5090,0
CLW.US,60,20240522,200000,51.73,52.01,51.7137,51.93,4555,0
CLW.US,60,20240522,210000,51.87,51.9,51.53,51.89,3006,0
CLW.US,60,20240522,220000,51.99,52.14,51.83,51.91,29203,0
CLW.US,60,20240523,160000,51.9,52.065,51.74,51.835,2469,0
CLW.US,60,20240523,170000,51.71,51.71,51.25,51.53,2408,0
CLW.US,60,20240523,180000,51.64,51.76,51.47,51.67,3722,0
CLW.US,60,20240523,190000,51.62,51.66,51.405,51.57,2822,0
CLW.US,60,20240523,200000,51.56,51.61,51.36,51.555,3173,0
CLW.US,60,20240523,210000,51.53,51.74,51.435,51.74,4025,0
CLW.US,60,20240523,220000,51.74,52.02,51.605,51.99,51290,0
CLW.US,60,20240524,160000,52.02,52.3631,51.99,51.99,2972,0
CLW.US,60,20240524,170000,52.07,52.22,51.96,52.02,3081,0
CLW.US,60,20240524,180000,52,52.24,52,52.08,2554,0
CLW.US,60,20240524,190000,52.08,52.16,51.77,51.77,6633,0
CLW.US,60,20240524,200000,51.69,51.7,51.66,51.69,1200,0
CLW.US,60,20240524,210000,51.66,51.67,51.56,51.6,3910,0
CLW.US,60,20240524,220000,51.66,52.33,51.66,52.32,23714,0
CLW.US,60,20240528,160000,52.35,52.57,52.115,52.115,4060,0
CLW.US,60,20240528,170000,51.99,52.26,51.81,51.865,11222,0
CLW.US,60,20240528,180000,51.87,52.54,51.82,52.4,14520,0
CLW.US,60,20240528,190000,52.33,52.56,52.19,52.2,7302,0
CLW.US,60,20240528,200000,52.23,52.24,51.89,52.1,8027,0
CLW.US,60,20240528,210000,52.08,52.14,51.76,51.98,7908,0
CLW.US,60,20240528,220000,51.9,52.15,51.825,51.99,47906,0
CLW.US,60,20240529,160000,51.79,52.76,51.75,52.75,6290,0
CLW.US,60,20240529,170000,53,53.74,52.31,52.31,45963,0
CLW.US,60,20240529,180000,52.13,52.28,51.87,52.08,7738,0
CLW.US,60,20240529,190000,52.15,52.44,52.08,52.27,5703,0
CLW.US,60,20240529,200000,52.2699,52.2699,52.04,52.105,4666,0
CLW.US,60,20240529,210000,52.17,52.39,52.07,52.39,7873,0
CLW.US,60,20240529,220000,52.33,52.44,52.01,52.41,69565,0
CLW.US,60,20240530,160000,52.59,53.12,52.25,52.545,6778,0
CLW.US,60,20240530,170000,52.545,52.825,52.37,52.67,4329,0
CLW.US,60,20240530,180000,52.69,52.69,52.34,52.615,5153,0
CLW.US,60,20240530,190000,52.64,52.94,52.62,52.835,3878,0
CLW.US,60,20240530,200000,52.76,52.76,52.43,52.4951,7558,0
CLW.US,60,20240530,210000,52.4101,52.6,52.005,52.3,7013,0
CLW.US,60,20240530,220000,52.265,52.49,52.04,52.43,56366,0
CLW.US,60,20240531,160000,52.43,52.94,52.43,52.9,2888,0
CLW.US,60,20240531,170000,52.92,52.99,52.62,52.99,4830,0
CLW.US,60,20240531,180000,52.915,53.08,52.6,52.67,8710,0
CLW.US,60,20240531,190000,52.63,52.74,52.45,52.74,6556,0
CLW.US,60,20240531,200000,52.815,53.225,52.76,53.22,2057,0
CLW.US,60,20240531,210000,53.15,53.35,53.06,53.2,4058,0
CLW.US,60,20240531,220000,53.36,53.43,53.11,53.14,55443,0
CLW.US,60,20240603,160000,53.43,53.43,53.15,53.15,659,0
CLW.US,60,20240603,170000,53.31,53.77,53.14,53.305,7669,0
CLW.US,60,20240603,180000,53.16,53.3366,53.01,53.25,3155,0
CLW.US,60,20240603,190000,53.26,53.26,52.875,53.01,5827,0
CLW.US,60,20240603,200000,53.01,53.01,52.54,52.87,4985,0
CLW.US,60,20240603,210000,52.87,53,52.52,53,8288,0
CLW.US,60,20240603,220000,52.95,53.12,52.7,52.83,41214,0
CLW.US,60,20240604,160000,52.66,52.805,52.57,52.63,1549,0
CLW.US,60,20240604,170000,52.55,52.6,51.58,51.58,6485,0
CLW.US,60,20240604,180000,51.635,52.08,51.635,52.01,3706,0
CLW.US,60,20240604,190000,52.055,52.055,51.685,51.685,2298,0
CLW.US,60,20240604,200000,51.655,51.815,51.59,51.59,4279,0
CLW.US,60,20240604,210000,51.59,51.8,51.49,51.53,8870,0
CLW.US,60,20240604,220000,51.54,51.78,51.39,51.78,44881,0
CLW.US,60,20240605,160000,51.9,51.9,51.1601,51.445,1132,0
CLW.US,60,20240605,170000,51.21,52.075,51.06,51.8,35154,0
CLW.US,60,20240605,180000,51.775,52.295,51.69,52.295,5358,0
CLW.US,60,20240605,190000,52.29,52.31,52.05,52.05,4299,0
CLW.US,60,20240605,200000,52.065,52.5653,52.065,52.445,6057,0
CLW.US,60,20240605,210000,52.585,52.9541,52.585,52.83,6228,0
CLW.US,60,20240605,220000,52.83,52.85,52.08,52.28,53666,0
CLW.US,60,20240606,160000,52.07,52.29,52.07,52.28,710,0
CLW.US,60,20240606,170000,52.25,52.25,51.32,51.76,7172,0
CLW.US,60,20240606,180000,51.9025,51.9699,51.56,51.66,1784,0
CLW.US,60,20240606,190000,51.56,51.63,51.28,51.54,1532,0
CLW.US,60,20240606,200000,51.6,51.6,51.33,51.33,1272,0
CLW.US,60,20240606,210000,51.32,51.53,51.17,51.51,2508,0
CLW.US,60,20240606,220000,51.51,51.6342,50.91,51.24,48138,0
CLW.US,60,20240607,160000,50.84,51.24,50.64,51.24,1120,0
CLW.US,60,20240607,170000,51.055,51.23,50.61,50.94,2467,0
