<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMG.US,60,20240411,160000,59.624,59.6776,59.321,59.4404,638350,0
CMG.US,60,20240411,170000,59.4289,59.7837,59.4289,59.6,413200,0
CMG.US,60,20240411,180000,59.6218,59.8422,59.6218,59.7948,394000,0
CMG.US,60,20240411,190000,59.735,59.735,59.4924,59.5362,958850,0
CMG.US,60,20240411,200000,59.5868,59.88,59.5086,59.851,545100,0
CMG.US,60,20240411,210000,59.89,60.0176,59.8446,59.9168,634750,0
CMG.US,60,20240411,220000,59.921,60.0208,59.7498,59.8138,2226700,0
CMG.US,60,20240412,160000,59.8346,59.8611,59.3554,59.5369,431100,0
CMG.US,60,20240412,170000,59.5284,59.6954,59.3366,59.5003,867000,0
CMG.US,60,20240412,180000,59.5462,59.7384,59.5113,59.5776,299700,0
CMG.US,60,20240412,190000,59.6,59.6,59.1764,59.1882,267250,0
CMG.US,60,20240412,200000,59.1918,59.2234,58.8294,59.203,666900,0
CMG.US,60,20240412,210000,59.1745,59.3607,59.1192,59.158,237800,0
CMG.US,60,20240412,220000,59.1454,59.4386,59.0268,59.152,2083900,0
CMG.US,60,20240415,160000,59.5618,59.658,59.38,59.535,225050,0
CMG.US,60,20240415,170000,59.5334,59.5474,59.3,59.46,182000,0
CMG.US,60,20240415,180000,59.3198,59.3864,59.1466,59.3864,120250,0
CMG.US,60,20240415,190000,59.3832,59.4326,59.2288,59.2673,139350,0
CMG.US,60,20240415,200000,59.247,59.247,58.6484,58.7402,188900,0
CMG.US,60,20240415,210000,58.734,58.7742,58.6264,58.6408,357750,0
CMG.US,60,20240415,220000,58.6646,58.8196,58.6192,58.7326,2000250,0
CMG.US,60,20240416,160000,58.657,58.8,58.605,58.7156,204750,0
CMG.US,60,20240416,170000,58.667,58.8666,58.48,58.53,265250,0
CMG.US,60,20240416,180000,58.5718,58.6164,58.5096,58.5504,213100,0
CMG.US,60,20240416,190000,58.4844,58.5725,58.4674,58.5296,301350,0
CMG.US,60,20240416,200000,58.518,58.544,58.4077,58.4642,118400,0
CMG.US,60,20240416,210000,58.61,58.853,58.5564,58.7838,96800,0
CMG.US,60,20240416,220000,58.8642,58.9372,58.7353,58.8466,1321050,0
CMG.US,60,20240417,160000,59.099,59.099,58.5818,58.7106,199450,0
CMG.US,60,20240417,170000,58.5554,58.669,58.2934,58.4042,287200,0
CMG.US,60,20240417,180000,58.4736,58.5552,58.163,58.2112,211900,0
CMG.US,60,20240417,190000,58.2003,58.2003,57.8716,57.9018,256700,0
CMG.US,60,20240417,200000,57.88,58.1044,57.87,58.0044,341550,0
CMG.US,60,20240417,210000,58.0051,58.315,57.9712,58.221,161350,0
CMG.US,60,20240417,220000,58.1261,58.1715,57.9818,58.0592,1349650,0
CMG.US,60,20240418,160000,58.0922,58.5052,57.96,58.1542,244500,0
CMG.US,60,20240418,170000,58.1304,58.6584,58.1304,58.6226,175600,0
CMG.US,60,20240418,180000,58.648,58.8168,58.44,58.48,192700,0
CMG.US,60,20240418,190000,58.5141,58.5141,58.26,58.3204,82350,0
CMG.US,60,20240418,200000,58.4,58.4,58.04,58.1858,794250,0
CMG.US,60,20240418,210000,58.1536,58.2012,57.9778,58.0261,648700,0
CMG.US,60,20240418,220000,58.0261,58.346,57.988,58.1594,1626400,0
CMG.US,60,20240419,160000,58.2768,58.2768,57.5406,57.7998,821250,0
CMG.US,60,20240419,170000,57.7716,57.965,57.6636,57.9322,467500,0
CMG.US,60,20240419,180000,57.9006,57.9454,57.5998,57.6661,524800,0
CMG.US,60,20240419,190000,57.719,57.719,57.2472,57.36,686700,0
CMG.US,60,20240419,200000,57.4019,57.5162,57.2784,57.4416,273600,0
CMG.US,60,20240419,210000,57.3768,57.4232,56.9236,56.9752,332050,0
CMG.US,60,20240419,220000,56.95,57.4118,56.95,57.3822,7188500,0
CMG.US,60,20240422,160000,57.955,57.959,57.4936,57.8012,342350,0
CMG.US,60,20240422,170000,57.8042,57.8588,57.4838,57.6,576850,0
CMG.US,60,20240422,180000,57.5888,57.617,57.3404,57.4516,387000,0
CMG.US,60,20240422,190000,57.4275,57.51,57.4148,57.4752,319400,0
CMG.US,60,20240422,200000,57.4508,57.9162,57.4508,57.9162,321650,0
CMG.US,60,20240422,210000,57.8472,58.24,57.8395,58.1737,715750,0
CMG.US,60,20240422,220000,58.1602,58.1602,57.631,57.685,2423600,0
CMG.US,60,20240423,160000,58.4412,58.6,57.8428,58.0258,306550,0
CMG.US,60,20240423,170000,58.0542,58.2968,58.0542,58.2678,340600,0
CMG.US,60,20240423,180000,58.1894,58.3618,58.184,58.3002,185250,0
CMG.US,60,20240423,190000,58.2088,58.3996,58.2088,58.3198,137100,0
CMG.US,60,20240423,200000,58.282,58.363,58.2688,58.312,130400,0
CMG.US,60,20240423,210000,58.3214,58.3544,58.1722,58.2013,208300,0
CMG.US,60,20240423,220000,58.1796,58.3731,58.1518,58.3,1850400,0
CMG.US,60,20240424,160000,58.758,59.1998,58.6,58.7218,564200,0
CMG.US,60,20240424,170000,58.7218,58.9836,58.6961,58.8228,364400,0
CMG.US,60,20240424,180000,58.847,58.9112,58.626,58.7187,625750,0
CMG.US,60,20240424,190000,58.6608,58.7162,58.3316,58.5236,398550,0
CMG.US,60,20240424,200000,58.52,58.9936,58.4559,58.8746,697650,0
CMG.US,60,20240424,210000,58.888,58.888,58.6,58.7334,607850,0
CMG.US,60,20240424,220000,58.7138,58.8208,58.4666,58.5352,2498250,0
CMG.US,60,20240425,160000,60.24,61.4342,59.0446,60.916,2707300,0
CMG.US,60,20240425,170000,60.8012,60.96,59.7616,60.15,1440700,0
CMG.US,60,20240425,180000,60.2554,61.5521,60.2554,61.4882,1132550,0
CMG.US,60,20240425,190000,61.4954,61.9102,61.4828,61.6071,884600,0
CMG.US,60,20240425,200000,61.607,62.539,61.5316,62.5242,834750,0
CMG.US,60,20240425,210000,62.5102,62.9138,62.2382,62.3198,864000,0
CMG.US,60,20240425,220000,62.3576,62.5494,62.1539,62.2394,3519150,0
CMG.US,60,20240426,160000,62.4094,63.5,62.4074,62.9282,1042650,0
CMG.US,60,20240426,170000,62.9899,63.381,62.8478,63.38,494100,0
CMG.US,60,20240426,180000,63.4,63.5924,63.1588,63.3775,420950,0
CMG.US,60,20240426,190000,63.3838,63.6442,63.3028,63.5598,460450,0
CMG.US,60,20240426,200000,63.6252,63.9998,63.62,63.7436,457050,0
CMG.US,60,20240426,210000,63.76,63.8881,63.5602,63.5602,513750,0
CMG.US,60,20240426,220000,63.6248,63.8908,63.482,63.7394,2318800,0
CMG.US,60,20240429,160000,64.327,64.8284,63.48,63.9104,854750,0
CMG.US,60,20240429,170000,63.9162,64.4104,63.9162,64.3505,919350,0
CMG.US,60,20240429,180000,64.3471,64.3471,64.0238,64.0238,402600,0
CMG.US,60,20240429,190000,64.06,64.06,63.9608,63.9738,136450,0
CMG.US,60,20240429,200000,63.9218,64.2317,63.9218,64.2317,221300,0
CMG.US,60,20240429,210000,64.2023,64.2023,64.0068,64.0744,172750,0
CMG.US,60,20240429,220000,64.079,64.2252,63.9232,64.1894,1461600,0
CMG.US,60,20240430,160000,63.9902,64.277,63.7651,64.277,498600,0
CMG.US,60,20240430,170000,64.1722,64.278,63.5318,63.6071,867250,0
CMG.US,60,20240430,180000,63.6468,63.6468,63.04,63.2038,869750,0
CMG.US,60,20240430,190000,63.228,63.5264,63.228,63.466,339700,0
CMG.US,60,20240430,200000,63.4484,63.6526,63.2818,63.6248,246700,0
CMG.US,60,20240430,210000,63.64,63.64,63.3026,63.382,290800,0
CMG.US,60,20240430,220000,63.3854,63.4192,63.1164,63.192,3787550,0
CMG.US,60,20240501,160000,63.06,63.06,62.5206,62.6176,477350,0
CMG.US,60,20240501,170000,62.5582,62.7844,62.4,62.7844,439850,0
CMG.US,60,20240501,180000,62.7426,62.826,62.438,62.5674,258400,0
CMG.US,60,20240501,190000,62.5452,62.6246,62.4552,62.4568,343450,0
CMG.US,60,20240501,200000,62.5312,62.7152,62.4406,62.7152,263200,0
CMG.US,60,20240501,210000,62.6176,63.0434,62.5638,63.0425,655550,0
CMG.US,60,20240501,220000,62.967,63.152,62.588,62.7732,2245450,0
CMG.US,60,20240502,160000,63.0902,63.3578,62.8816,63.007,331800,0
CMG.US,60,20240502,170000,62.9309,62.9512,62.5002,62.591,262100,0
CMG.US,60,20240502,180000,62.6996,62.8842,62.6012,62.6342,178300,0
CMG.US,60,20240502,190000,62.6976,62.7492,62.3666,62.68,277400,0
CMG.US,60,20240502,200000,62.611,62.7586,62.5416,62.7328,213250,0
CMG.US,60,20240502,210000,62.7086,62.8562,62.6768,62.7214,188300,0
CMG.US,60,20240502,220000,62.799,62.9524,62.6726,62.8398,1702450,0
CMG.US,60,20240506,160000,63.1908,63.6728,63.1908,63.663,482850,0
CMG.US,60,20240506,170000,63.7073,64.0444,63.5838,64.0128,553900,0
CMG.US,60,20240506,180000,63.9754,63.9898,63.5708,63.6844,315450,0
CMG.US,60,20240506,190000,63.7494,63.7814,63.5832,63.7814,129350,0
CMG.US,60,20240506,200000,63.7416,63.8787,63.693,63.87,178700,0
CMG.US,60,20240506,210000,63.8106,63.822,63.743,63.7748,80900,0
CMG.US,60,20240506,220000,63.7522,63.982,63.7522,63.982,1819700,0
CMG.US,60,20240507,160000,64.115,64.115,63.4978,63.5522,330750,0
CMG.US,60,20240507,170000,63.6382,63.9148,63.5602,63.7254,426350,0
CMG.US,60,20240507,180000,63.84,63.905,63.734,63.8306,249100,0
CMG.US,60,20240507,190000,63.8394,64.0804,63.7624,64.0164,203750,0
CMG.US,60,20240507,200000,64.0044,64.215,64.0044,64.0378,111300,0
CMG.US,60,20240507,210000,64.1128,64.1194,63.9748,64.113,101350,0
CMG.US,60,20240507,220000,64.1152,64.2352,63.8512,63.8736,2690300,0
CMG.US,60,20240508,160000,64.08,64.3036,63.965,64.0986,272850,0
CMG.US,60,20240508,170000,64.1888,64.32,64.0144,64.0144,338300,0
CMG.US,60,20240508,180000,64.0544,64.1572,63.8604,63.8604,239450,0
CMG.US,60,20240508,190000,64.0342,64.145,63.9545,63.9545,86400,0
CMG.US,60,20240508,200000,64.0702,64.0702,63.86,63.9377,875550,0
CMG.US,60,20240508,210000,63.9718,63.9918,63.8076,63.8196,438250,0
CMG.US,60,20240508,220000,63.8304,63.8304,63.6206,63.665,1636000,0
CMG.US,60,20240509,160000,63.66,63.6866,63.377,63.4846,230750,0
CMG.US,60,20240509,170000,63.535,63.9442,63.4944,63.8916,655850,0
CMG.US,60,20240509,180000,63.9109,64.1672,63.8602,63.8604,514850,0
CMG.US,60,20240509,190000,63.9338,64.096,63.88,64.0834,376750,0
CMG.US,60,20240509,200000,64.03,64.4,63.982,64.4,1420300,0
CMG.US,60,20240509,210000,64.3803,64.5125,64.2998,64.5125,214350,0
CMG.US,60,20240509,220000,64.4718,64.6594,64.3458,64.6594,2182200,0
CMG.US,60,20240510,160000,64.8802,65.16,64.7103,65.1442,460400,0
CMG.US,60,20240510,170000,65.0424,65.2,64.8388,64.95,249900,0
CMG.US,60,20240510,180000,64.96,65.0271,64.7602,64.7602,179500,0
CMG.US,60,20240510,190000,64.7424,64.812,64.5024,64.5024,267100,0
CMG.US,60,20240510,200000,64.5424,64.5424,64.3764,64.5056,97550,0
CMG.US,60,20240510,210000,64.459,64.7442,64.459,64.689,90000,0
CMG.US,60,20240510,220000,64.653,64.88,64.648,64.7846,1083850,0
CMG.US,60,20240513,160000,64.78,64.7843,63.76,64.0486,571600,0
CMG.US,60,20240513,170000,64.1146,64.3282,63.9672,64.0286,245150,0
CMG.US,60,20240513,180000,64.06,64.1359,63.9812,64.0582,180200,0
CMG.US,60,20240513,190000,64.0588,64.3,64.0588,64.293,115200,0
CMG.US,60,20240513,200000,64.1938,64.232,63.9494,64.0074,104000,0
CMG.US,60,20240513,210000,63.9,64.0642,63.8966,64.0188,133350,0
CMG.US,60,20240513,220000,64.0402,64.1626,63.7492,63.908,1536550,0
CMG.US,60,20240514,160000,63.66,63.9258,63.6,63.7293,235600,0
CMG.US,60,20240514,170000,63.6287,63.96,63.6287,63.8482,107050,0
CMG.US,60,20240514,180000,63.831,63.8894,63.7289,63.7289,124600,0
CMG.US,60,20240514,190000,63.688,63.741,63.6105,63.706,212250,0
CMG.US,60,20240514,200000,63.6534,63.8,63.6534,63.7556,121750,0
CMG.US,60,20240514,210000,63.6932,63.7984,63.68,63.7984,189100,0
CMG.US,60,20240514,220000,63.8123,63.8382,63.4284,63.5334,1478750,0
CMG.US,60,20240515,160000,63.4144,63.7716,63.4144,63.7716,349150,0
CMG.US,60,20240515,170000,63.6596,63.7298,63.5516,63.6808,218450,0
CMG.US,60,20240515,180000,63.7142,63.8084,63.6426,63.7444,203850,0
CMG.US,60,20240515,190000,63.7643,63.7762,63.5838,63.6774,185250,0
CMG.US,60,20240515,200000,63.7524,63.7524,63.442,63.442,116150,0
CMG.US,60,20240515,210000,63.452,63.6318,63.452,63.58,85550,0
CMG.US,60,20240515,220000,63.5362,63.5369,63.2152,63.366,2323200,0
CMG.US,60,20240516,160000,63.4662,63.6236,63.3176,63.5036,383850,0
CMG.US,60,20240516,170000,63.5036,63.5998,63.27,63.3544,704250,0
CMG.US,60,20240516,180000,63.44,63.54,63.3132,63.3718,162200,0
CMG.US,60,20240516,190000,63.2892,63.3567,63.212,63.3567,98600,0
CMG.US,60,20240516,200000,63.4192,63.4192,63.1514,63.1514,46900,0
CMG.US,60,20240516,210000,63.1568,63.1734,63.0046,63.1467,167850,0
CMG.US,60,20240516,220000,63.1162,63.162,62.7698,62.9176,2263300,0
CMG.US,60,20240517,160000,62.9046,63.4302,62.9046,63.4271,513700,0
CMG.US,60,20240517,170000,63.3875,63.4322,63.2,63.2232,206050,0
CMG.US,60,20240517,180000,63.2041,63.3594,63.1444,63.3398,193950,0
CMG.US,60,20240517,190000,63.3982,63.3982,63.2674,63.347,221200,0
