<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNQ.US,60,20240411,160000,40.3418,40.3418,39.7898,39.8094,361851.306758134,0
CNQ.US,60,20240411,170000,39.8142,39.8215,39.3844,39.4967,1363492.3079568,0
CNQ.US,60,20240411,180000,39.4967,39.6042,39.1499,39.272,1992443.1053538,0
CNQ.US,60,20240411,190000,39.2842,39.4722,39.2817,39.438,1453679.3005809,0
CNQ.US,60,20240411,200000,39.438,39.5993,39.2276,39.2573,2316660.2058521,0
CNQ.US,60,20240411,210000,39.2475,39.3013,38.9838,39.1059,468633.37744302,0
CNQ.US,60,20240411,220000,39.1059,39.9608,39.0522,39.8728,4419985.5350123,0
CNQ.US,60,20240412,160000,39.868,40.0634,39.521,39.6066,655162.7098885088,0
CNQ.US,60,20240412,170000,39.5749,39.7214,39.1939,39.6212,836895.90715496,0
CNQ.US,60,20240412,180000,39.6091,39.7507,39.2573,39.3379,557487.76912746,0
CNQ.US,60,20240412,190000,39.3379,39.3892,38.9007,38.974,1123542.2585811,0
CNQ.US,60,20240412,200000,38.974,39.0472,38.7639,38.8421,852416.30703865,0
CNQ.US,60,20240412,210000,38.8421,38.9056,38.5294,38.5319,1448844.2722869,0
CNQ.US,60,20240412,220000,38.5246,38.7053,38.4219,38.7053,4744356.1609645,0
CNQ.US,60,20240415,160000,38.8127,38.8763,38.2999,38.3731,765860.7031502224,0
CNQ.US,60,20240415,170000,38.378,38.4219,37.9627,38.1972,1438334.9432176,0
CNQ.US,60,20240415,180000,38.1972,38.1972,37.931,38.1044,598687.85992924,0
CNQ.US,60,20240415,190000,38.1044,38.1777,37.8839,38.0556,447549.21511091,0
CNQ.US,60,20240415,200000,38.0507,38.1338,37.8211,37.9529,485074.93004996,0
CNQ.US,60,20240415,210000,37.9481,37.9725,37.7088,37.7307,769535.07901295,0
CNQ.US,60,20240415,220000,37.7282,37.8797,37.6696,37.8797,4206224.8810616,0
CNQ.US,60,20240416,160000,37.5866,38.0898,37.5427,37.8162,618721.908156843,0
CNQ.US,60,20240416,170000,37.8211,37.8211,37.4596,37.7356,939776.38430538,0
CNQ.US,60,20240416,180000,37.7458,37.9041,37.7088,37.8113,548380.63920362,0
CNQ.US,60,20240416,190000,37.8113,37.8406,37.6599,37.7918,502793.81443314,0
CNQ.US,60,20240416,200000,37.7966,37.8162,37.5621,37.6892,557139.77809868,0
CNQ.US,60,20240416,210000,37.6892,38.1777,37.6354,38.1582,809640.02157709,0
CNQ.US,60,20240416,220000,38.1582,38.2461,37.6403,37.8064,5839596.5138754,0
CNQ.US,60,20240417,160000,37.782,38.3683,37.7722,38.3096,552669.1168818518,0
CNQ.US,60,20240417,170000,38.3194,38.4635,38.1436,38.1826,1014653.8186691,0
CNQ.US,60,20240417,180000,38.1777,38.2705,37.8431,37.8651,320941.89081569,0
CNQ.US,60,20240417,190000,37.8602,37.8602,37.4547,37.6306,353702.17566647,0
CNQ.US,60,20240417,200000,37.6379,37.8602,37.5769,37.8357,287420.1197137,0
CNQ.US,60,20240417,210000,37.826,37.9969,37.7185,37.7722,455929.65788641,0
CNQ.US,60,20240417,220000,37.7722,37.8162,37.6159,37.7234,2415579.7262926,0
CNQ.US,60,20240418,160000,37.7772,37.9579,37.5573,37.782,204821.3785231295,0
CNQ.US,60,20240418,170000,37.7869,37.8797,37.6599,37.7918,327236.43442455,0
CNQ.US,60,20240418,180000,37.7966,37.8651,37.6306,37.6794,269185.3898055,0
CNQ.US,60,20240418,190000,37.6819,37.7527,37.4889,37.5231,370950.24865777,0
CNQ.US,60,20240418,200000,37.5133,37.5427,37.1885,37.274,318215.27875488,0
CNQ.US,60,20240418,210000,37.269,37.4351,37.1592,37.313,371394.44897098,0
CNQ.US,60,20240418,220000,37.3228,37.6159,37.2838,37.5427,1231779.7505687,0
CNQ.US,60,20240419,160000,37.4937,37.8406,37.3716,37.782,311464.252796503,0
CNQ.US,60,20240419,170000,37.7918,37.8846,37.7332,37.7869,383459.50263947,0
CNQ.US,60,20240419,180000,37.7869,37.8211,37.5573,37.611,336978.1362244,0
CNQ.US,60,20240419,190000,37.6159,37.6501,37.3766,37.5866,456785.30641601,0
CNQ.US,60,20240419,200000,37.5817,37.7014,37.5085,37.6306,507489.64631565,0
CNQ.US,60,20240419,210000,37.6257,37.6257,37.4547,37.484,477365.90525941,0
CNQ.US,60,20240419,220000,37.4791,37.5671,37.3814,37.3961,1050672.9371541,0
CNQ.US,60,20240422,160000,37.2886,37.4058,37.0541,37.3961,247466.6555973793,0
CNQ.US,60,20240422,170000,37.401,37.7619,37.3814,37.6208,544196.55883403,0
CNQ.US,60,20240422,180000,37.611,37.6501,37.4303,37.5817,326231.35445318,0
CNQ.US,60,20240422,190000,37.5866,37.6892,37.5671,37.6721,264579.62618926,0
CNQ.US,60,20240422,200000,37.6794,37.782,37.6452,37.7368,533161.14920952,0
CNQ.US,60,20240422,210000,37.738,37.8846,37.6892,37.7136,492255.82727919,0
CNQ.US,60,20240422,220000,37.7111,37.7234,37.4351,37.5035,2306967.6321975,0
CNQ.US,60,20240423,160000,37.2984,37.2984,36.9965,37.1811,254131.7073015869,0
CNQ.US,60,20240423,170000,37.1909,37.4645,37.1152,37.3619,567829.24370045,0
CNQ.US,60,20240423,180000,37.3668,37.5133,37.3032,37.3716,513632.71147668,0
CNQ.US,60,20240423,190000,37.3766,37.5231,37.357,37.4693,541455.61773085,0
CNQ.US,60,20240423,200000,37.4693,37.5085,37.4034,37.4816,599606.96564643,0
CNQ.US,60,20240423,210000,37.4791,37.7136,37.4693,37.6306,718069.2528621,0
CNQ.US,60,20240423,220000,37.6403,37.6599,37.5377,37.6501,1943359.9942471,0
CNQ.US,60,20240424,160000,37.6746,37.7234,37.3326,37.6159,224675.2902181878,0
CNQ.US,60,20240424,170000,37.6184,37.736,37.4693,37.5035,354340.84155459,0
CNQ.US,60,20240424,180000,37.5133,37.5524,37.3668,37.4645,251398.95422262,0
CNQ.US,60,20240424,190000,37.4669,37.5256,37.3961,37.4401,137667.29799234,0
CNQ.US,60,20240424,200000,37.4303,37.6892,37.4156,37.6696,189245.70947604,0
CNQ.US,60,20240424,210000,37.6525,37.655,37.4596,37.4645,477806.01156051,0
CNQ.US,60,20240424,220000,37.4645,37.611,37.4254,37.5719,2706760.1961232,0
CNQ.US,60,20240425,160000,37.3716,37.4962,37.1079,37.1763,263816.09293199424,0
CNQ.US,60,20240425,170000,37.186,37.5915,37.1029,37.4596,310315.88240152,0
CNQ.US,60,20240425,180000,37.4547,37.6843,37.4205,37.6648,314467.21067429,0
CNQ.US,60,20240425,190000,37.6599,37.8138,37.6501,37.6501,325559.93646824,0
CNQ.US,60,20240425,200000,37.6501,37.8651,37.5964,37.8357,385342.74820699,0
CNQ.US,60,20240425,210000,37.8309,37.8455,37.6403,37.6965,918049.46207305,0
CNQ.US,60,20240425,220000,37.7088,37.9872,37.699,37.782,1708621.6222789,0
CNQ.US,60,20240426,160000,38.1044,38.1044,37.6501,37.6965,294885.55078410206,0
CNQ.US,60,20240426,170000,37.699,37.8748,37.5915,37.6599,338501.10872684,0
CNQ.US,60,20240426,180000,37.6648,37.8651,37.63,37.8602,252111.3123286,0
CNQ.US,60,20240426,190000,37.8553,37.9969,37.8357,37.9921,205900.15071235,0
CNQ.US,60,20240426,200000,37.9872,38.1338,37.9408,38.08,160028.79210069,0
CNQ.US,60,20240426,210000,38.0848,38.2168,38.0654,38.0946,307572.8942923,0
CNQ.US,60,20240426,220000,38.0996,38.207,38.036,38.0898,773064.11744602,0
CNQ.US,60,20240429,160000,37.9237,38.08,37.7968,37.9188,164757.37608002406,0
CNQ.US,60,20240429,170000,37.9237,38.1338,37.8651,37.9774,370262.45462441,0
CNQ.US,60,20240429,180000,37.9725,38.1142,37.9188,38.1142,180103.78044933,0
CNQ.US,60,20240429,190000,38.1191,38.251,38.0849,38.1924,120153.11421433,0
CNQ.US,60,20240429,200000,38.1874,38.2608,38.124,38.1582,134252.89189817,0
CNQ.US,60,20240429,210000,38.1582,38.1582,38.0311,38.0946,259828.52514336,0
CNQ.US,60,20240429,220000,38.0898,38.2266,37.9481,38.2022,806733.27298373,0
CNQ.US,60,20240430,160000,37.9529,37.9529,37.611,37.6927,178517.35075928803,0
CNQ.US,60,20240430,170000,37.6917,37.7478,37.4767,37.5866,226814.41154217,0
CNQ.US,60,20240430,180000,37.5866,37.6403,37.4156,37.4474,328243.56140197,0
CNQ.US,60,20240430,190000,37.4449,37.484,37.0981,37.1079,215052.31476933,0
CNQ.US,60,20240430,200000,37.1029,37.3863,37.0639,37.357,263640.05041155,0
CNQ.US,60,20240430,210000,37.357,37.3912,37.1079,37.1567,467053.08877114,0
CNQ.US,60,20240430,220000,37.1714,37.274,36.9906,37.0395,1783750.838387,0
CNQ.US,60,20240501,160000,37.0053,37.0248,36.6633,36.8098,315304.4361494187,0
CNQ.US,60,20240501,170000,36.8392,36.9955,36.6633,36.7317,294005.33818189,0
CNQ.US,60,20240501,180000,36.7292,36.7292,36.4679,36.5998,656503.49885235,0
CNQ.US,60,20240501,190000,36.6095,36.7806,36.6095,36.7073,340310.66207651,0
CNQ.US,60,20240501,200000,36.7073,36.7317,36.5216,36.5216,385866.78175622,0
CNQ.US,60,20240501,210000,36.5387,37.1567,36.507,37.0639,348596.94257363,0
CNQ.US,60,20240501,220000,37.0981,37.1469,36.5851,36.6145,1254237.4539615,0
CNQ.US,60,20240502,160000,36.3116,37.0443,35.8329,36.8098,617041.3161884295,0
CNQ.US,60,20240502,170000,36.8148,36.9076,36.5387,36.8588,384386.79638087,0
CNQ.US,60,20240502,180000,36.8636,36.888,36.5216,36.5558,461127.00625158,0
CNQ.US,60,20240502,190000,36.5607,36.7268,36.4532,36.7171,409124.86451519,0
CNQ.US,60,20240502,200000,36.7171,36.8294,36.6585,36.6829,382745.09752744,0
CNQ.US,60,20240502,210000,36.6829,36.8538,36.6022,36.8294,457933.67681099,0
CNQ.US,60,20240502,220000,36.8294,36.8294,36.5461,36.5705,1283069.5341992,0
CNQ.US,60,20240506,160000,36.8294,37.2178,36.7854,37.1665,448771.2777237555,0
CNQ.US,60,20240506,170000,37.1738,37.3716,37.1689,37.3082,272548.62074838,0
