<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CP.US,60,20240411,160000,88.28,88.34,87.075,87.09,102334,0
CP.US,60,20240411,170000,87.085,87.085,85.86,86.58,262435,0
CP.US,60,20240411,180000,86.545,86.79,86.35,86.78,116937,0
CP.US,60,20240411,190000,86.79,86.97,86.46,86.46,144556,0
CP.US,60,20240411,200000,86.47,87.01,86.47,87,125330,0
CP.US,60,20240411,210000,87.005,87.15,86.91,86.93,239363,0
CP.US,60,20240411,220000,86.92,87.01,86.45,86.65,551141,0
CP.US,60,20240412,160000,86.11,86.49,85.815,85.825,56123,0
CP.US,60,20240412,170000,85.81,85.82,85.385,85.59,140921,0
CP.US,60,20240412,180000,85.62,86.29,85.62,86.245,152215,0
CP.US,60,20240412,190000,86.27,86.305,85.64,85.74,78290,0
CP.US,60,20240412,200000,85.75,86.06,85.53,86.06,79703,0
CP.US,60,20240412,210000,86.04,86.149,85.76,85.76,73288,0
CP.US,60,20240412,220000,85.77,86.16,85.56,86.05,307995,0
CP.US,60,20240415,160000,87.31,87.405,86.82,86.87,83642,0
CP.US,60,20240415,170000,86.885,86.885,86.02,86.03,37869,0
CP.US,60,20240415,180000,86.03,86.66,85.81,86.55,43408,0
CP.US,60,20240415,190000,86.56,86.58,86.03,86.09,65578,0
CP.US,60,20240415,200000,86.07,86.12,85.14,85.38,59456,0
CP.US,60,20240415,210000,85.37,85.37,85.04,85.14,70544,0
CP.US,60,20240415,220000,85.14,85.56,84.97,85.52,278601,0
CP.US,60,20240416,160000,85.08,85.105,84.43,84.48,33422,0
CP.US,60,20240416,170000,84.48,84.95,84.38,84.73,98728,0
CP.US,60,20240416,180000,84.75,85.15,84.63,85.02,128173,0
CP.US,60,20240416,190000,84.96,85.21,84.72,85.18,66268,0
CP.US,60,20240416,200000,85.18,85.2099,84.51,84.73,73663,0
CP.US,60,20240416,210000,84.72,85.09,84.335,84.83,114423,0
CP.US,60,20240416,220000,84.815,84.82,84.08,84.27,414181,0
CP.US,60,20240417,160000,84.71,84.99,83.53,83.57,86094,0
CP.US,60,20240417,170000,83.56,83.57,82.96,83.2216,129952,0
CP.US,60,20240417,180000,83.29,83.53,83.23,83.47,130397,0
CP.US,60,20240417,190000,83.47,83.75,83.32,83.335,133060,0
CP.US,60,20240417,200000,83.33,83.87,83.19,83.85,195048,0
CP.US,60,20240417,210000,83.85,84.18,83.61,83.76,98904,0
CP.US,60,20240417,220000,83.77,84.06,83.55,83.93,491645,0
CP.US,60,20240418,160000,84.55,84.75,83.36,84.29,105361,0
CP.US,60,20240418,170000,84.335,84.46,83.96,84.19,142694,0
CP.US,60,20240418,180000,84.19,84.47,84.08,84.39,149357,0
CP.US,60,20240418,190000,84.38,84.495,84.13,84.21,118090,0
