<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRM.US,60,20240411,160000,299.47,301.09,298.33,299,146109,0
CRM.US,60,20240411,170000,298.975,299.03,296.4077,297.15,262420,0
CRM.US,60,20240411,180000,297.18,297.77,296.65,297.75,201309,0
CRM.US,60,20240411,190000,297.725,297.83,296.835,297.02,186317,0
CRM.US,60,20240411,200000,297.06,299.2,296.57,299.2,222062,0
CRM.US,60,20240411,210000,299.2,300.44,299.15,299.67,125946,0
CRM.US,60,20240411,220000,299.61,300.045,298.91,299.15,796819,0
CRM.US,60,20240412,160000,296.87,297.8,295.9201,297.42,188085,0
CRM.US,60,20240412,170000,297.41,297.66,295.23,295.68,264982,0
CRM.US,60,20240412,180000,295.71,297.48,295.4,296.64,162196,0
CRM.US,60,20240412,190000,296.59,296.84,295.45,295.845,138782,0
CRM.US,60,20240412,200000,295.8,296.06,293.5,294.68,438605,0
CRM.US,60,20240412,210000,294.55,295.66,294.34,294.735,228564,0
CRM.US,60,20240412,220000,294.67,295.17,294.02,294.32,1038121,0
CRM.US,60,20240415,160000,282.94,286.4766,281.375,284.54,1495885,0
CRM.US,60,20240415,170000,284.46,285.2,277.13,277.77,1678223,0
CRM.US,60,20240415,180000,277.84,278.9399,276.56,278.23,1206954,0
CRM.US,60,20240415,190000,278.23,280.1,278.08,278.825,1049147,0
CRM.US,60,20240415,200000,278.8,279.46,274.16,274.91,1210166,0
CRM.US,60,20240415,210000,274.915,275.51,273.26,274.5,1291664,0
CRM.US,60,20240415,220000,274.57,274.655,271.66,272.9,4178336,0
CRM.US,60,20240416,160000,274.44,275.53,272.4401,274.69,451161,0
CRM.US,60,20240416,170000,274.67,277.06,274.29,274.85,750214,0
CRM.US,60,20240416,180000,274.85,279.29,274.81,277.6,454077,0
CRM.US,60,20240416,190000,277.73,278.8724,277.22,278.64,300544,0
CRM.US,60,20240416,200000,278.69,279.29,277.35,278.69,431323,0
CRM.US,60,20240416,210000,278.7,280.56,278.1266,279.6,455409,0
CRM.US,60,20240416,220000,279.4201,279.51,277.05,277.41,1859772,0
CRM.US,60,20240417,160000,277.74,278.04,274.84,276.92,511020,0
CRM.US,60,20240417,170000,276.95,277.95,275.52,276.045,390599,0
CRM.US,60,20240417,180000,276.1373,277.485,275.52,276.435,343058,0
CRM.US,60,20240417,190000,276.39,277.1,275.38,275.74,279620,0
CRM.US,60,20240417,200000,275.65,278.25,275.585,278.07,187981,0
CRM.US,60,20240417,210000,278.075,278.9678,277,277.085,140107,0
CRM.US,60,20240417,220000,277.01,277.53,276.11,276.32,887200,0
CRM.US,60,20240418,160000,276.32,276.33,274.01,274.85,206873,0
