<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYD.US,60,20240411,160000,8.28,8.331,8.28,8.29,1020,0
CYD.US,60,20240411,170000,8.28,8.28,8.28,8.28,4810,0
CYD.US,60,20240411,180000,8.25,8.25,8.25,8.25,200,0
CYD.US,60,20240411,190000,8.285,8.285,8.285,8.285,204,0
CYD.US,60,20240411,210000,8.285,8.285,8.285,8.285,100,0
CYD.US,60,20240411,220000,8.25,8.25,8.25,8.25,252,0
CYD.US,60,20240412,160000,8.25,8.427,8.25,8.427,1509,0
CYD.US,60,20240412,180000,8.26,8.26,8.26,8.26,100,0
CYD.US,60,20240412,200000,8.2601,8.2601,8.2601,8.2601,189,0
CYD.US,60,20240412,220000,8.34,8.34,8.34,8.34,100,0
CYD.US,60,20240415,160000,8.35,8.35,8.35,8.35,106,0
CYD.US,60,20240415,170000,8.35,8.35,8.35,8.35,100,0
CYD.US,60,20240415,180000,8.35,8.35,8.35,8.35,1150,0
CYD.US,60,20240415,190000,8.35,8.35,8.25,8.25,2882,0
CYD.US,60,20240415,200000,8.27,8.27,8.27,8.27,101,0
CYD.US,60,20240415,210000,8.27,8.325,8.25,8.27,1802,0
CYD.US,60,20240415,220000,8.26,8.26,8.25,8.25,1771,0
CYD.US,60,20240416,160000,8.28,8.3692,8.28,8.3692,2765,0
CYD.US,60,20240416,180000,8.365,8.365,8.28,8.355,1989,0
CYD.US,60,20240416,190000,8.355,8.355,8.355,8.355,100,0
CYD.US,60,20240416,200000,8.355,8.355,8.355,8.355,200,0
CYD.US,60,20240416,210000,8.358,8.358,8.28,8.28,570,0
CYD.US,60,20240416,220000,8.345,8.35,8.345,8.35,400,0
CYD.US,60,20240417,160000,8.43,8.43,8.25,8.27,23787,0
CYD.US,60,20240417,170000,8.33,8.34,8.33,8.34,1372,0
CYD.US,60,20240417,190000,8.35,8.35,8.35,8.35,838,0
CYD.US,60,20240417,200000,8.3488,8.3593,8.25,8.25,3949,0
CYD.US,60,20240417,210000,8.2948,8.2948,8.2948,8.2948,133,0
CYD.US,60,20240417,220000,8.26,8.31,8.26,8.31,484,0
CYD.US,60,20240418,160000,8.28,8.29,8.2,8.27,7778,0
CYD.US,60,20240418,170000,8.25,8.26,8.25,8.26,670,0
CYD.US,60,20240418,180000,8.29,8.29,8.29,8.29,100,0
CYD.US,60,20240418,190000,8.29,8.29,8.22,8.2574,834,0
CYD.US,60,20240418,200000,8.29,8.31,8.29,8.31,8810,0
CYD.US,60,20240418,210000,8.32,8.32,8.32,8.32,100,0
CYD.US,60,20240418,220000,8.32,8.32,8.3102,8.3102,339,0
CYD.US,60,20240419,190000,8.32,8.32,8.31,8.31,299,0
CYD.US,60,20240419,200000,8.31,8.31,8.31,8.31,100,0
CYD.US,60,20240419,210000,8.31,8.33,8.25,8.278,6588,0
