<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
D.US,60,20240411,160000,49.14,49.2,48.75,48.7849,191911,0
D.US,60,20240411,170000,48.77,48.78,48.385,48.57,448990,0
D.US,60,20240411,180000,48.56,48.77,48.4498,48.7643,167349,0
D.US,60,20240411,190000,48.77,48.88,48.72,48.84,153710,0
D.US,60,20240411,200000,48.835,49.08,48.8,49.02,127760,0
D.US,60,20240411,210000,49.025,49.17,48.99,49.03,161636,0
D.US,60,20240411,220000,49.0192,49.135,48.955,49.02,1595742,0
D.US,60,20240412,160000,49.25,49.45,49.02,49.13,172513,0
D.US,60,20240412,170000,49.12,49.142,48.86,48.995,485571,0
D.US,60,20240412,180000,48.99,49.045,48.75,49,378538,0
D.US,60,20240412,190000,49,49.08,48.66,48.67,377471,0
D.US,60,20240412,200000,48.66,48.72,48.39,48.72,633444,0
D.US,60,20240412,210000,48.71,48.83,48.61,48.62,342798,0
D.US,60,20240412,220000,48.6,48.94,48.565,48.91,2166250,0
D.US,60,20240415,160000,49.1,49.54,48.46,48.69,206042,0
D.US,60,20240415,170000,48.695,48.71,48.16,48.22,349935,0
D.US,60,20240415,180000,48.23,48.685,48.125,48.64,585198,0
D.US,60,20240415,190000,48.65,48.66,48.46,48.605,388151,0
D.US,60,20240415,200000,48.605,48.73,48.26,48.35,367065,0
D.US,60,20240415,210000,48.35,48.37,47.975,48.08,276421,0
D.US,60,20240415,220000,48.075,48.185,47.91,47.92,1455967,0
D.US,60,20240416,160000,47.68,47.84,47.13,47.18,115553,0
D.US,60,20240416,170000,47.165,47.165,46.7527,46.77,267171,0
D.US,60,20240416,180000,46.77,47.18,46.62,47.1,383071,0
D.US,60,20240416,190000,47.09,47.26,47.005,47.21,129333,0
D.US,60,20240416,200000,47.215,47.215,46.86,47.03,162752,0
D.US,60,20240416,210000,47.03,47.2299,46.79,47.09,217438,0
D.US,60,20240416,220000,47.095,47.1,46.785,46.86,1350392,0
D.US,60,20240417,160000,47.33,47.44,47.16,47.34,172882,0
D.US,60,20240417,170000,47.36,47.41,47.1716,47.29,234014,0
D.US,60,20240417,180000,47.3,47.405,47.15,47.3288,247442,0
D.US,60,20240417,190000,47.31,47.6069,47.3,47.59,172662,0
D.US,60,20240417,200000,47.57,48.03,47.53,48,173184,0
D.US,60,20240417,210000,48,48.24,47.97,48.03,215726,0
D.US,60,20240417,220000,48.0225,48.425,47.99,48.32,1234473,0
D.US,60,20240418,160000,48.61,48.635,48.34,48.51,121766,0
D.US,60,20240418,170000,48.5,48.575,48.21,48.43,296367,0
D.US,60,20240418,180000,48.44,48.46,48.17,48.26,177865,0
D.US,60,20240418,190000,48.255,48.4,48.215,48.245,146114,0
D.US,60,20240418,200000,48.25,48.52,48.24,48.49,234574,0
D.US,60,20240418,210000,48.48,48.55,48.345,48.515,237925,0
D.US,60,20240418,220000,48.52,48.81,48.505,48.57,953278,0
D.US,60,20240419,160000,48.81,49.13,48.68,49.06,305142,0
D.US,60,20240419,170000,49.07,49.595,49.015,49.5717,294675,0
D.US,60,20240419,180000,49.575,49.73,49.47,49.67,398536,0
D.US,60,20240419,190000,49.68,49.86,49.55,49.86,283824,0
D.US,60,20240419,200000,49.8598,49.9,49.74,49.77,269679,0
D.US,60,20240419,210000,49.775,49.92,49.68,49.91,195758,0
D.US,60,20240419,220000,49.9,49.98,49.8096,49.83,907695,0
D.US,60,20240422,160000,49.66,49.895,49.43,49.84,164303,0
D.US,60,20240422,170000,49.85,50.14,49.815,50.015,359316,0
D.US,60,20240422,180000,50.01,50.1,49.89,50.025,383384,0
D.US,60,20240422,190000,50.03,50.1899,50.0041,50.17,265326,0
D.US,60,20240422,200000,50.18,50.65,50.15,50.6116,316103,0
D.US,60,20240422,210000,50.615,50.66,50.485,50.58,224228,0
D.US,60,20240422,220000,50.575,50.67,50.325,50.63,1731245,0
D.US,60,20240423,160000,50.36,51.11,50.24,50.81,218750,0
D.US,60,20240423,170000,50.78,51.03,50.61,50.835,319169,0
D.US,60,20240423,180000,50.835,51.06,50.74,50.925,423951,0
D.US,60,20240423,190000,50.93,51.09,50.855,51.04,197971,0
D.US,60,20240423,200000,51.038,51.055,50.805,50.805,235472,0
D.US,60,20240423,210000,50.805,50.89,50.73,50.785,364611,0
D.US,60,20240423,220000,50.79,50.81,50.555,50.67,2170337,0
D.US,60,20240424,160000,50.01,50.52,49.615,50.38,229191,0
D.US,60,20240424,170000,50.41,50.89,50.32,50.825,265978,0
D.US,60,20240424,180000,50.8276,51.06,50.7,50.99,273752,0
D.US,60,20240424,190000,50.99,51.1,50.93,51.03,124664,0
D.US,60,20240424,200000,51.02,51.279,51.0062,51.25,178161,0
D.US,60,20240424,210000,51.255,51.325,51.1,51.19,238682,0
D.US,60,20240424,220000,51.185,51.36,51.09,51.23,1435632,0
D.US,60,20240425,160000,51.02,51.16,50.52,50.8,226178,0
D.US,60,20240425,170000,50.79,50.95,50.35,50.9077,276189,0
D.US,60,20240425,180000,50.9,51.22,50.82,51.08,662685,0
D.US,60,20240425,190000,51.06,51.17,51.02,51.115,205867,0
D.US,60,20240425,200000,51.11,51.12,50.81,51.06,432436,0
D.US,60,20240425,210000,51.06,51.09,50.795,50.88,282892,0
D.US,60,20240425,220000,50.88,51.16,50.86,50.97,1594969,0
D.US,60,20240426,160000,51,51.22,50.76,50.78,162347,0
D.US,60,20240426,170000,50.76,50.86,50.45,50.465,311191,0
D.US,60,20240426,180000,50.47,50.51,50.265,50.435,350064,0
D.US,60,20240426,190000,50.43,50.46,50.295,50.355,227815,0
D.US,60,20240426,200000,50.355,50.4,50.2,50.27,279058,0
D.US,60,20240426,210000,50.26,50.63,50.26,50.625,278504,0
D.US,60,20240426,220000,50.61,50.705,50.425,50.45,1153259,0
D.US,60,20240429,160000,50.77,51.24,50.685,50.99,188558,0
D.US,60,20240429,170000,50.985,51.32,50.985,51.27,176282,0
D.US,60,20240429,180000,51.27,51.35,51.075,51.12,191245,0
D.US,60,20240429,190000,51.11,51.39,51.1,51.25,140359,0
D.US,60,20240429,200000,51.25,51.349,51.22,51.25,117420,0
D.US,60,20240429,210000,51.25,51.305,51.14,51.215,210463,0
D.US,60,20240429,220000,51.21,51.275,51.04,51.14,867390,0
D.US,60,20240430,160000,50.63,50.92,50.21,50.89,187957,0
D.US,60,20240430,170000,50.89,51.02,50.795,50.94,173285,0
D.US,60,20240430,180000,50.94,51.21,50.8,51.205,172071,0
D.US,60,20240430,190000,51.205,51.295,51.13,51.2699,198745,0
D.US,60,20240430,200000,51.265,51.475,51.22,51.45,240735,0
D.US,60,20240430,210000,51.46,51.495,51.135,51.23,221095,0
D.US,60,20240430,220000,51.235,51.29,50.95,50.98,2174916,0
D.US,60,20240501,160000,50.93,51.3,50.835,50.985,180042,0
D.US,60,20240501,170000,50.985,51.24,50.93,51.1381,225208,0
D.US,60,20240501,180000,51.14,51.51,51.12,51.46,257571,0
