<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAL.US,60,20240411,160000,46.74,47.44,46.5803,46.73,1449200,0
DAL.US,60,20240411,170000,46.735,47.255,46.64,47.11,1684049,0
DAL.US,60,20240411,180000,47.1,47.43,47.01,47.43,1738188,0
DAL.US,60,20240411,190000,47.425,47.52,47.33,47.45,1018591,0
DAL.US,60,20240411,200000,47.4503,47.73,47.38,47.68,1125135,0
DAL.US,60,20240411,210000,47.67,47.85,47.612,47.6723,1062500,0
DAL.US,60,20240411,220000,47.6789,47.88,47.58,47.63,3371343,0
DAL.US,60,20240412,160000,46.79,46.9,46.215,46.38,1175425,0
DAL.US,60,20240412,170000,46.37,46.46,46.09,46.221,3996120,0
DAL.US,60,20240412,180000,46.22,46.77,46.13,46.715,1718821,0
DAL.US,60,20240412,190000,46.71,46.87,46.6,46.64,1055720,0
DAL.US,60,20240412,200000,46.64,46.75,46.47,46.685,1705135,0
DAL.US,60,20240412,210000,46.68,46.94,46.64,46.7499,1071182,0
DAL.US,60,20240412,220000,46.75,46.945,46.61,46.86,3167473,0
DAL.US,60,20240415,160000,47.27,47.8129,47.25,47.33,829185,0
DAL.US,60,20240415,170000,47.34,47.4,46.64,46.675,1097501,0
DAL.US,60,20240415,180000,46.67,46.84,46.57,46.815,680352,0
DAL.US,60,20240415,190000,46.82,46.835,46.57,46.675,582182,0
DAL.US,60,20240415,200000,46.67,46.7,46.29,46.55,1717793,0
DAL.US,60,20240415,210000,46.55,46.7099,46.47,46.615,1567392,0
DAL.US,60,20240415,220000,46.6059,46.83,46.44,46.65,3527591,0
DAL.US,60,20240416,160000,46.55,46.735,46.15,46.325,1085350,0
DAL.US,60,20240416,170000,46.33,46.67,45.64,45.79,1793144,0
DAL.US,60,20240416,180000,45.81,46.46,45.79,46.32,927936,0
DAL.US,60,20240416,190000,46.315,46.61,46.245,46.57,697934,0
DAL.US,60,20240416,200000,46.57,46.59,46.24,46.45,802229,0
DAL.US,60,20240416,210000,46.44,46.69,46.27,46.6,754369,0
DAL.US,60,20240416,220000,46.595,46.77,46.48,46.55,2848431,0
DAL.US,60,20240417,160000,47.72,48.125,47.4,47.9399,2185784,0
DAL.US,60,20240417,170000,47.92,47.93,47.37,47.445,1473758,0
DAL.US,60,20240417,180000,47.43,47.68,47.15,47.48,972066,0
DAL.US,60,20240417,190000,47.47,47.635,47.29,47.365,905013,0
DAL.US,60,20240417,200000,47.37,47.77,47.34,47.75,768922,0
DAL.US,60,20240417,210000,47.755,47.875,47.46,47.76,1161302,0
DAL.US,60,20240417,220000,47.76,48.19,47.71,47.88,3691555,0
DAL.US,60,20240418,160000,48,49.21,48,48.8096,1806196,0
DAL.US,60,20240418,170000,48.805,48.945,48.405,48.6,1240098,0
DAL.US,60,20240418,180000,48.6,48.88,48.59,48.78,1297322,0
DAL.US,60,20240418,190000,48.7825,48.92,48.43,48.455,1024543,0
DAL.US,60,20240418,200000,48.45,48.4998,48.01,48.07,877896,0
DAL.US,60,20240418,210000,48.07,48.15,47.87,47.89,925454,0
DAL.US,60,20240418,220000,47.89,48.145,47.8139,47.85,2892012,0
DAL.US,60,20240419,160000,47.8,48.7,47.71,48.525,1146045,0
DAL.US,60,20240419,170000,48.52,48.745,48.09,48.14,963156,0
DAL.US,60,20240419,180000,48.14,48.49,48.105,48.2583,1003899,0
DAL.US,60,20240419,190000,48.26,48.31,47.82,48.02,601878,0
DAL.US,60,20240419,200000,48.02,48.18,47.93,48.055,478464,0
DAL.US,60,20240419,210000,48.04,48.0849,47.73,47.805,707867,0
DAL.US,60,20240419,220000,47.81,47.8377,47.5,47.579,1687889,0
DAL.US,60,20240422,160000,47.8,48.595,47.8,48.3701,924704,0
DAL.US,60,20240422,170000,48.37,48.4,48.105,48.115,949800,0
DAL.US,60,20240422,180000,48.11,48.49,48.01,48.45,776867,0
DAL.US,60,20240422,190000,48.46,48.87,48.4101,48.75,1052439,0
DAL.US,60,20240422,200000,48.755,49.12,48.715,49.0605,932246,0
DAL.US,60,20240422,210000,49.07,49.18,48.97,49.095,718994,0
DAL.US,60,20240422,220000,49.09,49.11,48.715,49.02,3333799,0
DAL.US,60,20240423,160000,48.42,48.965,48.2,48.935,755524,0
DAL.US,60,20240423,170000,48.935,49.165,48.78,49.15,955084,0
DAL.US,60,20240423,180000,49.145,49.52,49,49.45,1178824,0
DAL.US,60,20240423,190000,49.46,49.485,49.0801,49.32,915357,0
DAL.US,60,20240423,200000,49.31,49.5,49.26,49.4501,774875,0
DAL.US,60,20240423,210000,49.45,49.62,49.39,49.46,752943,0
DAL.US,60,20240423,220000,49.46,49.47,49.1529,49.24,2099308,0
DAL.US,60,20240424,160000,49.2,49.27,48.51,48.56,949459,0
DAL.US,60,20240424,170000,48.56,48.74,48.32,48.39,841625,0
DAL.US,60,20240424,180000,48.38,48.38,47.93,48.01,783397,0
DAL.US,60,20240424,190000,48,48.02,47.74,47.855,755074,0
DAL.US,60,20240424,200000,47.855,48.11,47.77,48.025,655852,0
DAL.US,60,20240424,210000,48.025,48.07,47.82,47.9,516390,0
DAL.US,60,20240424,220000,47.9,48.03,47.86,47.94,3803789,0
DAL.US,60,20240425,160000,47.29,47.77,46.87,47.57,845915,0
DAL.US,60,20240425,170000,47.585,48.58,47.5,48.11,1212317,0
DAL.US,60,20240425,180000,48.11,48.5,47.955,48.43,818097,0
DAL.US,60,20240425,190000,48.42,48.65,48.08,48.6438,817388,0
DAL.US,60,20240425,200000,48.65,49.085,48.45,49.0712,916290,0
DAL.US,60,20240425,210000,49.075,49.28,48.99,49.25,1066360,0
DAL.US,60,20240425,220000,49.25,49.935,49.25,49.88,3902214,0
DAL.US,60,20240426,160000,49.76,50.235,49.46,49.54,775839,0
DAL.US,60,20240426,170000,49.54,49.78,49.38,49.39,879540,0
DAL.US,60,20240426,180000,49.39,49.5513,49.18,49.54,990415,0
DAL.US,60,20240426,190000,49.55,49.55,49.31,49.45,675363,0
DAL.US,60,20240426,200000,49.4422,49.695,49.39,49.561,564759,0
DAL.US,60,20240426,210000,49.565,49.86,49.505,49.84,524780,0
DAL.US,60,20240426,220000,49.835,49.97,49.7115,49.92,3440446,0
