<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DB.US,60,20240411,160000,15.3306,15.3403,15.2569,15.3063,316406.848617783,0
DB.US,60,20240411,170000,15.3014,15.3023,15.0624,15.1346,1664817.049576,0
DB.US,60,20240411,180000,15.1343,15.231,15.1265,15.231,412178.60425074,0
DB.US,60,20240411,190000,15.2237,15.2383,15.2043,15.2285,192714.8738246,0
DB.US,60,20240411,200000,15.2285,15.2723,15.2043,15.2703,281665.34678936,0
DB.US,60,20240411,210000,15.2674,15.3111,15.2626,15.2868,271945.50791268,0
DB.US,60,20240411,220000,15.2868,15.316,15.2723,15.282,607105.47995462,0
DB.US,60,20240412,160000,15.3208,15.384,15.2626,15.3014,377404.164283587,0
DB.US,60,20240412,170000,15.3111,15.3306,15.2179,15.2179,629831.76636341,0
DB.US,60,20240412,180000,15.2237,15.2917,15.1897,15.2626,712421.0612854,0
DB.US,60,20240412,190000,15.253,15.282,15.2043,15.2188,249403.46921742,0
DB.US,60,20240412,200000,15.2188,15.2237,15.1507,15.2043,356594.46582231,0
DB.US,60,20240412,210000,15.1945,15.2091,15.1363,15.1554,410299.0717093,0
DB.US,60,20240412,220000,15.1508,15.2043,15.1265,15.2043,705261.13337836,0
DB.US,60,20240415,160000,15.4569,15.5054,15.3501,15.3694,172095.5989778676,0
DB.US,60,20240415,170000,15.3694,15.3791,15.1654,15.1654,836412.56727769,0
DB.US,60,20240415,180000,15.1674,15.214,15.1605,15.2043,438637.1935047,0
DB.US,60,20240415,190000,15.2043,15.2237,15.1596,15.1848,159499.84886308,0
DB.US,60,20240415,200000,15.1754,15.1848,15.0391,15.0828,448340.56331201,0
DB.US,60,20240415,210000,15.0787,15.0828,15.0294,15.0585,252057.04801908,0
DB.US,60,20240415,220000,15.0585,15.078,15.0148,15.0682,595955.91999356,0
DB.US,60,20240416,160000,14.9614,15.0294,14.8837,14.9079,325884.79803814617,0
DB.US,60,20240416,170000,14.9079,14.9614,14.8545,14.8934,846471.05139321,0
DB.US,60,20240416,180000,14.8934,14.9517,14.8644,14.9274,379040.77805187,0
DB.US,60,20240416,190000,14.9274,14.9322,14.8934,14.9177,217147.76754649,0
DB.US,60,20240416,200000,14.9177,14.9322,14.8351,14.9225,557073.47653633,0
DB.US,60,20240416,210000,14.9177,15.0002,14.8764,14.9517,290201.47130533,0
DB.US,60,20240416,220000,14.9565,14.9711,14.9055,14.9322,467917.14020449,0
DB.US,60,20240417,160000,15.0974,15.1751,15.0585,15.112,511557.08607493975,0
DB.US,60,20240417,170000,15.112,15.1168,15.01,15.0101,969959.22145299,0
DB.US,60,20240417,180000,15.0197,15.0585,14.9847,15.044,724385.84018009,0
DB.US,60,20240417,190000,15.0391,15.0537,14.9808,15.0245,507633.3302984,0
DB.US,60,20240417,200000,15.0197,15.1168,15.0197,15.1071,438137.97483953,0
DB.US,60,20240417,210000,15.1071,15.2626,15.0974,15.18,1635672.9726984,0
DB.US,60,20240417,220000,15.18,15.2723,15.1751,15.2237,2568887.6417613,0
DB.US,60,20240418,160000,15.1945,15.233,15.1605,15.2285,459171.0350540922,0
DB.US,60,20240418,170000,15.2334,15.2868,15.1994,15.2723,590429.5179043,0
DB.US,60,20240418,180000,15.2723,15.35,15.2723,15.3451,501009.6764626,0
DB.US,60,20240418,190000,15.3403,15.4229,15.3354,15.4034,554386.95959593,0
DB.US,60,20240418,200000,15.4034,15.4326,15.35,15.3937,3145505.7863682,0
DB.US,60,20240418,210000,15.3937,15.4083,15.3063,15.316,596831.86862049,0
DB.US,60,20240418,220000,15.316,15.3888,15.3014,15.3597,1368054.7127618,0
DB.US,60,20240419,160000,15.4471,15.5346,15.4277,15.5054,300345.3887182014,0
DB.US,60,20240419,170000,15.5151,15.554,15.4802,15.486,479051.26041301,0
DB.US,60,20240419,180000,15.486,15.5103,15.4475,15.4569,316232.8940726,0
DB.US,60,20240419,190000,15.4666,15.4763,15.3888,15.4617,220579.50987571,0
DB.US,60,20240419,200000,15.4617,15.5151,15.452,15.486,190957.82998657,0
DB.US,60,20240419,210000,15.4765,15.4765,15.418,15.452,238206.56068194,0
DB.US,60,20240419,220000,15.4471,15.4666,15.4034,15.4617,613492.39091827,0
DB.US,60,20240422,160000,15.6026,15.622,15.5734,15.5923,219324.7726533612,0
DB.US,60,20240422,170000,15.5929,15.6706,15.5832,15.6609,379265.16912199,0
DB.US,60,20240422,180000,15.656,15.7192,15.6317,15.7192,400673.92998147,0
DB.US,60,20240422,190000,15.7192,15.7532,15.7046,15.7532,224174.91358177,0
DB.US,60,20240422,200000,15.7483,15.7969,15.7337,15.7677,269137.53158571,0
DB.US,60,20240422,210000,15.7677,15.7969,15.7624,15.7775,146033.29670554,0
DB.US,60,20240422,220000,15.7872,15.7872,15.7483,15.7775,498116.26683829,0
DB.US,60,20240423,160000,15.8163,15.928,15.8163,15.9183,278737.9697094846,0
DB.US,60,20240423,170000,15.9135,15.9669,15.8649,15.9669,539055.28533265,0
DB.US,60,20240423,180000,15.9718,16.0106,15.9426,16.0058,429814.91890848,0
DB.US,60,20240423,190000,16.0058,16.03,16.0009,16.0203,224714.27560352,0
DB.US,60,20240423,200000,16.0203,16.03,16.0106,16.0203,538559.15461799,0
DB.US,60,20240423,210000,16.0155,16.03,16.0106,16.0155,242147.81484469,0
DB.US,60,20240423,220000,16.0203,16.03,16.0058,16.03,707894.12584331,0
DB.US,60,20240424,160000,15.9232,15.9718,15.894,15.9026,149269.46883603718,0
DB.US,60,20240424,170000,15.8989,15.9718,15.8746,15.8746,498160.52746221,0
DB.US,60,20240424,180000,15.8795,16.0106,15.8357,15.9718,1005156.7106395,0
DB.US,60,20240424,190000,15.9718,15.996,15.9378,15.996,317655.40993912,0
DB.US,60,20240424,200000,15.996,16.0398,15.9742,16.0349,186577.05753511,0
DB.US,60,20240424,210000,16.0398,16.0398,15.9815,15.9863,236936.38370706,0
DB.US,60,20240424,220000,15.9863,16.03,15.9815,16.0106,541780.91631279,0
DB.US,60,20240425,160000,17.021,17.2153,17.0016,17.0929,1361280.7786680185,0
DB.US,60,20240425,170000,17.1084,17.3513,17.055,17.2638,1139336.3946686,0
DB.US,60,20240425,180000,17.2542,17.3999,17.2299,17.2493,830559.8717516,0
DB.US,60,20240425,190000,17.2542,17.3125,17.2202,17.3076,289093.92639044,0
DB.US,60,20240425,200000,17.3027,17.3659,17.2833,17.327,515322.32705883,0
DB.US,60,20240425,210000,17.327,17.361,17.2833,17.3513,361345.79233451,0
DB.US,60,20240425,220000,17.3562,17.4436,17.3513,17.4096,1561918.3041747,0
DB.US,60,20240426,160000,17.3416,17.3853,17.2493,17.3173,460359.89599897916,0
DB.US,60,20240426,170000,17.3222,17.3513,17.0987,17.1376,799494.06034239,0
DB.US,60,20240426,180000,17.1376,17.2833,17.0987,17.2687,432098.97296624,0
DB.US,60,20240426,190000,17.2639,17.3027,17.2444,17.2785,258473.80917096,0
DB.US,60,20240426,200000,17.2785,17.293,17.2444,17.2582,152018.77410339,0
DB.US,60,20240426,210000,17.2639,17.2833,17.2542,17.2816,205512.37003913,0
DB.US,60,20240426,220000,17.2833,17.3027,17.2347,17.2639,1352591.2859436,0
DB.US,60,20240429,160000,15.6803,15.8357,15.486,15.6317,1778266.2925400771,0
DB.US,60,20240429,170000,15.6366,15.8357,15.622,15.8219,1048718.4284305,0
DB.US,60,20240429,180000,15.8163,15.8649,15.6707,15.6949,716931.52765812,0
DB.US,60,20240429,190000,15.6949,15.7872,15.69,15.7143,333051.93116304,0
DB.US,60,20240429,200000,15.7143,15.7872,15.7137,15.7677,302747.81421202,0
DB.US,60,20240429,210000,15.7677,15.826,15.7532,15.8017,414617.0558338,0
DB.US,60,20240429,220000,15.7969,15.8066,15.724,15.7775,1009237.9518919,0
DB.US,60,20240430,160000,15.6706,15.7872,15.6521,15.6706,163569.7676302494,0
DB.US,60,20240430,170000,15.6657,15.6997,15.6172,15.622,261296.19593363,0
DB.US,60,20240430,180000,15.622,15.622,15.5734,15.6123,184446.37168583,0
DB.US,60,20240430,190000,15.6123,15.6123,15.5637,15.588,113993.75157004,0
DB.US,60,20240430,200000,15.588,15.6414,15.5734,15.6414,156829.80099205,0
DB.US,60,20240430,210000,15.6414,15.6414,15.6026,15.6074,98833.973218273,0
DB.US,60,20240430,220000,15.6074,15.622,15.5929,15.5929,529779.08201203,0
DB.US,60,20240501,160000,15.5929,15.6706,15.588,15.622,81435.4307495064,0
DB.US,60,20240501,170000,15.622,15.6997,15.5929,15.6949,191543.51126592,0
DB.US,60,20240501,180000,15.6997,15.7046,15.6414,15.6803,152288.45511427,0
DB.US,60,20240501,190000,15.6803,15.7094,15.6609,15.69,125349.17489818,0
DB.US,60,20240501,200000,15.69,15.7289,15.6803,15.7192,82577.9724368,0
DB.US,60,20240501,210000,15.7192,15.9329,15.7143,15.8843,499494.52208089,0
DB.US,60,20240501,220000,15.894,15.9183,15.69,15.7094,917022.4859252,0
DB.US,60,20240502,160000,15.7192,15.7775,15.6949,15.7143,173545.9063989462,0
DB.US,60,20240502,170000,15.7094,15.7143,15.6026,15.6706,244245.56255523,0
DB.US,60,20240502,180000,15.6609,15.6997,15.6269,15.6512,227212.42756303,0
DB.US,60,20240502,190000,15.656,15.7046,15.6414,15.69,116524.84166829,0
DB.US,60,20240502,200000,15.6949,15.7289,15.69,15.7143,137797.7327055,0
DB.US,60,20240502,210000,15.7119,15.7532,15.7046,15.7386,179018.78401277,0
DB.US,60,20240502,220000,15.7386,15.7532,15.7046,15.7289,425208.72607007,0
DB.US,60,20240506,160000,16.3118,16.3604,16.2826,16.3215,223047.811647003,0
DB.US,60,20240506,170000,16.3215,16.3992,16.3215,16.3507,302458.57618128,0
DB.US,60,20240506,180000,16.3507,16.3992,16.3215,16.3944,358809.55565209,0
DB.US,60,20240506,190000,16.3944,16.4041,16.3604,16.3944,182319.8031039,0
DB.US,60,20240506,200000,16.3936,16.4089,16.3847,16.3895,201394.07338069,0
DB.US,60,20240506,210000,16.3895,16.4284,16.3798,16.394,154740.28781619,0
DB.US,60,20240506,220000,16.3895,16.4187,16.3798,16.4187,527051.39239822,0
DB.US,60,20240507,160000,16.817,16.9141,16.7878,16.8073,258163.9848035094,0
DB.US,60,20240507,170000,16.7975,16.8218,16.7004,16.7441,355380.90127337,0
DB.US,60,20240507,180000,16.749,16.8073,16.7101,16.7877,321102.59202088,0
DB.US,60,20240507,190000,16.783,16.8364,16.7781,16.8121,255236.60772363,0
DB.US,60,20240507,200000,16.817,16.8364,16.7733,16.782,258628.20669627,0
DB.US,60,20240507,210000,16.783,16.8073,16.7781,16.8024,177020.88003526,0
DB.US,60,20240507,220000,16.8024,16.8461,16.7781,16.7975,712317.10028503,0
DB.US,60,20240508,160000,16.6518,16.7053,16.6324,16.6907,120334.3432761078,0
DB.US,60,20240508,170000,16.6907,16.7295,16.6635,16.681,155797.39620614,0
DB.US,60,20240508,180000,16.681,16.7393,16.6518,16.6955,390064.76135901,0
DB.US,60,20240508,190000,16.6955,16.7781,16.6955,16.7344,240100.50365907,0
DB.US,60,20240508,200000,16.7344,16.7393,16.7101,16.7344,103807.63216693,0
DB.US,60,20240508,210000,16.7344,16.7684,16.7295,16.7635,69563.290370003,0
DB.US,60,20240508,220000,16.7587,16.7878,16.749,16.7684,394172.76484909,0
DB.US,60,20240509,160000,16.7781,16.8218,16.7684,16.7877,82542.9756643968,0
DB.US,60,20240509,170000,16.7878,16.7878,16.6713,16.6955,316021.88412134,0
DB.US,60,20240509,180000,16.6986,16.7053,16.6421,16.647,297023.78329037,0
DB.US,60,20240509,190000,16.647,16.6713,16.6372,16.6713,90502.682752545,0
DB.US,60,20240509,200000,16.6713,16.681,16.6518,16.6664,101388.73760374,0
DB.US,60,20240509,210000,16.6664,16.6907,16.6615,16.6761,44809.249795468,0
DB.US,60,20240509,220000,16.6761,16.6955,16.6713,16.6907,305097.74454724,0
DB.US,60,20240510,160000,16.6518,16.7053,16.6324,16.6518,263642.0090015082,0
DB.US,60,20240510,170000,16.6518,16.6567,16.586,16.5934,469127.61680292,0
DB.US,60,20240510,180000,16.5935,16.6324,16.5838,16.6275,376978.02711373,0
DB.US,60,20240510,190000,16.6275,16.6858,16.6178,16.6372,360924.80174883,0
DB.US,60,20240510,200000,16.6324,16.6713,16.6081,16.6713,204108.38187564,0
DB.US,60,20240510,210000,16.6713,16.681,16.6518,16.6713,119656.02348158,0
DB.US,60,20240510,220000,16.6615,16.6713,16.6421,16.6518,486956.41370888,0
DB.US,60,20240513,160000,16.6372,16.6664,16.613,16.6228,141968.524522545,0
DB.US,60,20240513,170000,16.6236,16.6421,16.5741,16.5935,257293.18276076,0
DB.US,60,20240513,180000,16.5935,16.6081,16.5498,16.6032,301494.10630651,0
DB.US,60,20240513,190000,16.6032,16.613,16.5947,16.6081,65877.306782435,0
DB.US,60,20240513,200000,16.6033,16.6227,16.5692,16.6178,98013.607700459,0
DB.US,60,20240513,210000,16.6227,16.6275,16.6032,16.6178,103915.71043464,0
DB.US,60,20240513,220000,16.6227,16.6227,16.5352,16.5547,372193.76246279,0
DB.US,60,20240514,160000,16.749,16.7587,16.7101,16.749,73803.0464150154,0
DB.US,60,20240514,170000,16.7538,16.8704,16.7441,16.855,364626.22508893,0
DB.US,60,20240514,180000,16.8461,16.885,16.8267,16.8607,236640.9697753,0
DB.US,60,20240514,190000,16.8607,16.9093,16.8413,16.9093,175735.26330784,0
DB.US,60,20240514,200000,16.9044,16.9135,16.8704,16.8898,95960.120613836,0
DB.US,60,20240514,210000,16.8946,16.9141,16.8801,16.9101,130285.77844076,0
DB.US,60,20240514,220000,16.9044,16.953,16.9044,16.953,324512.71869656,0
DB.US,60,20240515,160000,16.9627,17.0113,16.9384,16.9627,219306.244950324,0
DB.US,60,20240515,170000,16.9627,16.9724,16.919,16.953,458299.20369451,0
DB.US,60,20240515,180000,16.953,16.9967,16.9238,16.9287,316017.766854,0
DB.US,60,20240515,190000,16.9336,16.9821,16.919,16.9821,118597.88577479,0
DB.US,60,20240515,200000,16.9773,16.9967,16.9627,16.9919,121084.71524911,0
DB.US,60,20240515,210000,16.987,17.0307,16.9821,17.0307,129294.54632826,0
DB.US,60,20240515,220000,17.0259,17.0307,16.9919,17.0307,704427.38674169,0
DB.US,60,20240516,160000,16.7781,16.7975,16.6564,16.6713,259349.7577978902,0
