<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DE.US,60,20240411,160000,412.74,412.795,409.89,411.005,140141,0
DE.US,60,20240411,170000,411.04,411.21,407.23,407.23,271476,0
DE.US,60,20240411,180000,407.21,409.77,406.915,409.46,102419,0
DE.US,60,20240411,190000,409.06,411.87,409.05,411.52,60296,0
DE.US,60,20240411,200000,411.56,412.83,411.2301,412.65,55079,0
DE.US,60,20240411,210000,412.65,414.06,412.63,413.49,54919,0
DE.US,60,20240411,220000,413.61,413.7099,412.24,412.84,271875,0
DE.US,60,20240412,160000,411.25,412.49,405.6693,406.4944,102760,0
DE.US,60,20240412,170000,406.645,408.24,404.72,406.85,97629,0
DE.US,60,20240412,180000,406.79,408.08,404.635,404.755,88979,0
DE.US,60,20240412,190000,404.65,405.005,400.41,400.87,112389,0
DE.US,60,20240412,200000,400.82,400.89,396.81,398.44,94396,0
DE.US,60,20240412,210000,398.29,399.99,397.72,399.02,176113,0
DE.US,60,20240412,220000,398.88,399.56,396.94,397.27,551511,0
DE.US,60,20240415,160000,402.29,404.22,400.03,402.13,79578,0
DE.US,60,20240415,170000,401.63,401.63,398.18,398.43,54657,0
DE.US,60,20240415,180000,398.37,399.235,397.5,398.37,87911,0
DE.US,60,20240415,190000,398.5,399,396.6,397.48,36231,0
DE.US,60,20240415,200000,397.115,397.325,393.58,395.005,86529,0
DE.US,60,20240415,210000,395.12,395.12,393.0419,393.745,49239,0
DE.US,60,20240415,220000,393.66,395.14,392.57,393.8,446096,0
DE.US,60,20240416,160000,392.26,392.75,388.21,389.605,80224,0
DE.US,60,20240416,170000,389.805,391.11,388.97,390.7,135914,0
DE.US,60,20240416,180000,390.705,393.61,390.64,393.425,58470,0
DE.US,60,20240416,190000,393.42,394.26,393.09,394.03,64355,0
DE.US,60,20240416,200000,393.97,395,392.48,393.93,156558,0
DE.US,60,20240416,210000,393.78,395.705,391.85,394.59,101790,0
DE.US,60,20240416,220000,394.555,394.92,392,393.01,441454,0
DE.US,60,20240417,160000,396,397.48,395.7,397.2875,68865,0
DE.US,60,20240417,170000,397.39,397.59,395.8,396.31,197680,0
DE.US,60,20240417,180000,396.23,396.48,393.83,393.835,67828,0
DE.US,60,20240417,190000,393.82,394.57,392.39,392.81,63908,0
DE.US,60,20240417,200000,392.76,396.32,392.76,395.88,49927,0
DE.US,60,20240417,210000,395.72,397.32,394.685,395.58,56534,0
DE.US,60,20240417,220000,395.6,397.04,394.275,396.88,486589,0
DE.US,60,20240418,160000,398.48,399.88,397.4025,399.08,58645,0
DE.US,60,20240418,170000,399.22,401.62,398.76,401.125,63786,0
DE.US,60,20240418,180000,401.175,402.279,399.2461,399.885,80758,0
DE.US,60,20240418,190000,399.97,400.64,398.19,398.265,71215,0
DE.US,60,20240418,200000,398.22,398.44,396.72,397.73,50158,0
DE.US,60,20240418,210000,397.78,398.5,397,397.875,45460,0
DE.US,60,20240418,220000,398.01,401.4,397.91,400.6,600439,0
DE.US,60,20240419,160000,400.97,402.9799,399.53,400.7728,86348,0
DE.US,60,20240419,170000,400.79,402.51,399.65,402.12,35882,0
DE.US,60,20240419,180000,401.94,402.3353,400.685,401.23,28409,0
DE.US,60,20240419,190000,401.04,401.9,399.26,400.82,39526,0
DE.US,60,20240419,200000,400.81,400.84,398.755,400.37,55446,0
DE.US,60,20240419,210000,400.355,400.92,399.12,399.69,49772,0
DE.US,60,20240419,220000,399.625,401.51,399.44,400.44,161136,0
DE.US,60,20240422,160000,398.85,402.89,392.18,397.31,154734,0
DE.US,60,20240422,170000,397.96,398.98,396.74,397.63,85375,0
DE.US,60,20240422,180000,397.64,398.63,396.81,397.18,58307,0
DE.US,60,20240422,190000,397.285,397.99,396.5901,397.67,38321,0
DE.US,60,20240422,200000,397.75,401.49,397.75,401.1,41698,0
DE.US,60,20240422,210000,401.255,402.09,401.0211,401.54,34420,0
DE.US,60,20240422,220000,401.53,401.67,399.39,399.61,206536,0
DE.US,60,20240423,160000,400.87,404.13,399.935,403.7541,40486,0
DE.US,60,20240423,170000,404.04,405.62,403.25,404.31,125361,0
DE.US,60,20240423,180000,404.42,404.42,400.06,400.56,63332,0
DE.US,60,20240423,190000,400.55,400.73,399.09,399.685,59685,0
DE.US,60,20240423,200000,399.6548,399.8,398.11,398.445,79393,0
