<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEO.US,60,20240411,160000,142.67,142.88,142.2605,142.2605,24626,0
DEO.US,60,20240411,170000,142.2372,142.2372,141.43,141.44,38282,0
DEO.US,60,20240411,180000,141.45,141.65,141.2,141.395,353789,0
DEO.US,60,20240411,190000,141.39,141.44,141.17,141.3104,75321,0
DEO.US,60,20240411,200000,141.33,141.56,141.215,141.46,67328,0
DEO.US,60,20240411,210000,141.5,141.8,141.23,141.29,236481,0
DEO.US,60,20240411,220000,141.33,141.45,140.8,140.87,118706,0
DEO.US,60,20240412,160000,140.24,140.51,139.95,140.12,27606,0
DEO.US,60,20240412,170000,140.1,140.19,139.12,139.32,50872,0
DEO.US,60,20240412,180000,139.32,139.33,138.84,138.84,49187,0
DEO.US,60,20240412,190000,138.77,138.89,138.03,138.095,45999,0
DEO.US,60,20240412,200000,138.1,138.95,137.345,137.64,190004,0
DEO.US,60,20240412,210000,137.64,137.79,136.87,137.03,68668,0
DEO.US,60,20240412,220000,137,137.24,136.92,136.99,258694,0
DEO.US,60,20240415,160000,139.63,139.71,138.76,138.82,97160,0
DEO.US,60,20240415,170000,138.855,139.095,138.25,138.395,116477,0
DEO.US,60,20240415,180000,138.32,138.63,138.185,138.5,303032,0
DEO.US,60,20240415,190000,138.5,138.57,137.7501,137.805,60953,0
DEO.US,60,20240415,200000,137.76,137.9,137.22,137.445,38353,0
DEO.US,60,20240415,210000,137.445,137.6,137.21,137.29,41586,0
DEO.US,60,20240415,220000,137.28,137.42,136.88,137.39,333776,0
DEO.US,60,20240416,160000,137.76,137.785,137.25,137.45,16579,0
DEO.US,60,20240416,170000,137.3714,137.725,137.1401,137.36,90004,0
DEO.US,60,20240416,180000,137.35,137.49,136.24,137.06,188466,0
DEO.US,60,20240416,190000,136.98,137.05,136.53,136.815,258178,0
DEO.US,60,20240416,200000,136.8,136.81,136.33,136.6,42524,0
DEO.US,60,20240416,210000,136.6,137.15,136.338,136.75,171099,0
DEO.US,60,20240416,220000,136.84,136.84,136.01,136.03,440478,0
DEO.US,60,20240417,160000,140.46,140.46,139.65,139.71,88833,0
DEO.US,60,20240417,170000,139.7201,139.845,139.04,139.54,104537,0
DEO.US,60,20240417,180000,139.59,140.44,139.4,140.2,120224,0
DEO.US,60,20240417,190000,140.17,140.28,139.83,140.12,46253,0
DEO.US,60,20240417,200000,140.06,140.38,139.91,140.235,38059,0
DEO.US,60,20240417,210000,140.26,140.53,139.9,139.94,64788,0
DEO.US,60,20240417,220000,140.02,140.37,139.74,140.35,104836,0
DEO.US,60,20240418,160000,141.34,141.59,141.13,141.5,52171,0
DEO.US,60,20240418,170000,141.4957,141.75,141.15,141.17,69667,0
DEO.US,60,20240418,180000,141.15,141.43,140.8901,141.165,49918,0
DEO.US,60,20240418,190000,141.2,141.275,140.779,140.93,33655,0
DEO.US,60,20240418,200000,140.935,140.935,140.3,140.35,30996,0
DEO.US,60,20240418,210000,140.32,140.49,140.15,140.32,32670,0
DEO.US,60,20240418,220000,140.33,140.83,140.32,140.79,119968,0
DEO.US,60,20240419,160000,139.77,140.15,139.69,139.75,33603,0
DEO.US,60,20240419,170000,139.82,140.63,139.82,140.52,37084,0
DEO.US,60,20240419,180000,140.54,141.0709,140.48,140.81,35835,0
DEO.US,60,20240419,190000,140.86,140.92,140.33,140.7,24503,0
DEO.US,60,20240419,200000,140.745,141,140.6,140.965,22257,0
DEO.US,60,20240419,210000,140.93,140.93,140.6,140.695,31156,0
DEO.US,60,20240419,220000,140.68,140.82,140.5484,140.77,139871,0
DEO.US,60,20240422,160000,141.11,141.28,140.79,140.84,23143,0
DEO.US,60,20240422,170000,140.92,141.7263,140.86,141.61,59972,0
DEO.US,60,20240422,180000,141.6,141.6319,141.03,141.51,37110,0
DEO.US,60,20240422,190000,141.4421,141.91,141.4421,141.82,45869,0
DEO.US,60,20240422,200000,141.8,142.3,141.71,142.22,16365,0
DEO.US,60,20240422,210000,142.26,142.29,141.9701,142.065,26816,0
DEO.US,60,20240422,220000,142.06,142.3,141.76,142.11,216683,0
DEO.US,60,20240423,160000,140.72,140.925,139.96,140.53,57280,0
DEO.US,60,20240423,170000,140.57,141.35,140.46,141.17,110917,0
DEO.US,60,20240423,180000,141.14,141.15,140.19,140.39,56339,0
DEO.US,60,20240423,190000,140.44,140.805,140.2806,140.725,33281,0
DEO.US,60,20240423,200000,140.69,141.03,140.68,140.73,17333,0
DEO.US,60,20240423,210000,140.72,140.965,140.4601,140.88,47586,0
DEO.US,60,20240423,220000,140.92,140.92,140.46,140.485,135501,0
DEO.US,60,20240424,160000,140.7,140.78,139.99,140.3,32342,0
DEO.US,60,20240424,170000,140.3,140.61,140.29,140.32,31638,0
DEO.US,60,20240424,180000,140.4,140.46,140.09,140.15,50301,0
DEO.US,60,20240424,190000,140.12,140.26,140.0189,140.26,18702,0
DEO.US,60,20240424,200000,140.22,140.49,140.14,140.39,15955,0
DEO.US,60,20240424,210000,140.355,140.54,140.295,140.295,27561,0
DEO.US,60,20240424,220000,140.27,140.52,140.2505,140.38,76635,0
DEO.US,60,20240425,160000,137.81,138.45,137.79,137.98,49947,0
DEO.US,60,20240425,170000,137.95,138.32,137.44,137.61,74209,0
DEO.US,60,20240425,180000,137.56,138.33,137.12,138.04,60761,0
DEO.US,60,20240425,190000,138.0601,138.3,137.75,138.235,35169,0
DEO.US,60,20240425,200000,138.275,138.345,137.89,138.3,29001,0
DEO.US,60,20240425,210000,138.295,138.46,138.1,138.165,37981,0
DEO.US,60,20240425,220000,138.165,138.34,138.075,138.31,117107,0
DEO.US,60,20240426,160000,138.97,139.44,138.7,139.07,33616,0
DEO.US,60,20240426,170000,139.14,139.28,138.4,138.42,65105,0
DEO.US,60,20240426,180000,138.455,138.68,138.2023,138.66,72548,0
DEO.US,60,20240426,190000,138.59,138.7022,138.42,138.44,34999,0
DEO.US,60,20240426,200000,138.47,138.71,138.41,138.555,47610,0
DEO.US,60,20240426,210000,138.57,138.76,138.525,138.7043,25283,0
DEO.US,60,20240426,220000,138.7116,138.79,138.55,138.64,50925,0
DEO.US,60,20240429,160000,139.42,139.55,139.2,139.31,25508,0
DEO.US,60,20240429,170000,139.35,139.4917,138.99,139.32,45685,0
DEO.US,60,20240429,180000,139.3344,139.4216,138.95,139.2,78831,0
DEO.US,60,20240429,190000,139.2401,139.51,139.2075,139.31,19012,0
DEO.US,60,20240429,200000,139.34,139.4796,139.29,139.32,32422,0
DEO.US,60,20240429,210000,139.32,139.3969,139.18,139.36,31433,0
DEO.US,60,20240429,220000,139.33,139.35,139.05,139.24,120942,0
DEO.US,60,20240430,160000,140.16,140.22,139.36,139.48,86680,0
DEO.US,60,20240430,170000,139.48,139.96,139.33,139.3887,91519,0
DEO.US,60,20240430,180000,139.36,139.45,138.845,139.04,91509,0
DEO.US,60,20240430,190000,139.0417,139.06,138.55,138.59,37621,0
DEO.US,60,20240430,200000,138.55,138.82,138.42,138.8,19681,0
DEO.US,60,20240430,210000,138.7601,138.84,138.26,138.4601,146101,0
DEO.US,60,20240430,220000,138.58,138.81,138.12,138.16,302140,0
DEO.US,60,20240501,160000,137.53,137.55,137.08,137.215,53787,0
DEO.US,60,20240501,170000,137.19,137.5395,137.15,137.1587,127856,0
DEO.US,60,20240501,180000,137.12,137.455,137.11,137.43,101754,0
DEO.US,60,20240501,190000,137.41,137.53,137.1,137.286,20316,0
DEO.US,60,20240501,200000,137.28,137.3436,136.9872,136.9872,15713,0
DEO.US,60,20240501,210000,137.22,138.16,137.1,138.085,47964,0
DEO.US,60,20240501,220000,138.11,138.11,137.02,137.05,56154,0
DEO.US,60,20240502,160000,137.04,137.19,136.62,136.675,25275,0
DEO.US,60,20240502,170000,136.6,136.74,136.12,136.2,33650,0
DEO.US,60,20240502,180000,136.14,136.79,136.05,136.64,50873,0
DEO.US,60,20240502,190000,136.675,136.77,136.52,136.67,23353,0
DEO.US,60,20240502,200000,136.685,136.91,136.625,136.74,46553,0
DEO.US,60,20240502,210000,136.74,136.81,136.54,136.7605,61941,0
DEO.US,60,20240502,220000,136.78,136.8,136.5,136.57,79030,0
DEO.US,60,20240506,160000,138.13,138.44,137.25,137.28,21265,0
DEO.US,60,20240506,170000,137.2331,137.55,137.075,137.135,19376,0
DEO.US,60,20240506,180000,137.145,137.145,136.795,136.9494,26837,0
DEO.US,60,20240506,190000,136.9275,137.15,136.72,137.04,28004,0
DEO.US,60,20240506,200000,137.0441,137.09,136.78,136.94,67235,0
DEO.US,60,20240506,210000,136.92,137.01,136.665,136.81,52065,0
DEO.US,60,20240506,220000,136.77,137.2,136.6623,137.15,79231,0
DEO.US,60,20240507,160000,138.59,138.805,138.3,138.49,51868,0
DEO.US,60,20240507,170000,138.57,138.6,138.08,138.12,50376,0
DEO.US,60,20240507,180000,138.13,138.53,138.02,138.465,48338,0
DEO.US,60,20240507,190000,138.4297,138.64,138.27,138.285,21663,0
DEO.US,60,20240507,200000,138.27,138.32,138.0801,138.09,30212,0
DEO.US,60,20240507,210000,138.08,138.45,138,138.39,29780,0
DEO.US,60,20240507,220000,138.375,139.1,138.335,139.04,100767,0
DEO.US,60,20240508,160000,140.32,140.39,139.95,140.26,62608,0
DEO.US,60,20240508,170000,140.31,140.76,140.0701,140.38,62784,0
DEO.US,60,20240508,180000,140.42,140.59,140.17,140.37,64765,0
DEO.US,60,20240508,190000,140.355,140.46,140.1,140.1,18867,0
DEO.US,60,20240508,200000,140.08,140.49,140.02,140.37,20928,0
DEO.US,60,20240508,210000,140.31,140.555,140.31,140.41,38595,0
DEO.US,60,20240508,220000,140.39,140.96,140.3183,140.91,107195,0
DEO.US,60,20240509,160000,141.88,142.04,141.66,141.96,33455,0
DEO.US,60,20240509,170000,141.96,142.64,141.95,142.595,50259,0
DEO.US,60,20240509,180000,142.595,142.61,141.79,142.23,44418,0
DEO.US,60,20240509,190000,142.26,142.62,142.16,142.485,35294,0
DEO.US,60,20240509,200000,142.41,142.52,142.3309,142.44,25888,0
DEO.US,60,20240509,210000,142.45,142.97,142.3578,142.92,42460,0
DEO.US,60,20240509,220000,142.9,142.94,142.6,142.84,121661,0
DEO.US,60,20240510,160000,142.6,142.72,142.15,142.475,44606,0
DEO.US,60,20240510,170000,142.44,142.68,142.345,142.5599,63171,0
DEO.US,60,20240510,180000,142.56,143.05,142.51,143.045,61661,0
DEO.US,60,20240510,190000,143.08,143.13,142.8,142.8,20548,0
DEO.US,60,20240510,200000,142.78,142.98,142.71,142.98,23081,0
DEO.US,60,20240510,210000,142.95,142.97,142.76,142.95,30295,0
DEO.US,60,20240510,220000,142.96,143.07,142.8201,142.94,59796,0
DEO.US,60,20240513,160000,142.09,142.84,142.09,142.72,31286,0
DEO.US,60,20240513,170000,142.71,142.8,142.35,142.485,39198,0
DEO.US,60,20240513,180000,142.45,142.93,142.24,142.91,92000,0
DEO.US,60,20240513,190000,142.8736,143,142.69,142.86,37593,0
DEO.US,60,20240513,200000,142.82,142.86,142.5,142.59,36514,0
DEO.US,60,20240513,210000,142.57,142.69,142.315,142.315,25383,0
DEO.US,60,20240513,220000,142.315,142.6825,142.115,142.57,160147,0
DEO.US,60,20240514,160000,143.86,144.27,143.52,143.71,41824,0
DEO.US,60,20240514,170000,143.685,143.6942,142.9502,143.27,46475,0
DEO.US,60,20240514,180000,143.3,143.595,142.9701,143.07,46922,0
DEO.US,60,20240514,190000,142.98,143.04,142.48,142.53,18937,0
DEO.US,60,20240514,200000,142.54,143.1,142.43,143.025,29821,0
DEO.US,60,20240514,210000,143.06,143.48,143.04,143.48,55807,0
DEO.US,60,20240514,220000,143.5,143.74,143.44,143.64,90681,0
DEO.US,60,20240515,160000,143.02,143.32,143,143.02,17361,0
DEO.US,60,20240515,170000,142.99,143.2,142.24,142.36,28130,0
DEO.US,60,20240515,180000,142.3283,142.51,142.1043,142.39,38798,0
DEO.US,60,20240515,190000,142.375,142.5437,142.26,142.45,14030,0
DEO.US,60,20240515,200000,142.5,142.5,142.2209,142.28,10777,0
DEO.US,60,20240515,210000,142.2271,142.25,141.9213,141.99,17967,0
DEO.US,60,20240515,220000,141.98,142,141.78,141.92,86623,0
DEO.US,60,20240516,160000,142.81,142.92,142.14,142.14,35867,0
DEO.US,60,20240516,170000,142.145,142.85,142.145,142.51,31862,0
DEO.US,60,20240516,180000,142.52,142.76,142.3004,142.73,43141,0
DEO.US,60,20240516,190000,142.7,142.92,142.6,142.68,22206,0
DEO.US,60,20240516,200000,142.67,142.75,142.4509,142.71,16755,0
DEO.US,60,20240516,210000,142.69,142.8604,142.66,142.85,8630,0
DEO.US,60,20240516,220000,142.835,143.11,142.776,142.95,37878,0
DEO.US,60,20240517,160000,142.16,142.35,141.97,142.35,14764,0
DEO.US,60,20240517,170000,142.38,142.695,142.34,142.3634,34525,0
DEO.US,60,20240517,180000,142.37,142.6793,142.14,142.15,22484,0
DEO.US,60,20240517,190000,142.21,142.54,142.16,142.49,8199,0
DEO.US,60,20240517,200000,142.415,142.64,142.3801,142.49,27923,0
DEO.US,60,20240517,210000,142.475,142.55,142.35,142.53,9543,0
DEO.US,60,20240517,220000,142.47,142.63,142.4,142.4,29020,0
DEO.US,60,20240520,160000,141.84,141.96,141.51,141.71,26543,0
DEO.US,60,20240520,170000,141.7,141.96,141.56,141.59,23735,0
DEO.US,60,20240520,180000,141.565,142.1461,141.54,141.73,31308,0
DEO.US,60,20240520,190000,141.73,141.75,141.45,141.52,13410,0
DEO.US,60,20240520,200000,141.53,141.5982,141.23,141.27,16470,0
DEO.US,60,20240520,210000,141.29,141.29,140.71,140.71,32072,0
DEO.US,60,20240520,220000,140.71,140.825,140.41,140.55,115043,0
DEO.US,60,20240521,160000,140.6,140.64,139.88,139.96,61163,0
DEO.US,60,20240521,170000,140.05,140.4479,139.855,139.98,41763,0
DEO.US,60,20240521,180000,139.98,140.15,139.79,139.79,52370,0
DEO.US,60,20240521,190000,139.835,140.1,139.64,140.04,33329,0
DEO.US,60,20240521,200000,140.02,140.0654,139.95,139.985,24558,0
DEO.US,60,20240521,210000,139.985,140,139.3,139.485,56892,0
