<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFS.US,60,20240411,160000,122.99,123.42,122.24,122.59,19051,0
DFS.US,60,20240411,170000,122.47,122.47,121.08,122.12,21512,0
DFS.US,60,20240411,180000,122.055,122.62,121.97,122.49,58206,0
DFS.US,60,20240411,190000,122.52,122.96,122.48,122.92,26768,0
DFS.US,60,20240411,200000,122.96,123.47,122.83,123.34,43502,0
DFS.US,60,20240411,210000,123.31,123.66,123.29,123.47,35336,0
DFS.US,60,20240411,220000,123.45,123.55,122.89,122.94,294371,0
DFS.US,60,20240412,160000,121.84,122.25,121.46,121.795,73581,0
DFS.US,60,20240412,170000,121.89,122.24,121.29,121.53,30504,0
DFS.US,60,20240412,180000,121.57,122.145,121.57,122.02,23647,0
DFS.US,60,20240412,190000,121.98,122.32,121.6,121.79,25519,0
DFS.US,60,20240412,200000,121.82,121.82,121.07,121.465,46484,0
DFS.US,60,20240412,210000,121.51,121.825,120.81,120.81,58448,0
DFS.US,60,20240412,220000,120.745,121.2,120.51,120.91,394484,0
DFS.US,60,20240415,160000,122.74,123.21,122.71,122.83,27859,0
DFS.US,60,20240415,170000,122.83,122.83,121.45,121.46,34796,0
DFS.US,60,20240415,180000,121.235,121.8,120.96,121.69,79666,0
DFS.US,60,20240415,190000,121.72,121.85,121.08,121.2,12834,0
DFS.US,60,20240415,200000,121.22,121.34,120.6001,120.9,59963,0
DFS.US,60,20240415,210000,121,121.0075,120.61,120.86,18399,0
DFS.US,60,20240415,220000,120.845,121.385,120.47,121.31,286425,0
DFS.US,60,20240416,160000,121.5,121.5,119.9224,120.51,20851,0
DFS.US,60,20240416,170000,120.38,120.605,119.54,119.77,92565,0
DFS.US,60,20240416,180000,119.79,120.3,119.33,119.935,68118,0
DFS.US,60,20240416,190000,119.88,120.24,119.65,120.08,52428,0
DFS.US,60,20240416,200000,120,120.33,119.59,120.13,97307,0
DFS.US,60,20240416,210000,119.99,120.59,119.31,120.23,44086,0
DFS.US,60,20240416,220000,120.26,120.3,119.51,119.57,251704,0
DFS.US,60,20240417,160000,120.91,121.32,120.31,121.27,35787,0
DFS.US,60,20240417,170000,121.19,121.2,120.12,120.4,64811,0
DFS.US,60,20240417,180000,120.44,120.81,120.25,120.6899,87834,0
DFS.US,60,20240417,190000,120.67,120.695,119.85,120.02,71813,0
DFS.US,60,20240417,200000,119.985,120.59,119.985,120.43,84250,0
DFS.US,60,20240417,210000,120.47,121.4799,120.34,120.72,121639,0
DFS.US,60,20240417,220000,120.755,120.8,119.67,119.89,683125,0
DFS.US,60,20240418,160000,120.75,123.335,120.55,123.13,180039,0
DFS.US,60,20240418,170000,123.135,124.99,122.35,124.3001,240895,0
DFS.US,60,20240418,180000,124.46,125.39,124.395,124.585,153118,0
DFS.US,60,20240418,190000,124.61,124.77,124.03,124.21,204991,0
DFS.US,60,20240418,200000,124.225,124.31,123.295,124.02,172352,0
DFS.US,60,20240418,210000,124.01,124.68,123.7875,124.13,141553,0
DFS.US,60,20240418,220000,124.16,124.33,123.99,124.27,380908,0
DFS.US,60,20240419,160000,125.66,126,124.57,124.97,91478,0
DFS.US,60,20240419,170000,124.97,125.73,123.8,123.98,137852,0
DFS.US,60,20240419,180000,123.98,125.41,123.885,125.18,58976,0
DFS.US,60,20240419,190000,125.2,125.77,124.91,125.6,79263,0
DFS.US,60,20240419,200000,125.65,126.065,125.37,125.77,118843,0
DFS.US,60,20240419,210000,125.725,125.79,124.88,125.1,84953,0
DFS.US,60,20240419,220000,125.03,125.42,124.1,125.31,261061,0
DFS.US,60,20240422,160000,126.04,126.04,124.38,125.105,28160,0
DFS.US,60,20240422,170000,125.115,125.78,125.09,125.65,74061,0
DFS.US,60,20240422,180000,125.63,125.9,125.46,125.9,40359,0
DFS.US,60,20240422,190000,125.92,126.32,125.81,125.98,140251,0
DFS.US,60,20240422,200000,125.91,126.6,125.84,126.495,105441,0
DFS.US,60,20240422,210000,126.495,126.63,126.118,126.37,78861,0
DFS.US,60,20240422,220000,126.38,126.7,126.01,126.68,238358,0
DFS.US,60,20240423,160000,126.36,127.06,126.0001,126.96,20990,0
DFS.US,60,20240423,170000,127.06,127.9,127.01,127.895,44700,0
DFS.US,60,20240423,180000,127.87,129.05,127.82,128.93,58640,0
DFS.US,60,20240423,190000,128.885,129.24,128.71,128.93,34846,0
DFS.US,60,20240423,200000,129,129.32,128.89,129.165,32643,0
DFS.US,60,20240423,210000,129.12,129.28,128.67,128.82,96963,0
DFS.US,60,20240423,220000,128.79,129.35,128.58,129.24,966362,0
DFS.US,60,20240424,160000,128.26,130.23,127.58,130.075,79216,0
DFS.US,60,20240424,170000,130.065,130.35,129.74,129.98,64901,0
DFS.US,60,20240424,180000,130.04,130.575,129.935,130.34,54053,0
DFS.US,60,20240424,190000,130.33,130.48,130.07,130.21,79155,0
DFS.US,60,20240424,200000,130.24,130.41,130.03,130.19,94652,0
DFS.US,60,20240424,210000,130.25,130.25,128.96,129.035,97263,0
DFS.US,60,20240424,220000,129,129.57,128.885,129.02,533361,0
DFS.US,60,20240425,160000,128.87,129.07,126.46,126.46,59272,0
DFS.US,60,20240425,170000,126.365,126.5506,125.9,126.305,52971,0
DFS.US,60,20240425,180000,126.35,126.475,126.01,126.28,35492,0
DFS.US,60,20240425,190000,126.41,126.58,126.06,126.19,26250,0
DFS.US,60,20240425,200000,126.17,126.535,125.89,126.53,57735,0
DFS.US,60,20240425,210000,126.5,126.54,125.95,126.19,63849,0
DFS.US,60,20240425,220000,126.21,126.565,125.6,125.67,639123,0
DFS.US,60,20240426,160000,125.5,128.4,125.41,127.38,35277,0
DFS.US,60,20240426,170000,127.26,128.16,127.05,127.52,81082,0
DFS.US,60,20240426,180000,127.52,127.8,126.12,127.8,222888,0
DFS.US,60,20240426,190000,127.79,128.16,127.445,127.79,14576,0
DFS.US,60,20240426,200000,127.8224,128,127.53,127.655,26212,0
DFS.US,60,20240426,210000,127.6,127.82,127.43,127.7,23134,0
DFS.US,60,20240426,220000,127.7,127.98,127.41,127.7,322903,0
DFS.US,60,20240429,160000,127.9,128.18,127.17,128.07,19775,0
DFS.US,60,20240429,170000,128.115,128.274,127.43,127.57,55321,0
DFS.US,60,20240429,180000,127.5799,127.83,127.44,127.68,55753,0
DFS.US,60,20240429,190000,127.65,128.08,127.57,127.63,39326,0
DFS.US,60,20240429,200000,127.7,128.04,127.63,127.98,34635,0
DFS.US,60,20240429,210000,128.005,128.28,127.79,128.26,56291,0
DFS.US,60,20240429,220000,128.18,128.53,127.55,128,220412,0
DFS.US,60,20240430,160000,127.13,127.67,126.51,127.455,12766,0
DFS.US,60,20240430,170000,127.5,127.84,127.27,127.56,33005,0
DFS.US,60,20240430,180000,127.56,127.64,126.58,127,88976,0
DFS.US,60,20240430,190000,127.005,127.2,126.67,127,110542,0
DFS.US,60,20240430,200000,127.01,127.56,126.87,127.5146,23759,0
DFS.US,60,20240430,210000,127.51,127.67,127.14,127.6,106647,0
DFS.US,60,20240430,220000,127.53,127.72,126.62,126.73,539874,0
DFS.US,60,20240501,160000,126.08,126.83,125.25,125.36,42216,0
