<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DG.US,60,20240411,160000,155.28,155.96,153.94,153.95,62505,0
DG.US,60,20240411,170000,153.97,154.5,152.62,152.9773,114019,0
DG.US,60,20240411,180000,152.94,154.63,152.79,154.35,80315,0
DG.US,60,20240411,190000,154.295,155.46,154.27,155.185,115272,0
DG.US,60,20240411,200000,155.17,156.14,154.99,156.08,94477,0
DG.US,60,20240411,210000,156.02,156.25,155.595,155.68,114741,0
DG.US,60,20240411,220000,155.71,156.02,154.3,154.37,547019,0
DG.US,60,20240412,160000,153.62,153.815,151.97,152.29,115667,0
DG.US,60,20240412,170000,152.245,152.245,149.67,150,255906,0
DG.US,60,20240412,180000,150.06,150.46,149.03,150.04,200928,0
DG.US,60,20240412,190000,150.04,150.19,149.065,149.31,107948,0
DG.US,60,20240412,200000,149.28,149.78,148.74,148.75,133193,0
DG.US,60,20240412,210000,148.73,149.35,148.39,148.8,101819,0
DG.US,60,20240412,220000,148.79,148.795,147.46,147.78,758498,0
DG.US,60,20240415,160000,149.39,150.4,147.5575,147.66,87931,0
DG.US,60,20240415,170000,147.785,147.83,146.16,146.18,117222,0
DG.US,60,20240415,180000,146.195,147.7,146.12,147.56,141579,0
DG.US,60,20240415,190000,147.49,147.55,146.45,146.47,76830,0
DG.US,60,20240415,200000,146.46,147.08,146.08,146.48,90375,0
DG.US,60,20240415,210000,146.43,146.46,145.3552,145.66,77626,0
DG.US,60,20240415,220000,145.61,145.78,144.49,144.69,798662,0
DG.US,60,20240416,160000,144.83,144.83,143.02,143.35,58687,0
DG.US,60,20240416,170000,143.38,144.385,143.33,143.5352,130669,0
DG.US,60,20240416,180000,143.495,143.97,143.32,143.565,82477,0
DG.US,60,20240416,190000,143.52,143.67,143.14,143.29,55863,0
DG.US,60,20240416,200000,143.27,143.78,143.02,143.4,89531,0
DG.US,60,20240416,210000,143.39,144.8,143.22,144.75,133147,0
DG.US,60,20240416,220000,144.805,145.59,144.555,144.99,801388,0
DG.US,60,20240417,160000,146.23,146.4399,144.72,146.17,41199,0
DG.US,60,20240417,170000,146.175,146.3299,144.33,145.09,206801,0
DG.US,60,20240417,180000,145.12,145.37,143.66,144.5,210831,0
DG.US,60,20240417,190000,144.47,144.6,144.04,144.45,131568,0
DG.US,60,20240417,200000,144.41,145.08,143.92,144.96,137442,0
DG.US,60,20240417,210000,144.93,146.29,144.66,145.75,112423,0
DG.US,60,20240417,220000,145.73,145.73,144.27,144.49,463369,0
DG.US,60,20240418,160000,144.75,144.89,143.5,144.16,39123,0
DG.US,60,20240418,170000,144.34,145.31,143.32,145.06,120415,0
DG.US,60,20240418,180000,145.0663,145.8,144.97,145.75,81200,0
DG.US,60,20240418,190000,145.765,146.23,145.66,145.84,72531,0
DG.US,60,20240418,200000,145.92,145.95,144.86,145.68,84138,0
DG.US,60,20240418,210000,145.65,146.02,145.21,145.26,90009,0
DG.US,60,20240418,220000,145.26,145.97,144.94,145.68,473939,0
DG.US,60,20240419,160000,145.76,146.765,145.39,145.825,134823,0
DG.US,60,20240419,170000,145.9,146.7,145.49,146.5,129436,0
DG.US,60,20240419,180000,146.49,146.64,145.85,145.85,48836,0
DG.US,60,20240419,190000,145.855,145.97,144.75,145.74,61281,0
DG.US,60,20240419,200000,145.7,145.94,145.01,145.675,57159,0
DG.US,60,20240419,210000,145.64,145.64,145.03,145.34,53749,0
DG.US,60,20240419,220000,145.34,145.63,144.455,144.75,291357,0
DG.US,60,20240422,160000,144.64,144.79,143.14,143.71,185650,0
DG.US,60,20240422,170000,143.75,143.89,142.7849,142.999,216197,0
DG.US,60,20240422,180000,142.99,143.62,142.65,142.71,173244,0
DG.US,60,20240422,190000,142.73,143.68,142.59,143.51,119417,0
DG.US,60,20240422,200000,143.47,144.39,143.2,144.05,187269,0
DG.US,60,20240422,210000,144.02,144.03,142.63,142.63,98856,0
DG.US,60,20240422,220000,142.66,143.275,142.535,142.85,512843,0
DG.US,60,20240423,160000,143.19,143.905,143,143.455,65380,0
DG.US,60,20240423,170000,143.455,144.35,142.98,142.98,114128,0
DG.US,60,20240423,180000,143.01,143.48,142.47,142.73,103056,0
DG.US,60,20240423,190000,142.72,143.75,142.64,143.34,73890,0
DG.US,60,20240423,200000,143.36,143.38,142.76,142.91,76237,0
DG.US,60,20240423,210000,142.935,143.41,142.7819,143.38,75860,0
DG.US,60,20240423,220000,143.39,143.39,142.21,142.715,473340,0
DG.US,60,20240424,160000,141.29,142.85,140.625,141.76,112660,0
DG.US,60,20240424,170000,141.94,142.88,141.5,142.5,109958,0
DG.US,60,20240424,180000,142.52,143.34,142.52,142.86,47735,0
DG.US,60,20240424,190000,142.88,143.37,142.71,143.13,42984,0
DG.US,60,20240424,200000,143.1,143.435,142.94,143.21,35374,0
DG.US,60,20240424,210000,143.21,143.21,142.7,142.985,49166,0
DG.US,60,20240424,220000,142.97,143.485,142.9,143.16,469763,0
DG.US,60,20240425,160000,142.25,143.42,141.73,141.81,67469,0
DG.US,60,20240425,170000,141.825,142.29,141.385,142.25,181094,0
DG.US,60,20240425,180000,142.165,143.34,142.13,143.0786,87677,0
DG.US,60,20240425,190000,143.01,143.4,142.62,142.8,64656,0
DG.US,60,20240425,200000,142.715,143.01,141.92,142.89,112119,0
DG.US,60,20240425,210000,142.925,143.04,142.06,142.445,69063,0
DG.US,60,20240425,220000,142.46,142.88,142.45,142.65,302702,0
DG.US,60,20240426,160000,142.35,144.25,142.1,143.93,31252,0
DG.US,60,20240426,170000,143.8001,144.45,142.28,142.455,113375,0
