<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIS.US,60,20240411,160000,117.59,118.03,117.22,117.86,413472,0
DIS.US,60,20240411,170000,117.83,117.84,116.39,116.41,797055,0
DIS.US,60,20240411,180000,116.41,117.085,116.37,117.06,497265,0
DIS.US,60,20240411,190000,117.06,117.166,116.8001,117.08,257798,0
DIS.US,60,20240411,200000,117.095,117.949,117.05,117.8945,307571,0
DIS.US,60,20240411,210000,117.915,118.28,117.9,118.05,655223,0
DIS.US,60,20240411,220000,118.02,118.2078,117.1,117.15,1950223,0
DIS.US,60,20240412,160000,116.39,116.7,115.54,115.71,582683,0
DIS.US,60,20240412,170000,115.73,115.74,114.01,114.02,1893908,0
DIS.US,60,20240412,180000,114.01,114.7499,113.73,114.57,977498,0
DIS.US,60,20240412,190000,114.56,114.78,114.03,114.21,610298,0
DIS.US,60,20240412,200000,114.22,114.43,113.96,114.31,592591,0
DIS.US,60,20240412,210000,114.29,114.4669,113.94,114.01,677864,0
DIS.US,60,20240412,220000,114.002,114.28,113.79,114.01,2828448,0
DIS.US,60,20240415,160000,114.875,115.54,114.5,114.835,808721,0
DIS.US,60,20240415,170000,114.79,114.8,113.81,113.92,791438,0
DIS.US,60,20240415,180000,113.92,114.41,113.745,114.39,527896,0
DIS.US,60,20240415,190000,114.39,114.58,113.825,113.92,394931,0
DIS.US,60,20240415,200000,113.9,113.93,112.77,113.32,798296,0
DIS.US,60,20240415,210000,113.31,113.34,112.9645,113.025,629745,0
DIS.US,60,20240415,220000,113.02,113.25,112.88,112.95,2665767,0
DIS.US,60,20240416,160000,112.82,113.4,112.52,113.11,398812,0
DIS.US,60,20240416,170000,113.1,113.76,112.9,113.685,545486,0
DIS.US,60,20240416,180000,113.69,114.38,113.68,114.125,669305,0
DIS.US,60,20240416,190000,114.1,114.33,113.95,114.02,346422,0
DIS.US,60,20240416,200000,114.03,114.31,113.59,113.91,441724,0
DIS.US,60,20240416,210000,113.88,114.5,113.59,114.25,434886,0
DIS.US,60,20240416,220000,114.24,114.28,113.71,113.88,2587308,0
DIS.US,60,20240417,160000,114,114.21,113.7,113.98,583907,0
DIS.US,60,20240417,170000,113.98,114.13,113.66,113.9,470574,0
DIS.US,60,20240417,180000,113.92,114.02,113.34,113.72,534011,0
DIS.US,60,20240417,190000,113.71,113.78,113.04,113.19,496448,0
DIS.US,60,20240417,200000,113.2,113.51,113.125,113.475,503957,0
DIS.US,60,20240417,210000,113.475,113.77,113.22,113.33,396012,0
DIS.US,60,20240417,220000,113.3,113.45,112.89,112.94,1876426,0
DIS.US,60,20240418,160000,113.18,113.57,112.92,113.18,355776,0
DIS.US,60,20240418,170000,113.2,114.06,112.77,114.01,382181,0
DIS.US,60,20240418,180000,114.02,114.25,113.505,113.605,483479,0
DIS.US,60,20240418,190000,113.6192,113.7,113.2,113.3,227134,0
DIS.US,60,20240418,200000,113.3,113.39,112.71,112.9499,568209,0
DIS.US,60,20240418,210000,112.945,113.0603,112.6203,112.91,477236,0
DIS.US,60,20240418,220000,112.92,113.15,112.19,112.43,3036388,0
DIS.US,60,20240419,160000,111.72,112.3699,111.08,112.12,1094513,0
DIS.US,60,20240419,170000,112.12,112.42,111.7,111.83,914577,0
DIS.US,60,20240419,180000,111.82,112.015,111.57,111.59,679315,0
DIS.US,60,20240419,190000,111.57,112.18,111.275,112.05,698251,0
DIS.US,60,20240419,200000,112.02,112.59,111.91,112.32,339900,0
DIS.US,60,20240419,210000,112.31,112.48,112.01,112.205,394298,0
DIS.US,60,20240419,220000,112.16,112.715,112.02,112.61,2425279,0
DIS.US,60,20240422,160000,113.1,113.45,112.17,112.525,422802,0
DIS.US,60,20240422,170000,112.51,112.67,111.75,111.9603,504836,0
DIS.US,60,20240422,180000,111.97,112.24,111.85,112.16,346254,0
