<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DLR.US,60,20240411,160000,142.58,142.58,141.22,141.84,38635,0
DLR.US,60,20240411,170000,141.78,141.78,141.03,141.38,69227,0
DLR.US,60,20240411,180000,141.335,142.27,141,142.225,60266,0
DLR.US,60,20240411,190000,142.23,142.34,141.3,142.34,49221,0
DLR.US,60,20240411,200000,142.345,143.32,142.2,143.19,55750,0
DLR.US,60,20240411,210000,143.22,143.74,143.21,143.47,55093,0
DLR.US,60,20240411,220000,143.48,143.625,142.92,143.23,346990,0
DLR.US,60,20240412,160000,142.5,142.99,141.72,141.765,33642,0
DLR.US,60,20240412,170000,141.81,142.74,141.425,142.26,49846,0
DLR.US,60,20240412,180000,142.222,142.69,142.13,142.655,35434,0
DLR.US,60,20240412,190000,142.61,143.19,142.56,142.95,87066,0
DLR.US,60,20240412,200000,142.92,143.4999,142.4,143.19,94026,0
DLR.US,60,20240412,210000,143.175,143.49,142.01,142.28,103516,0
DLR.US,60,20240412,220000,142.17,143.08,142.1,142.49,451262,0
DLR.US,60,20240415,160000,143.4,143.45,142.16,142.365,35939,0
DLR.US,60,20240415,170000,142.385,142.58,140.84,140.89,64567,0
DLR.US,60,20240415,180000,140.835,141.125,140.39,140.99,48619,0
DLR.US,60,20240415,190000,140.94,141.12,139.8,139.99,77954,0
DLR.US,60,20240415,200000,140,140.12,138.4,138.64,120487,0
DLR.US,60,20240415,210000,138.61,139.08,138.08,138.42,142696,0
DLR.US,60,20240415,220000,138.4,138.62,137.34,138.56,597827,0
DLR.US,60,20240416,160000,138.48,138.48,135.86,136.18,88265,0
DLR.US,60,20240416,170000,136.17,136.895,135.54,135.855,269228,0
DLR.US,60,20240416,180000,135.85,137.57,135.74,137.1,125016,0
DLR.US,60,20240416,190000,136.96,137.53,136.88,137.34,58245,0
DLR.US,60,20240416,200000,137.34,137.34,136.14,136.49,79384,0
DLR.US,60,20240416,210000,136.36,137.19,135.89,137.085,143332,0
DLR.US,60,20240416,220000,137.105,137.22,136.15,136.43,509280,0
DLR.US,60,20240417,160000,136.7,137.795,136.2,137.64,48174,0
DLR.US,60,20240417,170000,137.53,137.6,136.5,136.915,81313,0
DLR.US,60,20240417,180000,136.91,137.41,136.3601,136.72,55634,0
