<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOC.US,60,20240411,160000,18.89,18.96,18.63,18.635,191060,0
DOC.US,60,20240411,170000,18.63,18.63,18.38,18.38,917081,0
DOC.US,60,20240411,180000,18.39,18.63,18.29,18.6251,668780,0
DOC.US,60,20240411,190000,18.63,18.63,18.49,18.585,345381,0
DOC.US,60,20240411,200000,18.59,18.72,18.575,18.715,319136,0
DOC.US,60,20240411,210000,18.71,18.81,18.66,18.775,622626,0
DOC.US,60,20240411,220000,18.775,18.78,18.63,18.68,1457984,0
DOC.US,60,20240412,160000,18.66,18.69,18.52,18.63,314880,0
DOC.US,60,20240412,170000,18.63,18.66,18.51,18.58,410481,0
DOC.US,60,20240412,180000,18.585,18.62,18.49,18.565,366702,0
DOC.US,60,20240412,190000,18.565,18.59,18.49,18.575,437598,0
DOC.US,60,20240412,200000,18.57,18.62,18.505,18.6,404850,0
DOC.US,60,20240412,210000,18.595,18.63,18.49,18.52,439624,0
DOC.US,60,20240412,220000,18.52,18.565,18.465,18.52,2437562,0
DOC.US,60,20240415,160000,18.66,18.71,18.425,18.54,232133,0
DOC.US,60,20240415,170000,18.535,18.535,18.325,18.375,400511,0
DOC.US,60,20240415,180000,18.375,18.44,18.345,18.405,362582,0
DOC.US,60,20240415,190000,18.4,18.5,18.38,18.4541,322655,0
DOC.US,60,20240415,200000,18.455,18.48,18.335,18.41,626125,0
DOC.US,60,20240415,210000,18.405,18.415,18.18,18.215,314648,0
DOC.US,60,20240415,220000,18.215,18.33,18.1,18.29,2172393,0
DOC.US,60,20240416,160000,18.18,18.275,17.99,18.005,342606,0
DOC.US,60,20240416,170000,18.01,18.14,17.99,18.06,508627,0
DOC.US,60,20240416,180000,18.065,18.16,18,18.1,400091,0
DOC.US,60,20240416,190000,18.1,18.1,17.96,17.99,406415,0
DOC.US,60,20240416,200000,17.98,18.055,17.9208,17.985,772823,0
DOC.US,60,20240416,210000,17.98,18.06,17.83,17.915,850189,0
DOC.US,60,20240416,220000,17.915,17.92,17.8,17.82,2071703,0
DOC.US,60,20240417,160000,17.91,18.09,17.835,18.065,143559,0
DOC.US,60,20240417,170000,18.065,18.105,17.96,18.01,272911,0
DOC.US,60,20240417,180000,18.02,18.08,17.94,18.06,190035,0
DOC.US,60,20240417,190000,18.06,18.14,18,18.11,366181,0
DOC.US,60,20240417,200000,18.105,18.26,18.105,18.2425,252438,0
DOC.US,60,20240417,210000,18.2425,18.325,18.15,18.175,315603,0
DOC.US,60,20240417,220000,18.17,18.24,18.06,18.07,1807627,0
DOC.US,60,20240418,160000,18.17,18.175,18,18.145,84701,0
DOC.US,60,20240418,170000,18.14,18.2599,18.07,18.25,414166,0
DOC.US,60,20240418,180000,18.245,18.28,18.1,18.11,194432,0
DOC.US,60,20240418,190000,18.115,18.13,17.98,17.99,244344,0
