<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXC.US,60,20240411,160000,21.28,21.295,20.965,21,80169,0
DXC.US,60,20240411,170000,21.01,21.17,20.895,21.145,85749,0
DXC.US,60,20240411,180000,21.1425,21.275,21.1425,21.255,83266,0
DXC.US,60,20240411,190000,21.2505,21.26,21.065,21.115,122595,0
DXC.US,60,20240411,200000,21.11,21.335,21.105,21.225,170468,0
DXC.US,60,20240411,210000,21.225,21.3,21.18,21.18,170072,0
DXC.US,60,20240411,220000,21.175,21.251,21.17,21.21,957877,0
DXC.US,60,20240412,160000,21.02,21.07,20.91,20.97,51888,0
DXC.US,60,20240412,170000,20.96,20.965,20.72,20.79,125770,0
DXC.US,60,20240412,180000,20.795,20.85,20.675,20.85,80116,0
DXC.US,60,20240412,190000,20.855,20.855,20.535,20.545,77532,0
DXC.US,60,20240412,200000,20.545,20.5799,20.48,20.52,89132,0
DXC.US,60,20240412,210000,20.515,20.5198,20.3,20.31,118626,0
DXC.US,60,20240412,220000,20.31,20.36,20.15,20.3,802089,0
DXC.US,60,20240415,160000,20.37,20.52,20.35,20.395,66030,0
DXC.US,60,20240415,170000,20.395,20.405,20.14,20.27,152083,0
DXC.US,60,20240415,180000,20.26,20.3,20.165,20.3,118379,0
DXC.US,60,20240415,190000,20.3,20.3297,20.12,20.19,77214,0
DXC.US,60,20240415,200000,20.19,20.255,20.06,20.13,173825,0
DXC.US,60,20240415,210000,20.125,20.15,20,20.015,67008,0
DXC.US,60,20240415,220000,20.01,20.2,20,20.11,747546,0
DXC.US,60,20240416,160000,20,20.095,19.98,20.08,31440,0
DXC.US,60,20240416,170000,20.08,20.19,20.025,20.15,64789,0
DXC.US,60,20240416,180000,20.165,20.23,20.165,20.175,58151,0
DXC.US,60,20240416,190000,20.175,20.18,20.065,20.135,60857,0
DXC.US,60,20240416,200000,20.13,20.14,19.91,20.04,73397,0
DXC.US,60,20240416,210000,20.03,20.145,19.965,20.055,82505,0
DXC.US,60,20240416,220000,20.06,20.09,19.945,19.98,766204,0
DXC.US,60,20240417,160000,19.98,20.22,19.84,20.19,63827,0
DXC.US,60,20240417,170000,20.19,20.19,20.01,20.035,66580,0
DXC.US,60,20240417,180000,20.04,20.12,19.94,20.03,59226,0
DXC.US,60,20240417,190000,20.02,20.025,19.75,19.76,74165,0
DXC.US,60,20240417,200000,19.76,19.8568,19.72,19.8568,54776,0
DXC.US,60,20240417,210000,19.86,19.92,19.81,19.855,87995,0
DXC.US,60,20240417,220000,19.855,19.855,19.77,19.79,764689,0
DXC.US,60,20240418,160000,19.81,19.87,19.61,19.815,85403,0
DXC.US,60,20240418,170000,19.8273,19.915,19.695,19.915,62144,0
DXC.US,60,20240418,180000,19.92,19.92,19.81,19.82,73241,0
DXC.US,60,20240418,190000,19.82,19.835,19.685,19.7,55935,0
DXC.US,60,20240418,200000,19.7,19.7,19.62,19.67,63069,0
DXC.US,60,20240418,210000,19.665,19.68,19.565,19.585,68914,0
DXC.US,60,20240418,220000,19.58,19.64,19.545,19.58,451198,0
DXC.US,60,20240419,160000,19.57,19.93,19.5601,19.915,35198,0
DXC.US,60,20240419,170000,19.92,20.105,19.91,20.075,92980,0
DXC.US,60,20240419,180000,20.075,20.21,20.06,20.185,67377,0
DXC.US,60,20240419,190000,20.185,20.215,19.94,20.1701,89251,0
DXC.US,60,20240419,200000,20.18,20.2275,20.15,20.205,48098,0
DXC.US,60,20240419,210000,20.185,20.205,20.15,20.18,56035,0
DXC.US,60,20240419,220000,20.185,20.23,20.12,20.14,228524,0
DXC.US,60,20240422,160000,20.333,20.345,20.11,20.34,21951,0
DXC.US,60,20240422,170000,20.345,20.385,20.245,20.245,58615,0
DXC.US,60,20240422,180000,20.25,20.3,20.1903,20.255,63752,0
DXC.US,60,20240422,190000,20.26,20.385,20.25,20.37,42618,0
DXC.US,60,20240422,200000,20.37,20.465,20.36,20.445,44620,0
DXC.US,60,20240422,210000,20.445,20.555,20.445,20.465,48044,0
DXC.US,60,20240422,220000,20.465,20.485,20.395,20.42,464649,0
DXC.US,60,20240423,160000,20.47,20.76,20.43,20.76,74755,0
DXC.US,60,20240423,170000,20.75,20.8799,20.675,20.875,175116,0
DXC.US,60,20240423,180000,20.88,20.95,20.82,20.9099,100344,0
DXC.US,60,20240423,190000,20.9,20.975,20.87,20.945,79018,0
DXC.US,60,20240423,200000,20.94,21.075,20.93,21.04,101176,0
DXC.US,60,20240423,210000,21.0387,21.0999,21.015,21.0725,113595,0
DXC.US,60,20240423,220000,21.075,21.235,20.97,21.17,618461,0
