<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDR.US,60,20240411,160000,26.44,26.45,26.3802,26.415,245778,0
EDR.US,60,20240411,170000,26.41,26.47,26.4,26.435,357305,0
EDR.US,60,20240411,180000,26.435,26.435,26.37,26.42,298810,0
EDR.US,60,20240411,190000,26.42,26.42,26.4,26.405,141073,0
EDR.US,60,20240411,200000,26.41,26.415,26.4,26.405,128633,0
EDR.US,60,20240411,210000,26.405,26.415,26.385,26.39,692159,0
EDR.US,60,20240411,220000,26.395,26.41,26.39,26.4,685202,0
EDR.US,60,20240412,160000,26.4,26.42,26.35,26.42,408287,0
EDR.US,60,20240412,170000,26.415,26.48,26.39,26.43,941937,0
EDR.US,60,20240412,180000,26.435,26.455,26.42,26.445,105007,0
EDR.US,60,20240412,190000,26.45,26.46,26.4,26.415,441854,0
EDR.US,60,20240412,200000,26.41,26.44,26.4,26.415,551906,0
EDR.US,60,20240412,210000,26.415,26.43,26.41,26.415,282243,0
EDR.US,60,20240412,220000,26.41,26.43,26.4,26.41,1006749,0
EDR.US,60,20240415,160000,26.4,26.5,26.395,26.47,438476,0
EDR.US,60,20240415,170000,26.47,26.51,26.45,26.45,307935,0
EDR.US,60,20240415,180000,26.45,26.5094,26.44,26.475,386424,0
EDR.US,60,20240415,190000,26.4775,26.49,26.44,26.46,149704,0
EDR.US,60,20240415,200000,26.45,26.46,26.425,26.445,533705,0
EDR.US,60,20240415,210000,26.445,26.45,26.39,26.395,1327006,0
EDR.US,60,20240415,220000,26.395,26.41,26.38,26.38,1712889,0
EDR.US,60,20240416,160000,26.39,26.44,26.37,26.375,508726,0
EDR.US,60,20240416,170000,26.371,26.4,26.35,26.385,1984825,0
EDR.US,60,20240416,180000,26.385,26.39,26.36,26.36,1992391,0
EDR.US,60,20240416,190000,26.36,26.39,26.355,26.37,261967,0
EDR.US,60,20240416,200000,26.365,26.37,26.36,26.36,214586,0
EDR.US,60,20240416,210000,26.36,26.37,26.29,26.32,2021046,0
EDR.US,60,20240416,220000,26.32,26.39,26.31,26.36,1008430,0
EDR.US,60,20240417,160000,26.4,26.4,26.32,26.37,1304802,0
EDR.US,60,20240417,170000,26.36,26.3668,26.315,26.355,454144,0
EDR.US,60,20240417,180000,26.355,26.36,26.3,26.335,699769,0
EDR.US,60,20240417,190000,26.335,26.34,26.3,26.335,1336981,0
EDR.US,60,20240417,200000,26.335,26.355,26.33,26.345,291155,0
EDR.US,60,20240417,210000,26.34,26.36,26.32,26.325,493169,0
EDR.US,60,20240417,220000,26.325,26.34,26.3,26.33,1529181,0
EDR.US,60,20240418,160000,26.33,26.38,26.32,26.351,1450334,0
EDR.US,60,20240418,170000,26.35,26.4,26.34,26.375,846274,0
EDR.US,60,20240418,180000,26.37,26.385,26.36,26.37,104693,0
EDR.US,60,20240418,190000,26.375,26.38,26.35,26.38,332275,0
EDR.US,60,20240418,200000,26.37,26.39,26.37,26.375,218026,0
EDR.US,60,20240418,210000,26.37,26.39,26.35,26.35,597387,0
EDR.US,60,20240418,220000,26.35,26.45,26.35,26.44,838787,0
EDR.US,60,20240419,160000,26.4,26.4,26.34,26.4,126171,0
EDR.US,60,20240419,170000,26.395,26.42,26.385,26.405,132807,0
EDR.US,60,20240419,180000,26.405,26.41,26.38,26.385,181035,0
EDR.US,60,20240419,190000,26.39,26.42,26.38,26.41,204561,0
EDR.US,60,20240419,200000,26.415,26.42,26.4,26.405,60166,0
EDR.US,60,20240419,210000,26.41,26.42,26.395,26.405,75480,0
EDR.US,60,20240419,220000,26.405,26.49,26.4,26.49,293064,0
EDR.US,60,20240422,160000,26.49,26.54,26.45,26.5,131688,0
EDR.US,60,20240422,170000,26.505,26.52,26.48,26.51,316824,0
EDR.US,60,20240422,180000,26.505,26.505,26.475,26.48,97808,0
EDR.US,60,20240422,190000,26.48,26.48,26.45,26.455,47133,0
EDR.US,60,20240422,200000,26.455,26.485,26.45,26.48,84667,0
EDR.US,60,20240422,210000,26.475,26.475,26.44,26.46,119323,0
EDR.US,60,20240422,220000,26.455,26.46,26.41,26.42,534557,0
EDR.US,60,20240423,160000,26.45,26.49,26.45,26.46,67548,0
EDR.US,60,20240423,170000,26.465,26.465,26.41,26.415,270918,0
EDR.US,60,20240423,180000,26.41,26.418,26.39,26.405,193013,0
EDR.US,60,20240423,190000,26.405,26.41,26.38,26.385,105883,0
EDR.US,60,20240423,200000,26.385,26.405,26.38,26.4,114609,0
EDR.US,60,20240423,210000,26.4,26.4,26.39,26.395,234270,0
EDR.US,60,20240423,220000,26.395,26.4,26.35,26.35,1039220,0
EDR.US,60,20240424,160000,26.38,26.43,26.36,26.405,729370,0
EDR.US,60,20240424,170000,26.405,26.42,26.37,26.375,192989,0
EDR.US,60,20240424,180000,26.37,26.38,26.335,26.345,161160,0
EDR.US,60,20240424,190000,26.345,26.37,26.34,26.365,107335,0
EDR.US,60,20240424,200000,26.365,26.39,26.36,26.375,303859,0
EDR.US,60,20240424,210000,26.38,26.4,26.37,26.385,317338,0
EDR.US,60,20240424,220000,26.39,26.44,26.38,26.44,1404438,0
EDR.US,60,20240425,160000,26.37,26.41,26.34,26.365,125036,0
EDR.US,60,20240425,170000,26.365,26.41,26.365,26.405,123419,0
EDR.US,60,20240425,180000,26.4025,26.46,26.4,26.46,63313,0
EDR.US,60,20240425,190000,26.465,26.49,26.46,26.475,162077,0
EDR.US,60,20240425,200000,26.475,26.485,26.455,26.465,173635,0
EDR.US,60,20240425,210000,26.465,26.465,26.43,26.445,99298,0
EDR.US,60,20240425,220000,26.445,26.47,26.43,26.43,572918,0
EDR.US,60,20240426,160000,26.46,26.475,26.41,26.475,100304,0
EDR.US,60,20240426,170000,26.475,26.51,26.47,26.49,136116,0
EDR.US,60,20240426,180000,26.49,26.5,26.47,26.495,119748,0
EDR.US,60,20240426,190000,26.495,26.5,26.48,26.5,97652,0
EDR.US,60,20240426,200000,26.495,26.5281,26.49,26.505,303205,0
EDR.US,60,20240426,210000,26.505,26.505,26.47,26.475,177379,0
EDR.US,60,20240426,220000,26.47,26.51,26.46,26.5,529570,0
EDR.US,60,20240429,160000,26.48,26.53,26.45,26.475,132006,0
EDR.US,60,20240429,170000,26.47,26.5,26.45,26.45,254727,0
EDR.US,60,20240429,180000,26.45,26.47,26.42,26.47,179066,0
EDR.US,60,20240429,190000,26.465,26.475,26.44,26.47,167923,0
EDR.US,60,20240429,200000,26.47,26.48,26.46,26.46,78586,0
EDR.US,60,20240429,210000,26.465,26.4775,26.46,26.46,210285,0
EDR.US,60,20240429,220000,26.465,26.47,26.44,26.45,1321982,0
EDR.US,60,20240430,160000,26.44,26.46,26.42,26.45,202640,0
EDR.US,60,20240430,170000,26.455,26.47,26.425,26.45,640831,0
EDR.US,60,20240430,180000,26.445,26.45,26.4,26.425,1744032,0
EDR.US,60,20240430,190000,26.425,26.43,26.4,26.42,181230,0
EDR.US,60,20240430,200000,26.415,26.42,26.39,26.42,192806,0
EDR.US,60,20240430,210000,26.41,26.42,26.4,26.405,239609,0
EDR.US,60,20240430,220000,26.4,26.43,26.39,26.41,2604868,0
EDR.US,60,20240501,160000,26.41,26.45,26.39,26.43,234916,0
EDR.US,60,20240501,170000,26.43,26.44,26.4,26.415,284009,0
EDR.US,60,20240501,180000,26.415,26.42,26.4,26.415,186221,0
EDR.US,60,20240501,190000,26.415,26.435,26.41,26.415,215148,0
EDR.US,60,20240501,200000,26.415,26.42,26.395,26.415,169586,0
EDR.US,60,20240501,210000,26.42,26.475,26.41,26.465,423103,0
EDR.US,60,20240501,220000,26.465,26.475,26.39,26.41,599492,0
EDR.US,60,20240502,160000,26.45,26.49,26.44,26.4807,110291,0
EDR.US,60,20240502,170000,26.48,26.52,26.47,26.515,218232,0
EDR.US,60,20240502,180000,26.515,26.56,26.51,26.525,481615,0
EDR.US,60,20240502,190000,26.525,26.54,26.51,26.52,103516,0
EDR.US,60,20240502,200000,26.515,26.53,26.5,26.505,102102,0
EDR.US,60,20240502,210000,26.505,26.51,26.48,26.485,166784,0
EDR.US,60,20240502,220000,26.485,26.51,26.46,26.49,687682,0
EDR.US,60,20240506,160000,26.52,26.54,26.5,26.525,151205,0
EDR.US,60,20240506,170000,26.53,26.54,26.5,26.5,387695,0
EDR.US,60,20240506,180000,26.5,26.52,26.49,26.495,467707,0
EDR.US,60,20240506,190000,26.495,26.51,26.49,26.505,322151,0
EDR.US,60,20240506,200000,26.505,26.52,26.46,26.46,266830,0
EDR.US,60,20240506,210000,26.46,26.505,26.46,26.49,552153,0
EDR.US,60,20240506,220000,26.49,26.49,26.45,26.46,659124,0
EDR.US,60,20240507,160000,26.5,26.52,26.48,26.505,181971,0
EDR.US,60,20240507,170000,26.505,26.52,26.5,26.505,90862,0
EDR.US,60,20240507,180000,26.505,26.51,26.485,26.495,568312,0
EDR.US,60,20240507,190000,26.49,26.5,26.47,26.475,363554,0
EDR.US,60,20240507,200000,26.475,26.49,26.47,26.47,301418,0
EDR.US,60,20240507,210000,26.47,26.475,26.46,26.465,354849,0
EDR.US,60,20240507,220000,26.465,26.47,26.45,26.46,641914,0
EDR.US,60,20240508,160000,26.47,26.5,26.44,26.48,212748,0
EDR.US,60,20240508,170000,26.48,26.48,26.47,26.475,80344,0
EDR.US,60,20240508,180000,26.475,26.48,26.46,26.48,104422,0
EDR.US,60,20240508,190000,26.48,26.48,26.46,26.46,71802,0
EDR.US,60,20240508,200000,26.46,26.47,26.46,26.465,112486,0
EDR.US,60,20240508,210000,26.465,26.47,26.45,26.46,80105,0
