<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDU.US,60,20240411,160000,87.45,89.64,87.45,89.53,96399,0
EDU.US,60,20240411,170000,89.52,90.1854,89.2,89.96,239582,0
EDU.US,60,20240411,180000,90,90.07,89.44,89.85,78008,0
EDU.US,60,20240411,190000,89.85,89.86,89.01,89.05,75496,0
EDU.US,60,20240411,200000,89.08,89.36,88.96,89.125,45222,0
EDU.US,60,20240411,210000,89.125,89.56,89.1,89.395,43029,0
EDU.US,60,20240411,220000,89.42,89.55,89.14,89.16,189799,0
EDU.US,60,20240412,160000,88.83,89.495,87.31,87.4487,75222,0
EDU.US,60,20240412,170000,87.4,87.97,87.05,87.62,52837,0
EDU.US,60,20240412,180000,87.61,87.89,87.41,87.73,36062,0
EDU.US,60,20240412,190000,87.72,87.76,87.01,87.19,28197,0
EDU.US,60,20240412,200000,87.1106,87.35,86.77,87.08,42398,0
EDU.US,60,20240412,210000,87.02,87.18,86.57,86.76,57443,0
EDU.US,60,20240412,220000,86.72,86.775,86.27,86.56,196850,0
EDU.US,60,20240415,160000,85.42,87.75,85.42,87.35,45404,0
EDU.US,60,20240415,170000,87.41,88.29,87.38,87.48,47140,0
EDU.US,60,20240415,180000,87.51,87.52,86.52,86.56,50030,0
EDU.US,60,20240415,190000,86.59,86.71,86.325,86.48,47623,0
EDU.US,60,20240415,200000,86.39,86.54,85.25,85.56,109823,0
EDU.US,60,20240415,210000,85.616,85.63,85.26,85.34,43897,0
EDU.US,60,20240415,220000,85.3,85.55,84.8,85.54,570547,0
EDU.US,60,20240416,160000,84,85.16,83.9,85.05,82297,0
EDU.US,60,20240416,170000,85.035,85.72,84.91,85.39,113421,0
EDU.US,60,20240416,180000,85.365,85.81,85.3,85.53,54404,0
EDU.US,60,20240416,190000,85.54,85.994,85.325,85.82,87979,0
EDU.US,60,20240416,200000,85.84,85.84,85.23,85.45,123638,0
EDU.US,60,20240416,210000,85.45,85.93,85.34,85.59,75809,0
EDU.US,60,20240416,220000,85.59,85.92,85.345,85.5,209897,0
EDU.US,60,20240417,160000,86.21,86.29,85.52,85.65,63909,0
EDU.US,60,20240417,170000,85.615,86.24,85.3,85.45,85283,0
EDU.US,60,20240417,180000,85.436,85.87,85.12,85.51,48985,0
EDU.US,60,20240417,190000,85.48,85.48,84.76,84.96,92940,0
EDU.US,60,20240417,200000,84.93,85.48,84.895,85.47,85785,0
EDU.US,60,20240417,210000,85.47,85.615,85.24,85.3,56399,0
EDU.US,60,20240417,220000,85.305,85.38,84.51,84.55,300653,0
EDU.US,60,20240418,160000,85.75,86.76,85.08,85.205,56143,0
EDU.US,60,20240418,170000,85.29,87.45,85.06,86.99,85011,0
EDU.US,60,20240418,180000,87.03,87.74,86.86,87.48,101517,0
EDU.US,60,20240418,190000,87.49,87.67,86.58,86.925,137068,0
