<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EL.US,60,20240411,160000,145.99,146.04,144.31,144.705,46630,0
EL.US,60,20240411,170000,144.645,144.645,142.95,142.95,100706,0
EL.US,60,20240411,180000,142.9985,143.99,142.71,143.87,122577,0
EL.US,60,20240411,190000,143.86,144.16,143.77,143.97,58470,0
EL.US,60,20240411,200000,143.97,145.44,143.88,145.38,65296,0
EL.US,60,20240411,210000,145.38,145.84,145.17,145.36,62998,0
EL.US,60,20240411,220000,145.36,145.679,144.8,145.43,461411,0
EL.US,60,20240412,160000,143.27,144.12,142.1,142.56,84403,0
EL.US,60,20240412,170000,142.56,142.56,140.86,140.86,128743,0
EL.US,60,20240412,180000,140.855,140.92,139.5,140.42,189504,0
EL.US,60,20240412,190000,140.49,140.7,139.06,139.4,85176,0
EL.US,60,20240412,200000,139.36,139.48,138.34,138.605,104132,0
EL.US,60,20240412,210000,138.6,139.14,138.1301,138.27,113125,0
EL.US,60,20240412,220000,138.25,139.06,138.12,138.8,760831,0
EL.US,60,20240415,160000,140.64,141.77,139.92,140.02,91277,0
EL.US,60,20240415,170000,140.01,140.2,138.98,139.175,108000,0
EL.US,60,20240415,180000,139.195,139.485,138.52,139.485,135643,0
EL.US,60,20240415,190000,139.485,140.08,138.64,138.97,45860,0
EL.US,60,20240415,200000,138.925,139.6,137.83,138.01,103545,0
EL.US,60,20240415,210000,138.035,138.31,136.91,137.2563,69233,0
EL.US,60,20240415,220000,137.2208,137.35,136.37,137.24,567546,0
EL.US,60,20240416,160000,136.37,136.54,134.76,135.61,104007,0
EL.US,60,20240416,170000,135.58,136.37,134.94,134.96,235668,0
EL.US,60,20240416,180000,134.96,137.59,134.9201,137.11,380423,0
EL.US,60,20240416,190000,137.11,137.67,136.5002,137.4025,87047,0
EL.US,60,20240416,200000,137.41,137.4299,136.4227,136.6314,69960,0
EL.US,60,20240416,210000,136.65,137.99,136.59,137.47,92229,0
EL.US,60,20240416,220000,137.45,137.975,136.88,136.93,452876,0
EL.US,60,20240417,160000,139.09,139.65,137.66,137.81,187271,0
EL.US,60,20240417,170000,137.69,139.06,137.56,138.525,204592,0
EL.US,60,20240417,180000,138.53,138.71,137.38,138.305,117699,0
EL.US,60,20240417,190000,138.25,138.69,137.77,138.265,170136,0
EL.US,60,20240417,200000,138.23,138.46,137.91,138.235,118822,0
EL.US,60,20240417,210000,138.17,138.53,137.76,137.83,147406,0
EL.US,60,20240417,220000,137.865,138.19,137.67,138.04,547718,0
EL.US,60,20240418,160000,139.33,140.48,138.18,140.03,138722,0
EL.US,60,20240418,170000,139.9363,142.14,139.63,142.055,330939,0
EL.US,60,20240418,180000,142.055,142.58,141.52,142.38,286557,0
EL.US,60,20240418,190000,142.35,146.63,142.33,144.6177,697329,0
EL.US,60,20240418,200000,144.64,144.9,143.785,144.25,220121,0
EL.US,60,20240418,210000,144.2,144.36,143.11,144.04,207578,0
EL.US,60,20240418,220000,144.065,145.12,144.065,144.81,784759,0
EL.US,60,20240419,160000,144,145.09,143.77,144.975,186175,0
EL.US,60,20240419,170000,144.86,145.17,144.19,144.85,288353,0
EL.US,60,20240419,180000,144.88,144.91,144.13,144.48,161410,0
EL.US,60,20240419,190000,144.41,144.9,143.94,144.49,111164,0
EL.US,60,20240419,200000,144.505,144.61,143.8806,144.14,102856,0
EL.US,60,20240419,210000,144.045,144.53,143.86,144.33,200227,0
EL.US,60,20240419,220000,144.28,144.7,143.945,144.39,314390,0
EL.US,60,20240422,160000,145.475,145.475,143.315,144.94,54791,0
EL.US,60,20240422,170000,144.89,145.25,144.61,145.02,146252,0
EL.US,60,20240422,180000,144.97,145.71,144.78,145.0061,120036,0
EL.US,60,20240422,190000,145.02,145.28,144.88,145.24,66542,0
EL.US,60,20240422,200000,145.2997,147.3199,145.18,147.23,128509,0
EL.US,60,20240422,210000,147.32,147.8,146.94,147.106,132363,0
EL.US,60,20240422,220000,147.115,147.79,146.88,147.42,496097,0
EL.US,60,20240423,160000,147,149.25,146.72,148.85,147647,0
EL.US,60,20240423,170000,148.85,149.91,148.31,149.86,143907,0
EL.US,60,20240423,180000,149.83,149.91,148.85,148.995,152494,0
EL.US,60,20240423,190000,148.92,149.15,148.44,149.05,109691,0
EL.US,60,20240423,200000,148.95,149.3,148.49,148.995,63894,0
EL.US,60,20240423,210000,148.94,149.38,148.7,148.9,84551,0
EL.US,60,20240423,220000,148.86,149.12,148.365,148.92,557835,0
EL.US,60,20240424,160000,147.12,148.4499,145.42,147.35,96330,0
EL.US,60,20240424,170000,147.34,148.15,146.615,146.71,168366,0
EL.US,60,20240424,180000,146.81,146.91,146.31,146.59,210678,0
EL.US,60,20240424,190000,146.5854,147.175,146,146.98,120645,0
EL.US,60,20240424,200000,147.04,147.63,146.855,147.185,29701,0
