<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMN.US,60,20240411,160000,100.86,101.36,100.6014,101.03,22238,0
EMN.US,60,20240411,170000,101.03,101.05,99.31,99.51,49321,0
EMN.US,60,20240411,180000,99.48,99.82,99.31,99.82,17258,0
EMN.US,60,20240411,190000,99.76,100.11,99.735,99.88,25578,0
EMN.US,60,20240411,200000,99.91,100.36,99.84,100.28,27226,0
EMN.US,60,20240411,210000,100.28,100.62,100.25,100.53,39747,0
EMN.US,60,20240411,220000,100.49,100.69,99.854,100.02,312225,0
EMN.US,60,20240412,160000,99.3,99.75,98.92,99.11,21965,0
EMN.US,60,20240412,170000,99.1,99.205,98.38,98.63,50463,0
EMN.US,60,20240412,180000,98.62,98.9,98.53,98.73,68560,0
EMN.US,60,20240412,190000,98.625,98.64,97.71,97.71,26758,0
EMN.US,60,20240412,200000,97.74,97.79,97.11,97.51,39631,0
EMN.US,60,20240412,210000,97.4101,97.84,97.3587,97.635,43324,0
EMN.US,60,20240412,220000,97.635,98,97.53,97.98,319834,0
EMN.US,60,20240415,160000,98.91,99.3,98.335,98.52,15680,0
EMN.US,60,20240415,170000,98.53,98.54,97.88,97.905,36816,0
EMN.US,60,20240415,180000,97.88,98.21,97.36,98.21,99025,0
EMN.US,60,20240415,190000,98.245,98.2537,97.5,97.63,22500,0
EMN.US,60,20240415,200000,97.635,97.71,96.82,96.965,40597,0
EMN.US,60,20240415,210000,96.94,97.14,96.56,96.69,33121,0
EMN.US,60,20240415,220000,96.62,97.37,96.45,97.32,582790,0
EMN.US,60,20240416,160000,96.83,97.08,95.75,96.32,17637,0
EMN.US,60,20240416,170000,96.32,96.63,95.85,96.0873,38374,0
EMN.US,60,20240416,180000,95.99,96.62,95.96,96.44,46039,0
EMN.US,60,20240416,190000,96.4,96.62,96.29,96.47,46874,0
EMN.US,60,20240416,200000,96.4,96.82,96.17,96.36,98895,0
EMN.US,60,20240416,210000,96.34,97.06,96.05,97.04,70707,0
EMN.US,60,20240416,220000,97.03,97.03,96.29,96.4,294055,0
EMN.US,60,20240417,160000,97.33,97.505,96.83,97.19,18461,0
EMN.US,60,20240417,170000,97.12,97.61,96.86,96.9,46590,0
EMN.US,60,20240417,180000,96.895,97,96.383,96.535,43257,0
EMN.US,60,20240417,190000,96.515,96.63,96.13,96.17,26894,0
EMN.US,60,20240417,200000,96.1855,96.87,96.15,96.815,28206,0
EMN.US,60,20240417,210000,96.815,96.94,96.45,96.5,45193,0
EMN.US,60,20240417,220000,96.47,96.47,95.92,95.97,293222,0
EMN.US,60,20240418,160000,96.71,96.71,95.985,96.59,9235,0
EMN.US,60,20240418,170000,96.58,96.6385,96.18,96.195,24477,0
EMN.US,60,20240418,180000,96.23,96.49,96.14,96.245,23177,0
EMN.US,60,20240418,190000,96.2475,96.37,95.96,95.97,16624,0
EMN.US,60,20240418,200000,95.955,95.98,95.6,95.65,27017,0
EMN.US,60,20240418,210000,95.65,95.7,95.27,95.64,56420,0
EMN.US,60,20240418,220000,95.71,96.255,95.7,96,276647,0
EMN.US,60,20240419,160000,96.12,96.9,96,96.89,42785,0
EMN.US,60,20240419,170000,96.855,96.99,96.365,96.415,25109,0
EMN.US,60,20240419,180000,96.38,96.69,96.35,96.4,23008,0
EMN.US,60,20240419,190000,96.42,96.79,96.22,96.78,28593,0
EMN.US,60,20240419,200000,96.82,96.9292,96.54,96.81,20896,0
EMN.US,60,20240419,210000,96.81,96.92,96.39,96.66,19568,0
EMN.US,60,20240419,220000,96.64,96.78,96.41,96.43,107503,0
EMN.US,60,20240422,160000,96.55,96.88,95.93,96.88,16025,0
EMN.US,60,20240422,170000,96.81,97.08,96.47,97.05,35274,0
EMN.US,60,20240422,180000,96.98,96.98,96.29,96.56,17802,0
EMN.US,60,20240422,190000,96.57,96.97,96.5,96.92,16596,0
EMN.US,60,20240422,200000,96.94,97.43,96.8,97.33,32104,0
EMN.US,60,20240422,210000,97.3794,97.77,97.17,97.38,96238,0
EMN.US,60,20240422,220000,97.44,97.46,97.05,97.06,198739,0
EMN.US,60,20240423,160000,96.5,97.06,96.39,96.81,9469,0
