<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENB.US,60,20240411,160000,34.61,34.6441,34.405,34.405,225593,0
ENB.US,60,20240411,170000,34.4,34.4,34.125,34.13,614423,0
ENB.US,60,20240411,180000,34.135,34.375,34.12,34.355,350389,0
ENB.US,60,20240411,190000,34.36,34.4359,34.335,34.37,260374,0
ENB.US,60,20240411,200000,34.37,34.555,34.36,34.545,336990,0
ENB.US,60,20240411,210000,34.54,34.6,34.515,34.53,594461,0
ENB.US,60,20240411,220000,34.53,34.6,34.51,34.55,1426335,0
ENB.US,60,20240412,160000,34.53,34.8,34.36,34.715,536531,0
ENB.US,60,20240412,170000,34.71,34.71,34.57,34.64,526355,0
ENB.US,60,20240412,180000,34.63,34.69,34.354,34.41,314582,0
ENB.US,60,20240412,190000,34.41,34.45,34.27,34.33,237376,0
ENB.US,60,20240412,200000,34.32,34.35,34.17,34.255,401369,0
ENB.US,60,20240412,210000,34.25,34.296,34.025,34.03,513470,0
ENB.US,60,20240412,220000,34.02,34.2,33.93,34.18,1857486,0
ENB.US,60,20240415,160000,34.25,34.45,34.24,34.285,182629,0
ENB.US,60,20240415,170000,34.3,34.3,34.02,34.04,304654,0
ENB.US,60,20240415,180000,34.04,34.136,33.945,34.12,497454,0
ENB.US,60,20240415,190000,34.115,34.14,33.85,33.9001,445877,0
ENB.US,60,20240415,200000,33.9,33.9399,33.68,33.75,571111,0
ENB.US,60,20240415,210000,33.75,33.75,33.63,33.666,603891,0
ENB.US,60,20240415,220000,33.665,33.77,33.614,33.75,1527516,0
ENB.US,60,20240416,160000,33.61,33.65,33.18,33.23,304903,0
ENB.US,60,20240416,170000,33.225,33.3377,33.0903,33.215,777495,0
ENB.US,60,20240416,180000,33.22,33.35,33.205,33.21,582522,0
ENB.US,60,20240416,190000,33.21,33.275,33.13,33.25,476497,0
ENB.US,60,20240416,200000,33.25,33.25,33.085,33.2,707437,0
ENB.US,60,20240416,210000,33.1953,33.2861,33.02,33.27,660773,0
ENB.US,60,20240416,220000,33.27,33.27,32.945,32.97,4130054,0
ENB.US,60,20240417,160000,33.14,33.33,33.02,33.28,360862,0
ENB.US,60,20240417,170000,33.285,33.3,33.04,33.09,501587,0
ENB.US,60,20240417,180000,33.095,33.125,32.93,32.97,579443,0
ENB.US,60,20240417,190000,32.97,33.0183,32.855,32.99,442462,0
ENB.US,60,20240417,200000,33,33.18,32.95,33.1757,345486,0
ENB.US,60,20240417,210000,33.17,33.32,33.1239,33.215,387697,0
ENB.US,60,20240417,220000,33.21,33.39,33.1478,33.33,3629127,0
ENB.US,60,20240418,160000,33.38,33.59,33.35,33.585,192572,0
ENB.US,60,20240418,170000,33.595,33.71,33.5277,33.685,468305,0
ENB.US,60,20240418,180000,33.68,33.7497,33.62,33.7283,663463,0
ENB.US,60,20240418,190000,33.73,33.79,33.695,33.715,380476,0
ENB.US,60,20240418,200000,33.72,33.74,33.59,33.72,529707,0
ENB.US,60,20240418,210000,33.71,33.77,33.63,33.72,338819,0
ENB.US,60,20240418,220000,33.725,33.95,33.72,33.9,3961432,0
ENB.US,60,20240419,160000,33.93,34.35,33.92,34.33,267356,0
ENB.US,60,20240419,170000,34.34,34.855,34.34,34.7,1342312,0
ENB.US,60,20240419,180000,34.7,34.795,34.51,34.6,886399,0
ENB.US,60,20240419,190000,34.6,34.78,34.495,34.78,567714,0
ENB.US,60,20240419,200000,34.78,34.87,34.71,34.79,773418,0
ENB.US,60,20240419,210000,34.79,34.83,34.655,34.82,912428,0
ENB.US,60,20240419,220000,34.81,34.92,34.74,34.87,2151812,0
ENB.US,60,20240422,160000,34.91,34.97,34.625,34.795,516893,0
ENB.US,60,20240422,170000,34.805,34.91,34.78,34.9,1131869,0
ENB.US,60,20240422,180000,34.9,34.955,34.84,34.94,972238,0
ENB.US,60,20240422,190000,34.935,35.14,34.935,35.12,689398,0
ENB.US,60,20240422,200000,35.12,35.28,35.07,35.28,776405,0
ENB.US,60,20240422,210000,35.275,35.32,35.205,35.285,1171155,0
ENB.US,60,20240422,220000,35.28,35.37,35.245,35.35,5274189,0
ENB.US,60,20240423,160000,35.27,35.47,35.18,35.42,389425,0
ENB.US,60,20240423,170000,35.425,35.53,35.405,35.48,892387,0
ENB.US,60,20240423,180000,35.48,35.52,35.44,35.49,1115707,0
ENB.US,60,20240423,190000,35.5,35.52,35.41,35.47,1092360,0
ENB.US,60,20240423,200000,35.462,35.47,35.35,35.365,674934,0
ENB.US,60,20240423,210000,35.36,35.47,35.35,35.425,1178422,0
ENB.US,60,20240423,220000,35.42,35.51,35.405,35.43,6343317,0
ENB.US,60,20240424,160000,35.46,35.46,35.2406,35.325,350185,0
ENB.US,60,20240424,170000,35.33,35.39,35.24,35.2599,521161,0
ENB.US,60,20240424,180000,35.26,35.37,35.22,35.355,608207,0
ENB.US,60,20240424,190000,35.355,35.42,35.305,35.38,965152,0
ENB.US,60,20240424,200000,35.39,35.57,35.37,35.565,850867,0
ENB.US,60,20240424,210000,35.56,35.59,35.48,35.52,794576,0
ENB.US,60,20240424,220000,35.52,35.72,35.5,35.66,3303342,0
ENB.US,60,20240425,160000,35.44,35.561,35.31,35.39,520815,0
ENB.US,60,20240425,170000,35.39,35.615,35.33,35.615,829158,0
ENB.US,60,20240425,180000,35.615,35.81,35.51,35.81,515537,0
ENB.US,60,20240425,190000,35.805,35.9,35.73,35.87,677434,0
ENB.US,60,20240425,200000,35.8601,36.07,35.86,36.03,644526,0
ENB.US,60,20240425,210000,36.03,36.175,36.0225,36.17,960493,0
ENB.US,60,20240425,220000,36.17,36.345,36.14,36.26,4635767,0
ENB.US,60,20240426,160000,36.25,36.3499,36.15,36.15,387039,0
ENB.US,60,20240426,170000,36.16,36.22,35.95,35.98,614271,0
ENB.US,60,20240426,180000,35.98,36.02,35.86,35.94,474092,0
ENB.US,60,20240426,190000,35.94,35.975,35.83,35.885,335243,0
ENB.US,60,20240426,200000,35.88,35.9267,35.815,35.825,366665,0
ENB.US,60,20240426,210000,35.82,35.8998,35.77,35.895,430493,0
ENB.US,60,20240426,220000,35.895,35.915,35.8,35.82,1370006,0
ENB.US,60,20240429,160000,35.86,36.01,35.69,35.76,787956,0
ENB.US,60,20240429,170000,35.76,35.865,35.72,35.81,1024505,0
ENB.US,60,20240429,180000,35.81,35.895,35.75,35.7609,564804,0
ENB.US,60,20240429,190000,35.76,35.88,35.75,35.85,907075,0
ENB.US,60,20240429,200000,35.855,35.93,35.83,35.859,638571,0
ENB.US,60,20240429,210000,35.86,35.895,35.81,35.835,1310367,0
ENB.US,60,20240429,220000,35.83,36.01,35.7,35.96,3461782,0
ENB.US,60,20240430,160000,35.88,35.88,35.57,35.73,408537,0
ENB.US,60,20240430,170000,35.74,35.83,35.615,35.72,911034,0
ENB.US,60,20240430,180000,35.72,35.77,35.66,35.7,786690,0
ENB.US,60,20240430,190000,35.7,35.7078,35.555,35.625,396050,0
ENB.US,60,20240430,200000,35.625,35.67,35.55,35.645,688917,0
ENB.US,60,20240430,210000,35.645,35.74,35.625,35.69,972153,0
ENB.US,60,20240430,220000,35.68,35.735,35.54,35.54,3118200,0
ENB.US,60,20240501,160000,35.57,35.6,35.315,35.38,251821,0
ENB.US,60,20240501,170000,35.4,35.46,35.344,35.41,549052,0
ENB.US,60,20240501,180000,35.415,35.47,35.3,35.355,786164,0
ENB.US,60,20240501,190000,35.35,35.48,35.345,35.4495,436002,0
ENB.US,60,20240501,200000,35.445,35.53,35.44,35.475,282005,0
ENB.US,60,20240501,210000,35.48,35.91,35.43,35.855,1150012,0
ENB.US,60,20240501,220000,35.855,35.91,35.59,35.59,3465057,0
ENB.US,60,20240502,160000,35.87,35.98,35.84,35.8902,161897,0
ENB.US,60,20240502,170000,35.89,36.04,35.77,36.03,461511,0
ENB.US,60,20240502,180000,36.03,36.08,35.9624,36.08,469710,0
ENB.US,60,20240502,190000,36.08,36.22,36.045,36.18,430379,0
ENB.US,60,20240502,200000,36.185,36.2976,36.14,36.26,407569,0
ENB.US,60,20240502,210000,36.255,36.47,36.255,36.425,585229,0
ENB.US,60,20240502,220000,36.43,36.45,36.31,36.42,2053157,0
ENB.US,60,20240506,160000,36.56,36.7348,36.54,36.61,342553,0
ENB.US,60,20240506,170000,36.61,36.705,36.6,36.67,490954,0
ENB.US,60,20240506,180000,36.675,36.7,36.58,36.675,365796,0
ENB.US,60,20240506,190000,36.6702,36.71,36.635,36.68,361870,0
ENB.US,60,20240506,200000,36.67,36.7,36.6,36.6914,388526,0
ENB.US,60,20240506,210000,36.69,36.79,36.67,36.78,469770,0
ENB.US,60,20240506,220000,36.7727,36.775,36.65,36.67,1086060,0
ENB.US,60,20240507,160000,36.83,36.92,36.77,36.8126,338937,0
ENB.US,60,20240507,170000,36.81,36.85,36.73,36.835,336832,0
ENB.US,60,20240507,180000,36.83,36.845,36.76,36.81,302781,0
ENB.US,60,20240507,190000,36.8179,36.83,36.785,36.805,301688,0
ENB.US,60,20240507,200000,36.805,36.87,36.755,36.775,549556,0
ENB.US,60,20240507,210000,36.77,36.8,36.73,36.765,385136,0
ENB.US,60,20240507,220000,36.765,36.9,36.74,36.83,1464169,0
ENB.US,60,20240508,160000,36.68,36.94,36.6,36.9,274343,0
ENB.US,60,20240508,170000,36.9,37.065,36.86,37.0499,478938,0
ENB.US,60,20240508,180000,37.045,37.18,36.97,37.14,498437,0
ENB.US,60,20240508,190000,37.14,37.3,37.09,37.3,420547,0
ENB.US,60,20240508,200000,37.3018,37.54,37.3,37.46,910171,0
ENB.US,60,20240508,210000,37.46,37.52,37.43,37.465,498410,0
